"","species","scientificname","rank","kingdom","phylum","order","family","genus","kingdomkey","phylumkey","classkey","orderkey","familykey","genuskey","specieskey","class"
"239","Eumesogrammus praecisus","Eumesogrammus praecisus (Krøyer, 1836)","species","Animalia","Chordata","Perciformes","Stichaeidae","Eumesogrammus",1,44,204,587,8598,2394919,2394920,"Actinopterygii"
"240","Eumicrotremus andriashevi","Eumicrotremus andriashevi Perminov, 1936","species","Animalia","Chordata","Scorpaeniformes","Cyclopteridae","Eumicrotremus",1,44,204,590,8623,2336845,2336859,"Actinopterygii"
"241","Eumicrotremus asperrimus","Eumicrotremus asperrimus (Tanaka, 1912)","species","Animalia","Chordata","Scorpaeniformes","Cyclopteridae","Eumicrotremus",1,44,204,590,8623,2336845,2336876,"Actinopterygii"
"242","Eumicrotremus barbatus","Eumicrotremus barbatus (Lindberg & Legeza, 1955)","species","Animalia","Chordata","Scorpaeniformes","Cyclopteridae","Eumicrotremus",1,44,204,590,8623,2336845,2336871,"Actinopterygii"
"243","Eumicrotremus gyrinops","Eumicrotremus gyrinops (Garman, 1892)","species","Animalia","Chordata","Scorpaeniformes","Cyclopteridae","Eumicrotremus",1,44,204,590,8623,2336845,2336847,"Actinopterygii"
"244","Eumicrotremus orbis","Eumicrotremus orbis (Günther, 1861)","species","Animalia","Chordata","Scorpaeniformes","Cyclopteridae","Eumicrotremus",1,44,204,590,8623,2336845,2336849,"Actinopterygii"
"245","Eumicrotremus phrynoides","Eumicrotremus phrynoides Gilbert & Burke, 1912","species","Animalia","Chordata","Scorpaeniformes","Cyclopteridae","Eumicrotremus",1,44,204,590,8623,2336845,2336854,"Actinopterygii"
"246","Eurymen gyrinus","Eurymen gyrinus Gilbert & Burke, 1912","species","Animalia","Chordata","Scorpaeniformes","Psychrolutidae","Eurymen",1,44,204,590,8631,2334922,2334924,"Actinopterygii"
"247","Eustomias woollardi","Eustomias woollardi Clarke, 1998","species","Animalia","Chordata","Stomiiformes","Stomiidae","Eustomias",1,44,204,774,2225,5203220,5203333,"Actinopterygii"
"248","Evermannella indica","Evermannella indica Brauer, 1906","species","Animalia","Chordata","Aulopiformes","Evermannellidae","Evermannella",1,44,204,497,7182,5212597,5212605,"Actinopterygii"
"249","Fodiator acutus","Fodiator acutus (Valenciennes, 1847)","species","Animalia","Chordata","Beloniformes","Exocoetidae","Fodiator",1,44,204,498,2968,2368638,2368643,"Actinopterygii"
"250","Gadus chalcogrammus","Gadus chalcogrammus Pallas, 1814","species","Animalia","Chordata","Gadiformes","Gadidae","Gadus",1,44,204,549,3701,2335052,2415769,"Actinopterygii"
"251","Gadus macrocephalus","Gadus macrocephalus Tilesius, 1810","species","Animalia","Chordata","Gadiformes","Gadidae","Gadus",1,44,204,549,3701,2335052,2415853,"Actinopterygii"
"252","Galeocerdo cuvier","Galeocerdo cuvier (Péron & Lesueur, 1822)","species","Animalia","Chordata","Carcharhiniformes","Carcharhinidae","Galeocerdo",1,44,121,887,2211,7563837,2418234,"Elasmobranchii"
"253","Galeorhinus galeus","Galeorhinus galeus (Linnaeus, 1758)","species","Animalia","Chordata","Carcharhiniformes","Triakidae","Galeorhinus",1,44,121,887,2206,2418258,2418259,"Elasmobranchii"
"254","Gasterosteus aculeatus","Gasterosteus aculeatus Linnaeus, 1758","species","Animalia","Chordata","Gasterosteiformes","Gasterosteidae","Gasterosteus",1,44,204,550,7666,2333602,4286327,"Actinopterygii"
"255","Genioliparis ferox","Genioliparis ferox (Stein, 1978)","species","Animalia","Chordata","Scorpaeniformes","Liparidae","Genioliparis",1,44,204,590,8627,2336116,2336117,"Actinopterygii"
"256","Genyonemus lineatus","Genyonemus lineatus (Ayres, 1855)","species","Animalia","Chordata","Perciformes","Sciaenidae","Genyonemus",1,44,204,587,5062,2399572,2399573,"Actinopterygii"
"257","Gibbonsia metzi","Gibbonsia metzi Hubbs, 1927","species","Animalia","Chordata","Perciformes","Clinidae","Gibbonsia",1,44,204,587,4261,2380263,5209312,"Actinopterygii"
"258","Gibbonsia montereyensis","Gibbonsia montereyensis Hubbs, 1927","species","Animalia","Chordata","Perciformes","Clinidae","Gibbonsia",1,44,204,587,4261,2380263,5209308,"Actinopterygii"
"259","Gigantactis gargantua","Gigantactis gargantua Bertelsen, Pietsch & Lavenberg, 1981","species","Animalia","Chordata","Lophiiformes","Gigantactinidae","Gigantactis",1,44,204,1305,3874,2415171,2415176,"Actinopterygii"
"260","Gigantactis macronema","Gigantactis macronema Regan, 1925","species","Animalia","Chordata","Lophiiformes","Gigantactinidae","Gigantactis",1,44,204,1305,3874,2415171,2415187,"Actinopterygii"
"261","Glyptocephalus zachirus","Glyptocephalus zachirus Lockington, 1879","species","Animalia","Chordata","Pleuronectiformes","Pleuronectidae","Glyptocephalus",1,44,204,588,8611,2409281,5214001,"Actinopterygii"
"262","Gobiesox maeandricus","Gobiesox maeandricus (Girard, 1858)","species","Animalia","Chordata","Gobiesociformes","Gobiesocidae","Gobiesox",1,44,204,1163,7668,2411258,2411287,"Actinopterygii"
"263","Gonostoma atlanticum","Gonostoma atlanticum Norman, 1930","species","Animalia","Chordata","Stomiiformes","Gonostomatidae","Gonostoma",1,44,204,774,5905,2347394,5203360,"Actinopterygii"
"264","Gymnelus hemifasciatus","Gymnelus hemifasciatus Andriashev, 1937","species","Animalia","Chordata","Perciformes","Zoarcidae","Gymnelus",1,44,204,587,5079,2380931,2380932,"Actinopterygii"
"265","Gymnelus obscurus","Gymnelus obscurus Chernova, 2000","species","Animalia","Chordata","Perciformes","Zoarcidae","Gymnelus",1,44,204,587,5079,2380931,2380959,"Actinopterygii"
"266","Gymnelus popovi","Gymnelus popovi (Taranetz & Andriashev, 1935)","species","Animalia","Chordata","Perciformes","Zoarcidae","Gymnelus",1,44,204,587,5079,2380931,2380943,"Actinopterygii"
"267","Gymnelus viridis","Gymnelus viridis (Fabricius, 1780)","species","Animalia","Chordata","Perciformes","Zoarcidae","Gymnelus",1,44,204,587,5079,2380931,2380942,"Actinopterygii"
"268","Gymnocanthus detrisus","Gymnocanthus detrisus Gilbert & Burke, 1912","species","Animalia","Chordata","Scorpaeniformes","Cottidae","Gymnocanthus",1,44,204,590,8621,2334003,2334015,"Actinopterygii"
"269","Gymnocanthus galeatus","Gymnocanthus galeatus Bean, 1881","species","Animalia","Chordata","Scorpaeniformes","Cottidae","Gymnocanthus",1,44,204,590,8621,2334003,2334013,"Actinopterygii"
"270","Gymnocanthus pistilliger","Gymnocanthus pistilliger (Pallas, 1814)","species","Animalia","Chordata","Scorpaeniformes","Cottidae","Gymnocanthus",1,44,204,590,8621,2334003,2334010,"Actinopterygii"
