query,phylum,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Sphodrosger,Arthropoda,Atypidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microcyclopscans,Arthropoda,Cyclopidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Libystestidus,Arthropoda,Portunidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rimicarisabilis,Arthropoda,Alvinocarididae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyalommatidum,Arthropoda,Ixodidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cambarusdosus,Arthropoda,Cambaridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hahniava,Arthropoda,Hahniidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zodariontidum,Arthropoda,Zodariidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zodarionsiote,Arthropoda,Zodariidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prithana,Arthropoda,Filistatidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Munidasiotes,Arthropoda,Munididae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idiosomagrum,Arthropoda,Idiopidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euoplosabilis,Arthropoda,Idiopidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenobitaabilis,Arthropoda,Coenobitidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cantuariapua,Arthropoda,Idiopidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnoriagatai,Arthropoda,Limnoriidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elasmopusjaf,Arthropoda,Maeridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Penaeustialis,Arthropoda,Penaeidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Manihoaitahu,Arthropoda,Desidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Protohyale jarrettae,Arthropoda,Hyalidae,2983699,101385,Hyalidae,"Bulyčeva, 1957",accepted,NA,Family,101385,Hyalidae,"Bulyčeva, 1957",1325691,Animalia,Malacostraca,Amphipoda,NA,1,1,1,NA,NA,exact
Protohyale jarrettae,Mollusca,Hyalidae,2983699,767212,Hyalidae,"Golikov & Starobogatov, 1975",unaccepted,NA,Family,122,Iravadiidae,"Thiele, 1928",722756,Animalia,Gastropoda,Littorinimorpha,NA,1,0,0,0,NA,exact
Protohyale oclairi,Arthropoda,Hyalidae,2983669,101385,Hyalidae,"Bulyčeva, 1957",accepted,NA,Family,101385,Hyalidae,"Bulyčeva, 1957",1325691,Animalia,Malacostraca,Amphipoda,NA,1,1,1,NA,NA,exact
Protohyale oclairi,Mollusca,Hyalidae,2983669,767212,Hyalidae,"Golikov & Starobogatov, 1975",unaccepted,NA,Family,122,Iravadiidae,"Thiele, 1928",722756,Animalia,Gastropoda,Littorinimorpha,NA,1,0,0,0,NA,exact
Cumella vulgaris,Arthropoda,Nannastacidae,3003020,110383,Nannastacidae,"Bate, 1866",accepted,NA,Family,110383,Nannastacidae,"Bate, 1866",1137,Animalia,Malacostraca,Cumacea,NA,1,NA,1,0,NA,exact
Eubosmina huaronensis,Arthropoda,Bosminidae,423335,106262,Bosminidae,"Baird, 1845",accepted,NA,Family,106262,Bosminidae,"Baird, 1845",106259,Animalia,Branchiopoda,Anomopoda,NA,1,1,1,0,NA,exact
Daphnia schodleri,Arthropoda,Daphniidae,2960394,148360,Daphniidae,"Straus, 1820",accepted,NA,Family,148360,Daphniidae,"Straus, 1820",106259,Animalia,Branchiopoda,Anomopoda,NA,1,1,1,0,NA,exact
Ornithodoros moubata,Arthropoda,Argasidae,896268,762205,Argasidae,"Koch, 1844",accepted,NA,Family,762205,Argasidae,"Koch, 1844",762031,Animalia,Arachnida,Ixodida,NA,1,1,1,1,NA,exact
Ixodes persulcatus,Arthropoda,Ixodidae,493158,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
Haemaphysalis flava,Arthropoda,Ixodidae,75787,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
Ixodes holocyclus,Arthropoda,Ixodidae,735715,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
Ishizakiella novaezealandica,Arthropoda,Leptocytheridae,NULL,127502,Leptocytheridae,"Hanai, 1957",accepted,NA,Family,127502,Leptocytheridae,"Hanai, 1957",127477,Animalia,Ostracoda,Podocopida,NA,1,1,NA,0,NA,exact
Ixodes acutitarsus,Arthropoda,Ixodidae,738227,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
Ornithodoros porcinus,Arthropoda,Argasidae,263260,762205,Argasidae,"Koch, 1844",accepted,NA,Family,762205,Argasidae,"Koch, 1844",762031,Animalia,Arachnida,Ixodida,NA,1,1,1,1,NA,exact
Amblyomma triguttatum,Arthropoda,Ixodidae,263000,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
Leptotrombidium pallidum,Arthropoda,Trombiculidae,524909,509945,Trombiculidae,"Ewing, 1929",accepted,NA,Family,509945,Trombiculidae,"Ewing, 1929",762086,Animalia,Arachnida,Trombidiformes,NA,1,NA,NA,NA,NA,exact
Deiratonotus japonicus,Arthropoda,Camptandriidae,702733,240961,Camptandriidae,"Stimpson, 1858",accepted,NA,Family,240961,Camptandriidae,"Stimpson, 1858",106707,Animalia,Malacostraca,Decapoda,NA,1,1,NA,NA,NA,exact
Deiratonotus cristatus,Arthropoda,Camptandriidae,644175,240961,Camptandriidae,"Stimpson, 1858",accepted,NA,Family,240961,Camptandriidae,"Stimpson, 1858",106707,Animalia,Malacostraca,Decapoda,NA,1,1,NA,NA,NA,exact
Leptotrombidium deliense,Arthropoda,Trombiculidae,76565,509945,Trombiculidae,"Ewing, 1929",accepted,NA,Family,509945,Trombiculidae,"Ewing, 1929",762086,Animalia,Arachnida,Trombidiformes,NA,1,NA,NA,NA,NA,exact
Leptotrombidium akamushi,Arthropoda,Trombiculidae,76563,509945,Trombiculidae,"Ewing, 1929",accepted,NA,Family,509945,Trombiculidae,"Ewing, 1929",762086,Animalia,Arachnida,Trombidiformes,NA,1,NA,NA,NA,NA,exact
Rostratoverruca krugeri,Arthropoda,Verrucidae,191804,106066,Verrucidae,"Darwin, 1854",accepted,NA,Family,106066,Verrucidae,"Darwin, 1854",106040,Animalia,Thecostraca,Verrucomorpha,NA,1,NA,NA,NA,NA,exact
Ixodes philipi,Arthropoda,Ixodidae,54705,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
Ixodes vespertilionis,Arthropoda,Ixodidae,163673,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
Ixodes turdus,Arthropoda,Ixodidae,310079,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
Ixodes ovatus,Arthropoda,Ixodidae,163681,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
Ixodes monospinosus,Arthropoda,Ixodidae,310081,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
Ixodes granulatus,Arthropoda,Ixodidae,738231,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
Ixodes asanumai,Arthropoda,Ixodidae,310089,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
