query,phylum,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Vesicomya lepta,Mollusca,Vesicomyidae,289302,23140,Vesicomyidae,"Dall & Simpson, 1901",accepted,NA,Family,23140,Vesicomyidae,"Dall & Simpson, 1901",14637,Animalia,Bivalvia,Venerida,NA,1,0,0,0,0,exact
Uroteuthis etheridgei,Mollusca,Loliginidae,402100,11734,Loliginidae,"Lesueur, 1821",accepted,NA,Family,11734,Loliginidae,"Lesueur, 1821",11728,Animalia,Cephalopoda,Myopsida,NA,1,NA,0,0,NA,exact
Grimalditeuthis bonplandi,Mollusca,Chiroteuthidae,189909,11767,Chiroteuthidae,"Gray, 1849",accepted,NA,Family,11767,Chiroteuthidae,"Gray, 1849",1454594,Animalia,Cephalopoda,Oegopsida,NA,1,1,0,0,NA,exact
Balcis eburnea,Mollusca,Eulimidae,140192,135,Eulimidae,"Philippi, 1853",accepted,NA,Family,135,Eulimidae,"Philippi, 1853",387336,Animalia,Gastropoda,Littorinimorpha,NA,1,NA,NA,NA,0,exact
Horatia sturmi,Mollusca,Hydrobiidae,770008,120,Hydrobiidae,"Stimpson, 1865",accepted,NA,Family,120,Hydrobiidae,"Stimpson, 1865",722756,Animalia,Gastropoda,Littorinimorpha,NA,1,1,1,NA,NA,exact
Adrioinsulana conovula,Mollusca,Hydrobiidae,120581,120,Hydrobiidae,"Stimpson, 1865",accepted,NA,Family,120,Hydrobiidae,"Stimpson, 1865",722756,Animalia,Gastropoda,Littorinimorpha,NA,1,1,1,NA,NA,exact
Ventrosia truncata,Mollusca,Hydrobiidae,796881,120,Hydrobiidae,"Stimpson, 1865",accepted,NA,Family,120,Hydrobiidae,"Stimpson, 1865",722756,Animalia,Gastropoda,Littorinimorpha,NA,1,1,1,NA,NA,exact
Crepidula lessoni,Mollusca,Calyptraeidae,789320,141,Calyptraeidae,"Lamarck, 1809",accepted,NA,Family,141,Calyptraeidae,"Lamarck, 1809",387334,Animalia,Gastropoda,Littorinimorpha,NA,1,NA,NA,NA,NA,exact
Crepidula procellana,Mollusca,Calyptraeidae,823261,141,Calyptraeidae,"Lamarck, 1809",accepted,NA,Family,141,Calyptraeidae,"Lamarck, 1809",387334,Animalia,Gastropoda,Littorinimorpha,NA,1,NA,NA,NA,NA,exact
Trochita calyptraeformis,Mollusca,Calyptraeidae,685600,141,Calyptraeidae,"Lamarck, 1809",accepted,NA,Family,141,Calyptraeidae,"Lamarck, 1809",387334,Animalia,Gastropoda,Littorinimorpha,NA,1,NA,NA,NA,NA,exact
Crucibulum tenuis,Mollusca,Calyptraeidae,737408,141,Calyptraeidae,"Lamarck, 1809",accepted,NA,Family,141,Calyptraeidae,"Lamarck, 1809",387334,Animalia,Gastropoda,Littorinimorpha,NA,1,NA,NA,NA,NA,exact
Crucibulum radiata,Mollusca,Calyptraeidae,737395,141,Calyptraeidae,"Lamarck, 1809",accepted,NA,Family,141,Calyptraeidae,"Lamarck, 1809",387334,Animalia,Gastropoda,Littorinimorpha,NA,1,NA,NA,NA,NA,exact
Calyptraea aspersa,Mollusca,Calyptraeidae,783104,141,Calyptraeidae,"Lamarck, 1809",accepted,NA,Family,141,Calyptraeidae,"Lamarck, 1809",387334,Animalia,Gastropoda,Littorinimorpha,NA,1,NA,NA,NA,NA,exact
Bicatillus extinctorum,Mollusca,Calyptraeidae,NULL,141,Calyptraeidae,"Lamarck, 1809",accepted,NA,Family,141,Calyptraeidae,"Lamarck, 1809",387334,Animalia,Gastropoda,Littorinimorpha,NA,1,NA,NA,NA,NA,exact
Leptonetis perplexus,Mollusca,Hipponicidae,162604,23057,Hipponicidae,"Troschel, 1861",accepted,NA,Family,23057,Hipponicidae,"Troschel, 1861",14771,Animalia,Gastropoda,Littorinimorpha,NA,1,NA,0,0,0,exact
Echinolittorina riisei,Mollusca,Littorinidae,474116,119,Littorinidae,"Children, 1834",accepted,NA,Family,119,Littorinidae,"Children, 1834",14766,Animalia,Gastropoda,Littorinimorpha,NA,1,1,1,NA,NA,exact
Homalopoma rotundata,Mollusca,Colloniidae,160310,382202,Colloniidae,"Cossmann, 1917",accepted,NA,Family,382202,Colloniidae,"Cossmann, 1917",156489,Animalia,Gastropoda,Trochida,NA,1,NA,NA,NA,NA,exact
Astralium tentoriiformis,Mollusca,Turbinidae,735144,503,Turbinidae,"Rafinesque, 1815",accepted,NA,Family,503,Turbinidae,"Rafinesque, 1815",156489,Animalia,Gastropoda,Trochida,NA,1,NA,NA,NA,NA,exact
