"","accession_1","accession_2","taxonID","phylum"
"1724","GBMNA15153-19","AP009541",7898,"Chordata"
"1725","GBMNA15154-19","AP011928",7898,"Chordata"
"1726","GBMNA15295-19","AP005996",7898,"Chordata"
"1727","GBMNA15413-19","AP009126",7898,"Chordata"
"1728","GBMNA15414-19","GU370125",7898,"Chordata"
"1729","GBMNA15415-19","HM067614",7898,"Chordata"
"1730","GBMNA15416-19","MG603674",7898,"Chordata"
"1731","GBMNA15417-19","MG603675",7898,"Chordata"
"1732","GBMNA15418-19","JF894132",7898,"Chordata"
"1733","GBMNA15419-19","HE961974",7898,"Chordata"
"1734","GBMNA15420-19","AP006015",7898,"Chordata"
"1735","GBMNA15421-19","HE961975",7898,"Chordata"
"1736","GBMNA15422-19","AP009509",7898,"Chordata"
"1737","GBMNA15423-19","AP009505",7898,"Chordata"
"1738","GBMNA15424-19","KU301747",7898,"Chordata"
"1739","GBMNA15425-19","AP009508",7898,"Chordata"
"1740","GBMNA15426-19","AP009504",7898,"Chordata"
"1741","GBMNA15427-19","AP009127",7898,"Chordata"
"1742","GBMNA15428-19","KR150861",7898,"Chordata"
"1743","GBMNA15429-19","KR150865",7898,"Chordata"
"1744","GBMNA15430-19","KR150868",7898,"Chordata"
"1745","GBMNA15431-19","LC009435",7898,"Chordata"
"1746","GBMNA15432-19","KR150862",7898,"Chordata"
"1747","GBMNA15433-19","KR150876",7898,"Chordata"
"1748","GBMNA15434-19","KR233978",7898,"Chordata"
"1749","GBMNA15435-19","KU531436",7898,"Chordata"
"1750","GBMNA15436-19","KJ081546",7898,"Chordata"
"1751","GBMNA15437-19","KR150878",7898,"Chordata"
"1752","GBMNA15438-19","KR150867",7898,"Chordata"
"1753","GBMNA15439-19","AP009506",7898,"Chordata"
"1754","GBMNA15440-19","KP728467",7898,"Chordata"
"1755","GBMNA15441-19","KJ914664",7898,"Chordata"
"1756","GBMNA15442-19","KP231206",7898,"Chordata"
"1757","GBMNA15443-19","KT180164",7898,"Chordata"
"1758","GBMNA15444-19","KR150870",7898,"Chordata"
"1759","GBMNA15445-19","KT215609",7898,"Chordata"
"1760","GBMNA15446-19","KT362183",7898,"Chordata"
"1761","GBMNA15447-19","KP313730",7898,"Chordata"
"1762","GBMNA15448-19","KU531435",7898,"Chordata"
"1763","GBMNA15449-19","KR150875",7898,"Chordata"
"1764","GBMNA15450-19","KF879808",7898,"Chordata"
"1765","GBMNA15451-19","KJ755565",7898,"Chordata"
"1766","GBMNA15452-19","KU878410",7898,"Chordata"
"1767","GBMNA15453-19","KR150866",7898,"Chordata"
"1768","GBMNA15454-19","KU531434",7898,"Chordata"
"1769","GBMNA15455-19","KR233976",7898,"Chordata"
"1770","GBMNA15456-19","KR150871",7898,"Chordata"
"1771","GBMNA15457-19","AP009507",7898,"Chordata"
"1772","GBMNA15458-19","AP009128",7898,"Chordata"
"1773","GBMNA15459-19","AP009129",7898,"Chordata"
"1774","GBMNA15460-19","KU530212",7898,"Chordata"
"1775","GBMNA15461-19","JF911702",7898,"Chordata"
"1776","GBMNA15462-19","JF911703",7898,"Chordata"
"1777","GBMNA15463-19","JF911705",7898,"Chordata"
"1778","GBMNA15464-19","JF911706",7898,"Chordata"
"1779","GBMNA15465-19","JF911707",7898,"Chordata"
"1780","GBMNA15466-19","JF911709",7898,"Chordata"
"1781","GBMNA15467-19","KP793919",7898,"Chordata"
"1782","GBMNA15468-19","KF667528",7898,"Chordata"
"1783","GBMNA15469-19","MG587040",7898,"Chordata"
"1784","GBMNA15470-19","JF911715",7898,"Chordata"
"1785","GBMNA15471-19","JF911717",7898,"Chordata"
"1786","GBMNA15472-19","JF911710",7898,"Chordata"
"1787","GBMNA15473-19","AP002930",7898,"Chordata"
"1788","GBMNA15474-19","JF911712",7898,"Chordata"
"1789","GBMNA15475-19","KP018402",7898,"Chordata"
"1790","GBMNA15476-19","JF911711",7898,"Chordata"
"1791","GBMNA15477-19","JF911714",7898,"Chordata"
"1792","GBMNA15478-19","JF911713",7898,"Chordata"
"1793","GBMNA15479-19","AP017447",7898,"Chordata"
"1794","GBMNA15480-19","JF911716",7898,"Chordata"
"1795","GBMNA15481-19","AP006016",7898,"Chordata"
"1796","GBMNA15482-19","JQ030887",7898,"Chordata"
"1797","GBMNA15483-19","AB979272",7898,"Chordata"
"1798","GBMNA15484-19","AB979273",7898,"Chordata"
"1799","GBMNA15485-19","AB979696",7898,"Chordata"
"1800","GBMNA15486-19","KJ101554",7898,"Chordata"
"1801","GBMNA15487-19","KJ174497",7898,"Chordata"
"1802","GBMNA15488-19","KJ174498",7898,"Chordata"
"1803","GBMNA15489-19","KJ833752",7898,"Chordata"
"1804","GBMNA15490-19","KJ833753",7898,"Chordata"
"1805","GBMNA15491-19","KJ833754",7898,"Chordata"
"1806","GBMNA15492-19","AP009125",7898,"Chordata"
"1807","GBMNA15493-19","AP018529",7898,"Chordata"
"1808","GBMNA15494-19","AP012512",7898,"Chordata"
"1809","GBMNA15495-19","AP012513",7898,"Chordata"
"1810","GBMNA15496-19","AP006810",7898,"Chordata"
"1811","GBMNA15497-19","AP012497",7898,"Chordata"
"1812","GBMNA15498-19","AP012499",7898,"Chordata"
"1813","GBMNA15499-19","AP012498",7898,"Chordata"
"1814","GBMNA15500-19","KR349364",7898,"Chordata"
"1815","GBMNA15501-19","KT153629",7898,"Chordata"
"1816","GBMNA15502-19","AP006037",7898,"Chordata"
"1817","GBMNA15503-19","KC777290",7898,"Chordata"
"1818","GBMNA15504-19","AB751624",7898,"Chordata"
"1819","GBMNA15505-19","AP006814",7898,"Chordata"
"1820","GBMNA15506-19","AP012500",7898,"Chordata"
"1821","GBMNA15507-19","AP012943",7898,"Chordata"
"1822","GBMNA15508-19","AP012503",7898,"Chordata"
"1823","GBMNA15509-19","AP012504",7898,"Chordata"
"1824","GBMNA15510-19","KJ408216",7898,"Chordata"
"1825","GBMNA15511-19","AP012520",7898,"Chordata"
"1826","GBMNA15512-19","AP012506",7898,"Chordata"
"1827","GBMNA15513-19","AP012505",7898,"Chordata"
"1828","GBMNA15514-19","AP006038",7898,"Chordata"
"1829","GBMNA15515-19","KT361215",7898,"Chordata"
"1830","GBMNA15516-19","KC878729",7898,"Chordata"
"1831","GBMNA15517-19","AP011067",7898,"Chordata"
"1832","GBMNA15518-19","AB355904",7898,"Chordata"
"1833","GBMNA15519-19","AB103467",7898,"Chordata"
"1834","GBMNA15520-19","AB105447",7898,"Chordata"
"1835","GBMNA15521-19","KM651783",7898,"Chordata"
"1836","GBMNA15522-19","AB099716",7898,"Chordata"
"1837","GBMNA15523-19","JN086156",7898,"Chordata"
"1838","GBMNA15524-19","AP012510",7898,"Chordata"
"1839","GBMNA15525-19","AB101290",7898,"Chordata"
"1840","GBMNA15526-19","EU555283",7898,"Chordata"
"1841","GBMNA15527-19","JX524134",7898,"Chordata"
"1842","GBMNA15528-19","AB120717",7898,"Chordata"
"1843","GBMNA15529-19","AB488405",7898,"Chordata"
"1844","GBMNA15530-19","AB488406",7898,"Chordata"
"1845","GBMNA15531-19","AB488407",7898,"Chordata"
"1846","GBMNA15532-19","JX559739",7898,"Chordata"
"1847","GBMNA15533-19","JX559745",7898,"Chordata"
"1848","GBMNA15534-19","JX559746",7898,"Chordata"
"1849","GBMNA15535-19","DQ536428",7898,"Chordata"
"1850","GBMNA15536-19","GU109281",7898,"Chordata"
"1851","GBMNA15537-19","KY091265",7898,"Chordata"
"1852","GBMNA15538-19","KX925517",7898,"Chordata"
"1853","GBMNA15539-19","KM405517",7898,"Chordata"
"1854","GBMNA15540-19","AY302574",7898,"Chordata"
"1855","GBMNA15541-19","AB101291",7898,"Chordata"
"1856","GBMNA15542-19","AB185022",7898,"Chordata"
"1857","GBMNA15543-19","GU256523",7898,"Chordata"
"1858","GBMNA15544-19","GU256525",7898,"Chordata"
"1859","GBMNA15545-19","GU256528",7898,"Chordata"
"1860","GBMNA15546-19","HQ425780",7898,"Chordata"
"1861","GBMNA15547-19","GU256522",7898,"Chordata"
"1862","GBMNA15548-19","LC055190",7898,"Chordata"
"1863","GBMNA15549-19","LC006297",7898,"Chordata"
"1864","GBMNA15550-19","KF373560",7898,"Chordata"
"1865","GBMNA15551-19","KF873612",7898,"Chordata"
"1866","GBMNA15552-19","KJ162571",7898,"Chordata"
"1867","GBMNA15553-19","EU357803",7898,"Chordata"
"1868","GBMNA15554-19","AP012516",7898,"Chordata"
"1869","GBMNA15555-19","KP256005",7898,"Chordata"
"1870","GBMNA15556-19","KJ418377",7898,"Chordata"
"1871","GBMNA15557-19","AP012518",7898,"Chordata"
"1872","GBMNA15558-19","AP012514",7898,"Chordata"
"1873","GBMNA15559-19","AP012515",7898,"Chordata"
"1874","GBMNA15560-19","AP012944",7898,"Chordata"
"1875","GBMNA15561-19","AP012508",7898,"Chordata"
"1876","GBMNA15562-19","AP012522",7898,"Chordata"
"1877","GBMNA15563-19","AP012509",7898,"Chordata"
"1878","GBMNA15564-19","JX477078",7898,"Chordata"
"1879","GBMNA15565-19","EU339148",7898,"Chordata"
"1880","GBMNA15566-19","AP004403",7898,"Chordata"
"1881","GBMNA15567-19","AP002928",7898,"Chordata"
"1882","GBMNA15568-19","AB034826",7898,"Chordata"
"1883","GBMNA15569-19","AP002927",7898,"Chordata"
"1884","GBMNA15570-19","AP012316",7898,"Chordata"
"1885","GBMNA15571-19","AP012315",7898,"Chordata"
"1886","GBMNA15572-19","AP012307",7898,"Chordata"
"1887","GBMNA15573-19","AP012317",7898,"Chordata"
"1888","GBMNA15574-19","AP006028",7898,"Chordata"
"1889","GBMNA15575-19","AP002947",7898,"Chordata"
"1890","GBMNA15576-19","AP004440",7898,"Chordata"
"1891","GBMNA15577-19","AP012311",7898,"Chordata"
"1892","GBMNA15578-19","AP012310",7898,"Chordata"
"1893","GBMNA15579-19","AP012314",7898,"Chordata"
"1894","GBMNA15580-19","KT944284",7898,"Chordata"
"1895","GBMNA15581-19","AP009197",7898,"Chordata"
"1896","GBMNA15582-19","AP009198",7898,"Chordata"
"1897","GBMNA15583-19","AP005988",7898,"Chordata"
"1898","GBMNA15584-19","AP005987",7898,"Chordata"
"1899","GBMNA15585-19","AP012312",7898,"Chordata"
"1900","GBMNA15586-19","AP005983",7898,"Chordata"
"1901","GBMNA15587-19","AP005984",7898,"Chordata"
"1902","GBMNA15588-19","AB277725",7898,"Chordata"
"1903","GBMNA15589-19","AP012308",7898,"Chordata"
"1904","GBMNA15590-19","AP012309",7898,"Chordata"
"1905","GBMNA15591-19","JX682713",7898,"Chordata"
"1906","GBMNA15592-19","KF557652",7898,"Chordata"
"1907","GBMNA15593-19","KF680453",7898,"Chordata"
"1908","GBMNA15594-19","KF712276",7898,"Chordata"
"1909","GBMNA15595-19","KJ123692",7898,"Chordata"
"1910","GBMNA15596-19","AP005985",7898,"Chordata"
"1911","GBMNA15597-19","AP013027",7898,"Chordata"
"1912","GBMNA15598-19","KT362140",7898,"Chordata"
"1913","GBMNA15599-19","KT878879",7898,"Chordata"
"1914","GBMNA15600-19","KT878878",7898,"Chordata"
"1915","GBMNA15601-19","KT780446",7898,"Chordata"
"1916","GBMNA15602-19","KX685110",7898,"Chordata"
"1917","GBMNA15603-19","KX890469",7898,"Chordata"
"1918","GBMNA15604-19","KY938883",7898,"Chordata"
"1919","GBMNA15605-19","AP005986",7898,"Chordata"
"1920","GBMNA15606-19","AP012313",7898,"Chordata"
"1921","GBMNA15607-19","KU925872",7898,"Chordata"
"1922","GBMNA15608-19","KJ184528",7898,"Chordata"
"1923","GBMNA15609-19","AP004411",7898,"Chordata"
"1924","GBMNA15610-19","AM919429",7898,"Chordata"
"1925","GBMNA15611-19","AM919428",7898,"Chordata"
"1926","GBMNA15612-19","AB094061",7898,"Chordata"
"1927","GBMNA15613-19","DQ356941",7898,"Chordata"
"1928","GBMNA15614-19","KY296294",7898,"Chordata"
"1929","GBMNA15615-19","X99772",7898,"Chordata"
"1930","GBMNA15616-19","DQ020497",7898,"Chordata"
"1931","GBMNA15617-19","DQ020496",7898,"Chordata"
"1932","GBMNA15618-19","FR751401",7898,"Chordata"
"1933","GBMNA15619-19","FR751399",7898,"Chordata"
"1934","GBMNA15620-19","FR751400",7898,"Chordata"
"1935","GBMNA15621-19","AP004412",7898,"Chordata"
"1936","GBMNA15622-19","FR751402",7898,"Chordata"
"1937","GBMNA15623-19","AP004409",7898,"Chordata"
"1938","GBMNA15624-19","AP008988",7898,"Chordata"
"1939","GBMNA15625-19","KF751382",7898,"Chordata"
"1940","GBMNA15626-19","AP002929",7898,"Chordata"
"1941","GBMNA15627-19","AP008991",7898,"Chordata"
"1942","GBMNA15628-19","AP008989",7898,"Chordata"
"1943","GBMNA15629-19","AP008990",7898,"Chordata"
"1944","GBMNA15630-19","AB280687",7898,"Chordata"
"1945","GBMNA15631-19","AP004435",7898,"Chordata"
"1946","GBMNA15632-19","AP004436",7898,"Chordata"
"1947","GBMNA15633-19","AP004433",7898,"Chordata"
"1948","GBMNA15634-19","AP002942",7898,"Chordata"
"1949","GBMNA15635-19","AP002941",7898,"Chordata"
"1950","GBMNA15636-19","AP004434",7898,"Chordata"
"1951","GBMNA15637-19","AP002916",7898,"Chordata"
"1952","GBMNA15638-19","AP002917",7898,"Chordata"
"1953","GBMNA15639-19","AP002918",7898,"Chordata"
"1954","GBMNA15640-19","KP984503",7898,"Chordata"
"1955","GBMNA15641-19","AB047821",7898,"Chordata"
"1956","GBMNA15642-19","AP002919",7898,"Chordata"
"1957","GBMNA15643-19","KJ194275",7898,"Chordata"
"1958","GBMNA15644-19","KM189365",7898,"Chordata"
"1959","GBMNA15645-19","KP027408",7898,"Chordata"
"1960","GBMNA15646-19","AP002920",7898,"Chordata"
"1961","GBMNA15647-19","AY524977",7898,"Chordata"
"1962","GBMNA15648-19","AP002923",7898,"Chordata"
"1963","GBMNA15649-19","MF596172",7898,"Chordata"
"1964","GBMNA15650-19","AP012251",7898,"Chordata"
"1965","GBMNA15651-19","AP002922",7898,"Chordata"
"1966","GBMNA15652-19","MG321596",7898,"Chordata"
"1967","GBMNA15653-19","AP002921",7898,"Chordata"
"1968","GBMNA15654-19","AP012238",7898,"Chordata"
"1969","GBMNA15655-19","AP012228",7898,"Chordata"
"1970","GBMNA15656-19","AP002974",7898,"Chordata"
"1971","GBMNA15657-19","AP002975",7898,"Chordata"
"1972","GBMNA15658-19","AP011981",7898,"Chordata"
"1973","GBMNA15659-19","AP011996",7898,"Chordata"
"1974","GBMNA15660-19","KM886569",7898,"Chordata"
"1975","GBMNA15661-19","KY825191",7898,"Chordata"
"1976","GBMNA15662-19","AP011998",7898,"Chordata"
"1977","GBMNA15663-19","KM245044",7898,"Chordata"
"1978","GBMNA15664-19","KP027535",7898,"Chordata"
"1979","GBMNA15665-19","KM677190",7898,"Chordata"
"1980","GBMNA15666-19","AB861475",7898,"Chordata"
"1981","GBMNA15667-19","LC074360",7898,"Chordata"
"1982","GBMNA15668-19","AP011989",7898,"Chordata"
"1983","GBMNA15669-19","KP013092",7898,"Chordata"
"1984","GBMNA15670-19","AP011984",7898,"Chordata"
"1985","GBMNA15671-19","KP025764",7898,"Chordata"
"1986","GBMNA15672-19","KU523584",7898,"Chordata"
"1987","GBMNA15673-19","AP011990",7898,"Chordata"
"1988","GBMNA15674-19","AP011991",7898,"Chordata"
"1989","GBMNA15675-19","KP025763",7898,"Chordata"
"1990","GBMNA15676-19","AP011995",7898,"Chordata"
"1991","GBMNA15677-19","AP011997",7898,"Chordata"
"1992","GBMNA15678-19","KM245046",7898,"Chordata"
"1993","GBMNA15679-19","KM435146",7898,"Chordata"
"1994","GBMNA15680-19","KJ993871",7898,"Chordata"
"1995","GBMNA15681-19","KM245045",7898,"Chordata"
"1996","GBMNA15682-19","KR014816",7898,"Chordata"
"1997","GBMNA15683-19","KR014817",7898,"Chordata"
"1998","GBMNA15684-19","KY296449",7898,"Chordata"
"1999","GBMNA15685-19","KY358756",7898,"Chordata"
"2000","GBMNA15686-19","KM245047",7898,"Chordata"
"2001","GBMNA15687-19","AP011985",7898,"Chordata"
"2002","GBMNA15688-19","AP011993",7898,"Chordata"
"2003","GBMNA15689-19","AB070242",7898,"Chordata"
"2004","GBMNA15690-19","KP716708",7898,"Chordata"
"2005","GBMNA15691-19","KX060617",7898,"Chordata"
"2006","GBMNA15692-19","AP013303",7898,"Chordata"
"2007","GBMNA15693-19","M91245",7898,"Chordata"
"2008","GBMNA15694-19","AP011438",7898,"Chordata"
"2009","GBMNA15695-19","AP012131",7898,"Chordata"
"2010","GBMNA15696-19","AP012134",7898,"Chordata"
"2011","GBMNA15697-19","AP011440",7898,"Chordata"
"2012","GBMNA15698-19","KJ739867",7898,"Chordata"
"2013","GBMNA15699-19","KJ754936",7898,"Chordata"
"2014","GBMNA15700-19","KJ830772",7898,"Chordata"
"2015","GBMNA15701-19","KM077128",7898,"Chordata"
"2016","GBMNA15702-19","KF732713",7898,"Chordata"
"2017","GBMNA15703-19","KX101229",7898,"Chordata"
"2018","GBMNA15704-19","AB242165",7898,"Chordata"
"2019","GBMNA15705-19","AP011292",7898,"Chordata"
"2020","GBMNA15706-19","KF711948",7898,"Chordata"
"2021","GBMNA15707-19","FJ605359",7898,"Chordata"
"2022","GBMNA15708-19","MG554420",7898,"Chordata"
"2023","GBMNA15709-19","KP005457",7898,"Chordata"
"2024","GBMNA15710-19","KX786161",7898,"Chordata"
"2025","GBMNA15711-19","KT031050",7898,"Chordata"
"2026","GBMNA15712-19","AP011232",7898,"Chordata"
"2027","GBMNA15713-19","AP012130",7898,"Chordata"
"2028","GBMNA15714-19","KM393223",7898,"Chordata"
"2029","GBMNA15715-19","AY366087",7898,"Chordata"
"2030","GBMNA15716-19","AB127394",7898,"Chordata"
"2031","GBMNA15717-19","MG570441",7898,"Chordata"
"2032","GBMNA15718-19","AB126082",7898,"Chordata"
"2033","GBMNA15719-19","AP011228",7898,"Chordata"
"2034","GBMNA15720-19","AB242169",7898,"Chordata"
"2035","GBMNA15721-19","AP009316",7898,"Chordata"
"2036","GBMNA15722-19","KP306894",7898,"Chordata"
"2037","GBMNA15723-19","DQ536432",7898,"Chordata"
"2038","GBMNA15724-19","AB242167",7898,"Chordata"
"2039","GBMNA15725-19","AP009317",7898,"Chordata"
"2040","GBMNA15726-19","AY526869",7898,"Chordata"
"2041","GBMNA15727-19","AP011435",7898,"Chordata"
"2042","GBMNA15728-19","EU265776",7898,"Chordata"
"2043","GBMNA15729-19","KP319024",7898,"Chordata"
"2044","GBMNA15730-19","AP011349",7898,"Chordata"
"2045","GBMNA15731-19","KP729183",7898,"Chordata"
"2046","GBMNA15732-19","AB242163",7898,"Chordata"
"2047","GBMNA15733-19","JQ230103",7898,"Chordata"
"2048","GBMNA15734-19","KC865424",7898,"Chordata"
"2049","GBMNA15735-19","AB242170",7898,"Chordata"
"2050","GBMNA15736-19","AP011350",7898,"Chordata"
"2051","GBMNA15737-19","KF534784",7898,"Chordata"
"2052","GBMNA15738-19","KM386686",7898,"Chordata"
"2053","GBMNA15739-19","KM393222",7898,"Chordata"
"2054","GBMNA15740-19","JX155735",7898,"Chordata"
"2055","GBMNA15741-19","AP012125",7898,"Chordata"
"2056","GBMNA15742-19","KP979711",7898,"Chordata"
"2057","GBMNA15743-19","KU954768",7898,"Chordata"
"2058","GBMNA15744-19","AP012126",7898,"Chordata"
"2059","GBMNA15745-19","AP011347",7898,"Chordata"
"2060","GBMNA15746-19","KY131962",7898,"Chordata"
"2061","GBMNA15747-19","AB242161",7898,"Chordata"
"2062","GBMNA15748-19","AP013298",7898,"Chordata"
"2063","GBMNA15749-19","KF908768",7898,"Chordata"
"2064","GBMNA15750-19","KF926686",7898,"Chordata"
"2065","GBMNA15751-19","AY526868",7898,"Chordata"
"2066","GBMNA15752-19","EU656112",7898,"Chordata"
"2067","GBMNA15753-19","AP009306",7898,"Chordata"
"2068","GBMNA15754-19","AB860297",7898,"Chordata"
"2069","GBMNA15755-19","AP011344",7898,"Chordata"
"2070","GBMNA15756-19","AP013310",7898,"Chordata"
"2071","GBMNA15757-19","KM676412",7898,"Chordata"
"2072","GBMNA15758-19","KM676413",7898,"Chordata"
"2073","GBMNA15759-19","JN607253",7898,"Chordata"
"2074","GBMNA15760-19","HM535625",7898,"Chordata"
"2075","GBMNA15761-19","AP011343",7898,"Chordata"
"2076","GBMNA15762-19","AP011341",7898,"Chordata"
"2077","GBMNA15763-19","KF386025",7898,"Chordata"
"2078","GBMNA15764-19","KF562047",7898,"Chordata"
"2079","GBMNA15765-19","DQ026434",7898,"Chordata"
"2080","GBMNA15766-19","AB242171",7898,"Chordata"
"2081","GBMNA15767-19","AP009308",7898,"Chordata"
"2082","GBMNA15768-19","AB242168",7898,"Chordata"
"2083","GBMNA15769-19","AP011345",7898,"Chordata"
"2084","GBMNA15770-19","AP011346",7898,"Chordata"
"2085","GBMNA15771-19","KJ027397",7898,"Chordata"
"2086","GBMNA15772-19","AP011229",7898,"Chordata"
"2087","GBMNA15773-19","KF577979",7898,"Chordata"
"2088","GBMNA15774-19","KP727758",7898,"Chordata"
"2089","GBMNA15775-19","AP009305",7898,"Chordata"
"2090","GBMNA15776-19","AP011264",7898,"Chordata"
"2091","GBMNA15777-19","KT591478",7898,"Chordata"
"2092","GBMNA15778-19","KF695385",7898,"Chordata"
"2093","GBMNA15779-19","AB239602",7898,"Chordata"
"2094","GBMNA15780-19","EF483930",7898,"Chordata"
"2095","GBMNA15781-19","EF483933",7898,"Chordata"
"2096","GBMNA15782-19","EF483935",7898,"Chordata"
"2097","GBMNA15783-19","EF483936",7898,"Chordata"
"2098","GBMNA15784-19","FJ515921",7898,"Chordata"
"2099","GBMNA15785-19","KT601094",7898,"Chordata"
"2100","GBMNA15786-19","LC006056",7898,"Chordata"
"2101","GBMNA15787-19","KP067832",7898,"Chordata"
"2102","GBMNA15788-19","KT692966",7898,"Chordata"
"2103","GBMNA15789-19","MG783572",7898,"Chordata"
"2104","GBMNA15790-19","AP012086",7898,"Chordata"
"2105","GBMNA15791-19","KC161586",7898,"Chordata"
"2106","GBMNA15792-19","KC788747",7898,"Chordata"
"2107","GBMNA15793-19","KF113878",7898,"Chordata"
"2108","GBMNA15794-19","KF113879",7898,"Chordata"
"2109","GBMNA15795-19","KF781289",7898,"Chordata"
"2110","GBMNA15796-19","KJ817184",7898,"Chordata"
"2111","GBMNA15797-19","KJ909660",7898,"Chordata"
"2112","GBMNA15798-19","AP011242",7898,"Chordata"
"2113","GBMNA15799-19","KP274878",7898,"Chordata"
"2114","GBMNA15800-19","KT756206",7898,"Chordata"
"2115","GBMNA15801-19","KT991436",7898,"Chordata"
"2116","GBMNA15802-19","KY131974",7898,"Chordata"
"2117","GBMNA15803-19","KY131975",7898,"Chordata"
"2118","GBMNA15804-19","AP013332",7898,"Chordata"
"2119","GBMNA15805-19","AP011254",7898,"Chordata"
"2120","GBMNA15806-19","JX844591",7898,"Chordata"
"2121","GBMNA15807-19","JX844592",7898,"Chordata"
"2122","GBMNA15808-19","AB239593",7898,"Chordata"
"2123","GBMNA15809-19","AP011281",7898,"Chordata"
"2124","GBMNA15810-19","AP011267",7898,"Chordata"
"2125","GBMNA15811-19","AP011179",7898,"Chordata"
"2126","GBMNA15812-19","KR864861",7898,"Chordata"
"2127","GBMNA15813-19","KU234534",7898,"Chordata"
"2128","GBMNA15814-19","KC513573",7898,"Chordata"
"2129","GBMNA15815-19","MG783573",7898,"Chordata"
"2130","GBMNA15816-19","AP011250",7898,"Chordata"
"2131","GBMNA15817-19","JX184925",7898,"Chordata"
"2132","GBMNA15818-19","AB218688",7898,"Chordata"
"2133","GBMNA15819-19","KF564793",7898,"Chordata"
"2134","GBMNA15820-19","AP011180",7898,"Chordata"
"2135","GBMNA15821-19","AP011243",7898,"Chordata"
"2136","GBMNA15822-19","KJ737371",7898,"Chordata"
"2137","GBMNA15823-19","KM999224",7898,"Chordata"
"2138","GBMNA15824-19","KT336714",7898,"Chordata"
"2139","GBMNA15825-19","AP011381",7898,"Chordata"
"2140","GBMNA15826-19","KY305681",7898,"Chordata"
"2141","GBMNA15827-19","AP011241",7898,"Chordata"
"2142","GBMNA15828-19","KJ573467",7898,"Chordata"
"2143","GBMNA15829-19","AB238966",7898,"Chordata"
"2144","GBMNA15830-19","AB238965",7898,"Chordata"
"2145","GBMNA15831-19","AP011433",7898,"Chordata"
"2146","GBMNA15832-19","KJ413052",7898,"Chordata"
"2147","GBMNA15833-19","AB250107",7898,"Chordata"
"2148","GBMNA15834-19","AP011360",7898,"Chordata"
"2149","GBMNA15835-19","AP009304",7898,"Chordata"
"2150","GBMNA15836-19","AP011335",7898,"Chordata"
"2151","GBMNA15837-19","DQ536421",7898,"Chordata"
"2152","GBMNA15838-19","KT725246",7898,"Chordata"
"2153","GBMNA15839-19","MG650169",7898,"Chordata"
"2154","GBMNA15840-19","AP011183",7898,"Chordata"
"2155","GBMNA15841-19","AP011240",7898,"Chordata"
"2156","GBMNA15842-19","KX602324",7898,"Chordata"
"2157","GBMNA15843-19","AY714387",7898,"Chordata"
"2158","GBMNA15844-19","AB111951",7898,"Chordata"
"2159","GBMNA15845-19","GU170401",7898,"Chordata"
"2160","GBMNA15846-19","HQ875340",7898,"Chordata"
"2161","GBMNA15847-19","AB045144",7898,"Chordata"
"2162","GBMNA15848-19","MF198464",7898,"Chordata"
"2163","GBMNA15850-19","JQ087872",7898,"Chordata"
"2164","GBMNA15851-19","AP011184",7898,"Chordata"
"2165","GBMNA15852-19","AP011373",7898,"Chordata"
"2166","GBMNA15853-19","KC526217",7898,"Chordata"
"2167","GBMNA15854-19","KJ609181",7898,"Chordata"
"2168","GBMNA15855-19","KJ801524",7898,"Chordata"
"2169","GBMNA15856-19","AP009060",7898,"Chordata"
"2170","GBMNA15857-19","KU200257",7898,"Chordata"
"2171","GBMNA15858-19","AP009151",7898,"Chordata"
"2172","GBMNA15859-19","AP011276",7898,"Chordata"
"2173","GBMNA15860-19","KM288695",7898,"Chordata"
"2174","GBMNA15861-19","JQ231112",7898,"Chordata"
"2175","GBMNA15862-19","KF160921",7898,"Chordata"
"2176","GBMNA15863-19","AP013325",7898,"Chordata"
"2177","GBMNA15864-19","AP012150",7898,"Chordata"
"2178","GBMNA15865-19","AP011280",7898,"Chordata"
"2179","GBMNA15866-19","JF906108",7898,"Chordata"
"2180","GBMNA15867-19","JF906110",7898,"Chordata"
"2181","GBMNA15868-19","DQ347951",7898,"Chordata"
"2182","GBMNA15869-19","AP011370",7898,"Chordata"
"2183","GBMNA15870-19","AP011388",7898,"Chordata"
"2184","GBMNA15871-19","KX686103",7898,"Chordata"
"2185","GBMNA15872-19","EU391390",7898,"Chordata"
"2186","GBMNA15873-19","GU190362",7898,"Chordata"
"2187","GBMNA15874-19","KJ546417",7898,"Chordata"
"2188","GBMNA15875-19","JQ700301",7898,"Chordata"
"2189","GBMNA15876-19","AP011185",7898,"Chordata"
"2190","GBMNA15877-19","DQ536422",7898,"Chordata"
"2191","GBMNA15878-19","AB070206",7898,"Chordata"
"2192","GBMNA15879-19","AP012087",7898,"Chordata"
"2193","GBMNA15880-19","MG570431",7898,"Chordata"
"2194","GBMNA15882-19","JX119017",7898,"Chordata"
"2195","GBMNA15883-19","KC346973",7898,"Chordata"
"2196","GBMNA15884-19","KC351186",7898,"Chordata"
"2197","GBMNA15885-19","KF927167",7898,"Chordata"
"2198","GBMNA15886-19","KJ094511",7898,"Chordata"
"2199","GBMNA15887-19","KJ801831",7898,"Chordata"
"2200","GBMNA15888-19","KM401549",7898,"Chordata"
"2201","GBMNA15889-19","KM596849",7898,"Chordata"
"2202","GBMNA15890-19","AY694420",7898,"Chordata"
"2203","GBMNA15891-19","AY771781",7898,"Chordata"
