"","accession_1","accession_2","taxonID","phylum"
"108","ANGBF29653-19","KY936615",7898,"Chordata"
"109","ANGBF29656-19","KY936623",7898,"Chordata"
"110","ANGBF29657-19","KY936624",7898,"Chordata"
"111","ANGBF29658-19","KY936625",7898,"Chordata"
"112","ANGBF29666-19","KY936639",7898,"Chordata"
"113","ANGBF29668-19","KY936642",7898,"Chordata"
"114","ANGBF29669-19","KY936643",7898,"Chordata"
"115","ANGBF29671-19","KY936649",7898,"Chordata"
"116","ANGBF29672-19","KY936651",7898,"Chordata"
"117","ANGBF29681-19","KY936666",7898,"Chordata"
"118","ANGBF29683-19","KY936669",7898,"Chordata"
"119","ANGBF29686-19","KY936675",7898,"Chordata"
"120","ANGBF29692-19","KY936695",7898,"Chordata"
"121","ANGBF29702-19","KY936712",7898,"Chordata"
"122","ANGBF29710-19","KY936733",7898,"Chordata"
"123","ANGBF29718-19","KY936751",7898,"Chordata"
"124","ANGBF29723-19","KY936760",7898,"Chordata"
"125","ANGBF29725-19","KY936764",7898,"Chordata"
"126","ANGBF29727-19","KY936768",7898,"Chordata"
"127","ANGBF29737-19","KY936787",7898,"Chordata"
"128","ANGBF29739-19","KY936797",7898,"Chordata"
"129","ANGBF29745-19","KY936812",7898,"Chordata"
"130","ANGBF29747-19","KY936818",7898,"Chordata"
"131","ANGBF29755-19","MH338542",7898,"Chordata"
"132","ANGBF29756-19","MH338725",7898,"Chordata"
"133","ANGBF29757-19","MH338726",7898,"Chordata"
"134","ANGBF29758-19","MH338727",7898,"Chordata"
"135","ANGBF29759-19","MH338739",7898,"Chordata"
"136","ANGBF29760-19","MH338808",7898,"Chordata"
"137","ANGBF29762-19","MH339131",7898,"Chordata"
"138","ANGBF29767-19","MH339136",7898,"Chordata"
"139","ANGBF29789-19","MH339158",7898,"Chordata"
"140","ANGBF29790-19","MH339159",7898,"Chordata"
"141","ANGBF29791-19","MH339160",7898,"Chordata"
"142","ANGBF29795-19","KX399421",7898,"Chordata"
"143","ANGBF52896-19","LC459608",7898,"Chordata"
"144","ANGBF52897-19","LC459609",7898,"Chordata"
"145","ANGBF52899-19","LC459611",7898,"Chordata"
"146","ANGBF52900-19","LC459612",7898,"Chordata"
"147","ANGBF52901-19","LC459613",7898,"Chordata"
"148","ANGBF52902-19","LC459614",7898,"Chordata"
"149","ANICB043-06",NA,10190,"Rotifera"
"150","ANNEB034-14",NA,6217,"Nemertea"
"151","ARIR006-18","MK550634",10205,"Bryozoa"
"152","ASAFE015-16",NA,7711,"Chordata"
"153","ASAFE029-16",NA,7711,"Chordata"
"154","AUCET002-13","MT323994",NA,NA
"155","AUCET003-13","MT324040",NA,NA
"156","AUCET004-13","MT324041",NA,NA
"157","AUCET005-13","MT324042",NA,NA
"158","AUCET006-13","MT324039",NA,NA
"159","AUCET009-13","MT323992",NA,NA
"160","AUCET036-13","MT324046",NA,NA
"161","AUCET037-13","MT324047",NA,NA
"162","AUCET039-13","MT324043",NA,NA
"163","AUCET108-13","MT324034",NA,NA
"164","AUCET136-13","MT323851",NA,NA
"165","AUCET141-13","MT324033",NA,NA
"166","AUCET174-13","MT323917",NA,NA
"167","AUCET191-13","MT323900",NA,NA
"168","AUCET225-13","MT324031",NA,NA
"169","AUCET252-13","MT324032",NA,NA
"170","AUCET299-13","MT324009",NA,NA
"171","AUCET300-13","MT324010",NA,NA
"172","AUCET555-18","MT323955",NA,NA
"173","AUCET564-18","MT323852",NA,NA
"174","AUCET568-18","MT323993",NA,NA
"175","AUCET571-18","MT323783",NA,NA
"176","AUCET572-18","MT323961",NA,NA
"177","AUCET574-18","MT323919",NA,NA
"178","AUCET575-18","MT323918",NA,NA
"179","AUCET576-18","MT323960",NA,NA
"180","AUCET577-18","MT323959",NA,NA
"181","AUCET578-18","MT324050",NA,NA
"182","AUCET579-18","MT324049",NA,NA
"183","AUCET580-18","MT324048",NA,NA
"184","AUCET581-18","MT323785",NA,NA
"185","AUCET582-18","MT323786",NA,NA
"186","AUCET589-18","MT323787",NA,NA
"187","AUCET598-18","MT323853",NA,NA
"188","AUCET599-18","MT323854",NA,NA
"189","AUCET601-18","MT323781",NA,NA
"190","AUCET602-18","MT323782",NA,NA
"191","AUCET605-18","MT323968",NA,NA
"192","AUCET606-18","MT323967",NA,NA
"193","AUCET607-18","MT323920",NA,NA
"194","AUCET608-18","MT323922",NA,NA
"195","AUCET609-18","MT323921",NA,NA
"196","AUCET610-18","MT323966",NA,NA
"197","AUCET612-18","MT323862",NA,NA
"198","AUCET613-18","MT323860",NA,NA
"199","AUCET614-18","MT323861",NA,NA
"200","AUCET617-18","MT323964",NA,NA
"201","AUCET622-18","MT323856",NA,NA
"202","AUCET626-18","MT323780",NA,NA
"203","AY666598",NA,NA,NA
"204","AY666599",NA,NA,NA
"205","AY666603",NA,NA,NA
"206","AY666604",NA,NA,NA
"207","AY666605",NA,NA,NA
"208","AY666612",NA,NA,NA
"209","AY666614",NA,NA,NA
"210","AY666619",NA,NA,NA
"211","AY666643",NA,NA,NA
"212","AY666645",NA,NA,NA
"213","AY666651",NA,NA,NA
"214","AY666668",NA,NA,NA
"215","AY666670",NA,NA,NA
"216","AY666684",NA,NA,NA
"217","AY666695",NA,NA,NA
"218","AY666697",NA,NA,NA
"219","AY666698",NA,NA,NA
"220","AY666700",NA,NA,NA
"221","AY666703",NA,NA,NA
"222","AY666709",NA,NA,NA
"223","AY666710",NA,NA,NA
"224","AY666711",NA,NA,NA
"225","AY666714",NA,NA,NA
"226","AY666715",NA,NA,NA
"227","AY666718",NA,NA,NA
"228","AY666735",NA,NA,NA
"229","AY666747",NA,NA,NA
"230","AY666749",NA,NA,NA
"231","AY666751",NA,NA,NA
"232","AY666755",NA,NA,NA
"233","AY666761",NA,NA,NA
"234","AY666762",NA,NA,NA
"235","AY666763",NA,NA,NA
"236","AY666764",NA,NA,NA
"237","AY666766",NA,NA,NA
"238","AY666768",NA,NA,NA
"239","AY666771",NA,NA,NA
"240","AY666772",NA,NA,NA
"241","AY666777",NA,NA,NA
"242","AY666778",NA,NA,NA
"243","AY666786",NA,NA,NA
"244","AY666787",NA,NA,NA
"245","AY666792",NA,NA,NA
"246","AY666803",NA,NA,NA
"247","AY666810",NA,NA,NA
"248","AY666811",NA,NA,NA
"249","AY666812",NA,NA,NA
"250","AY666817",NA,NA,NA
"251","AY666821",NA,NA,NA
"252","AY666822",NA,NA,NA
"253","AY666827",NA,NA,NA
"254","AY666828",NA,NA,NA
"255","AY666829",NA,NA,NA
"256","AY666830",NA,NA,NA
"257","AY666841",NA,NA,NA
"258","AY666843",NA,NA,NA
"259","AY666846",NA,NA,NA
"260","AY666850",NA,NA,NA
"261","AY666851",NA,NA,NA
"262","AY666855",NA,NA,NA
"263","AY666858",NA,NA,NA
"264","AY666864",NA,NA,NA
"265","AY666865",NA,NA,NA
"266","AY666869",NA,NA,NA
"267","AY666870",NA,NA,NA
"268","AY666878",NA,NA,NA
"269","AY666882",NA,NA,NA
"270","AY666884",NA,NA,NA
"271","AY666885",NA,NA,NA
"272","AY666889",NA,NA,NA
"273","AY666891",NA,NA,NA
"274","AY666892",NA,NA,NA
"275","AY666893",NA,NA,NA
"276","AY666894",NA,NA,NA
"277","AY666899",NA,NA,NA
"278","AY666900",NA,NA,NA
"279","AY666902",NA,NA,NA
"280","AY666905",NA,NA,NA
"281","AY666906",NA,NA,NA
"282","AY666911",NA,NA,NA
"283","AY666912",NA,NA,NA
"284","AY666913",NA,NA,NA
"285","AY666914",NA,NA,NA
"286","AY666917",NA,NA,NA
"287","AY666919",NA,NA,NA
"288","AY666920",NA,NA,NA
"289","AY666927",NA,NA,NA
"290","AY666931",NA,NA,NA
"291","AY666934",NA,NA,NA
"292","AY666943",NA,NA,NA
"293","AY667015",NA,NA,NA
"294","AY667020",NA,NA,NA
"295","AY667021",NA,NA,NA
"296","AY667036",NA,NA,NA
"297","AY667043",NA,NA,NA
"298","AY667045",NA,NA,NA
"299","AY667053",NA,NA,NA
"300","AY667055",NA,NA,NA
"301","AY970627",NA,NA,NA
