query,phylum,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Caenorhabditis doughertyi,Nematoda,Rhabditidae,624496,2213,Rhabditidae,"Örley, 1880",accepted,NA,Family,2213,Rhabditidae,"Örley, 1880",2160,Animalia,Chromadorea,Rhabditida,NA,1,1,1,1,NA,exact
Caenorhabditis virilis,Nematoda,Rhabditidae,624494,2213,Rhabditidae,"Örley, 1880",accepted,NA,Family,2213,Rhabditidae,"Örley, 1880",2160,Animalia,Chromadorea,Rhabditida,NA,1,1,1,1,NA,exact
Caenorhabditis wallacei,Nematoda,Rhabditidae,624497,2213,Rhabditidae,"Örley, 1880",accepted,NA,Family,2213,Rhabditidae,"Örley, 1880",2160,Animalia,Chromadorea,Rhabditida,NA,1,1,1,1,NA,exact
Caenorhabditis nouraguensis,Nematoda,Rhabditidae,454025,2213,Rhabditidae,"Örley, 1880",accepted,NA,Family,2213,Rhabditidae,"Örley, 1880",2160,Animalia,Chromadorea,Rhabditida,NA,1,1,1,1,NA,exact
Caenorhabditis macrosperma,Nematoda,Rhabditidae,624491,2213,Rhabditidae,"Örley, 1880",accepted,NA,Family,2213,Rhabditidae,"Örley, 1880",2160,Animalia,Chromadorea,Rhabditida,NA,1,1,1,1,NA,exact
Caenorhabditis afra,Nematoda,Rhabditidae,102813,2213,Rhabditidae,"Örley, 1880",accepted,NA,Family,2213,Rhabditidae,"Örley, 1880",2160,Animalia,Chromadorea,Rhabditida,NA,1,1,1,1,NA,exact
Caenorhabditis castelli,Nematoda,Rhabditidae,5701050,2213,Rhabditidae,"Örley, 1880",accepted,NA,Family,2213,Rhabditidae,"Örley, 1880",2160,Animalia,Chromadorea,Rhabditida,NA,1,1,1,1,NA,exact
Dirofilaria ursi,Nematoda,Onchocercidae,1054674,22876,Onchocercidae,"Leiper, 1911",accepted,NA,Family,22876,Onchocercidae,"Leiper, 1911",22875,Animalia,Chromadorea,Rhabditida,NA,1,NA,NA,1,NA,exact
Brachylaima ezohelicis,Platyhelminthes,Brachylaimidae,7504914,108461,Brachylaimidae,"Joyeux & Foley, 1930",accepted,NA,Family,108461,Brachylaimidae,"Joyeux & Foley, 1930",468885,Animalia,Trematoda,Diplostomida,NA,1,NA,NA,1,NA,exact
Aulonocephalus pennula,Nematoda,Subuluridae,4991464,834815,Subuluridae,"Yorke & Maplestone, 1926",accepted,NA,Family,834815,Subuluridae,"Yorke & Maplestone, 1926",834814,Animalia,Chromadorea,Rhabditida,NA,1,NA,NA,NA,NA,exact
Brachylaima asakawai,Platyhelminthes,Brachylaimidae,7504913,108461,Brachylaimidae,"Joyeux & Foley, 1930",accepted,NA,Family,108461,Brachylaimidae,"Joyeux & Foley, 1930",468885,Animalia,Trematoda,Diplostomida,NA,1,NA,NA,1,NA,exact
Pterygodermatites jagerskioldi,Nematoda,Rictulariidae,4991381,834792,Rictulariidae,"Railliet, 1916",accepted,NA,Family,834792,Rictulariidae,"Railliet, 1916",834791,Animalia,Chromadorea,Rhabditida,NA,1,NA,NA,NA,NA,exact
Angiostoma margaretae,Nematoda,Angiostomatidae,327341,391885,Angiostomatidae,"Blanchard, 1895",accepted,NA,Family,391885,Angiostomatidae,"Blanchard, 1895",2160,Animalia,Chromadorea,Rhabditida,NA,1,NA,1,1,0,exact
Parachristianella mendozai,Platyhelminthes,Eutetrarhynchidae,7503255,104950,Eutetrarhynchidae,"Guiart, 1927",accepted,NA,Family,104950,Eutetrarhynchidae,"Guiart, 1927",508463,Animalia,Cestoda,Trypanorhyncha,NA,1,1,1,NA,NA,exact
Parachristianella kuchtai,Platyhelminthes,Eutetrarhynchidae,7503254,104950,Eutetrarhynchidae,"Guiart, 1927",accepted,NA,Family,104950,Eutetrarhynchidae,"Guiart, 1927",508463,Animalia,Cestoda,Trypanorhyncha,NA,1,1,1,NA,NA,exact
Parachristianella campbelli,Platyhelminthes,Eutetrarhynchidae,7503253,104950,Eutetrarhynchidae,"Guiart, 1927",accepted,NA,Family,104950,Eutetrarhynchidae,"Guiart, 1927",508463,Animalia,Cestoda,Trypanorhyncha,NA,1,1,1,NA,NA,exact
Parachristianella soldanovae,Platyhelminthes,Eutetrarhynchidae,7503256,104950,Eutetrarhynchidae,"Guiart, 1927",accepted,NA,Family,104950,Eutetrarhynchidae,"Guiart, 1927",508463,Animalia,Cestoda,Trypanorhyncha,NA,1,1,1,NA,NA,exact
Characitecium costaricensis,Platyhelminthes,Dactylogyridae,7503446,119226,Dactylogyridae,"Bychowsky, 1933",accepted,NA,Family,119226,Dactylogyridae,"Bychowsky, 1933",517897,Animalia,Monogenea,Dactylogyridea,NA,1,1,1,NA,NA,exact
Afrina sporoboliae,Nematoda,Anguinidae,7075166,458828,Anguinidae,"Nicoll, 1935",accepted,NA,Family,458828,Anguinidae,"Nicoll, 1935",731853,Animalia,Chromadorea,Rhabditida,NA,1,1,1,1,NA,exact
Anguina agrostis,Nematoda,Anguinidae,114647,458828,Anguinidae,"Nicoll, 1935",accepted,NA,Family,458828,Anguinidae,"Nicoll, 1935",731853,Animalia,Chromadorea,Rhabditida,NA,1,1,1,1,NA,exact
Pterygodermatites nycticebi,Nematoda,Rictulariidae,7074150,834792,Rictulariidae,"Railliet, 1916",accepted,NA,Family,834792,Rictulariidae,"Railliet, 1916",834791,Animalia,Chromadorea,Rhabditida,NA,1,NA,NA,NA,NA,exact
Spirocerca vulpis,Nematoda,Thelaziidae,7074197,159669,Thelaziidae,"Skrjabin, 1915",accepted,NA,Family,159669,Thelaziidae,"Skrjabin, 1915",834793,Animalia,Chromadorea,Rhabditida,NA,1,NA,NA,NA,NA,exact
Spirometra ranarum,Platyhelminthes,Diphyllobothriidae,7503124,104937,Diphyllobothriidae,"Lühe, 1910",accepted,NA,Family,104937,Diphyllobothriidae,"Lühe, 1910",515793,Animalia,Cestoda,Diphyllobothriidea,NA,1,1,1,1,NA,exact
Obama tribalis,Platyhelminthes,Geoplanidae,7504627,414975,Geoplanidae,"Stimpson, 1857",accepted,NA,Family,414975,Geoplanidae,"Stimpson, 1857",880146,Animalia,NA,Tricladida,NA,1,NA,1,1,NA,exact
Obama tribalis,Platyhelminthes,Geoplanidae,7504627,414975,Geoplanidae,"Stimpson, 1857",accepted,NA,Family,414975,Geoplanidae,"Stimpson, 1857",880146,Animalia,NA,Tricladida,NA,1,NA,1,1,NA,exact
Alaria americana,Platyhelminthes,Diplostomidae,7505891,108459,Diplostomidae,"Poirier, 1886",accepted,NA,Family,108459,Diplostomidae,"Poirier, 1886",108416,Animalia,Trematoda,Diplostomida,NA,1,1,1,1,NA,exact
Postharmostomum commutatum,Platyhelminthes,Brachylaimidae,7504916,108461,Brachylaimidae,"Joyeux & Foley, 1930",accepted,NA,Family,108461,Brachylaimidae,"Joyeux & Foley, 1930",468885,Animalia,Trematoda,Diplostomida,NA,1,NA,NA,1,NA,exact
Taenia lynciscapreoli,Platyhelminthes,Taeniidae,718132,836271,Taeniidae,"Ludwig, 1886",accepted,NA,Family,836271,Taeniidae,"Ludwig, 1886",104913,Animalia,Cestoda,Cyclophyllidea,NA,1,NA,NA,NA,NA,exact
Vittatidera zeaphila,Nematoda,Heteroderidae,408538,1293967,Heteroderidae,"Filipjev & Schuurmans Stekhoven, 1941",accepted,NA,Family,1293967,Heteroderidae,"Filipjev & Schuurmans Stekhoven, 1941",227111,Animalia,Chromadorea,Rhabditida,NA,NA,1,1,1,NA,exact
Spinitectus mexicanus,Nematoda,Rhabdochonidae,4989751,22902,Rhabdochonidae,"Skrjabin, 1946",accepted,NA,Family,22902,Rhabdochonidae,"Skrjabin, 1946",834793,Animalia,Chromadorea,Rhabditida,NA,1,1,1,NA,NA,exact
Plagiorchis maculosus,Platyhelminthes,Plagiorchiidae,229395,108448,Plagiorchiidae,"Lühe, 1901",accepted,NA,Family,108448,Plagiorchiidae,"Lühe, 1901",108411,Animalia,Trematoda,Plagiorchiida,NA,1,1,1,1,NA,exact
Thaumamermis cosgrovei,Nematoda,Mermithidae,1042825,391379,Mermithidae,"Braun, 1883",accepted,NA,Family,391379,Mermithidae,"Braun, 1883",458805,Animalia,Enoplea,Mermithida,NA,1,NA,1,1,NA,exact
Trypanoxyuris atelis,Nematoda,Oxyuridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chromadorea,Rhabditida,Trypanoxyuris,NA,NA,NA,NA,NA,NA
Lemuricola bauchoti,Nematoda,Oxyuridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chromadorea,Rhabditida,Lemuricola,NA,NA,NA,NA,NA,NA
Mecistocirrus digitatus,Nematoda,Haemonchidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chromadorea,Strongylida,Mecistocirrus,NA,NA,NA,NA,NA,NA
Cooperia oncophora,Nematoda,Cooperiidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chromadorea,Strongylida,Cooperia,NA,NA,NA,NA,NA,NA
Ostertagia ostertagi,Nematoda,Haemonchidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chromadorea,Strongylida,Ostertagia,NA,NA,NA,NA,NA,NA
Syphacia ohtaorum,Nematoda,Oxyuridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chromadorea,Rhabditida,Syphacia,NA,NA,NA,NA,NA,NA
Strongyloides fuelleborni,Nematoda,Strongyloididae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chromadorea,Rhabditida,Strongyloides,NA,NA,NA,NA,NA,NA
Strongyloides planiceps,Nematoda,Strongyloididae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chromadorea,Rhabditida,Strongyloides,NA,NA,NA,NA,NA,NA
Strongyloides stercoralis,Nematoda,Strongyloididae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chromadorea,Rhabditida,Strongyloides,NA,NA,NA,NA,NA,NA
Strongyloides mirzai,Nematoda,Strongyloididae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chromadorea,Rhabditida,Strongyloides,NA,NA,NA,NA,NA,NA
Angiostrongylus cantonensis,Nematoda,Angiostrongylidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chromadorea,Strongylida,Angiostrongylus,NA,NA,NA,NA,NA,NA
Astrobolia,Porifera,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Demospongiae,NULL,NULL,NA,NA,NA,NA,NA,NA
Pristionchus bucculentus,Nematoda,Neodiplogasteridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chromadorea,Rhabditida,Pristionchus,NA,NA,NA,NA,NA,NA
Neodiplostomum seoulense,Platyhelminthes,Neodiplostomidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Trematoda,NULL,Neodiplostomum,NA,NA,NA,NA,NA,NA
Nippostrongylus brasiliensis,Nematoda,Heligmonellidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chromadorea,Strongylida,Nippostrongylus,NA,NA,NA,NA,NA,NA
Spathula (genus in Opisthokonta,Platyhelminthes,Dugesiidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rhabditophora,Seriata,Spathula,NA,NA,NA,NA,NA,NA
Spathula (genus in Opisthokonta,Platyhelminthes,Dugesiidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rhabditophora,Tricladida,Spathula,NA,NA,NA,NA,NA,NA
Toxocara cati,Nematoda,Toxocaridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chromadorea,Rhabditida,Toxocara,NA,NA,NA,NA,NA,NA
Cyathostomum catinatum,Nematoda,Strongylidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chromadorea,Strongylida,Cyathostomum,NA,NA,NA,NA,NA,NA
Coronocyclus coronatus,Nematoda,Strongylidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chromadorea,Strongylida,Coronocyclus,NA,NA,NA,NA,NA,NA
Dictyocaulus viviparus,Nematoda,Dictyocaulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chromadorea,Strongylida,Dictyocaulus,NA,NA,NA,NA,NA,NA
Cylicostephanus goldi,Nematoda,Strongylidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chromadorea,Strongylida,Cylicostephanus,NA,NA,NA,NA,NA,NA
Tridentoinfundibulum gobi,Nematoda,Strongylidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chromadorea,Strongylida,Tridentoinfundibulum,NA,NA,NA,NA,NA,NA
Cylicocyclus insigne,Nematoda,Strongylidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chromadorea,Strongylida,Cylicocyclus,NA,NA,NA,NA,NA,NA
Cylicostephanus longibursatus,Nematoda,Strongylidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chromadorea,Strongylida,Cylicostephanus,NA,NA,NA,NA,NA,NA
Cylicostephanus minutus,Nematoda,Strongylidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chromadorea,Strongylida,Cylicostephanus,NA,NA,NA,NA,NA,NA
Cylicocyclus nassatus,Nematoda,Strongylidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chromadorea,Strongylida,Cylicocyclus,NA,NA,NA,NA,NA,NA
Poteriostomum imparidentatum,Nematoda,Strongylidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chromadorea,Strongylida,Poteriostomum,NA,NA,NA,NA,NA,NA
Cyathostomum pateratum,Nematoda,Strongylidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chromadorea,Strongylida,Cyathostomum,NA,NA,NA,NA,NA,NA
Strongylus edentatus,Nematoda,Strongylidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chromadorea,Strongylida,Strongylus,NA,NA,NA,NA,NA,NA
Strongylus equinus,Nematoda,Strongylidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chromadorea,Strongylida,Strongylus,NA,NA,NA,NA,NA,NA
Strongylus vulgaris,Nematoda,Strongylidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chromadorea,Strongylida,Strongylus,NA,NA,NA,NA,NA,NA
Triodontophorus serratus,Nematoda,Strongylidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chromadorea,Strongylida,Triodontophorus,NA,NA,NA,NA,NA,NA
Cylicocyclus ultrajectinus,Nematoda,Strongylidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chromadorea,Strongylida,Cylicocyclus,NA,NA,NA,NA,NA,NA
Parasitylenchus nearcticus,Nematoda,Parasitylenchidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chromadorea,Rhabditida,Parasitylenchus,NA,NA,NA,NA,NA,NA
Anatrichosoma haycocki,Nematoda,Anatrichosomatidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Enoplea,Trichinellida,Anatrichosoma,NA,NA,NA,NA,NA,NA
Oesophagostomum bifurcum,Nematoda,Chabertiidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chromadorea,Strongylida,Oesophagostomum,NA,NA,NA,NA,NA,NA
Setaria labiatopapillosa,Nematoda,Setariidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chromadorea,Rhabditida,Setaria,NA,NA,NA,NA,NA,NA
Setaria tundra,Nematoda,Setariidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chromadorea,Rhabditida,Setaria,NA,NA,NA,NA,NA,NA
Toxocara malaysiensis,Nematoda,Toxocaridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chromadorea,Rhabditida,Toxocara,NA,NA,NA,NA,NA,NA
Toxocara vitulorum,Nematoda,Toxocaridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chromadorea,Rhabditida,Toxocara,NA,NA,NA,NA,NA,NA
Angiostrongylus costaricensis,Nematoda,Angiostrongylidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chromadorea,Strongylida,Angiostrongylus,NA,NA,NA,NA,NA,NA
Dracunculus medinensis,Nematoda,Dracunculidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chromadorea,Rhabditida,Dracunculus,NA,NA,NA,NA,NA,NA
Gongylonema pulchrum,Nematoda,Gongylonematidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chromadorea,Rhabditida,Gongylonema,NA,NA,NA,NA,NA,NA
