"","species_verbatim","query","domain","kingdom","phylum","class","subclass","order","family","genus","species","ottid_species","rank"
"1","Abramis brama x Blicca bjoerkna","Abramis brama x Blicca bjoerkna","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae",NA,"Abramis brama x Blicca bjoerkna",4949329,NA
"2","Acanthopagrus schlegelii x Pagrus major","Acanthopagrus schlegelii x Pagrus major","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Sparidae",NA,"Acanthopagrus schlegelii x Pagrus major",5852308,NA
"3","Acanthurus lineatus x Acanthurus sohal","Acanthurus lineatus x Acanthurus sohal","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Acanthuridae","Acanthurus","Acanthurus lineatus x Acanthurus sohal",5859579,NA
"4","Acanthurus nigricans x Acanthurus achilles","Acanthurus nigricans x Acanthurus achilles","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Acanthuridae","Acanthurus","Acanthurus nigricans x Acanthurus achilles",5859576,NA
"5","Acanthurus nigricans x Acanthurus japonicus","Acanthurus nigricans x Acanthurus japonicus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Acanthuridae","Acanthurus","Acanthurus nigricans x Acanthurus japonicus",5859577,NA
"6","Acanthurus nigricans x Acanthurus leucosternon","Acanthurus nigricans x Acanthurus leucosternon","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Acanthuridae","Acanthurus","Acanthurus nigricans x Acanthurus leucosternon",4948800,NA
"7",NA,"Acapoeta tanganicae x Labeobarbus sp.","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae",NA,"Acapoeta tanganicae x Labeobarbus sp.",7066462,NA
"8","Acipenser baerii x Acipenser schrenckii","Acipenser baerii x Acipenser schrenckii","Eukaryota","Metazoa","Chordata","Actinopteri","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Acipenser baerii x Acipenser schrenckii",5541300,NA
"9","Acipenser baerii x Huso dauricus","Acipenser baerii x Huso dauricus","Eukaryota","Metazoa","Chordata","Actinopteri","Chondrostei","Acipenseriformes","Acipenseridae",NA,"Acipenser baerii x Huso dauricus",5521749,NA
"10","Acipenser dabryanus x Acipenser schrenckii","Acipenser dabryanus x Acipenser schrenckii","Eukaryota","Metazoa","Chordata","Actinopteri","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Acipenser dabryanus x Acipenser schrenckii",7060901,NA
"11","Acipenser gueldenstaedtii x Acipenser baerii","Acipenser gueldenstaedtii x Acipenser baerii","Eukaryota","Metazoa","Chordata","Actinopteri","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Acipenser gueldenstaedtii x Acipenser baerii",5541302,NA
"12","Acipenser gueldenstaedtii x Huso dauricus","Acipenser gueldenstaedtii x Huso dauricus","Eukaryota","Metazoa","Chordata","Actinopteri","Chondrostei","Acipenseriformes","Acipenseridae",NA,"Acipenser gueldenstaedtii x Huso dauricus",5521747,NA
"13","Acipenser ruthenus x Acipenser baerii","Acipenser ruthenus x Acipenser baerii","Eukaryota","Metazoa","Chordata","Actinopteri","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Acipenser ruthenus x Acipenser baerii",7060902,NA
"14","Acipenser ruthenus x Huso dauricus","Acipenser ruthenus x Huso dauricus","Eukaryota","Metazoa","Chordata","Actinopteri","Chondrostei","Acipenseriformes","Acipenseridae",NA,"Acipenser ruthenus x Huso dauricus",5521746,NA
"15","Acipenser schrenckii x Acipenser baerii","Acipenser schrenckii x Acipenser baerii","Eukaryota","Metazoa","Chordata","Actinopteri","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Acipenser schrenckii x Acipenser baerii",4949608,NA
"16","Acipenser schrenckii x Huso dauricus","Acipenser schrenckii x Huso dauricus","Eukaryota","Metazoa","Chordata","Actinopteri","Chondrostei","Acipenseriformes","Acipenseridae",NA,"Acipenser schrenckii x Huso dauricus",4949606,NA
"17","Acipenser sinensis x Acipenser schrenckii","Acipenser sinensis x Acipenser schrenckii","Eukaryota","Metazoa","Chordata","Actinopteri","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Acipenser sinensis x Acipenser schrenckii",5541301,NA
"18","Acrossocheilus barbodon","Acrossocheilus barbodon","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Acrossocheilus","Acrossocheilus barbodon",5223733,NA
"19","Acrossocheilus cinctus","Acrossocheilus cinctus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Acrossocheilus","Acrossocheilus cinctus",595820,NA
"20","Alburnoides smyrnae","Alburnoides smyrnae","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Alburnoides","Alburnoides smyrnae",7653290,NA
"21","Alburnus belvica x Rutilus prespensis","Alburnus belvica x Rutilus prespensis","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae",NA,"Alburnus belvica x Rutilus prespensis",5555057,NA
"22","Alosa alosa x Alosa fallax","Alosa alosa x Alosa fallax","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Clupeiformes","Clupeidae","Alosa","Alosa alosa x Alosa fallax",4949222,NA
"23","Amphilophus istlanus","Amphilophus istlanus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Cichlidae","Amphilophus","Amphilophus istlanus",580307,NA
"24","Amphilophus macracanthus","Amphilophus macracanthus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Cichlidae","Amphilophus","Amphilophus macracanthus",734718,NA
"25","Amphiprion bicinctus x Amphiprion omanensis","Amphiprion bicinctus x Amphiprion omanensis","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Pomacentridae","Amphiprion","Amphiprion bicinctus x Amphiprion omanensis",5852340,NA
"26","Amphiprion chrysopterus x Amphiprion sandaracinos","Amphiprion chrysopterus x Amphiprion sandaracinos","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Pomacentridae","Amphiprion","Amphiprion chrysopterus x Amphiprion sandaracinos",7064008,NA
"27","Amphiprion ocellaris x Amphiprion percula","Amphiprion ocellaris x Amphiprion percula","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Pomacentridae","Amphiprion","Amphiprion ocellaris x Amphiprion percula",4948825,NA
"28","Anablepsoides compressus","Anablepsoides compressus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata",NA,"Anablepsoides","Anablepsoides compressus",632449,NA
"29","Anguilla anguilla x Anguilla rostrata","Anguilla anguilla x Anguilla rostrata","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Anguilliformes","Anguillidae","Anguilla","Anguilla anguilla x Anguilla rostrata",5810168,NA
"30","Aphanius hormuzensis","Aphanius hormuzensis","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Aphaniidae","Aphanius","Aphanius hormuzensis",7063237,NA
"31",NA,"Aphanius kruppi","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Aphaniidae","Aphanius","Aphanius kruppi",7063238,NA
"32","Aphanius richardsoni","Aphanius richardsoni","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Aphaniidae","Aphanius","Aphanius richardsoni",129408,NA
"33",NA,"Aphyosemion melineoides","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Nothobranchiidae","Aphyosemion","Aphyosemion melineoides",582369,NA
"34",NA,"Astroblepus sp.","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Siluriformes","Astroblepidae","Astroblepus","Astroblepus sp.",6141678,NA
"35","Astyanax belizanus","Astyanax belizanus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Characiformes","Characidae","Astyanax","Astyanax belizanus",1014923,NA
"36",NA,"Astyanax gr.","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Characiformes","Characidae","Astyanax","Astyanax gr.",5925071,NA
"37","Astyanax hubbsi","Astyanax hubbsi","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Characiformes","Characidae","Astyanax","Astyanax hubbsi",501191,NA
"38","Astyanax intermedius","Astyanax intermedius","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Characiformes","Characidae","Astyanax","Astyanax intermedius",341087,NA
"39","Atherinosoma elongata","Atherinosoma elongata","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Atherinidae","Atherinosoma","Atherinosoma elongata",636291,NA
"40","Aurigequula longispina","Aurigequula longispina","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Leiognathidae","Aurigequula","Aurigequula longispina",885825,NA
"41","Azygopus flemingi","Azygopus flemingi","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Rhombosoleidae","Azygopus","Azygopus flemingi",3640265,NA
"42","Baldwinella eos","Baldwinella eos","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Serranidae","Baldwinella","Baldwinella eos",3633909,NA
"43","Balroglanis carolae","Balroglanis carolae","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Siluriformes","Auchenipteridae","Balroglanis","Balroglanis carolae",6141847,NA
"44","Balroglanis macracanthus","Balroglanis macracanthus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Siluriformes","Auchenipteridae","Balroglanis","Balroglanis macracanthus",3623491,NA
"45","Balroglanis schultzi","Balroglanis schultzi","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Siluriformes","Auchenipteridae","Centromochlus","Balroglanis schultzi",3623489,NA
"46","Barbus plebejus x Barbus caninus","Barbus plebejus x Barbus caninus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Barbus","Barbus plebejus x Barbus caninus",5838890,NA
"47","Bengana rendahli","Bengana rendahli","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Bangana","Bengana rendahli",885083,NA
"48","Blythia hmuifang","Blythia hmuifang","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Sciaenidae","Johnius","Blythia hmuifang",7650551,NA
"49","Blythia reticulata","Blythia reticulata","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Sciaenidae","Johnius","Blythia reticulata",4122235,NA
"50","Brachyalestes taeniurus","Brachyalestes taeniurus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Characiformes","Alestidae","Brachyalestes","Brachyalestes taeniurus",107526,NA
"51","Brephamia parvula","Brephamia parvula","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Apogonidae","Brephamia","Brephamia parvula",3634885,NA
"52","Capoeta antalyensis x Capoeta caelestis","Capoeta antalyensis x Capoeta caelestis","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Capoeta","Capoeta antalyensis x Capoeta caelestis",5555081,NA
"53","Capoeta damascina x Luciobarbus longiceps","Capoeta damascina x Luciobarbus longiceps","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae",NA,"Capoeta damascina x Luciobarbus longiceps",5555058,NA
"54","Capoeta erhani x Capoeta angorae","Capoeta erhani x Capoeta angorae","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Capoeta","Capoeta erhani x Capoeta angorae",5555079,NA
"55","Caranx ignobilis x Caranx melampygus","Caranx ignobilis x Caranx melampygus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Carangidae","Caranx","Caranx ignobilis x Caranx melampygus",4948967,NA
"56","Caranx melampygus x Caranx sexfasciatus","Caranx melampygus x Caranx sexfasciatus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Carangidae","Caranx","Caranx melampygus x Caranx sexfasciatus",4948966,NA
"57","Carapus kagoshimanus","Carapus kagoshimanus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Carapidae","Carapus","Carapus kagoshimanus",7063034,NA
"58",NA,"Carassius auratus x 2 Megalobrama amblycephala","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae",NA,"Carassius auratus x 2 Megalobrama amblycephala",4949325,NA
"59","Carassius auratus x Cyprinus carpio x Carassius cuvieri","Carassius auratus x Cyprinus carpio x Carassius cuvieri","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae",NA,"Carassius auratus x Cyprinus carpio x Carassius cuvieri",4949305,NA
"60","Carassius auratus x Cyprinus carpio","Carassius auratus x Cyprinus carpio","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae",NA,"Carassius auratus x Cyprinus carpio",4949339,NA
"61","Carassius auratus x Megalobrama amblycephala pentaploid hybrid","Carassius auratus x Megalobrama amblycephala pentaploid hybrid","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae",NA,"Carassius auratus x Megalobrama amblycephala pentaploid hybrid",4949318,NA
"62","Carassius auratus x Megalobrama amblycephala tetraploid hybrid","Carassius auratus x Megalobrama amblycephala tetraploid hybrid","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae",NA,"Carassius auratus x Megalobrama amblycephala tetraploid hybrid",4949317,NA
"63","Carassius auratus x Megalobrama amblycephala triploid hybrid","Carassius auratus x Megalobrama amblycephala triploid hybrid","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae",NA,"Carassius auratus x Megalobrama amblycephala triploid hybrid",4949316,NA
"64","Carassius auratus x Megalobrama amblycephala x Carassius cuvieri","Carassius auratus x Megalobrama amblycephala x Carassius cuvieri","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Carassius","Carassius auratus x Megalobrama amblycephala x Carassius cuvieri",7066449,NA
"65","Carassius auratus x Megalobrama amblycephala","Carassius auratus x Megalobrama amblycephala","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae",NA,"Carassius auratus x Megalobrama amblycephala",4949324,NA
"66","Catostomus ardens x Chasmistes muriei","Catostomus ardens x Chasmistes muriei","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Catostomidae",NA,"Catostomus ardens x Chasmistes muriei",7066146,NA
"67","Catostomus jordani","Catostomus jordani","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Catostomidae","Catostomus","Catostomus jordani",5555142,NA
"68","Catostomus lahontan","Catostomus lahontan","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Catostomidae","Catostomus","Catostomus lahontan",5555143,NA
"69","Catostomus virescens","Catostomus virescens","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Catostomidae","Catostomus","Catostomus virescens",5555144,NA
"70","Cephalopholis nigripinnis x Cephalopholis urodeta","Cephalopholis nigripinnis x Cephalopholis urodeta","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Serranidae","Cephalopholis","Cephalopholis nigripinnis x Cephalopholis urodeta",6140520,NA
"71","Chaetodon collare x Chaetodon lunula","Chaetodon collare x Chaetodon lunula","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Chaetodontidae","Chaetodon","Chaetodon collare x Chaetodon lunula",5856758,NA
"72","Chaetodon gardineri x Chaetodon leucopleura","Chaetodon gardineri x Chaetodon leucopleura","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Chaetodontidae","Chaetodon","Chaetodon gardineri x Chaetodon leucopleura",5856759,NA
"73","Chaetodon guttatissimus x Chaetodon punctatofasciatus","Chaetodon guttatissimus x Chaetodon punctatofasciatus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Chaetodontidae","Chaetodon","Chaetodon guttatissimus x Chaetodon punctatofasciatus",5341609,NA
"74","Chaetodon melapterus x Chaetodon trifasciatus","Chaetodon melapterus x Chaetodon trifasciatus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Chaetodontidae","Chaetodon","Chaetodon melapterus x Chaetodon trifasciatus",5856760,NA
"75","Chaetodon trifasciatus x Chaetodon lunulatus","Chaetodon trifasciatus x Chaetodon lunulatus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Chaetodontidae","Chaetodon","Chaetodon trifasciatus x Chaetodon lunulatus",4949006,NA
"76","Channa argus x Channa maculata","Channa argus x Channa maculata","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Channidae","Channa","Channa argus x Channa maculata",4949093,NA
"77","Channa aurolineata","Channa aurolineata","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Channidae","Channa","Channa aurolineata",7061218,NA
"78",NA,"Channa diplogramme","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Channidae","Channa","Channa diplogramme",1060437,NA
"79","Channa limbata","Channa limbata","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Channidae","Channa","Channa limbata",6140236,NA
"80","Cheimarrichthys fosteri","Cheimarrichthys fosteri","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Cheimarrichthyidae","Cheimarrichthys","Cheimarrichthys fosteri",685721,NA
"81","Chelonodontops bengalensis","Chelonodontops bengalensis","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Tetraodontidae","Chelonodontops","Chelonodontops bengalensis",7062436,NA
"82","Chelonodontops pleurospilus","Chelonodontops pleurospilus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Tetraodontidae","Chelonodontops","Chelonodontops pleurospilus",479641,NA
"83","Chilomycterus schoepfii x Chilomycterus antillarum","Chilomycterus schoepfii x Chilomycterus antillarum","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Diodontidae","Chilomycterus","Chilomycterus schoepfii x Chilomycterus antillarum",5859638,NA
"84","Chondrostoma ceyhanensis","Chondrostoma ceyhanensis","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Chondrostoma","Chondrostoma ceyhanensis",7653327,NA
"85","Chondrostoma ohridanus","Chondrostoma ohridanus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Chondrostoma","Chondrostoma ohridanus",5555119,NA
"86",NA,"Chriolepis semisquamatum","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Gobiidae","Chriolepis","Chriolepis semisquamatum",3637562,NA
"87","Chromis fieldi x Chromis margaritifer","Chromis fieldi x Chromis margaritifer","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Pomacentridae","Chromis","Chromis fieldi x Chromis margaritifer",7064012,NA
"88","Chrosomus eos x Chrosomus neogaeus","Chrosomus eos x Chrosomus neogaeus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Chrosomus","Chrosomus eos x Chrosomus neogaeus",4949340,NA
"89","Chrysichthys congicus","Chrysichthys congicus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Siluriformes","Claroteidae","Chrysichthys","Chrysichthys congicus",3624334,NA
"90",NA,"Cichlasoma portalagrense","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Cichlidae","Cichlasoma","Cichlasoma portalagrense",221908,NA
"91","Cirrhinus mrigala x Labeo rohita","Cirrhinus mrigala x Labeo rohita","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae",NA,"Cirrhinus mrigala x Labeo rohita",5839037,NA
"92","Cirrhitichthys calliurus x Cirrhitichthys oxycephalus","Cirrhitichthys calliurus x Cirrhitichthys oxycephalus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Cirrhitidae","Cirrhitichthys","Cirrhitichthys calliurus x Cirrhitichthys oxycephalus",5859545,NA
"93","Clarias gariepinus x Clarias batrachus","Clarias gariepinus x Clarias batrachus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Siluriformes","Clariidae","Clarias","Clarias gariepinus x Clarias batrachus",5925291,NA
"94","Cobitis elongatoides x Cobitis taenia","Cobitis elongatoides x Cobitis taenia","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cobitidae","Cobitis","Cobitis elongatoides x Cobitis taenia",4949364,NA
"95","Cobitis elongatoides x Cobitis tanaitica x Cobitis strumicae","Cobitis elongatoides x Cobitis tanaitica x Cobitis strumicae","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cobitidae","Cobitis","Cobitis elongatoides x Cobitis tanaitica x Cobitis strumicae",4949363,NA
"96","Cobitis elongatoides x Cobitis tanaitica","Cobitis elongatoides x Cobitis tanaitica","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cobitidae","Cobitis","Cobitis elongatoides x Cobitis tanaitica",4949365,NA
"97","Cobitis longibarba","Cobitis longibarba","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cobitidae","Cobitis","Cobitis longibarba",7066163,NA
"98","Cobitis lutheri x Cobitis tetralineata","Cobitis lutheri x Cobitis tetralineata","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cobitidae","Cobitis","Cobitis lutheri x Cobitis tetralineata",5845821,NA
"99","Cobitis matsubarai","Cobitis matsubarai","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cobitidae","Cobitis","Cobitis matsubarai",117087,NA
"100","Cobitis numidiensis","Cobitis numidiensis","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cobitidae","Cobitis","Cobitis numidiensis",7066165,NA
"101",NA,"Coilia ramcarti","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Clupeiformes","Engraulidae","Coilia","Coilia ramcarti",3628572,NA
"102","Cololabis adocetus","Cololabis adocetus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Belonidae","Cololabis","Cololabis adocetus",496662,NA
"103",NA,"Comephorus baicalensis","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Cottidae","Comephorus","Comephorus baicalensis",1019835,NA
"104",NA,"Congolapia louna x Coptodon sp.","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Cichlidae",NA,"Congolapia louna x Coptodon sp.",4948874,NA
"105","Congriscus megastomus","Congriscus megastomus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Anguilliformes","Congridae","Congriscus","Congriscus megastomus",182991,NA
"106","Coptodon congicus","Coptodon congicus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Cichlidae","Coptodon","Coptodon congicus",7063501,NA
"107","Craterocephalus stercusmuscarum x Craterocephalus stramineus","Craterocephalus stercusmuscarum x Craterocephalus stramineus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Atherinidae","Craterocephalus","Craterocephalus stercusmuscarum x Craterocephalus stramineus",4948781,NA
"108","Cromileptes altivelis x Epinephelus lanceolatus","Cromileptes altivelis x Epinephelus lanceolatus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Serranidae",NA,"Cromileptes altivelis x Epinephelus lanceolatus",7062251,NA
"109","Crossocheilus siamensis","Crossocheilus siamensis","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Crossocheilus","Crossocheilus siamensis",161332,NA
"110","Ctenopharyngodon idella x Megalobrama amblycephala","Ctenopharyngodon idella x Megalobrama amblycephala","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae",NA,"Ctenopharyngodon idella x Megalobrama amblycephala",4949300,NA
"111","Ctenopharyngodon idella x Squaliobarbus curriculus","Ctenopharyngodon idella x Squaliobarbus curriculus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae",NA,"Ctenopharyngodon idella x Squaliobarbus curriculus",4949307,NA
"112","Ctenopharyngodon idellus x Elopichthys bambusa","Ctenopharyngodon idellus x Elopichthys bambusa","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae",NA,"Ctenopharyngodon idellus x Elopichthys bambusa",5839039,NA
"113","Culter alburnus x Ancherythroculter nigrocauda","Culter alburnus x Ancherythroculter nigrocauda","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae",NA,"Culter alburnus x Ancherythroculter nigrocauda",5839042,NA
"114",NA,"Anematichthys apogon","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Anematichthys","Anematichthys apogon",328162,NA
"115",NA,"Anematichthys armatus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Anematichthys","Anematichthys armatus",789513,NA
"116","Cynoglossus elongatus","Cynoglossus elongatus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Cynoglossidae","Cynoglossus","Cynoglossus elongatus",5223676,NA
"117","Cyprinella caerulea x Cyprinella trichroistia","Cyprinella caerulea x Cyprinella trichroistia","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Cyprinella","Cyprinella caerulea x Cyprinella trichroistia",4949255,NA
"118","Cyprinus carpio haematopterus x Megalobrama amblycephala","Cyprinus carpio haematopterus x Megalobrama amblycephala","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae",NA,"Cyprinus carpio haematopterus x Megalobrama amblycephala",7066464,NA
"119","Cyprinus carpio specularis x Carassius cuvieri","Cyprinus carpio specularis x Carassius cuvieri","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae",NA,"Cyprinus carpio specularis x Carassius cuvieri",5839036,NA
"120","Cyprinus carpio wuyuanensis x Carassius auratus","Cyprinus carpio wuyuanensis x Carassius auratus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae",NA,"Cyprinus carpio wuyuanensis x Carassius auratus",4949304,NA
"121","Cyprinus carpio x Megalobrama amblycephala","Cyprinus carpio x Megalobrama amblycephala","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae",NA,NA,NA,NA
"122","Cyprinus carpio x Procypris rabaudi","Cyprinus carpio x Procypris rabaudi","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae",NA,"Cyprinus carpio x Procypris rabaudi",4949330,NA
