"","query","usagekey","scientificname","rank","status","matchtype","canonicalname","confidence","kingdom","phylum","order","family","genus","species","kingdomkey","phylumkey","classkey","orderkey","familykey","genuskey","specieskey","synonym","class","acceptedusagekey","note"
"1083","Arctocephalus townsendi",2433478,"Arctocephalus townsendi Merriam, 1897","species","SYNONYM","EXACT","Arctocephalus townsendi",98,"Animalia","Chordata","Carnivora","Otariidae","Arctocephalus","Arctocephalus philippii",1,44,359,732,5309,2433469,2433470,TRUE,"Mammalia",6486561,NA
"1092","Phoca fasciata",2434811,"Phoca fasciata Zimmermann, 1783","species","SYNONYM","EXACT","Phoca fasciata",98,"Animalia","Chordata","Carnivora","Phocidae","Histriophoca","Histriophoca fasciata",1,44,359,732,5310,2434809,2434810,TRUE,"Mammalia",2434810,NA
"1096","Phoca groenlandica",2434802,"Phoca groenlandica Erxleben, 1777","species","SYNONYM","EXACT","Phoca groenlandica",98,"Animalia","Chordata","Carnivora","Phocidae","Pagophilus","Pagophilus groenlandicus",1,44,359,732,5310,2434800,2434801,TRUE,"Mammalia",2434801,NA
"1138","Clavelina flava",2330156,"Clavelina flava Monniot F., 1988","species","SYNONYM","EXACT","Clavelina flava",98,"Animalia","Chordata","Aplousobranchia","Clavelinidae","Pycnoclavella","Pycnoclavella flava",1,44,356,9589977,5217,2331184,6486682,TRUE,"Ascidiacea",6486682,NA
"1142","Clavelina producta",4355858,"Clavelina producta Milne Edwards, 1841","species","SYNONYM","EXACT","Clavelina producta",98,"Animalia","Chordata","Aplousobranchia","Clavelinidae","Pycnoclavella","Pycnoclavella producta",1,44,356,9589977,5217,2331184,6486683,TRUE,"Ascidiacea",6486683,NA
"1148","Polycitorella coronaria",2330229,"Polycitorella coronaria Monniot F., 1988","species","SYNONYM","EXACT","Polycitorella coronaria",98,"Animalia","Chordata","Aplousobranchia","Polycitoridae","Eucoelium","Eucoelium coronarium",1,44,356,9589977,7349,2330221,5723711,TRUE,"Ascidiacea",5723711,NA
"1224","Helicolenus hilgendorfi",2335340,"Helicolenus hilgendorfi (Döderlein, 1884)","species","SYNONYM","EXACT","Helicolenus hilgendorfi",98,"Animalia","Chordata","Scorpaeniformes","Sebastidae","Helicolenus","Helicolenus hilgendorfii",1,44,204,590,8633,2334461,2335338,TRUE,"Actinopterygii",2335338,NA
"1225","Helicolenus hilgendorfi",2335338,"Helicolenus hilgendorfii (Döderlein, 1884)","species","ACCEPTED","FUZZY","Helicolenus hilgendorfii",94,"Animalia","Chordata","Scorpaeniformes","Sebastidae","Helicolenus","Helicolenus hilgendorfii",1,44,204,590,8633,2334461,2335338,FALSE,"Actinopterygii",NA,"Similarity: name=100; authorship=0; classification=-2; rank=5; status=1"
"1274","Monocentris japonicus",2356700,"Monocentris japonicus (Houttuyn, 1782)","species","SYNONYM","EXACT","Monocentris japonicus",98,"Animalia","Chordata","Beryciformes","Monocentridae","Monocentris","Monocentris japonica",1,44,204,499,2971,2356695,2356699,TRUE,"Actinopterygii",2356699,NA
"1275","Monocentris japonicus",2356699,"Monocentris japonica (Houttuyn, 1782)","species","ACCEPTED","FUZZY","Monocentris japonica",94,"Animalia","Chordata","Beryciformes","Monocentridae","Monocentris","Monocentris japonica",1,44,204,499,2971,2356695,2356699,FALSE,"Actinopterygii",NA,"Similarity: name=100; authorship=0; classification=-2; rank=5; status=1"
