"","query","usagekey","scientificname","rank","status","matchtype","canonicalname","confidence","kingdom","phylum","order","family","genus","species","kingdomkey","phylumkey","classkey","orderkey","familykey","genuskey","specieskey","synonym","class","note","acceptedusagekey"
"3436","Philometroides sanguineus",4556939,"Philometroides sanguinea (Rudolphi, 1819)","species","SYNONYM","FUZZY","Philometroides sanguinea",95,"Animalia","Nematoda","Camallanida","Philometridae","Philometra","Philometra sanguinea",1,5967481,250,441,2563,2283430,5722176,TRUE,"Secernentea",NA,5722176
"3447","Ectenurus virgulus",2504881,"Ectenurus virgula Looss, 1910","species","ACCEPTED","FUZZY","Ectenurus virgula",96,"Animalia","Platyhelminthes","Plagiorchiida","Hemiuridae","Ectenurus","Ectenurus virgula",1,108,345,434,6454,2504880,2504881,FALSE,"Trematoda",NA,NA
"3456","Binema ornata",4557739,"Binema ornatum Travassos, 1925","species","ACCEPTED","FUZZY","Binema ornatum",96,"Animalia","Nematoda","Rhabditida","Travassosinematidae","Binema","Binema ornatum",1,5967481,250,440,4557736,4557737,4557739,FALSE,"Secernentea",NA,NA
"3469","Laevocnus katrinae",7372052,"Laevocnus katrinae O'Loughlin, 2014","species","SYNONYM","EXACT","Laevocnus katrinae",98,"Animalia","Echinodermata","Dendrochirotida","Cucumariidae","Pentactella","Pentactella katrinae",1,50,222,1482,6184,4877316,8139533,TRUE,"Holothuroidea",NA,8139533
"3470","Laevocnus laevigatus",7455300,"Laevocnus O'Loughlin, 2014","genus","SYNONYM","HIGHERRANK","Laevocnus",94,"Animalia","Echinodermata","Dendrochirotida","Cucumariidae","Pentactella",NA,1,50,222,1482,6184,4877316,NA,TRUE,"Holothuroidea",NA,4877316
"3471","Laevocnus leachmani",8114783,"Laevocnus leachmani Davey & O'Loughlin, 2014","species","SYNONYM","EXACT","Laevocnus leachmani",98,"Animalia","Echinodermata","Dendrochirotida","Cucumariidae","Pentactella","Pentactella leachmani",1,50,222,1482,6184,4877316,7532517,TRUE,"Holothuroidea",NA,7532517
"3473","Laevocnus perrieri",7455300,"Laevocnus O'Loughlin, 2014","genus","SYNONYM","HIGHERRANK","Laevocnus",94,"Animalia","Echinodermata","Dendrochirotida","Cucumariidae","Pentactella",NA,1,50,222,1482,6184,4877316,NA,TRUE,"Holothuroidea",NA,4877316
"3475","Staurocucumis nocturna",4342572,"Staurocucumis nocturna (Sluiter, 1901)","species","SYNONYM","EXACT","Staurocucumis nocturna",98,"Animalia","Echinodermata","Dendrochirotida","Cucumariidae","Psolicucumis","Psolicucumis nocturna",1,50,222,1482,6184,4872379,7450187,TRUE,"Holothuroidea",NA,7450187
"3493","Onchocerca armillata",8236519,"Onchocerca Diesing, 1841","genus","ACCEPTED","HIGHERRANK","Onchocerca",94,"Animalia","Nematoda","Spirurida","Onchocercidae","Onchocerca",NA,1,5967481,250,973,2715,8236519,NA,FALSE,"Secernentea",NA,NA
"3585","Brachylaima fuscata",4345682,"Brachylaima fuscatus (Rudolphi, 1819)","species","ACCEPTED","FUZZY","Brachylaima fuscatus",96,"Animalia","Platyhelminthes","Diplostomida","Brachylaimidae","Brachylaima","Brachylaima fuscatus",1,108,345,7393567,3164,2503343,4345682,FALSE,"Trematoda",NA,NA
"3598","Koerneria sudhausi",8898717,"Koerneria sudhausi Fürst von Lieven, 2008","species","SYNONYM","EXACT","Koerneria sudhausi",98,"Animalia","Nematoda","Rhabditida","Diplogastridae","Allodiplogaster","Allodiplogaster sudhausi",1,5967481,250,440,3249034,10615950,10098657,TRUE,"Secernentea",NA,10098657
"3607","Meloidogyne haplanaria",8005155,"Meloidogyne","genus","ACCEPTED","HIGHERRANK","Meloidogyne",94,"Animalia","Nematoda","Tylenchida","Heteroderidae","Meloidogyne",NA,1,5967481,250,972,6466,8005155,NA,FALSE,"Secernentea",NA,NA
"3612","Lobocriconema warrenense",4407268,"Lobocriconema De Grisse & Loof, 1965","genus","ACCEPTED","HIGHERRANK","Lobocriconema",94,"Animalia","Nematoda","Tylenchida","Criconematidae","Lobocriconema",NA,1,5967481,250,972,2552,4407268,NA,FALSE,"Secernentea",NA,NA
