found_taxa,rank,phylum,class,order,family,genus,worms_aphiaid,bold_id,gbif_key,ott_id,taxa_query,status,unacceptreason,is_synonym,flags,valid_authority,worms_sciname,tol_sciname,bold_taxon,gbif_sciname,freshwater_only,terrestrial_only
Hirudo verbana,species,Annelida,Clitellata,Arhynchobdellida,Hirudinidae,Hirudo,1324814,25255,8845441,1037686,Hirudo verbana,accepted,NA,FALSE,NA,"Carena, 1820",Hirudo verbana,Hirudo verbana,Hirudo verbana,"Hirudo verbana Carena, 1820",1,1
Limnatis nilotica,species,Annelida,Clitellata,Arhynchobdellida,Praobdellidae,Limnatis,1324753,29711,10490144,89388,Limnatis nilotica,accepted,NA,FALSE,NA,"(Savigny, 1822)",Limnatis nilotica,Limnatis nilotica,Limnatis nilotica,"Limnatis nilotica (Savigny, 1822)",1,0
Metaphire,genus,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Metaphire,1062143,26241,3267593,518191,Metaphire,accepted,NA,FALSE,NA,"Sims & Easton, 1972",Metaphire,Metaphire,Metaphire,"Metaphire Sims & Easton, 1972",NA,1
Metaphire nanaoensis,species,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Metaphire,1068410,26246,5739107,839179,Metaphire nanaoensis,accepted,NA,FALSE,NA,"Chang & Chen, 2005",Metaphire nanaoensis,Metaphire nanaoensis,Metaphire nanaoensis,"Metaphire nanaoensis Chang & Chen, 2005",0,1
Metaphire taiwanensis,species,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Metaphire,1072075,26245,5739103,839180,Metaphire taiwanensis,unassessed,NA,FALSE,NA,"C-F. Tsai, S-C. Tsai & Shen, 2004",Metaphire taiwanensis,Metaphire taiwanensis,Metaphire taiwanensis,"Metaphire taiwanensis C-F.Tsai, S-C.Tsai & Shen, 2004",NA,1
Metaphire trutina,species,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Metaphire,1068406,26247,5739109,839165,Metaphire trutina,unassessed,NA,FALSE,NA,"C-F. Tsai, J-H. Chen, S-C. Tsai & Shen, 2003",Metaphire trutina,Metaphire trutina,Metaphire trutina,"Metaphire trutina C-F.Tsai, J-H.Chen, S-C.Tsai & Shen, 2003",NA,1
Metaphire feijani,species,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Metaphire,1068248,26244,5739110,418231,Metaphire feijani,unassessed,NA,FALSE,NA,"C.-H. Chang & J.-H. Chen, 2004",Metaphire feijani,Metaphire feijani,Metaphire feijani,"Metaphire feijani C.-H.Chang & J.-H.Chen, 2004",0,1
Batracobdelloides tricarinata,species,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,Batracobdelloides,1391550,79737,10711007,205090,Batracobdelloides tricarinata,accepted,NA,FALSE,NA,"(Blanchard, 1897)",Batracobdelloides tricarinata,Batracobdelloides tricarinata,Batracobdelloides tricarinata,"Batracobdelloides tricarinata (Blanchard, 1897)",1,NA
Eisenia fetida,species,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Eisenia,1041027,26354,5815560,316451,Eisenia fetida,accepted,NA,FALSE,NA,"(Savigny in Cuvier, 1826)",Eisenia fetida,Eisenia fetida,Eisenia fetida,"Eisenia fetida (Savigny, 1826)",1,1
Gloiobdella elongata,species,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,Helobdella,160014,26088,2307951,51294,Helobdella elongata,unaccepted,superseded subsequent combination,FALSE,NA,"(Castle, 1900)",Gloiobdella elongata,Helobdella elongata,Helobdella elongata,"Helobdella elongata (Castle, 1900)",1,1
