query,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,family,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type,freshwater_only,terrestrial_only
Siphonosoma funafuti,266509,Siphonosoma funafuti,"(Shipley, 1898)",accepted,NA,Species,266509,Siphonosoma funafuti,"(Shipley, 1898)",136030,Animalia,Annelida,NA,Sipuncula,Siphonosomatidae,Siphonosoma,1,0,0,0,NA,exact,0,0
Diplocirrus nicolaji,862655,Diplocirrus nicolaji,"(Buzhinskaja, 1994)",accepted,NA,Species,862655,Diplocirrus nicolaji,"(Buzhinskaja, 1994)",129290,Animalia,Annelida,Polychaeta,Terebellida,Flabelligeridae,Diplocirrus,1,0,0,0,0,exact,0,0
Pheretima vergrandis,1067731,Pheretima vergrandis,"Aspe & James, 2014",unassessed,NA,Species,1067731,Pheretima vergrandis,"Aspe & James, 2014",1062272,Animalia,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Pheretima,0,0,0,1,NA,exact,0,1
Pheretima malindangensis,1067722,Pheretima malindangensis,"Aspe & James, 2014",unassessed,NA,Species,1067722,Pheretima malindangensis,"Aspe & James, 2014",1062272,Animalia,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Pheretima,0,0,0,1,NA,exact,0,1
Pheretima boniaoi,1067721,Pheretima boniaoi,"Aspe & James, 2014",unassessed,NA,Species,1067721,Pheretima boniaoi,"Aspe & James, 2014",1062272,Animalia,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Pheretima,0,0,0,1,NA,exact,0,1
Saccocirrus uchidai,736476,Saccocirrus uchidai,"Sasaki, 1981",unaccepted,superseded original combination,Species,1345987,Pharyngocirrus uchidai,"(Sasaki, 1981)",129550,Animalia,Annelida,Polychaeta,NA,Saccocirridae,Saccocirrus,1,NA,NA,NA,NA,exact,0,0
Asteriomyzostomum hercules,1299844,Asteriomyzostomum hercules,"Jimi, Moritaki & Kajihara, 2017",accepted,NA,Species,1299844,Asteriomyzostomum hercules,"Jimi, Moritaki & Kajihara, 2017",866956,Animalia,Annelida,NA,Myzostomida,Asteriomyzostomidae,Asteriomyzostomum,1,0,0,0,0,exact,0,0
Asteriomyzostomum monroeae,1299846,Asteriomyzostomum monroeae,"Jimi, Moritaki & Kajihara, 2017",accepted,NA,Species,1299846,Asteriomyzostomum monroeae,"Jimi, Moritaki & Kajihara, 2017",866956,Animalia,Annelida,NA,Myzostomida,Asteriomyzostomidae,Asteriomyzostomum,1,0,1,0,0,exact,0,0
Asteriomyzostomum jinshou,1299845,Asteriomyzostomum jinshou,"Jimi, Moritaki & Kajihara, 2017",accepted,NA,Species,1299845,Asteriomyzostomum jinshou,"Jimi, Moritaki & Kajihara, 2017",866956,Animalia,Annelida,NA,Myzostomida,Asteriomyzostomidae,Asteriomyzostomum,1,0,0,0,0,exact,0,0
Torix tukubana,1545579,Torix tukubana,"(Oka, 1935)",accepted,NA,Species,1545579,Torix tukubana,"(Oka, 1935)",1545478,Animalia,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,Torix,0,0,0,1,0,exact,0,1
