found_taxa,rank,phylum,class,order,family,genus,worms_aphiaid,bold_id,gbif_key,ott_id,taxa_query,status,unacceptreason,is_synonym,flags,valid_authority,worms_sciname,tol_sciname,bold_taxon,gbif_sciname,freshwater_only,terrestrial_only
Albinaria puella,species,Mollusca,Gastropoda,Stylommatophora,Clausiliidae,Albinaria,1049918,NA,NA,361946,Albinaria puella,NA,NA,FALSE,NA,NA,NA,Albinaria puella,NA,NA,0,1
Cristataria genezerethana,species,Mollusca,Gastropoda,Stylommatophora,Clausiliidae,Cristataria,1042319,NA,NA,937470,Cristataria genezerethana,NA,NA,FALSE,NA,NA,NA,Cristataria genezerethana,NA,NA,0,1
Isabellaria leucoraphe,species,Mollusca,Gastropoda,Stylommatophora,Clausiliidae,Isabellaria,1003284,NA,NA,836643,Isabellaria leucoraphe,NA,NA,FALSE,sibling_higher,NA,NA,Isabellaria leucoraphe,NA,NA,0,1
Isabellaria praestans,species,Mollusca,Gastropoda,Stylommatophora,Clausiliidae,Isabellaria,1003284,NA,NA,836636,Isabellaria praestans,NA,NA,FALSE,sibling_higher,NA,NA,Isabellaria praestans,NA,NA,0,1
Isabellaria lophauchena,species,Mollusca,Gastropoda,Stylommatophora,Clausiliidae,Isabellaria,1003284,NA,NA,836644,Isabellaria lophauchena,NA,NA,FALSE,sibling_higher,NA,NA,Isabellaria lophauchena,NA,NA,0,1
Nesovitrea electrina,species,Mollusca,Gastropoda,Stylommatophora,Gastrodontidae,Nesovitrea,934883,NA,NA,2879425,Nesovitrea electrina,NA,NA,FALSE,NA,NA,NA,Nesovitrea electrina,NA,NA,0,1
Aplexa elongata,species,Mollusca,Gastropoda,NA,Physidae,Aplexa,869950,NA,NA,645944,Aplexa elongata,NA,NA,FALSE,sibling_higher,NA,NA,Aplexa elongata,NA,NA,1,0
Zonitoides nitida,species,Mollusca,Gastropoda,Stylommatophora,Gastrodontidae,Zonitoides,819980,NA,NA,124770,Zonitoides nitidus,NA,NA,TRUE,NA,NA,NA,Zonitoides nitida,NA,NA,0,1
Austropeplea ollula,species,Mollusca,Gastropoda,NA,Lymnaeidae,Austropeplea,724555,NA,NA,49820,Austropeplea ollula,NA,NA,FALSE,NA,NA,NA,Austropeplea ollula,NA,NA,1,0
Hippeutis cantori,species,Mollusca,Gastropoda,NA,Planorbidae,Hippeutis,716352,NA,NA,454543,Hippeutis cantori,NA,NA,FALSE,NA,NA,NA,Hippeutis cantori,NA,NA,1,0
Radix swinhoei,species,Mollusca,Gastropoda,NA,Lymnaeidae,Radix,248262,NA,NA,329236,Radix swinhoei,NA,NA,FALSE,sibling_higher,NA,NA,Radix swinhoei,NA,NA,1,0
Trochulus alpicolus,species,Mollusca,Gastropoda,Stylommatophora,Hygromiidae,Trochulus,1003445,NA,NA,362290,Trochulus alpicolus,NA,NA,FALSE,NA,NA,NA,Trochulus alpicolus,NA,NA,0,1
Assiminea taiwanensis,species,Mollusca,Gastropoda,Littorinimorpha,Assimineidae,Assiminea,404991,NA,NA,447987,Assiminea taiwanensis,NA,NA,FALSE,NA,NA,NA,Assiminea taiwanensis,NA,NA,1,0
Pseudamnicola negropontina,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pseudamnicola,731739,NA,NA,414445,Pseudamnicola negropontina,NA,NA,FALSE,unplaced_inherited,NA,NA,Pseudamnicola negropontina,NA,NA,1,0
