query,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,family,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type,freshwater_only,terrestrial_only
Eurypodius latreillii,366245,Eurypodius latreillii,"Guérin, 1828",accepted,NA,Species,366245,Eurypodius latreillii,"Guérin, 1828",366244,Animalia,Arthropoda,Malacostraca,Decapoda,Inachidae,Eurypodius,1,0,0,0,0,exact,0,0
Nauticaris magellanica,515319,Nauticaris magellanica,"(A. Milne-Edwards, 1891)",accepted,NA,Species,515319,Nauticaris magellanica,"(A. Milne-Edwards, 1891)",514054,Animalia,Arthropoda,Malacostraca,Decapoda,Hippolytidae,Nauticaris,1,0,0,0,0,exact,0,0
Pseudocorystes sicarius,440358,Pseudocorystes sicarius,"(Poeppig, 1836)",accepted,NA,Species,440358,Pseudocorystes sicarius,"(Poeppig, 1836)",439187,Animalia,Arthropoda,Malacostraca,Decapoda,Atelecyclidae,Pseudocorystes,1,0,0,0,0,exact,0,0
Porcellio scaber,262440,Porcellio scaber,"Latreille, 1804",accepted,NA,Species,262440,Porcellio scaber,"Latreille, 1804",249205,Animalia,Arthropoda,Malacostraca,Isopoda,Porcellionidae,Porcellio,0,0,0,1,0,exact,0,1
Geothelphusa dehaani,443051,Geothelphusa dehaani,"(White, 1847)",accepted,NA,Species,443051,Geothelphusa dehaani,"(White, 1847)",391198,Animalia,Arthropoda,Malacostraca,Decapoda,Potamidae,Geothelphusa,0,0,1,0,0,exact,1,0
Sacculina yatsui,463870,Sacculina yatsui,"Boschma, 1936",unaccepted,NA,Species,1391661,Parasacculina yatsui,"(Boschma, 1936)",134782,Animalia,Arthropoda,Thecostraca,NA,Sacculinidae,Sacculina,1,0,0,0,0,exact,0,0
Chionoecetes opilio,107315,Chionoecetes opilio,"(O. Fabricius, 1788)",accepted,NA,Species,107315,Chionoecetes opilio,"(O. Fabricius, 1788)",106898,Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Chionoecetes,1,0,0,0,0,exact,0,0
Chionoecetes bairdi,368558,Chionoecetes bairdi,"Rathbun, 1924",accepted,NA,Species,368558,Chionoecetes bairdi,"Rathbun, 1924",106898,Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Chionoecetes,1,0,0,0,0,exact,0,0
Chionoecetes japonicus,442163,Chionoecetes japonicus,"Rathbun, 1932",accepted,NA,Species,442163,Chionoecetes japonicus,"Rathbun, 1932",106898,Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Chionoecetes,1,0,0,0,0,exact,0,0
Telmessus cheiragonus,254360,Telmessus cheiragonus,"(Tilesius, 1815)",accepted,NA,Species,254360,Telmessus cheiragonus,"(Tilesius, 1815)",254359,Animalia,Arthropoda,Malacostraca,Decapoda,Cheiragonidae,Telmessus,1,0,0,0,0,exact,0,0
Macrobrachium fukienense,587230,Macrobrachium fukienense,"Liang & Yan, 1980",accepted,NA,Species,587230,Macrobrachium fukienense,"Liang & Yan, 1980",156892,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,0,0,1,0,0,exact,1,0
Macrobrachium asperulum,587100,Macrobrachium asperulum,"(von Martens, 1868)",accepted,NA,Species,587100,Macrobrachium asperulum,"(von Martens, 1868)",156892,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,0,0,1,0,0,exact,1,0
Macrobrachium australe,220138,Macrobrachium australe,"(Guérin-Méneville, 1838)",accepted,NA,Species,220138,Macrobrachium australe,"(Guérin-Méneville, 1838)",156892,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,0,0,1,0,0,exact,1,0
Macrobrachium lanatum,587318,Macrobrachium lanatum,"Cai & P.K.L. Ng, 2002",accepted,NA,Species,587318,Macrobrachium lanatum,"Cai & P.K.L. Ng, 2002",156892,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,0,0,1,0,0,exact,1,0
Macrobrachium edentatum,587202,Macrobrachium edentatum,"Liang & Yan, 1986",accepted,NA,Species,587202,Macrobrachium edentatum,"Liang & Yan, 1986",156892,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,0,0,1,0,0,exact,1,0
Macrobrachium equidens,220141,Macrobrachium equidens,"(Dana, 1852)",accepted,NA,Species,220141,Macrobrachium equidens,"(Dana, 1852)",156892,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,0,1,1,0,0,exact,0,0
Macrobrachium esculentum,587216,Macrobrachium esculentum,"(Thallwitz, 1891)",accepted,NA,Species,587216,Macrobrachium esculentum,"(Thallwitz, 1891)",156892,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,0,0,1,0,0,exact,1,0
Macrobrachium formosense,587226,Macrobrachium formosense,"Spence Bate, 1868",accepted,NA,Species,587226,Macrobrachium formosense,"Spence Bate, 1868",156892,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,0,0,1,0,0,exact,1,0
Macrobrachium gracilirostre,587235,Macrobrachium gracilirostre,"(Miers, 1875)",accepted,NA,Species,587235,Macrobrachium gracilirostre,"(Miers, 1875)",156892,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,0,0,1,0,0,exact,1,0
Macrobrachium hainanense,587246,Macrobrachium hainanense,"(Parisi, 1919)",accepted,NA,Species,587246,Macrobrachium hainanense,"(Parisi, 1919)",156892,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,0,0,1,0,0,exact,1,0
Macrobrachium idae,220139,Macrobrachium idae,"(Heller, 1862)",accepted,NA,Species,220139,Macrobrachium idae,"(Heller, 1862)",156892,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,0,0,1,0,0,exact,1,0
Macrobrachium inflatum,587286,Macrobrachium inflatum,"Liang & Yan, 1985",accepted,NA,Species,587286,Macrobrachium inflatum,"Liang & Yan, 1985",156892,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,0,0,1,0,0,exact,1,0
Macrobrachium japonicum,587291,Macrobrachium japonicum,"(De Haan, 1849)",accepted,NA,Species,587291,Macrobrachium japonicum,"(De Haan, 1849)",156892,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,0,0,1,0,0,exact,1,0
Macrobrachium jaroense,587294,Macrobrachium jaroense,"(Cowles, 1914)",accepted,NA,Species,587294,Macrobrachium jaroense,"(Cowles, 1914)",156892,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,0,0,1,0,0,exact,1,0
Macrobrachium latidactylus,587340,Macrobrachium latidactylus,"(Thallwitz, 1891)",accepted,NA,Species,587340,Macrobrachium latidactylus,"(Thallwitz, 1891)",156892,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,0,0,1,0,0,exact,1,0
Macrobrachium latimanus,587344,Macrobrachium latimanus,"(von Martens, 1868)",accepted,NA,Species,587344,Macrobrachium latimanus,"(von Martens, 1868)",156892,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,0,0,1,0,0,exact,1,0
Macrobrachium lepidactyloides,587348,Macrobrachium lepidactyloides,"(De Man, 1892)",accepted,NA,Species,587348,Macrobrachium lepidactyloides,"(De Man, 1892)",156892,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,0,0,1,0,0,exact,1,0
Macrobrachium maculatum,587367,Macrobrachium maculatum,"Liang & Yan, 1980",accepted,NA,Species,587367,Macrobrachium maculatum,"Liang & Yan, 1980",156892,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,0,0,1,0,0,exact,1,0
Macrobrachium malayanum,587369,Macrobrachium malayanum,"(J. Roux, 1935)",accepted,NA,Species,587369,Macrobrachium malayanum,"(J. Roux, 1935)",156892,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,0,0,1,0,0,exact,1,0
Macrobrachium mammillodactylus,587376,Macrobrachium mammillodactylus,"(Thallwitz, 1891)",accepted,NA,Species,587376,Macrobrachium mammillodactylus,"(Thallwitz, 1891)",156892,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,0,0,1,0,0,exact,1,0
Macrobrachium meridionalis,587386,Macrobrachium meridionalis,"Liang & Yan, 1983",unaccepted,NA,Species,587385,Macrobrachium meridionale,"Liang & Yan, 1983",156892,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,0,NA,1,0,0,exact,1,0
Macrobrachium naso,587394,Macrobrachium naso,"(Kemp, 1918)",accepted,NA,Species,587394,Macrobrachium naso,"(Kemp, 1918)",156892,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,0,0,1,0,0,exact,1,0
Macrobrachium neglectum,587399,Macrobrachium neglectum,"(De Man, 1905)",accepted,NA,Species,587399,Macrobrachium neglectum,"(De Man, 1905)",156892,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,0,0,1,0,0,exact,1,0
Macrobrachium nipponense,587405,Macrobrachium nipponense,"(De Haan, 1849)",accepted,NA,Species,587405,Macrobrachium nipponense,"(De Haan, 1849)",156892,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,0,1,1,0,0,exact,0,0
Macrobrachium pinguis,587103,Macrobrachium pinguis,"Dai, 1984",junior subjective synonym,NA,Species,587100,Macrobrachium asperulum,"(von Martens, 1868)",156892,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,0,NA,1,0,0,exact,1,0
Macrobrachium placidulum,587444,Macrobrachium placidulum,"(De Man, 1892)",accepted,NA,Species,587444,Macrobrachium placidulum,"(De Man, 1892)",156892,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,0,0,1,0,0,exact,1,0
Macrobrachium placidum,587447,Macrobrachium placidum,"(De Man, 1892)",accepted,NA,Species,587447,Macrobrachium placidum,"(De Man, 1892)",156892,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,0,0,1,0,0,exact,1,0
Macrobrachium platycheles,587449,Macrobrachium platycheles,"Ou & Yeo, 1995",accepted,NA,Species,587449,Macrobrachium platycheles,"Ou & Yeo, 1995",156892,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,0,0,1,0,0,exact,1,0
Macrobrachium rosenbergii,220137,Macrobrachium rosenbergii,"(De Man, 1879)",accepted,NA,Species,220137,Macrobrachium rosenbergii,"(De Man, 1879)",156892,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,0,0,1,0,0,exact,1,0
Macrobrachium shokitai,587550,Macrobrachium shokitai,"Fujino & Baba, 1973",accepted,NA,Species,587550,Macrobrachium shokitai,"Fujino & Baba, 1973",156892,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,0,0,1,0,0,exact,1,0
Macrobrachium yui,587612,Macrobrachium yui,"Holthuis, 1950",accepted,NA,Species,587612,Macrobrachium yui,"Holthuis, 1950",156892,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,0,0,1,0,0,exact,1,0
Palaemon modestus,932372,Palaemon modestus,"(Heller, 1862)",accepted,NA,Species,932372,Palaemon modestus,"(Heller, 1862)",107032,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,0,0,1,0,0,exact,1,0
Caridina pseudodenticulata,586375,Caridina pseudodenticulata,"Hung, Chan & Yu, 1993",accepted,NA,Species,586375,Caridina pseudodenticulata,"Hung, Chan & Yu, 1993",240672,Animalia,Arthropoda,Malacostraca,Decapoda,Atyidae,Caridina,0,0,1,0,0,exact,1,0
Erimacrus isenbeckii,440405,Erimacrus isenbeckii,"(JF Brandt, 1848)",accepted,NA,Species,440405,Erimacrus isenbeckii,"(JF Brandt, 1848)",439222,Animalia,Arthropoda,Malacostraca,Decapoda,Cheiragonidae,Erimacrus,1,0,0,0,0,exact,0,0
Hyas coarctatus,107323,Hyas coarctatus,"Leach, 1815",accepted,NA,Species,107323,Hyas coarctatus,"Leach, 1815",106903,Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Hyas,1,0,0,0,0,exact,0,0
Eogammarus kygi,488608,Eogammarus kygi,"(Derzhavin, 1923)",accepted,NA,Species,488608,Eogammarus kygi,"(Derzhavin, 1923)",422834,Animalia,Arthropoda,Malacostraca,Amphipoda,Anisogammaridae,Eogammarus,0,0,1,0,NA,exact,1,0
