found_taxa,rank,phylum,class,order,family,genus,worms_aphiaid,bold_id,gbif_key,ott_id,taxa_query,status,unacceptreason,is_synonym,flags,valid_authority,worms_sciname,tol_sciname,bold_taxon,gbif_sciname,freshwater_only,terrestrial_only
Johora gapensis,species,Arthropoda,Malacostraca,Decapoda,Potamidae,Johora,443175,104764,5790443,1044717,Johora gapensis,accepted,NA,FALSE,NA,"(Bott, 1966)",Johora gapensis,Johora gapensis,Johora gapensis,"Johora gapensis (Bott, 1966)",1,0
Johora grallator,species,Arthropoda,Malacostraca,Decapoda,Potamidae,Johora,443176,104763,5790454,357192,Johora grallator,accepted,NA,FALSE,NA,"PKL Ng, 1988",Johora grallator,Johora grallator,Johora grallator,"Johora grallator P.K.L.Ng, 1988",1,0
Johora gua,species,Arthropoda,Malacostraca,Decapoda,Potamidae,Johora,443177,104762,5790448,357191,Johora gua,accepted,NA,FALSE,NA,"Yeo, 2001",Johora gua,Johora gua,Johora gua,"Johora gua Yeo, 2001",1,0
Johora intermedia,species,Arthropoda,Malacostraca,Decapoda,Potamidae,Johora,443179,104761,5790453,357197,Johora intermedia,accepted,NA,FALSE,NA,"P.K.L. Ng, 1986",Johora intermedia,Johora intermedia,Johora intermedia,"Johora intermedia P.K.L.Ng, 1986",1,0
Johora johorensis,species,Arthropoda,Malacostraca,Decapoda,Potamidae,Johora,443180,104760,5790452,854079,Johora johorensis,accepted,NA,FALSE,NA,"(J. Roux, 1936)",Johora johorensis,Johora johorensis,Johora johorensis,"Johora johorensis (J.Roux, 1936)",1,0
Johora murphyi,species,Arthropoda,Malacostraca,Decapoda,Potamidae,Johora,443181,104759,5790449,854062,Johora murphyi,accepted,NA,FALSE,NA,"P.K.L. Ng, 1986",Johora murphyi,Johora murphyi,Johora murphyi,"Johora murphyi P.K.L.Ng, 1986",1,0
Johora punicea,species,Arthropoda,Malacostraca,Decapoda,Potamidae,Johora,443182,104758,5790450,591478,Johora punicea,accepted,NA,FALSE,NA,"(PKL Ng, 1985)",Johora punicea,Johora punicea,Johora punicea,"Johora punicea (P.K.L.Ng, 1985)",1,0
Johora singaporensis,species,Arthropoda,Malacostraca,Decapoda,Potamidae,Johora,443183,104757,5790447,591474,Johora singaporensis,accepted,NA,FALSE,NA,"P.K.L. Ng, 1986",Johora singaporensis,Johora singaporensis,Johora singaporensis,"Johora singaporensis P.K.L.Ng, 1986",1,0
Johora tahanensis,species,Arthropoda,Malacostraca,Decapoda,Potamidae,Johora,443184,104756,5790445,385668,Johora tahanensis,accepted,NA,FALSE,NA,"(Bott, 1966)",Johora tahanensis,Johora tahanensis,Johora tahanensis,"Johora tahanensis (Bott, 1966)",1,0
Johora thoi,species,Arthropoda,Malacostraca,Decapoda,Potamidae,Johora,443186,104755,5790456,853998,Johora thoi,accepted,NA,FALSE,NA,"PKL Ng, 1990",Johora thoi,Johora thoi,Johora thoi,"Johora thoi P.K.L.Ng, 1990",1,0
Johora tiomanensis,species,Arthropoda,Malacostraca,Decapoda,Potamidae,Johora,443187,104754,5790444,216252,Johora tiomanensis,accepted,NA,FALSE,NA,"(PKL Ng & LWH Tan, 1984)",Johora tiomanensis,Johora tiomanensis,Johora tiomanensis,"Johora tiomanensis (P.K.L.Ng & L.W.H.Tan, 1984)",1,0
