query,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,family,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type,freshwater_only,terrestrial_only
Glossogobius ankaranensis,1010934,Glossogobius ankaranensis,"Banister, 1994",accepted,NA,Species,1010934,Glossogobius ankaranensis,"Banister, 1994",203910,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Glossogobius,0,0,1,0,NA,exact,1,0
Capoeta capoeta,1026485,Capoeta capoeta,"(Güldenstädt, 1773)",accepted,NA,Species,1026485,Capoeta capoeta,"(Güldenstädt, 1773)",268644,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Capoeta,0,0,1,0,NA,exact,1,0
Colistium nudipinnis,280359,Colistium nudipinnis,"(Waite, 1911)",accepted,NA,Species,280359,Colistium nudipinnis,"(Waite, 1911)",268811,Animalia,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Colistium,1,0,0,0,NA,exact,0,0
Yasuhikotakia morleti,1026368,Yasuhikotakia morleti,"(Tirant, 1885)",accepted,NA,Species,1026368,Yasuhikotakia morleti,"(Tirant, 1885)",271264,Animalia,Chordata,Actinopteri,Cypriniformes,Cobitidae,Yasuhikotakia,0,0,1,0,NA,exact,1,0
Syncrossus helodes,1020318,Syncrossus helodes,"(Sauvage, 1876)",accepted,NA,Species,1020318,Syncrossus helodes,"(Sauvage, 1876)",271021,Animalia,Chordata,Actinopteri,Cypriniformes,Cobitidae,Syncrossus,0,0,1,0,NA,exact,1,0
Yasuhikotakia lecontei,1013194,Yasuhikotakia lecontei,"(Fowler, 1937)",accepted,NA,Species,1013194,Yasuhikotakia lecontei,"(Fowler, 1937)",271264,Animalia,Chordata,Actinopteri,Cypriniformes,Cobitidae,Yasuhikotakia,0,0,1,0,NA,exact,1,0
Amphilophus labiatus,1018306,Amphilophus labiatus,"(Günther, 1864)",accepted,NA,Species,1018306,Amphilophus labiatus,"(Günther, 1864)",268296,Animalia,Chordata,Actinopteri,Cichliformes,Cichlidae,Amphilophus,0,0,1,0,NA,exact,1,0
Botia almorhae,1021081,Botia almorhae,"Gray, 1831",accepted,NA,Species,1021081,Botia almorhae,"Gray, 1831",268567,Animalia,Chordata,Actinopteri,Cypriniformes,Cobitidae,Botia,0,0,1,0,NA,exact,1,0
Cichlasomatinae,267085,Cichlasomatinae,"Kullander, 1998",unaccepted,NA,Subfamily,267086,Cichlinae,"Bonaparte, 1835",151383,Animalia,Chordata,Actinopteri,Cichliformes,Cichlidae,NA,NA,NA,NA,NA,NA,exact,NA,NA
Metynnis hypsauchen,1026784,Metynnis hypsauchen,"(Müller & Troschel, 1844)",accepted,NA,Species,1026784,Metynnis hypsauchen,"(Müller & Troschel, 1844)",269850,Animalia,Chordata,Actinopteri,Characiformes,Serrasalmidae,Metynnis,0,0,1,0,NA,exact,1,0
Parapsilorhynchus prateri,1383246,Parapsilorhynchus prateri,"Hora & Misra, 1938",accepted,NA,Species,1383246,Parapsilorhynchus prateri,"Hora & Misra, 1938",270251,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Parapsilorhynchus,0,0,1,0,NA,exact,1,0
Pseudotropheus socolofi,1012105,Pseudotropheus socolofi,"Johnson, 1974",unaccepted,NA,Species,1524360,Chindongo socolofi,"(Johnson, 1974)",270629,Animalia,Chordata,Actinopteri,Cichliformes,Cichlidae,Pseudotropheus,0,0,1,0,NA,exact,1,0
Tetraodon biocellatus,994328,Tetraodon biocellatus,"Tirant, 1885",unaccepted,NA,Species,994327,Dichotomyctere ocellatus,"(Steindachner, 1870)",154803,Animalia,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Tetraodon,0,0,1,0,NA,exact,1,0
Brachymystax lenok,1026966,Brachymystax lenok,"(Pallas, 1773)",accepted,NA,Species,1026966,Brachymystax lenok,"(Pallas, 1773)",268582,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Brachymystax,0,0,1,0,NA,exact,1,0
Labeobarbus acutirostris,1480131,Labeobarbus acutirostris,"(Bini, 1940)",accepted,NA,Species,1480131,Labeobarbus acutirostris,"(Bini, 1940)",269583,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Labeobarbus,0,0,1,0,NA,exact,1,0
Labeobarbus gorgorensis,1469451,Labeobarbus gorgorensis,"(Bini, 1940)",accepted,NA,Species,1469451,Labeobarbus gorgorensis,"(Bini, 1940)",269583,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Labeobarbus,0,0,1,0,NA,exact,1,0
Labeobarbus platydorsus,1010667,Labeobarbus platydorsus,"(Nagelkerke & Sibbing, 1997)",accepted,NA,Species,1010667,Labeobarbus platydorsus,"(Nagelkerke & Sibbing, 1997)",269583,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Labeobarbus,0,0,1,0,NA,exact,1,0
Labeobarbus surkis,1022585,Labeobarbus surkis,"(Rüppell, 1835)",accepted,NA,Species,1022585,Labeobarbus surkis,"(Rüppell, 1835)",269583,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Labeobarbus,0,0,1,0,NA,exact,1,0
Barbus gananensis,1019353,Barbus gananensis,"Vinciguerra, 1895",unaccepted,NA,Species,1026315,Labeobarbus gananensis,"(Vinciguerra, 1895)",154291,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Barbus,0,0,1,0,NA,exact,1,0
Labeobarbus jubae,1012083,Labeobarbus jubae,"(Banister, 1984)",accepted,NA,Species,1012083,Labeobarbus jubae,"(Banister, 1984)",269583,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Labeobarbus,0,0,1,0,NA,exact,1,0
Varicorhinus beso,1022119,Varicorhinus beso,"Rüppell, 1835",unaccepted,NA,Species,1027012,Labeobarbus beso,"(Rüppell, 1835)",271205,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Varicorhinus,0,0,1,0,NA,exact,1,0
Chilomycterus geometricus,275241,Chilomycterus geometricus,"(Bloch & Schneider, 1801)",unaccepted,NA,Species,275240,Chilomycterus antillarum,"Jordan & Rutter, 1897",126230,Animalia,Chordata,Actinopteri,Tetraodontiformes,Diodontidae,Chilomycterus,1,0,0,0,NA,exact,0,0
Auriglobus nefastus,1012275,Auriglobus nefastus,"(Roberts, 1982)",accepted,NA,Species,1012275,Auriglobus nefastus,"(Roberts, 1982)",268460,Animalia,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Auriglobus,0,0,1,0,NA,exact,1,0
Carinotetraodon irrubesco,1010291,Carinotetraodon irrubesco,"Tan, 1999",accepted,NA,Species,1010291,Carinotetraodon irrubesco,"Tan, 1999",268657,Animalia,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Carinotetraodon,0,0,1,0,NA,exact,1,0
Carinotetraodon travancoricus,1014801,Carinotetraodon travancoricus,"(Hora & Nair, 1941)",accepted,NA,Species,1014801,Carinotetraodon travancoricus,"(Hora & Nair, 1941)",268657,Animalia,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Carinotetraodon,0,0,1,0,NA,exact,1,0
