query,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,family,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type,freshwater_only,terrestrial_only
Lamellodiscus baeri,119524,Lamellodiscus baeri,"Oliver, 1974",accepted,NA,Species,119524,Lamellodiscus baeri,"Oliver, 1974",119293,Animalia,Platyhelminthes,Monogenea,Dactylogyridea,Diplectanidae,Lamellodiscus,1,NA,NA,NA,NA,exact,0,0
Arbacia crassispina,513123,Arbacia crassispina,"Mortensen, 1910",unaccepted,subjective junior synonym,Species,160786,Arbacia dufresnii,"(Blainville, 1825)",123371,Animalia,Echinodermata,Echinoidea,Arbacioida,Arbaciidae,Arbacia,1,0,0,0,0,exact,0,0
Rhinebothrium cadenati,889870,Rhinebothrium cadenati,"Euzet, 1954",unaccepted,NA,Species,889869,Stillabothrium cadenati,"(Euzet, 1954) Healy & Reyda in Reyda, Healy, Haslach, Ruhnke, Aprill, Bergman, Daigler, Dedrick, Delgado, Forti, Herzog, Russell & Willsey, 2016",105051,Animalia,Platyhelminthes,Cestoda,Rhinebothriidea,Rhinebothriidae,Rhinebothrium,1,NA,NA,NA,NA,exact,0,0
Rhinebothrium shipleyi,516639,Rhinebothrium shipleyi,"Southwell, 1911",unaccepted,NA,Species,988461,Barbeaucestus shipleyi,"(Southwell, 1911) Caira, Healy, Marques & Jensen, 2017",105051,Animalia,Platyhelminthes,Cestoda,Rhinebothriidea,Rhinebothriidae,Rhinebothrium,1,NA,NA,NA,NA,exact,0,0
Rhinebothroides,515861,Rhinebothroides,"Mayes, Brooks & Thorson, 1981",accepted,NA,Genus,515861,Rhinebothroides,"Mayes, Brooks & Thorson, 1981",515794,Animalia,Platyhelminthes,Cestoda,Rhinebothriidea,Rhinebothriidae,Rhinebothroides,0,NA,1,NA,NA,exact,1,NA
Rhinebothroides scorzai,516601,Rhinebothroides scorzai,"(Lopez-Neyra & Diaz-Ungria, 1958) Mayes, Brooks & Thorson, 1981",accepted,NA,Species,516601,Rhinebothroides scorzai,"(Lopez-Neyra & Diaz-Ungria, 1958) Mayes, Brooks & Thorson, 1981",515861,Animalia,Platyhelminthes,Cestoda,Rhinebothriidea,Rhinebothriidae,Rhinebothroides,NA,NA,1,NA,NA,exact,1,NA
Rhinebothroides moralarai,516600,Rhinebothroides moralarai,"(Brooks & Thorson, 1976) Mayes, Brooks & Thorson, 1981",accepted,NA,Species,516600,Rhinebothroides moralarai,"(Brooks & Thorson, 1976) Mayes, Brooks & Thorson, 1981",515861,Animalia,Platyhelminthes,Cestoda,Rhinebothriidea,Rhinebothriidae,Rhinebothroides,0,NA,1,NA,NA,exact,1,NA
Rhinebothrium copianullum,835756,Rhinebothrium copianullum,"Reyda, 2008",accepted,NA,Species,835756,Rhinebothrium copianullum,"Reyda, 2008",105051,Animalia,Platyhelminthes,Cestoda,Rhinebothriidea,Rhinebothriidae,Rhinebothrium,0,0,1,0,NA,exact,1,0
Rhinebothrium brooksi,835755,Rhinebothrium brooksi,"Reyda & Marques, 2011",accepted,NA,Species,835755,Rhinebothrium brooksi,"Reyda & Marques, 2011",105051,Animalia,Platyhelminthes,Cestoda,Rhinebothriidea,Rhinebothriidae,Rhinebothrium,0,0,1,0,NA,exact,1,0
Rhinebothrium fulbrighti,835758,Rhinebothrium fulbrighti,"Reyda & Marques, 2011",accepted,NA,Species,835758,Rhinebothrium fulbrighti,"Reyda & Marques, 2011",105051,Animalia,Platyhelminthes,Cestoda,Rhinebothriidea,Rhinebothriidae,Rhinebothrium,0,0,1,0,NA,exact,1,0
