"","ncbi_sp","original_aphiaid","worms_match","status","ncbi_uid","worms_sciname","worms_aphiaid","unacceptreason","rank","valid_authority","class","order","family","genus","freshwater_only","terrestrial_only","found_taxa"
"8493","Odonteleotris macrodon",281823,"Odonteleotris macrodon","accepted","1365700","Odonteleotris macrodon",281823,NA,"species","(Bleeker, 1853)","Teleostei","Gobiiformes","Eleotridae","Odonteleotris","0","0","Odonteleotris macrodon"
"8494","Odontamblyopus",270068,"Odontamblyopus","accepted","1365569","Odontamblyopus",270068,NA,"genus","Bleeker, 1874","Teleostei","Gobiiformes","Gobiidae","Odontamblyopus","0","0","Odontamblyopus"
"8495","Odontamblyopus",270068,"Odontamblyopus","accepted","1840727","Odontamblyopus",270068,NA,"genus","Bleeker, 1874","Teleostei","Gobiiformes","Gobiidae","Odontamblyopus","0","0","Odontamblyopus"
"8496","Odondebuenia balearica",126920,"Odondebuenia balearica","accepted","1365698","Odondebuenia balearica",126920,NA,"species","(Pellegrin & Fage, 1907)","Teleostei","Gobiiformes","Gobiidae","Odondebuenia","0","0","Odondebuenia balearica"
"8497","Mugilogobius wilsoni",277367,"Mugilogobius wilsoni","accepted","1365567","Mugilogobius wilsoni",277367,NA,"species","Larson, 2001","Teleostei","Gobiiformes","Gobiidae","Mugilogobius","0","0","Mugilogobius wilsoni"
"8498","Mugilogobius mertoni",277356,"Mugilogobius mertoni","accepted","1302783","Mugilogobius mertoni",277356,NA,"species","(Weber, 1911)","Teleostei","Gobiiformes","Gobiidae","Mugilogobius","0","0","Mugilogobius mertoni"
"8499","Mogurnda",269905,"Mogurnda","accepted","1365566","Mogurnda",269905,NA,"genus","Gill, 1863","Teleostei","Gobiiformes","Eleotridae","Mogurnda","1","0","Mogurnda"
"8500","Millerigobius macrocephalus",126910,"Millerigobius macrocephalus","accepted","1079950","Millerigobius macrocephalus",126910,NA,"species","(Kolombatovic, 1891)","Teleostei","Gobiiformes","Gobiidae","Millerigobius","0","0","Millerigobius macrocephalus"
"8501","Mauligobius maderensis",126908,"Mauligobius maderensis","accepted","1365696","Mauligobius maderensis",126908,NA,"species","(Valenciennes, 1837)","Teleostei","Gobiiformes","Gobiidae","Mauligobius","0","0","Mauligobius maderensis"
"8502","Lythrypnus rhizophora",281469,"Lythrypnus rhizophora","accepted","1193722","Lythrypnus rhizophora",281469,NA,"species","(Heller & Snodgrass, 1903)","Teleostei","Gobiiformes","Gobiidae","Lythrypnus","0","0","Lythrypnus rhizophora"
"8503","Lythrypnus dalli",281457,"Lythrypnus dalli","accepted","314003","Lythrypnus dalli",281457,NA,"species","(Gilbert, 1890)","Teleostei","Gobiiformes","Gobiidae","Lythrypnus","0","0","Lythrypnus dalli"
"8504","Lophogobius cristulatus",281395,"Lophogobius cristulatus","accepted","1365565","Lophogobius cristulatus",281395,NA,"species","Ginsburg, 1939","Teleostei","Gobiiformes","Gobiidae","Lophogobius","0","0","Lophogobius cristulatus"
"8505","Lethops connectens",240723,"Lethops connectens","accepted","314005","Lethops connectens",240723,NA,"species","Hubbs, 1926","Teleostei","Gobiiformes","Gobiidae","Lethops","0","0","Lethops connectens"
"8506","Lesueurigobius sanzi",126906,"Lesueurigobius sanzi","accepted","1365564","Lesueurigobius sanzi",126906,NA,"species","(de Buen, 1918)","Teleostei","Gobiiformes","Gobiidae","Lesueurigobius","0","0","Lesueurigobius sanzi"
"8507","Lebetus guilleti",126902,"Lebetus guilleti","accepted","1365694","Lebetus guilleti",126902,NA,"species","(Le Danois, 1913)","Teleostei","Gobiiformes","Gobiidae","Lebetus","0","0","Lebetus guilleti"
"8508","Kimberleyeleotris hutchinsi",1011668,"Kimberleyeleotris hutchinsi","accepted","1365692","Kimberleyeleotris hutchinsi",1011668,NA,"species","Hoese & Allen, 1987","Teleostei","Gobiiformes","Eleotridae","Kimberleyeleotris","1","0","Kimberleyeleotris hutchinsi"
"8509","Istigobius nigroocellatus",278037,"Istigobius nigroocellatus","accepted","1365561","Istigobius nigroocellatus",278037,NA,"species","(Günther, 1873)","Teleostei","Gobiiformes","Gobiidae","Istigobius","0","0","Istigobius nigroocellatus"
"8510","Hemigobius mingi",281026,"Hemigobius mingi","accepted","1365560","Hemigobius mingi",281026,NA,"species","(Herre, 1936)","Teleostei","Gobiiformes","Gobiidae","Hemigobius","0","0","Hemigobius mingi"
"8511","Hemigobius hoevenii",281025,"Hemigobius hoevenii","accepted","508046","Hemigobius hoevenii",281025,NA,"species","(Bleeker, 1851)","Teleostei","Gobiiformes","Gobiidae","Hemigobius","0","0","Hemigobius hoevenii"
"8512","Gymneleotris seminuda",280953,"Gymneleotris seminuda","accepted","1365690","Gymneleotris seminuda",280953,NA,"species","(Günther, 1864)","Teleostei","Gobiiformes","Gobiidae","Gymneleotris","0","0","Gymneleotris seminuda"
"8513","Gunnellichthys",205532,"Gunnellichthys","accepted","1365559","Gunnellichthys",205532,NA,"genus","Bleeker, 1858","Teleostei","Gobiiformes","Microdesmidae","Gunnellichthys","0","0","Gunnellichthys"
"8514","Guavina micropus",280943,"Guavina micropus","accepted","308099","Guavina micropus",280943,NA,"species","Ginsburg, 1953","Teleostei","Gobiiformes","Eleotridae","Guavina","0","0","Guavina micropus"
"8515","Guavina guavina",280942,"Guavina guavina","accepted","1182195","Guavina guavina",280942,NA,"species","(Valenciennes, 1837)","Teleostei","Gobiiformes","Eleotridae","Guavina","0","0","Guavina guavina"
"8516","Gorogobius nigricinctus",280925,"Gorogobius nigricinctus","accepted","1365688","Gorogobius nigricinctus",280925,NA,"species","(Delais, 1951)","Teleostei","Gobiiformes","Gobiidae","Gorogobius","0","0","Gorogobius nigricinctus"
"8517","Gobulus crescentalis",280908,"Gobulus crescentalis","accepted","1365558","Gobulus crescentalis",280908,NA,"species","(Gilbert, 1892)","Teleostei","Gobiiformes","Gobiidae","Gobulus","0","0","Gobulus crescentalis"
"8518","Gobiusculus flavescens",126898,"Gobiusculus flavescens","unaccepted","257540","Pomatoschistus flavescens",1526389,NA,"species","(Fabricius, 1779)","Teleostei","Gobiiformes","Gobiidae","Gobiusculus","0","0","Pomatoschistus flavescens"
"8519","Gobiosoma yucatanum",405372,"Gobiosoma yucatanum","accepted","1365557","Gobiosoma yucatanum",405372,NA,"species","Dawson, 1971","Teleostei","Gobiiformes","Gobiidae","Gobiosoma","0","0","Gobiosoma yucatanum"
"8520","Gobiopterus",269247,"Gobiopterus","accepted","1365556","Gobiopterus",269247,NA,"genus","Bleeker, 1874","Teleostei","Gobiiformes","Gobiidae","Gobiopterus","0","0","Gobiopterus"
"8521","Gobionellus stomatus",276503,"Gobionellus stomatus","accepted","1365553","Gobionellus stomatus",276503,NA,"species","Starks, 1913","Teleostei","Gobiiformes","Gobiidae","Gobionellus","0","0","Gobionellus stomatus"
"8522","Gobiomorus maculatus",280897,"Gobiomorus maculatus","accepted","308072","Gobiomorus maculatus",280897,NA,"species","(Günther, 1859)","Teleostei","Gobiiformes","Eleotridae","Gobiomorus","0","0","Gobiomorus maculatus"
"8523","Gobiomorus dormitor",280896,"Gobiomorus dormitor","accepted","308076","Gobiomorus dormitor",280896,NA,"species","Lacepède, 1800","Teleostei","Gobiiformes","Eleotridae","Gobiomorus","0","0","Gobiomorus dormitor"
"8524","Gobiodon citrinus",219479,"Gobiodon citrinus","accepted","459506","Gobiodon citrinus",219479,NA,"species","(Rüppell, 1838)","Teleostei","Gobiiformes","Gobiidae","Gobiodon","0","0","Gobiodon citrinus"
"8525","Gillichthys mirabilis",280851,"Gillichthys mirabilis","accepted","8222","Gillichthys mirabilis",280851,NA,"species","Cooper, 1864","Teleostei","Gobiiformes","Gobiidae","Gillichthys","0","0","Gillichthys mirabilis"
"8526","Gammogobius steinitzi",126882,"Gammogobius steinitzi","accepted","1365686","Gammogobius steinitzi",126882,NA,"species","Bath, 1971","Teleostei","Gobiiformes","Gobiidae","Gammogobius","0","0","Gammogobius steinitzi"
"8527","Feia nympha",219466,"Feia nympha","accepted","1365684","Feia nympha",219466,NA,"species","Smith, 1959","Teleostei","Gobiiformes","Gobiidae","Feia","0","0","Feia nympha"
"8528","Evorthodus minutus",276441,"Evorthodus minutus","accepted","186835","Evorthodus minutus",276441,NA,"species","Meek & Hildebrand, 1928","Teleostei","Gobiiformes","Gobiidae","Evorthodus","0","0","Evorthodus minutus"
"8529","Erotelis smaragdus",280710,"Erotelis smaragdus","accepted","166776","Erotelis smaragdus",280710,NA,"species","(Valenciennes, 1837)","Teleostei","Gobiiformes","Eleotridae","Erotelis","0","0","Erotelis smaragdus"
"8530","Erotelis armiger",280709,"Erotelis armiger","accepted","1365547","Erotelis armiger",280709,NA,"species","(Jordan & Richardson, 1895)","Teleostei","Gobiiformes","Eleotridae","Erotelis","0","0","Erotelis armiger"
