"","oid","typ","cid","tna","rnk","tid","mna","mra","mid","oei","eag","lag","rid","lng","lat","gnl","gnn","fml","fmn","odl","odn","cll","cln","phl","phn","cc2","sta","cny","gsc","eag.1","lag.1","cxi","ein","lin","idt","rst","ids","rss","oli","eid","rsf","late_age","early_age","taxon_name","range"
"18",391659,"occ",37560,"Clinocardium nuttallii aff.",3,167957,"Clinocardium (Clinocardium) nuttallii",3,167956,"Aquitanian",23.03,20.44,"10046;10046",-124.139999,48.226501,"Clinocardium",17485,"Cardiidae",59532,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",23.03,20.44,103,103,103,"Clinocardium",NA,"nuttallii","aff.",NA,NA,NA,20.44,23.03,"Clinocardium nuttallii aff.",2.59
"19",391700,"occ",37587,"Mytilus tichanovitchi aff.",3,90153,"Mytilus (Tumidimytilus) tichanovitchi",3,101932,"Chattian",28.1,23.03,"10046;10046",-124.098892,48.216667,"Mytilus",16392,"Mytilidae",61248,"Mytilida",16334,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",28.1,23.03,104,104,104,"Mytilus",NA,"tichanovitchi","aff.",NA,NA,NA,23.03,28.1,"Mytilus tichanovitchi aff.",5.07
"20",391713,"occ",37585,"Mytilus tichanovitchi aff.",3,90153,"Mytilus (Tumidimytilus) tichanovitchi",3,101932,"Chattian",28.1,23.03,"10046;10046",-122.253334,48.265556,"Mytilus",16392,"Mytilidae",61248,"Mytilida",16334,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",28.1,23.03,104,104,104,"Mytilus",NA,"tichanovitchi","aff.",NA,NA,NA,23.03,28.1,"Mytilus tichanovitchi aff.",5.07
"21",391718,"occ",37585,"Tellina emacerata",3,90159,"Tellina emacerata",3,90159,"Chattian",28.1,23.03,"10046;10046",-122.253334,48.265556,"Tellina",18314,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",28.1,23.03,104,104,104,"Tellina",NA,"emacerata",NA,NA,NA,NA,23.03,28.1,"Tellina emacerata",5.07
"22",391730,"occ",37573,"Macoma albaria",3,90160,"Macoma albaria",3,90160,"Early Miocene",23.03,15.97,"10046;10046",-122.114998,48.198612,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",23.03,15.97,35,103,102,"Macoma",NA,"albaria",NA,NA,NA,NA,15.97,23.03,"Macoma albaria",7.06
"23",391734,"occ",37574,"Macoma albaria",3,90160,"Macoma albaria",3,90160,"Early Miocene",23.03,15.97,"10046;10046",-122.114998,48.198612,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",23.03,15.97,35,103,102,"Macoma",NA,"albaria",NA,NA,NA,NA,15.97,23.03,"Macoma albaria",7.06
"24",391735,"occ",37574,"Macoma astori",3,90162,"Macoma astori",3,90162,"Early Miocene",23.03,15.97,"10046;10046",-122.114998,48.198612,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",23.03,15.97,35,103,102,"Macoma",NA,"astori",NA,NA,NA,NA,15.97,23.03,"Macoma astori",7.06
"25",391736,"occ",37574,"Macoma sookensis",3,90163,"Macoma sookensis",3,90163,"Early Miocene",23.03,15.97,"10046;10046",-122.114998,48.198612,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",23.03,15.97,35,103,102,"Macoma",NA,"sookensis",NA,NA,NA,NA,15.97,23.03,"Macoma sookensis",7.06
"26",391746,"occ",37574,"Clinocardium ? nuttallii aff.",3,167957,"Clinocardium (Clinocardium) nuttallii",3,167956,"Early Miocene",23.03,15.97,"10046;10046",-122.114998,48.198612,"Clinocardium",17485,"Cardiidae",59532,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",23.03,15.97,35,103,102,"Clinocardium","?","nuttallii","aff.",NA,NA,NA,15.97,23.03,"Clinocardium ? nuttallii aff.",7.06
"27",391759,"occ",37590,"Tellina emacerata",3,90159,"Tellina emacerata",3,90159,"Chattian",28.1,23.03,"10046;10046",-124.098892,48.216667,"Tellina",18314,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",28.1,23.03,104,104,104,"Tellina",NA,"emacerata",NA,NA,NA,NA,23.03,28.1,"Tellina emacerata",5.07
