Species,Genus,Subfamily,Family,Order,Class,Phylum,Kingdom,FAO,Status
Aeropsis fulva,Aeropsis,NA,Aeropsidae,Spatangoida,Echinoidea,Echinodermata,Animalia,"Pacific, Northeast",native
Aethia cristatella,Aethia,NA,Alcidae,Charadriiformes,Aves,Chordata,Animalia,"Pacific, Northeast",native
Aethia psittacula,Aethia,NA,Alcidae,Charadriiformes,Aves,Chordata,Animalia,"Pacific, Northeast",native
Aethia pusilla,Aethia,NA,Alcidae,Charadriiformes,Aves,Chordata,Animalia,"Pacific, Northeast",native
Aethia pygmaea,Aethia,NA,Alcidae,Charadriiformes,Aves,Chordata,Animalia,"Pacific, Northeast",native
Aetideus divergens,Aetideus,NA,Aetideidae,Calanoida,Hexanauplia,NA,NA,"Pacific, Northeast",native
Agalma elegans,Agalma,NA,Agalmatidae,Siphonophorae,Hydrozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Agalma okeni,Agalma,NA,Agalmatidae,Siphonophorae,Hydrozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Agardhiella subulata,Agardhiella,NA,Areschougiaceae,Gigartinales,Florideophyceae,Rhodophyta,Plantae,"Pacific, Northeast",native
Agarum clathratum,Agarum,NA,Delesseriaceae,Ceramiales,Florideophyceae,Rhodophyta,Plantae,"Pacific, Northeast",native
Agarum fimbriatum,Agarum,NA,Delesseriaceae,Ceramiales,Florideophyceae,Rhodophyta,Plantae,"Pacific, Northeast",native
Aglaja diomedea,Aglaja,NA,Aglajidae,Cephalaspidea,Gastropoda,Mollusca,Animalia,"Pacific, Northeast",native
Aglaja ocelligera,Aglaja,NA,Aglajidae,Cephalaspidea,Gastropoda,Mollusca,Animalia,"Pacific, Northeast",native
Aglantha digitale,Aglantha,NA,Rhopalonematidae,Trachymedusae,Hydrozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Aglaophenia diegensis,Aglaophenia,NA,Aglaopheniidae,Leptothecata,Hydrozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Aglaophenia dispar,Aglaophenia,NA,Aglaopheniidae,Leptothecata,Hydrozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Aglaophenia diversidentata,Aglaophenia,NA,Aglaopheniidae,Leptothecata,Hydrozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Aglaophenia epizoica,Aglaophenia,NA,Aglaopheniidae,Leptothecata,Hydrozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Aglaophenia fluxa,Aglaophenia,NA,Aglaopheniidae,Leptothecata,Hydrozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Aglaophenia inconspicua,Aglaophenia,NA,Aglaopheniidae,Leptothecata,Hydrozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Aglaophenia integriseptata,Aglaophenia,NA,Aglaopheniidae,Leptothecata,Hydrozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Aglaophenia lateseptata,Aglaophenia,NA,Aglaopheniidae,Leptothecata,Hydrozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Aglaophenia latirostris,Aglaophenia,NA,Aglaopheniidae,Leptothecata,Hydrozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Aglaophenia lophocarpa,Aglaophenia,NA,Aglaopheniidae,Leptothecata,Hydrozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Aglaophenia octocarpa,Aglaophenia,NA,Aglaopheniidae,Leptothecata,Hydrozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Aglaophenia pinguis,Aglaophenia,NA,Aglaopheniidae,Leptothecata,Hydrozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Aglaophenia pluma,Aglaophenia,NA,Aglaopheniidae,Leptothecata,Hydrozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Aglaophenia prominens,Aglaophenia,NA,Aglaopheniidae,Leptothecata,Hydrozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Aglaophenia struthionides,Aglaophenia,NA,Aglaopheniidae,Leptothecata,Hydrozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Aglaura hemistoma,Aglaura,NA,Rhopalonematidae,Trachymedusae,Hydrozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Aglauropsis aeora,Aglauropsis,NA,Olindiidae,Limnomedusae,Hydrozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Agnezia septentrionalis,Agnezia,NA,Agneziidae,Enterogona,Ascidiacea,Chordata,Animalia,"Pacific, Northeast",native
Ahnfeltia fastigiata,Ahnfeltia,NA,Ahnfeltiaceae,Ahnfeltiales,Florideophyceae,Rhodophyta,Plantae,"Pacific, Northeast",native
Ahnfeltia plicata,Ahnfeltia,NA,Ahnfeltiaceae,Ahnfeltiales,Florideophyceae,Rhodophyta,Plantae,"Pacific, Northeast",native
Ahnfeltiopsis gigartinoides,Ahnfeltiopsis,NA,Phyllophoraceae,Gigartinales,Florideophyceae,Rhodophyta,Plantae,"Pacific, Northeast",native
Ahnfeltiopsis linearis,Ahnfeltiopsis,NA,Phyllophoraceae,Gigartinales,Florideophyceae,Rhodophyta,Plantae,"Pacific, Northeast",native
Aiptasia californica,Aiptasia,NA,Aiptasiidae,Actiniaria,Anthozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Akiodoris lutescens,Akiodoris,NA,Onchidorididae,Nudibranchia,Gastropoda,Mollusca,Animalia,"Pacific, Northeast",native
Akiodoris salacia,Akiodoris,NA,Onchidorididae,Nudibranchia,Gastropoda,Mollusca,Animalia,"Pacific, Northeast",native
Alaria crispa,Alaria,NA,Alariaceae,Laminariales,Phaeophyceae,Ochrophyta,Chromista,"Pacific, Northeast",native
Alaria marginata,Alaria,NA,Alariaceae,Laminariales,Phaeophyceae,Ochrophyta,Chromista,"Pacific, Northeast",native
Alaria praelonga,Alaria,NA,Alariaceae,Laminariales,Phaeophyceae,Ochrophyta,Chromista,"Pacific, Northeast",native
Alcyonidium disciforme,Alcyonidium,NA,Alcyonidiidae,Ctenostomata,Gymnolaemata,Ectoprocta,Animalia,"Pacific, Northeast",native
Alcyonidium pedunculatum,Alcyonidium,NA,Alcyonidiidae,Ctenostomata,Gymnolaemata,Ectoprocta,Animalia,"Pacific, Northeast",native
Alcyonidium vermiculare,Alcyonidium,NA,Alcyonidiidae,Ctenostomata,Gymnolaemata,Ectoprocta,Animalia,"Pacific, Northeast",native
Alderia modesta,Alderia,NA,Stiligeridae,Sacoglossa,Gastropoda,Mollusca,Animalia,"Pacific, Northeast",native
Aldisa albomarginata,Aldisa,NA,Aldisidae,Nudibranchia,Gastropoda,Mollusca,Animalia,"Pacific, Northeast",native
Aldisa cooperi,Aldisa,NA,Aldisidae,Nudibranchia,Gastropoda,Mollusca,Animalia,"Pacific, Northeast",native
Aldisa sanguinea,Aldisa,NA,Aldisidae,Nudibranchia,Gastropoda,Mollusca,Animalia,"Pacific, Northeast",native
Aldisa tara,Aldisa,NA,Aldisidae,Nudibranchia,Gastropoda,Mollusca,Animalia,"Pacific, Northeast",native
Aleutihenricia beringiana,Aleutihenricia,NA,Echinasteridae,Spinulosida,Asteroidea,Echinodermata,Animalia,"Pacific, Northeast",native
Alexandrium catenella,Alexandrium,NA,Goniodomataceae,Gonyaulacales,Dinophyceae,Dinophyta,Protozoa,"Pacific, Northeast",native
Algamorda newcombiana,Algamorda,NA,Littorinidae,Neotaenioglossa,Gastropoda,Mollusca,Animalia,"Pacific, Northeast",native
Alia carinata,Alia,NA,Columbellidae,Neogastropoda,Gastropoda,Mollusca,Animalia,"Pacific, Northeast",native
Alia gausapata,Alia,NA,Columbellidae,Neogastropoda,Gastropoda,Mollusca,Animalia,"Pacific, Northeast",native
Alitta brandti,Alitta,Nereinae,Nereididae,Phyllodocida,Polychaeta,Annelida,Animalia,"Pacific, Northeast",native
Allia nolani,Allia,NA,Paraonidae,Not assigned,Polychaeta,Annelida,Animalia,"Pacific, Northeast",native
Alloeoleucon santamariensis,Alloeoleucon,NA,Leuconidae,Cumacea,Malacostraca,Arthropoda,Animalia,"Pacific, Northeast",native
Allorchestes angusta,Allorchestes,NA,Hyalellidae,Amphipoda,Malacostraca,Arthropoda,Animalia,"Pacific, Northeast",native
Alpheus bellimanus,Alpheus,NA,Alpheidae,Decapoda,Malacostraca,Arthropoda,Animalia,"Pacific, Northeast",native
Alpheus clamator,Alpheus,NA,Alpheidae,Decapoda,Malacostraca,Arthropoda,Animalia,"Pacific, Northeast",native
Alternatipathes alternata,Alternatipathes,NA,Schizopathidae,Antipatharia,Anthozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Alvania compacta,Alvania,Rissoinae,Rissoidae,Littorinimorpha,Gastropoda,Mollusca,Animalia,"Pacific, Northeast",native
Alvania rosana,Alvania,Rissoinae,Rissoidae,Littorinimorpha,Gastropoda,Mollusca,Animalia,"Pacific, Northeast",native
Alvania sanjuanensis,Alvania,Rissoinae,Rissoidae,Littorinimorpha,Gastropoda,Mollusca,Animalia,"Pacific, Northeast",native
Amaeana occidentalis,Amaeana,NA,Terebellidae,Terebellida,Polychaeta,Annelida,Animalia,"Pacific, Northeast",native
Amage anops,Amage,NA,Ampharetidae,Terebellida,Polychaeta,Annelida,Animalia,"Pacific, Northeast",native
Amathia distans,Amathia,NA,Vesiculariidae,Ctenostomatida,Gymnolaemata,Ectoprocta,Animalia,"Pacific, Northeast",native
Amathia gracilis,Amathia,NA,Vesiculariidae,Ctenostomatida,Gymnolaemata,Ectoprocta,Animalia,"Pacific, Northeast",native
Amauropsis islandica,Amauropsis,NA,Naticidae,Littorinimorpha,Gastropoda,Mollusca,Animalia,"Pacific, Northeast",native
Amauropsis purpurea,Amauropsis,NA,Naticidae,Littorinimorpha,Gastropoda,Mollusca,Animalia,"Pacific, Northeast",native
Ambilimbus altalis,Ambilimbus,NA,Erebonasteridae,Poecilostomatoida,Maxillopoda,Arthropoda,Animalia,"Pacific, Northeast",native
Amblyosyllis anae,Amblyosyllis,NA,Syllidae,Phyllodocida,Polychaeta,Annelida,Animalia,"Pacific, Northeast",native
Amblyosyllis nigrolineata,Amblyosyllis,NA,Syllidae,Phyllodocida,Polychaeta,Annelida,Animalia,"Pacific, Northeast",native
Americhelidium rectipalmum,Americhelidium,NA,Oedicerotidae,Amphipoda,Malacostraca,Arthropoda,Animalia,"Pacific, Northeast",native
Americhelidium shoemakeri,Americhelidium,NA,Oedicerotidae,Amphipoda,Malacostraca,Arthropoda,Animalia,"Pacific, Northeast",native
Americhelidium variabilum,Americhelidium,NA,Oedicerotidae,Amphipoda,Malacostraca,Arthropoda,Animalia,"Pacific, Northeast",native
Americorophium salmonis,Americorophium,NA,Corophiidae,Amphipoda,Malacostraca,Arthropoda,Animalia,"Pacific, Northeast",native
Amicula pallasii,Amicula,NA,Mopaliidae,Chitonida,Polyplacophora,Mollusca,Animalia,"Pacific, Northeast",native
Amicula vestita,Amicula,NA,Mopaliidae,Chitonida,Polyplacophora,Mollusca,Animalia,"Pacific, Northeast",native
Amigdoscalpellum rigidum,Amigdoscalpellum,NA,Scalpellidae,Pedunculata,Maxillopoda,Arthropoda,Animalia,"Pacific, Northeast",native
Ammothea dorsiplicata,Ammothea,NA,Ammotheidae,Pantopoda,Pycnogonida,Arthropoda,Animalia,"Pacific, Northeast",native
Ammothea hilgendorfi,Ammothea,NA,Ammotheidae,Pantopoda,Pycnogonida,Arthropoda,Animalia,"Pacific, Northeast",native
Ammothea verenae,Ammothea,NA,Ammotheidae,Pantopoda,Pycnogonida,Arthropoda,Animalia,"Pacific, Northeast",native
Ammothella biunguiculata,Ammothella,NA,Ammotheidae,Pantopoda,Pycnogonida,Arthropoda,Animalia,"Pacific, Northeast",native
Ammothella heterosetosa,Ammothella,NA,Ammotheidae,Pantopoda,Pycnogonida,Arthropoda,Animalia,"Pacific, Northeast",native
