Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
53,(Eschmeyer,Eschmeyer,15984,15994,3.98,1,NO_ANNOT,,,Exact,0,Eschmeyer,Eschmeyer,62RSJ,1,Catalogue of Life,
54,Isurus oxyrinchus,Isurus oxyrinchus,16297,16314,11.43,2,NO_ANNOT,,,Exact,0,"Isurus oxyrinchus Rafinesque, 1810",Isurus oxyrinchus,3QDF9,1,Catalogue of Life,
55,Eschmeyer,Eschmeyer,16751,16760,3.98,1,NO_ANNOT,,,Exact,0,Eschmeyer,Eschmeyer,62RSJ,1,Catalogue of Life,
56,Isurus paucus,Isurus paucus,16807,16820,11.24,2,NO_ANNOT,,,Exact,0,"Isurus paucus Guitart, 1966",Isurus paucus,3QDFC,1,Catalogue of Life,
57,Lamna ditropis,Lamna ditropis,17295,17309,10.18,2,NO_ANNOT,,,Exact,0,"Lamna ditropis Hubbs & Follett, 1947",Lamna ditropis,6NVXX,1,Catalogue of Life,
58,(Eschmeyer,Eschmeyer,17544,17554,3.98,1,NO_ANNOT,,,Exact,0,Eschmeyer,Eschmeyer,62RSJ,1,Catalogue of Life,
59,Isla,Isla,17573,17577,2.08,1,NO_ANNOT,,,Exact,0,"Isla Navás, 1914",Isla,urn:lsid:irmng.org:taxname:1199252,181,IRMNG,
60,Carcharhiniformes,Carcharhiniformes,17811,17828,2.94,1,NO_ANNOT,,,Exact,0,Carcharhiniformes,Carcharhiniformes,VL,1,Catalogue of Life,
61,Apristurus brunneus,Apristurus brunneus,17897,17916,12.36,2,NO_ANNOT,,,Exact,0,"Apristurus brunneus (Gilbert, 1892)",Apristurus brunneus,67R45,1,Catalogue of Life,
62,Apristurus kampae,Apristurus kampae,18344,18361,9.67,2,NO_ANNOT,,,Exact,0,"Apristurus kampae Taylor, 1972",Apristurus kampae,FWYN,1,Catalogue of Life,
63,(Eschmeyer,Eschmeyer,18500,18510,3.98,1,NO_ANNOT,,,Exact,0,Eschmeyer,Eschmeyer,62RSJ,1,Catalogue of Life,
64,Apristurus,Apristurus,18710,18720,5.60,1,NO_ANNOT,,,Exact,0,Apristurus,Apristurus,Z9H,1,Catalogue of Life,
65,Cephaloscyllium ventriosum,Cephaloscyllium ventriosum,18805,18831,13.15,2,NO_ANNOT,,,Exact,0,"Cephaloscyllium ventriosum (Garman, 1880)",Cephaloscyllium ventriosum,69K9M,1,Catalogue of Life,
66,(Eschmeyer,Eschmeyer,18995,19005,3.98,1,NO_ANNOT,,,Exact,0,Eschmeyer,Eschmeyer,62RSJ,1,Catalogue of Life,
