"","name","rank","phylum","class","subclass","order","family","genus","species"
"9027",NA,NA,"Chordata","Actinopteri","Teleostei","Perciformes","Liparidae","Paraliparis","Paraliparis dactylosus"
"9028",NA,NA,"Entoprocta",NA,NA,NA,"Barentsiidae","Barentsia","Barentsia benedeni"
"9029",NA,NA,"Bryozoa","Gymnolaemata",NA,"Cheilostomatida","Antroporidae","Akatopora","Akatopora tincta"
"9030",NA,NA,"Arthropoda","Malacostraca","Eumalacostraca","Amphipoda","Phrosinidae","Primno","Primno macropa"
"9031",NA,NA,"Annelida","Polychaeta","Sedentaria",NA,"Orbiniidae","Naineris","Naineris grubei"
"9032",NA,NA,"Arthropoda","Malacostraca","Eumalacostraca","Isopoda","Bopyridae","Hemiarthrus","Hemiarthrus abdominalis"
"9033",NA,NA,"Chordata","Actinopteri","Teleostei","Perciformes","Cottidae","Synchirus","Synchirus gilli"
"9034",NA,NA,"Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Panopeidae","Lophopanopeus","Lophopanopeus diegensis"
"9035",NA,NA,"Bryozoa","Gymnolaemata",NA,"Ctenostomatida","Buskiidae","Buskia","Buskia nitens"
"9036",NA,NA,"Echinodermata","Holothuroidea","Paractinopoda","Apodida","Chiridotidae","Chiridota","Chiridota nanaimensis"
"9037",NA,NA,"Mollusca","Gastropoda","Vetigastropoda","Lepetellida","Fissurellidae","Puncturella","Puncturella decorata"
"9038",NA,NA,"Cnidaria","Anthozoa","Octocorallia","Pennatulacea","Pennatulidae",NA,NA
"9039",NA,NA,"Porifera","Calcarea","Calcaronea","Leucosolenida","Leucosoleniidae","Leucosolenia",NA
"9040",NA,NA,"Arthropoda","Copepoda",NA,"Calanoida","Aetideidae","Gaetanus","Gaetanus brevispinus"
"9041",NA,NA,"Mollusca","Polyplacophora","Neoloricata","Chitonida","Mopaliidae","Mopalia","Mopalia spectabilis"
"9042",NA,NA,"Arthropoda","Malacostraca","Eumalacostraca","Amphipoda","Phoxocephalidae","Eobrolgus",NA
"9043",NA,NA,"Annelida","Polychaeta","Sedentaria","Terebellida","Ampharetidae","Ampharete","Ampharete lineata"
"9044",NA,NA,"Annelida","Polychaeta","Sedentaria","Sabellida","Sabellidae","Euchone","Euchone arenae"
"9045",NA,NA,"Mollusca","Gastropoda","Heterobranchia","Nudibranchia","Discodorididae","Geitodoris","Geitodoris heathi"
"9046",NA,NA,"Cnidaria","Hydrozoa","Hydroidolina","Leptothecata","Haleciidae","Halecium","Halecium muricatum"
"9047",NA,NA,"Arthropoda","Copepoda",NA,"Calanoida","Eucalanidae","Eucalanus","Eucalanus californicus"
"9048",NA,NA,"Cnidaria","Anthozoa","Hexacorallia","Scleractinia","Caryophylliidae","Caryophyllia","Caryophyllia (Caryophyllia) alaskensis"
"9049",NA,NA,"Cnidaria","Hydrozoa","Hydroidolina","Anthoathecata","Corynidae","Coryne","Coryne eximia"
"9050",NA,NA,"Mollusca","Bivalvia","Autobranchia",NA,"Cuspidariidae","Cuspidaria","Cuspidaria apodema"
"9051",NA,NA,"Cnidaria","Hydrozoa","Hydroidolina","Leptothecata","Sertulariidae","Hydrallmania",NA
"9052",NA,NA,"Arthropoda","Malacostraca","Eumalacostraca","Tanaidacea",NA,NA,NA
"9053",NA,NA,"Chordata","Actinopteri","Teleostei","Perciformes","Bathymasteridae","Ronquilus",NA
"9054",NA,NA,"Bryozoa","Stenolaemata",NA,"Cyclostomatida","Lichenoporidae","Disporella","Disporella separata"
"9055",NA,NA,"Chordata","Elasmobranchii","Neoselachii","Rajiformes","Rajidae","Leucoraja","Leucoraja erinaceus"
"9056",NA,NA,"Chordata","Actinopteri","Teleostei","Perciformes","Liparidae","Liparis","Liparis gibbus"
"9057",NA,NA,"Mollusca","Gastropoda","Caenogastropoda","Neogastropoda","Mangeliidae","Kurtziella","Kurtziella plumbea"
"9058",NA,NA,"Annelida","Clitellata","Oligochaeta","Enchytraeida","Enchytraeidae","Lumbricillus",NA
"9059",NA,NA,"Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Cymatiidae",NA,NA
"9060",NA,NA,"Arthropoda","Copepoda",NA,"Calanoida","Metridinidae","Metridia","Metridia princeps"
"9061",NA,NA,"Platyhelminthes",NA,NA,"Polycladida","Callioplanidae","Koinostylochus","Koinostylochus ostreophagus"
"9062",NA,NA,"Bryozoa","Gymnolaemata",NA,"Cheilostomatida","Calloporidae","Callopora","Callopora lineata"
"9063",NA,NA,"Arthropoda","Ostracoda","Myodocopa","Myodocopida","Cylindroleberididae","Cylindroleberis",NA
"9064",NA,NA,"Chordata","Mammalia","Theria","Cetartiodactyla","Physeteridae","Physeter","Physeter macrocephalus"
"9065",NA,NA,"Mollusca","Bivalvia","Autobranchia","Pectinida","Pectinidae","Delectopecten",NA
"9066",NA,NA,"Chordata","Ascidiacea",NA,"Stolidobranchia",NA,NA,NA
"9067",NA,NA,"Annelida","Polychaeta","Errantia","Phyllodocida","Phyllodocidae","Eteone","Eteone spilotus"
"9068",NA,NA,"Annelida","Polychaeta","Errantia","Phyllodocida","Pilargidae","Pilargis","Pilargis berkeleyae"
"9069",NA,NA,"Mollusca","Bivalvia","Autobranchia","Adapedonta","Hiatellidae","Panomya",NA
"9070",NA,NA,"Arthropoda","Malacostraca","Eumalacostraca","Amphipoda","Ampithoidae","Cymadusa","Cymadusa uncinata"
"9071",NA,NA,"Annelida","Polychaeta","Sedentaria","Sabellida","Sabellidae","Myxicola","Myxicola aesthetica"
"9072",NA,NA,"Chordata","Actinopteri","Teleostei","Clupeiformes","Clupeidae","Sardinops",NA
"9073",NA,NA,"Chordata","Actinopteri","Teleostei","Perciformes","Agonidae","Pallasina","Pallasina aix"
"9074",NA,NA,"Gastrotricha",NA,NA,"Chaetonotida","Muselliferidae","Musellifer",NA
"9075",NA,NA,"Annelida","Polychaeta","Errantia","Phyllodocida","Polynoidae","Eunoe",NA
"9076",NA,NA,"Annelida","Polychaeta","Sedentaria",NA,"Arenicolidae","Abarenicola","Abarenicola claparedi"
"9077",NA,NA,"Chordata","Actinopteri","Teleostei","Perciformes","Cottidae","Triglops","Triglops jordani"
"9078",NA,NA,"Chordata","Actinopteri","Teleostei","Perciformes","Zoarcidae","Pachycara","Pachycara gymninium"
"9079",NA,NA,"Mollusca","Bivalvia","Autobranchia","Venerida","Veneridae","Saxidomus","Saxidomus nuttalli"
"9080",NA,NA,"Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Carinariidae","Carinaria","Carinaria cristata"
