Species,Genus,Subfamily,Family,Order,Class,SuperClass,FAO,Status
Pholis schultzi,Pholis,Pholinae,Pholidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Photonectes margarita,Photonectes,Melanostomiinae,Stomiidae,Stomiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Photostylus pycnopterus,Photostylus,NA,Alepocephalidae,Alepocephaliformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Physiculus rastrelliger,Physiculus,NA,Moridae,Gadiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Phytichthys chirus,Phytichthys,Xiphisterinae,Stichaeidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Platichthys stellatus,Platichthys,Pleuronectinae,Pleuronectidae,Pleuronectiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Plectobranchus evides,Plectobranchus,NA,Opisthocentridae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Pleurogrammus monopterygius,Pleurogrammus,Pleurogramminae,Hexagrammidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Pleuronectes quadrituberculatus,Pleuronectes,Pleuronectinae,Pleuronectidae,Pleuronectiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Pleuronichthys coenosus,Pleuronichthys,Pleuronichthyinae,Pleuronectidae,Pleuronectiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Pleuronichthys decurrens,Pleuronichthys,Pleuronichthyinae,Pleuronectidae,Pleuronectiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Podothecus accipenserinus,Podothecus,Agoninae,Agonidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Polyacanthonotus challengeri,Polyacanthonotus,NA,Notacanthidae,Notacanthiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Polypera greeni,Polypera,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Porichthys notatus,Porichthys,Porichthyinae,Batrachoididae,Batrachoidiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Poroclinus rothrocki,Poroclinus,NA,Lumpenidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Porocottus mednius,Porocottus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Porocottus quadrifilis,Porocottus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Porogadus longiceps,Porogadus,Neobythitinae,Ophidiidae,Ophidiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Poromitra crassiceps,Poromitra,NA,Melamphaidae,Beryciformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Poromitra cristiceps,Poromitra,NA,Melamphaidae,Beryciformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Poromitra curilensis,Poromitra,NA,Melamphaidae,Beryciformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Poromitra oscitans,Poromitra,NA,Melamphaidae,Beryciformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Poromitra rugosa,Poromitra,NA,Melamphaidae,Beryciformes,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Prionace glauca,Prionace,NA,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Prionotus stephanophrys,Prionotus,Prionotinae,Triglidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Prognatholiparis ptychomandibularis,Prognatholiparis,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Protomyctophum crockeri,Protomyctophum,Myctophinae,Myctophidae,Myctophiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Protomyctophum thompsoni,Protomyctophum,Myctophinae,Myctophidae,Myctophiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Psenes maculatus,Psenes,NA,Nomeidae,Scombriformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Psettichthys melanostictus,Psettichthys,Pleuronectinae,Pleuronectidae,Pleuronectiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Pseudobathylagus milleri,Pseudobathylagus,NA,Bathylagidae,Argentiniformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Psychrolutes paradoxus,Psychrolutes,NA,Psychrolutidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Psychrolutes phrictus,Psychrolutes,NA,Psychrolutidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Psychrolutes sigalutes,Psychrolutes,NA,Psychrolutidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Pteroplatytrygon violacea,Pteroplatytrygon,Dasyatinae,Dasyatidae,Myliobatiformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Ptilichthys goodei,Ptilichthys,NA,Ptilichthyidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Pungitius pungitius,Pungitius,NA,Gasterosteidae,Perciformes/Gasterosteoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Radulinus asprellus,Radulinus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Radulinus boleoides,Radulinus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Rastrinus scutiger,Rastrinus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Regalecus russellii,Regalecus,NA,Regalecidae,Lampriformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Reinhardtius hippoglossoides,Reinhardtius,Hippoglossinae,Pleuronectidae,Pleuronectiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Remora australis,Remora,NA,Echeneidae,Carangiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Remora remora,Remora,NA,Echeneidae,Carangiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Rhacochilus toxotes,Rhacochilus,NA,Embiotocidae,Ovalentaria/misc,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Rhacochilus vacca,Rhacochilus,NA,Embiotocidae,Ovalentaria/misc,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Rhadinesthes decimus,Rhadinesthes,Astronesthinae,Stomiidae,Stomiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Rhamphocottus richardsonii,Rhamphocottus,NA,Rhamphocottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Rhinogobiops nicholsii,Rhinogobiops,Gobiinae,Gobiidae,Gobiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Rhinoliparis attenuatus,Rhinoliparis,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Rhinoliparis barbulifer,Rhinoliparis,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Rhodymenichthys dolichogaster,Rhodymenichthys,Apodichthyinae,Pholidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Rimicola muscarum,Rimicola,Gobiesocinae,Gobiesocidae,Gobiesociformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Ronquilus jordani,Ronquilus,NA,Bathymasteridae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Rouleina attrita,Rouleina,NA,Alepocephalidae,Alepocephaliformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Ruscarius meanyi,Ruscarius,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sagamichthys abei,Sagamichthys,NA,Platytroctidae,Alepocephaliformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Salmo salar,Salmo,Salmoninae,Salmonidae,Salmoniformes,Actinopteri,Osteichthyes,"Pacific, Northeast",introduced
Salmo trutta,Salmo,Salmoninae,Salmonidae,Salmoniformes,Actinopteri,Osteichthyes,"Pacific, Northeast",introduced
Salvelinus alpinus,Salvelinus,Salmoninae,Salmonidae,Salmoniformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Salvelinus confluentus,Salvelinus,Salmoninae,Salmonidae,Salmoniformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Salvelinus fontinalis,Salvelinus,Salmoninae,Salmonidae,Salmoniformes,Actinopteri,Osteichthyes,"Pacific, Northeast",introduced
Salvelinus malma,Salvelinus,Salmoninae,Salmonidae,Salmoniformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sarda chiliensis,Sarda,Scombrinae,Scombridae,Scombriformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sarda lineolata,Sarda,Scombrinae,Scombridae,Scombriformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sardinops sagax,Sardinops,Alosinae,Clupeidae,Clupeiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sarritor frenatus,Sarritor,Agoninae,Agonidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sarritor leptorhynchus,Sarritor,Agoninae,Agonidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Scomber japonicus,Scomber,Scombrinae,Scombridae,Scombriformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Scopeloberyx robustus,Scopeloberyx,NA,Melamphaidae,Beryciformes,Actinopteri,Osteichthyes,"Pacific, Northeast",questionable
Scopelogadus bispinosus,Scopelogadus,NA,Melamphaidae,Beryciformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Scopelosaurus adleri,Scopelosaurus,NA,Notosudidae,Aulopiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Scopelosaurus harryi,Scopelosaurus,NA,Notosudidae,Aulopiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Scorpaenichthys marmoratus,Scorpaenichthys,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Scytalina cerdale,Scytalina,NA,Scytalinidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes aleutianus,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes alutus,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes auriculatus,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes aurora,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes babcocki,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes borealis,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes brevispinis,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes carnatus,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes caurinus,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes chlorostictus,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes chrysomelas,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes ciliatus,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes crameri,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes diaconus,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes diploproa,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes elongatus,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes emphaeus,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Sebastes entomelas,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes flavidus,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes goodei,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes helvomaculatus,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes jordani,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes maliger,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes melanops,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes melanostictus,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes melanostomus,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes miniatus,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes mystinus,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes nebulosus,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes nigrocinctus,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes paucispinis,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes pinniger,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes polyspinis,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes proriger,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes rastrelliger,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes reedi,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Sebastes rosaceus,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes ruberrimus,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes saxicola,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes serranoides,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes variabilis,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes variegatus,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes wilsoni,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastes zacentrus,Sebastes,Sebastinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastolobus alascanus,Sebastolobus,Sebastolobinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastolobus altivelis,Sebastolobus,Sebastolobinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sebastolobus macrochir,Sebastolobus,Sebastolobinae,Sebastidae,Perciformes/Scorpaenoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Seriola lalandi,Seriola,Naucratinae,Carangidae,Carangiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Seriphus politus,Seriphus,NA,Sciaenidae,Eupercaria/misc,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Serrivomer jesperseni,Serrivomer,NA,Serrivomeridae,Anguilliformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sigmistes caulias,Sigmistes,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sigmistes smithi,Sigmistes,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sigmops gracilis,Sigmops,NA,Gonostomatidae,Stomiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Somniosus pacificus,Somniosus,NA,Somniosidae,Squaliformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Spectrunculus crassus,Spectrunculus,Neobythitinae,Ophidiidae,Ophidiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Spectrunculus grandis,Spectrunculus,Neobythitinae,Ophidiidae,Ophidiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sphoeroides lispus,Sphoeroides,Tetraodontinae,Tetraodontidae,Tetraodontiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sphyraena argentea,Sphyraena,NA,Sphyraenidae,Carangaria/misc,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Spirinchus starksi,Spirinchus,NA,Osmeridae,Osmeriformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Spirinchus thaleichthys,Spirinchus,NA,Osmeridae,Osmeriformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Squalus acanthias,Squalus,NA,Squalidae,Squaliformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Squalus suckleyi,Squalus,NA,Squalidae,Squaliformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Squatina californica,Squatina,NA,Squatinidae,Squatiniformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Stelgistrum concinnum,Stelgistrum,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Stellerina xyosterna,Stellerina,Brachyopsinae,Agonidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Stenobrachius leucopsarus,Stenobrachius,Lampanyctinae,Myctophidae,Myctophiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Stenobrachius nannochir,Stenobrachius,Lampanyctinae,Myctophidae,Myctophiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Stereolepis gigas,Stereolepis,NA,Polyprionidae,Acropomatiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sternoptyx diaphana,Sternoptyx,Sternoptychinae,Sternoptychidae,Stomiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Sternoptyx pseudobscura,Sternoptyx,Sternoptychinae,Sternoptychidae,Stomiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Stichaeus punctatus punctatus,Stichaeus,Stichaeinae,Stichaeidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Symbolophorus californiensis,Symbolophorus,Myctophinae,Myctophidae,Myctophiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Symphurus atricauda,Symphurus,Symphurinae,Cynoglossidae,Pleuronectiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",questionable
Synchirus gilli,Synchirus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Syngnathus leptorhynchus,Syngnathus,Syngnathinae,Syngnathidae,Syngnathiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Synodus lucioceps,Synodus,Synodontinae,Synodontidae,Aulopiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Taaningichthys bathyphilus,Taaningichthys,Lampanyctinae,Myctophidae,Myctophiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Tactostoma macropus,Tactostoma,Melanostomiinae,Stomiidae,Stomiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Talismania bifurcata,Talismania,NA,Alepocephalidae,Alepocephaliformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Taractes asper,Taractes,NA,Bramidae,Scombriformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Taranetzella lyoderma,Taranetzella,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Tarletonbeania crenularis,Tarletonbeania,Myctophinae,Myctophidae,Myctophiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Tarletonbeania taylori,Tarletonbeania,Myctophinae,Myctophidae,Myctophiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Temnocora candida,Temnocora,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Tetragonurus cuvieri,Tetragonurus,NA,Tetragonuridae,Scombriformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Tetronarce californica,Tetronarce,NA,Torpedinidae,Torpediniformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Thaleichthys pacificus,Thaleichthys,NA,Osmeridae,Osmeriformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Thunnus alalunga,Thunnus,Scombrinae,Scombridae,Scombriformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Thunnus obesus,Thunnus,Scombrinae,Scombridae,Scombriformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Thunnus orientalis,Thunnus,Scombrinae,Scombridae,Scombriformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Thyriscus anoplus,Thyriscus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Trachipterus altivelis,Trachipterus,NA,Trachipteridae,Lampriformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Trachurus symmetricus,Trachurus,Caranginae,Carangidae,Carangiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Triakis semifasciata,Triakis,Triakinae,Triakidae,Carcharhiniformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Trichocottus brashnikovi,Trichocottus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Trichodon trichodon,Trichodon,NA,Trichodontidae,Perciformes/Uranoscopoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Triglops forficatus,Triglops,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Triglops macellus,Triglops,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Triglops metopias,Triglops,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Triglops pingelii,Triglops,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Triglops scepticus,Triglops,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Triglops xenostethus,Triglops,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Uraspis helvola,Uraspis,Caranginae,Carangidae,Carangiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Urobatis halleri,Urobatis,NA,Urotrygonidae,Myliobatiformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Valenciennellus tripunctulatus,Valenciennellus,Maurolicinae,Sternoptychidae,Stomiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Venefica tentaculata,Venefica,NA,Nettastomatidae,Anguilliformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Xeneretmus latifrons,Xeneretmus,Bathyagoninae,Agonidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Xeneretmus leiops,Xeneretmus,Bathyagoninae,Agonidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Xeneretmus triacanthus,Xeneretmus,Bathyagoninae,Agonidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Xenomystax atrarius,Xenomystax,Congrinae,Congridae,Anguilliformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Xiphias gladius,Xiphias,NA,Xiphiidae,Carangiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Xiphister atropurpureus,Xiphister,Xiphisterinae,Stichaeidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Xiphister mucosus,Xiphister,Xiphisterinae,Stichaeidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Zaniolepis frenata,Zaniolepis,Zaniolepidinae,Zaniolepididae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Zaniolepis latipinnis,Zaniolepis,Zaniolepidinae,Zaniolepididae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Zaprora silenus,Zaprora,NA,Zaproridae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Zesticelus profundorum,Zesticelus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
