Species,Genus,Subfamily,Family,Order,Class,SuperClass,FAO,Status
Lycenchelys crotalinus,Lycenchelys,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lycenchelys jordani,Lycenchelys,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lycenchelys micropora,Lycenchelys,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lycenchelys pearcyi,Lycenchelys,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lycenchelys rassi,Lycenchelys,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lycenchelys ratmanovi,Lycenchelys,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lycenchelys rosea,Lycenchelys,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lycodapus dermatinus,Lycodapus,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lycodapus endemoscotus,Lycodapus,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lycodapus fierasfer,Lycodapus,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lycodapus leptus,Lycodapus,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Lycodapus mandibularis,Lycodapus,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lycodapus pachysoma,Lycodapus,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lycodapus parviceps,Lycodapus,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
