query,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Chernes hahnii,Chernetidae,851671,509871,Chernetidae,NA,accepted,NA,Family,509871,Chernetidae,NA,467668,Animalia,Arthropoda,Arachnida,Pseudoscorpionida,NA,1,NA,NA,1,NA,exact
Lamprochernes savignyi,Chernetidae,1003581,509871,Chernetidae,NA,accepted,NA,Family,509871,Chernetidae,NA,467668,Animalia,Arthropoda,Arachnida,Pseudoscorpionida,NA,1,NA,NA,1,NA,exact
Bisetocreagris,Neobisiidae,NULL,118090,Neobisiidae,NA,accepted,NA,Family,118090,Neobisiidae,NA,467668,Animalia,Arthropoda,Arachnida,Pseudoscorpionida,NA,1,NA,NA,1,NA,exact
Neobisium geronenses,Neobisiidae,457590,118090,Neobisiidae,NA,accepted,NA,Family,118090,Neobisiidae,NA,467668,Animalia,Arthropoda,Arachnida,Pseudoscorpionida,NA,1,NA,NA,1,NA,exact
Roncus,Neobisiidae,NULL,118090,Neobisiidae,NA,accepted,NA,Family,118090,Neobisiidae,NA,467668,Animalia,Arthropoda,Arachnida,Pseudoscorpionida,NA,1,NA,NA,1,NA,exact
Rhacochelifer maculatus,Cheliferidae,941940,231897,Cheliferidae,NA,accepted,NA,Family,231897,Cheliferidae,NA,467668,Animalia,Arthropoda,Arachnida,Pseudoscorpionida,NA,1,NA,NA,1,NA,exact
Iberina montana,Hahniidae,3560920,510114,Hahniidae,"Bertkau, 1878",accepted,NA,Family,510114,Hahniidae,"Bertkau, 1878",150467,Animalia,Arthropoda,Arachnida,Araneae,NA,1,NA,NA,1,NA,exact
Cytherissa sinistrodentata,Cytherideidae,682030,127495,Cytherideidae,"Sars, 1925",accepted,NA,Family,127495,Cytherideidae,"Sars, 1925",127477,Animalia,Arthropoda,Ostracoda,Podocopida,NA,1,1,NA,0,NA,exact
Cytherissa,Cytherideidae,NULL,127495,Cytherideidae,"Sars, 1925",accepted,NA,Family,127495,Cytherideidae,"Sars, 1925",127477,Animalia,Arthropoda,Ostracoda,Podocopida,NA,1,1,NA,0,NA,exact
Cytherissa sernovi,Cytherideidae,682036,127495,Cytherideidae,"Sars, 1925",accepted,NA,Family,127495,Cytherideidae,"Sars, 1925",127477,Animalia,Arthropoda,Ostracoda,Podocopida,NA,1,1,NA,0,NA,exact
Cytherissa crepera,Cytherideidae,108005,127495,Cytherideidae,"Sars, 1925",accepted,NA,Family,127495,Cytherideidae,"Sars, 1925",127477,Animalia,Arthropoda,Ostracoda,Podocopida,NA,1,1,NA,0,NA,exact
Cytherissa tuberculata,Cytherideidae,338696,127495,Cytherideidae,"Sars, 1925",accepted,NA,Family,127495,Cytherideidae,"Sars, 1925",127477,Animalia,Arthropoda,Ostracoda,Podocopida,NA,1,1,NA,0,NA,exact
Cytherissa plena,Cytherideidae,108000,127495,Cytherideidae,"Sars, 1925",accepted,NA,Family,127495,Cytherideidae,"Sars, 1925",127477,Animalia,Arthropoda,Ostracoda,Podocopida,NA,1,1,NA,0,NA,exact
Cytherissa pusilla,Cytherideidae,792639,127495,Cytherideidae,"Sars, 1925",accepted,NA,Family,127495,Cytherideidae,"Sars, 1925",127477,Animalia,Arthropoda,Ostracoda,Podocopida,NA,1,1,NA,0,NA,exact
