"","taxa_query","taxa","tol_sciname","rank","ott_id","is_synonym","flags"
"90","Macrobrachium rosenbergii","Macrobrachium rosenbergii","Macrobrachium rosenbergii","species",708755,FALSE,NA
"91","Macrobrachium shokitai","Macrobrachium shokitai","Macrobrachium shokitai","species",421451,FALSE,NA
"92","Macrobrachium yui","Macrobrachium yui","Macrobrachium yui","species",421452,FALSE,NA
"93","Palaemon modestus","Palaemon modestus","Palaemon modestus","species",271945,FALSE,"sibling_higher"
"94","Caridina pseudodenticulata","Caridina pseudodenticulata","Caridina pseudodenticulata","species",817686,FALSE,NA
"95","Erimacrus isenbeckii","Erimacrus isenbeckii","Erimacrus isenbeckii","species",302059,FALSE,NA
"96","Hyas coarctatus","Hyas coarctatus","Hyas coarctatus","species",753095,FALSE,NA
"97","Jesogammarus jesoensis","Jesogammarus jesoensis","Jesogammarus jesoensis","species",137797,FALSE,NA
"98","Jesogammarus hokurikuensis","Jesogammarus hokurikuensis","Jesogammarus hokurikuensis","species",1009758,FALSE,NA
"99","Jesogammarus fujinoi","Jesogammarus fujinoi","Jesogammarus fujinoi","species",1009765,FALSE,NA
"100","Jesogammarus shonaiensis","Jesogammarus shonaiensis","Jesogammarus shonaiensis","species",559880,FALSE,NA
"101","Jesogammarus mikadoi","Jesogammarus mikadoi","Jesogammarus mikadoi","species",993943,FALSE,NA
"102","Jesogammarus spinopalpus","Jesogammarus spinopalpus","Jesogammarus spinopalpus","species",1009762,FALSE,NA
"103","Jesogammarus hinumensis","Jesogammarus hinumensis","Jesogammarus hinumensis","species",1009757,FALSE,NA
"104","Jesogammarus hebeiensis","Jesogammarus hebeiensis","Jesogammarus hebeiensis","species",559858,FALSE,NA
"105","Jesogammarus annandalei","Jesogammarus annandalei","Jesogammarus annandalei","species",483704,FALSE,NA
"106","Jesogammarusritai","Jesogammarusritai","Jesogammarus naritai",NA,483705,FALSE,NA
"107","Jesogammarus fluvialis","Jesogammarus fluvialis","Jesogammarus fluvialis","species",716981,FALSE,NA
"108","Eogammarus kygi","Eogammarus kygi","Eogammarus kygi","species",660005,FALSE,NA
"109","Somanniathelphusa taiwanensis","Somanniathelphusa taiwanensis","Somanniathelphusa taiwanensis","species",641328,FALSE,NA
"110","Somanniathelphusa amoyensis","Somanniathelphusa amoyensis","Somanniathelphusa amoyensis","species",119670,FALSE,NA
"111","Somanniathelphusa zhangpuensis","Somanniathelphusa zhangpuensis","Somanniathelphusa zhangpuensis","species",119671,FALSE,NA
"112","Somanniathelphusa zanklon","Somanniathelphusa zanklon","Somanniathelphusa zanklon","species",119672,FALSE,NA
"113","Somanniathelphusa zhapoensis","Somanniathelphusa zhapoensis","Somanniathelphusa zhapoensis","species",119666,FALSE,NA
"114","Somanniathelphusa qiongshanensis","Somanniathelphusa qiongshanensis","Somanniathelphusa qiongshanensis","species",119673,FALSE,NA
"115","Nanhaipotamon pingyuanense","Nanhaipotamon pingyuanense","Nanhaipotamon pingyuanense","species",119664,FALSE,NA
"116","Sayamia germaini","Sayamia germaini","Sayamia germaini","species",771991,FALSE,NA
"117","Geothelphusa olea","Geothelphusa olea","Geothelphusa olea","species",650037,FALSE,NA
"118","Geothelphusa pingtung","Geothelphusa pingtung","Geothelphusa pingtung","species",650038,FALSE,NA
"119","Geothelphusa albogilva","Geothelphusa albogilva","Geothelphusa albogilva","species",650041,FALSE,NA
"120","Geothelphusa tawu","Geothelphusa tawu","Geothelphusa tawu","species",650040,FALSE,NA
"121","Geothelphusa ferruginea","Geothelphusa ferruginea","Geothelphusa ferruginea","species",650035,FALSE,NA
"122","Geothelphusa","Geothelphusa","Geothelphusa (genus in subfamily Potamiscinae)","genus",650039,FALSE,NA
"123","Geothelphusa aramotoi","Geothelphusa aramotoi","Geothelphusa aramotoi","species",119229,FALSE,NA
"124","Geothelphusa sakamotoana","Geothelphusa sakamotoana","Geothelphusa sakamotoana",NA,119230,FALSE,NA
"125","Telmessus acutidens","Telmessus acutidens","Telmessus acutidens","species",644172,FALSE,NA
"126","Johora counsilmani","Johora counsilmani","Johora counsilmani","species",1044730,FALSE,NA
"127","Johora gapensis","Johora gapensis","Johora gapensis","species",1044717,FALSE,NA
"128","Johora grallator","Johora grallator","Johora grallator","species",357192,FALSE,NA
"129","Johora intermedia","Johora intermedia","Johora intermedia","species",357197,FALSE,NA
"130","Johora johorensis","Johora johorensis","Johora johorensis","species",854079,FALSE,NA
"131","Johora murphyi","Johora murphyi","Johora murphyi","species",854062,FALSE,NA
"132","Johora punicea","Johora punicea","Johora punicea","species",591478,FALSE,NA
"133","Johora singaporensis","Johora singaporensis","Johora singaporensis","species",591474,FALSE,NA
"134","Johora tahanensis","Johora tahanensis","Johora tahanensis","species",385668,FALSE,NA
"135","Johora thoi","Johora thoi","Johora thoi","species",853998,FALSE,NA
"136","Johora tiomanensis","Johora tiomanensis","Johora tiomanensis","species",216252,FALSE,NA
"137","Stoliczia chaseni","Stoliczia chaseni","Stoliczia chaseni","species",357187,FALSE,NA
"138","Terrapotamon abbotti","Terrapotamon abbotti","Terrapotamon abbotti","species",357189,FALSE,NA
"139","Potamiscus yunnanense","Potamiscus yunnanense","Potamiscus yunnanensis",NA,2977170,FALSE,NA
"140","Candidiopotamon rathbunae","Candidiopotamon rathbunae","Candidiopotamon rathbunae","species",167799,FALSE,NA
"141","Ryukyum yaeyamense","Ryukyum yaeyamense","Ryukyum yaeyamense","species",99454,FALSE,NA
"142","Himalayapotamon atkinsonianum","Himalayapotamon atkinsonianum","Himalayapotamon atkinsonianum","species",99462,FALSE,NA
"143","Neocaridina saccam","Neocaridina saccam","Neocaridina saccam","species",829165,FALSE,NA
"144","Neocaridina ketagalan","Neocaridina ketagalan","Neocaridina ketagalan","species",829166,FALSE,NA
"145","Neocaridina spinosa","Neocaridina spinosa","Neocaridina spinosa","species",829167,FALSE,NA
"146","Caridina formosae","Caridina formosae","Caridina formosae","species",25959,FALSE,NA
"147","Caridina cantonensis","Caridina cantonensis","Caridina cantonensis","species",1012439,FALSE,NA
"148","Leptotrombidium chiangraiensis","Leptotrombidium chiangraiensis","Leptotrombidium chiangraiensis","species",1022885,FALSE,NA
"149","Leptotrombidium imphalum","Leptotrombidium imphalum","Leptotrombidium imphalum","species",1022887,FALSE,NA
"150","Leptotrombidium intermedium","Leptotrombidium intermedium","Leptotrombidium intermedium","species",1022889,FALSE,NA
"151","Leptotrombidium fuji","Leptotrombidium fuji","Leptotrombidium fuji","species",1022892,FALSE,NA
"152","Leptotrombidium scutellare","Leptotrombidium scutellare","Leptotrombidium scutellare","species",1022894,FALSE,NA
"153","Leptotrombidium palpale","Leptotrombidium palpale","Leptotrombidium palpale","species",446372,FALSE,NA
"154","Walchia hayashii","Walchia hayashii","Walchia hayashii","species",446369,FALSE,NA
"155","Acanthodiaptomus pacificus","Acanthodiaptomus pacificus","Acanthodiaptomus pacificus","species",348513,FALSE,NA
"156","Lithodesntokuae","Lithodesntokuae","Lithodes nintokuae",NA,71597,FALSE,NA
"157","Pleuromamma abdominalis","Pleuromamma abdominalis","Pleuromamma abdominalis","species",951693,FALSE,NA
"158","Rhincalanussutus","Rhincalanussutus","Rhincalanus nasutus",NA,691645,FALSE,NA
"159","Metridia lucens","Metridia lucens","Metridia lucens","species",1017692,FALSE,NA
"160","Euaugaptilus palumbii","Euaugaptilus palumbii","Euaugaptilus palumbii","species",1052870,FALSE,NA
"161","Scolecithricellacobarica","Scolecithricellacobarica","Scolecithricella nicobarica",NA,1002691,FALSE,NA
"162","Nanhaipotamon formosanum","Nanhaipotamon formosanum","Nanhaipotamon formosanum","species",199884,FALSE,NA
"163","Nanhaipotamon dongyinense","Nanhaipotamon dongyinense","Nanhaipotamon dongyinense","species",434982,FALSE,NA
