"","taxa_query","found_taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","status","unacceptreason","is_synonym","flags","valid_authority","kingdom","class","order","family","genus","freshwater_only","terrestrial_only"
"42","Macrobrachium shokitai","Macrobrachium shokitai",NA,NA,NA,NA,421451,NA,"Macrobrachium shokitai",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"43","Macrobrachium yui","Macrobrachium yui",NA,NA,NA,NA,421452,NA,"Macrobrachium yui",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"44","Sayamia germaini","Sayamia germaini",NA,NA,NA,NA,771991,NA,"Sayamia germaini",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"45","Geothelphusa olea","Geothelphusa olea",NA,NA,NA,NA,650037,NA,"Geothelphusa olea",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"46","Geothelphusa ancylophallus","Geothelphusa ancylophallus",NA,NA,NA,NA,640824,NA,"Geothelphusa ancylophallus",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"47","Geothelphusa pingtung","Geothelphusa pingtung",NA,NA,NA,NA,650038,NA,"Geothelphusa pingtung",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"48","Geothelphusa albogilva","Geothelphusa albogilva",NA,NA,NA,NA,650041,NA,"Geothelphusa albogilva",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"49","Geothelphusa tawu","Geothelphusa tawu",NA,NA,NA,NA,650040,NA,"Geothelphusa tawu",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"50","Geothelphusa ferruginea","Geothelphusa ferruginea",NA,NA,NA,NA,650035,NA,"Geothelphusa ferruginea",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"51","Geothelphusa","Geothelphusa (genus in subfamily Potamiscinae)",NA,NA,NA,NA,650039,NA,"Geothelphusa (genus in subfamily Potamiscinae)",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"52","Geothelphusa bicolor","Geothelphusa bicolor",NA,NA,NA,NA,650034,NA,"Geothelphusa bicolor",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"53","Geothelphusa miyazakii","Geothelphusa miyazakii",NA,NA,NA,NA,119228,NA,"Geothelphusa miyazakii",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"54","Geothelphusa aramotoi","Geothelphusa aramotoi",NA,NA,NA,NA,119229,NA,"Geothelphusa aramotoi",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"55","Geothelphusa sakamotoana","Geothelphusa sakamotoana",NA,NA,NA,NA,119230,NA,"Geothelphusa sakamotoana",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"56","Johora counsilmani","Johora counsilmani",NA,NA,NA,NA,1044730,NA,"Johora counsilmani",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"57","Johora gapensis","Johora gapensis",NA,NA,NA,NA,1044717,NA,"Johora gapensis",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"58","Johora grallator","Johora grallator",NA,NA,NA,NA,357192,NA,"Johora grallator",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"59","Johora gua","Johora gua",NA,NA,NA,NA,357191,NA,"Johora gua",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"60","Johora intermedia","Johora intermedia",NA,NA,NA,NA,357197,NA,"Johora intermedia",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"61","Johora johorensis","Johora johorensis",NA,NA,NA,NA,854079,NA,"Johora johorensis",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"62","Johora murphyi","Johora murphyi",NA,NA,NA,NA,854062,NA,"Johora murphyi",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"63","Johora punicea","Johora punicea",NA,NA,NA,NA,591478,NA,"Johora punicea",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"64","Johora singaporensis","Johora singaporensis",NA,NA,NA,NA,591474,NA,"Johora singaporensis",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"65","Johora tahanensis","Johora tahanensis",NA,NA,NA,NA,385668,NA,"Johora tahanensis",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"66","Johora thoi","Johora thoi",NA,NA,NA,NA,853998,NA,"Johora thoi",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"67","Johora tiomanensis","Johora tiomanensis",NA,NA,NA,NA,216252,NA,"Johora tiomanensis",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"68","Stoliczia chaseni","Stoliczia chaseni",NA,NA,NA,NA,357187,NA,"Stoliczia chaseni",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"69","Terrapotamon abbotti","Terrapotamon abbotti",NA,NA,NA,NA,357189,NA,"Terrapotamon abbotti",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"70","Potamiscus yunnanense","Potamiscus yunnanensis",NA,NA,NA,NA,2977170,NA,"Potamiscus yunnanensis",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"71","Ryukyum yaeyamense","Ryukyum yaeyamense",NA,NA,NA,NA,99454,NA,"Ryukyum yaeyamense",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"72","Himalayapotamon atkinsonianum","Himalayapotamon atkinsonianum",NA,NA,NA,NA,99462,NA,"Himalayapotamon atkinsonianum",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"73","Nanhaipotamon formosanum","Nanhaipotamon formosanum",NA,NA,NA,NA,199884,NA,"Nanhaipotamon formosanum",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"74","Nanhaipotamon dongyinense","Nanhaipotamon dongyinense",NA,NA,NA,NA,434982,NA,"Nanhaipotamon dongyinense",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"75","Nanhaipotamon wenzhouense","Nanhaipotamon wenzhouense",NA,NA,NA,NA,799084,NA,"Nanhaipotamon wenzhouense",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"76","Nanhaipotamon nanriense","Nanhaipotamon nanriense",NA,NA,NA,NA,199882,NA,"Nanhaipotamon nanriense",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"77","Nanhaipotamon yongchuense","Nanhaipotamon yongchuense",NA,NA,NA,NA,799086,NA,"Nanhaipotamon yongchuense",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"78","Nanhaipotamon","Nanhaipotamon",NA,NA,NA,NA,199886,NA,"Nanhaipotamon",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"79","Nanhaipotamon wupingense","Nanhaipotamon wupingense",NA,NA,NA,NA,389975,NA,"Nanhaipotamon wupingense",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"80","Nanhaipotamon huaanense","Nanhaipotamon huaanense",NA,NA,NA,NA,337976,NA,"Nanhaipotamon huaanense",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"81","Nanhaipotamon hongkongense","Nanhaipotamon hongkongense",NA,NA,NA,NA,85518,NA,"Nanhaipotamon hongkongense",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"82","Huananpotamon angulatum","Huananpotamon angulatum",NA,NA,NA,NA,714125,NA,"Huananpotamon angulatum",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"83","Yarepotamon gracilipa","Yarepotamon gracilipa",NA,NA,NA,NA,7117609,NA,"Yarepotamon gracilipa",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"84","Neoseiulus womersleyi","Neoseiulus womersleyi",NA,NA,NA,NA,792194,NA,"Neoseiulus womersleyi",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"85","Euseius finlandicus","Euseius finlandicus",NA,NA,NA,NA,792568,NA,"Euseius finlandicus",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"86","Crangonyx floridanus","Crangonyx floridanus",NA,NA,NA,NA,670228,NA,"Crangonyx floridanus",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"87","Hygrobates fluviatilis","Hygrobates fluviatilis",NA,NA,NA,NA,587694,NA,"Hygrobates fluviatilis",NA,NA,"Arthropoda",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"88","Sperchon","Sperchon",NA,NA,NA,NA,729994,NA,"Sperchon",NA,NA,"Arthropoda",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"89","Sperchonopsiss","Sperchonopsis",NA,NA,NA,NA,1068863,NA,"Sperchonopsis",NA,NA,"Arthropoda",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
