query,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Metagonimus takahashii,Heterophyidae,88122,108441,Heterophyidae,"Leiper, 1909",accepted,NA,Family,108441,Heterophyidae,"Leiper, 1909",108410,Animalia,Platyhelminthes,Trematoda,Plagiorchiida,NA,1,1,1,1,NA,exact
Plagiorchis muris,Plagiorchiidae,726462,108448,Plagiorchiidae,"Lühe, 1901",accepted,NA,Family,108448,Plagiorchiidae,"Lühe, 1901",108411,Animalia,Platyhelminthes,Trematoda,Plagiorchiida,NA,1,1,1,1,NA,exact
Sparganum (genus in Opisthokonta,Diphyllobothriidae,NULL,104937,Diphyllobothriidae,"Lühe, 1910",accepted,NA,Family,104937,Diphyllobothriidae,"Lühe, 1910",515793,Animalia,Platyhelminthes,Cestoda,Diphyllobothriidea,NA,1,1,1,1,NA,exact
Hymenolepis diminuta,Hymenolepididae,445201,104930,Hymenolepididae,"Ariola, 1899",accepted,NA,Family,104930,Hymenolepididae,"Ariola, 1899",104913,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,NA,1,1,1,1,NA,exact
Schistosoma mansoni,Schistosomatidae,191483,108478,Schistosomatidae,"Stiles & Hassall, 1898",accepted,NA,Family,108478,Schistosomatidae,"Stiles & Hassall, 1898",108419,Animalia,Platyhelminthes,Trematoda,Diplostomida,NA,1,1,1,1,NA,exact
Pygidiopsis summa,Heterophyidae,201372,108441,Heterophyidae,"Leiper, 1909",accepted,NA,Family,108441,Heterophyidae,"Leiper, 1909",108410,Animalia,Platyhelminthes,Trematoda,Plagiorchiida,NA,1,1,1,1,NA,exact
Echinaster paucispinus,Echinasteridae,3656052,123132,Echinasteridae,"Verrill, 1867",accepted,NA,Family,123132,Echinasteridae,"Verrill, 1867",123089,Animalia,Echinodermata,Asteroidea,Spinulosida,NA,1,0,0,0,0,exact
Echinaster sentus,Echinasteridae,337936,123132,Echinasteridae,"Verrill, 1867",accepted,NA,Family,123132,Echinasteridae,"Verrill, 1867",123089,Animalia,Echinodermata,Asteroidea,Spinulosida,NA,1,0,0,0,0,exact
Ancylostoma ceylanicum,Ancylostomatidae,459448,834871,Ancylostomatidae,"Looss, 1905",accepted,NA,Family,834871,Ancylostomatidae,"Looss, 1905",834868,Animalia,Nematoda,Chromadorea,Rhabditida,NA,1,NA,NA,1,NA,exact
Brugia malayi,Onchocercidae,295367,22876,Onchocercidae,"Leiper, 1911",accepted,NA,Family,22876,Onchocercidae,"Leiper, 1911",22875,Animalia,Nematoda,Chromadorea,Rhabditida,NA,1,NA,NA,1,NA,exact
Heliaster helianthoides,Heliasteridae,781477,255069,Heliasteridae,"Viguier, 1879",accepted,NA,Family,255069,Heliasteridae,"Viguier, 1879",123086,Animalia,Echinodermata,Asteroidea,Forcipulatida,NA,1,0,0,0,0,exact
