query,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Tyrannobdella rex,Hirudinidae,556228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myxobdella annandalei,Hirudinidae,556215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnobdella mexicana,Hirudinidae,257869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goddardobdella elegans,Hirudinidae,257872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Octochaetus kenleei,Octochaetidae,503896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haementeria lopezi,Glossiphoniidae,511724,160008,Glossiphoniidae,"Vaillant, 1890",accepted,NA,Family,160008,Glossiphoniidae,"Vaillant, 1890",2117,Animalia,Annelida,Clitellata,Rhynchobdellida,NA,1,NA,1,1,NA,exact
Haementeria depressa,Glossiphoniidae,800460,160008,Glossiphoniidae,"Vaillant, 1890",accepted,NA,Family,160008,Glossiphoniidae,"Vaillant, 1890",2117,Animalia,Annelida,Clitellata,Rhynchobdellida,NA,1,NA,1,1,NA,exact
Oligobdella brasiliensis,Glossiphoniidae,942427,160008,Glossiphoniidae,"Vaillant, 1890",accepted,NA,Family,160008,Glossiphoniidae,"Vaillant, 1890",2117,Animalia,Annelida,Clitellata,Rhynchobdellida,NA,1,NA,1,1,NA,exact
Haementeria paraguayensis,Glossiphoniidae,511795,160008,Glossiphoniidae,"Vaillant, 1890",accepted,NA,Family,160008,Glossiphoniidae,"Vaillant, 1890",2117,Animalia,Annelida,Clitellata,Rhynchobdellida,NA,1,NA,1,1,NA,exact
Tritetrabdella taiwana,Haemadipsidae,448033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gyptis pacifica,Hesionidae,987704,946,Hesionidae,"Grube, 1850",accepted,NA,Family,946,Hesionidae,"Grube, 1850",928,Animalia,Annelida,Polychaeta,Phyllodocida,NA,1,0,0,0,0,exact
Themiste dyscritum,Themistidae,377814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Semiscolex intermedius,Semiscolecidae,780888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
