"","taxa_query","taxa","tol_sciname","rank","ott_id","is_synonym","flags"
"71","Cosa waikikia","Cosa waikikia","Cosa waikikia","species",1028242,FALSE,NA
"72","Episiphon yamakawai","Episiphon yamakawai","Episiphon yamakawai","species",1028244,FALSE,NA
"73","Bathymodiolus platifrons","Bathymodiolus platifrons","Bathymodiolus platifrons","species",476610,FALSE,NA
"74","Vesicomya kuroshimana","Vesicomya kuroshimana","Pliocardia kuroshimana","species",887188,TRUE,"extinct, incertae_sedis"
"75","Vesicomya kaikoi","Vesicomya kaikoi","Vesicomya kaikoi","species",887187,FALSE,NA
"76","Vesicomya crenulomarginata","Vesicomya crenulomarginata","Pliocardia crenulomarginata","species",887186,TRUE,"extinct, incertae_sedis"
"77","Calyptogena laubieri","Calyptogena laubieri","Ectenagena laubieri","species",202965,TRUE,"extinct_inherited, incertae_sedis"
"78","Phreagenankaiensis","Phreagenankaiensis","Phreagena nankaiensis",NA,887180,FALSE,"extinct, incertae_sedis"
"79","Calyptogena similaris","Calyptogena similaris","Archivesica similaris","species",362540,TRUE,NA
"80","Calyptogena tsubasa","Calyptogena tsubasa","Calyptogena tsubasa","species",362541,FALSE,NA
"81","Calyptogena solidissima","Calyptogena solidissima","Calyptogena solidissima","species",1051938,FALSE,NA
"82","Calyptogenautilei","Calyptogenautilei","Ectenagena nautilei",NA,1051935,FALSE,"extinct_inherited, incertae_sedis"
"83","Calyptogena kaikoi","Calyptogena kaikoi","Calyptogena kaikoi",NA,1051937,FALSE,NA
"84","Octopus areolatus","Octopus areolatus","Amphioctopus fangsiao",NA,137296,TRUE,NA
"85","Callistoctopus minor","Callistoctopus minor","Octopus minor","species",711387,TRUE,NA
"86","Octopus sasakii","Octopus sasakii","Octopus sasakii","species",749601,FALSE,"hidden"
"87","Sepiadarium kochi","Sepiadarium kochi","Sepiadarium kochi","species",527585,FALSE,NA
"88","Sepiella maindroni","Sepiella maindroni","Sepiella inermis","species",307142,TRUE,NA
"89","Cerithidea cingulata","Cerithidea cingulata","Cerithidea cingulata","species",557992,FALSE,"hidden_inherited"
"90","Cerithidea ornata","Cerithidea ornata","Cerithidea balteata",NA,42993,FALSE,"hidden_inherited"
"91","Ifremeriautilei","Ifremeriautilei","Ifremeria nautilei",NA,318535,FALSE,"incertae_sedis_inherited"
"92","Cryptobranchia kuragiensis","Cryptobranchia kuragiensis","Cryptobranchia kuragiensis","species",182602,FALSE,NA
"93","Erginus sybaritica","Erginus sybaritica","Erginus sybariticus","species",706108,TRUE,NA
"94","Lottia orbigny","Lottia orbigny","Lottia orbignyi","species",233614,TRUE,NA
"95","Nipponacmeagrans","Nipponacmeagrans","Nipponacmea nigrans",NA,643481,FALSE,NA
"96","Patelloida inconspicua","Patelloida inconspicua","Radiacmea inconspicua","species",286411,TRUE,NA
"97","Patelloida chamorrorum","Patelloida chamorrorum","Patelloida chamorrorum","species",356465,FALSE,NA
"98","Patelloida conoidalis","Patelloida conoidalis","Eoacmaea conoidalis","species",356469,TRUE,NA
"99","Patelloida javanica","Patelloida javanica","Eoacmaea javanica","species",110311,TRUE,NA
"100","Patelloida profunda","Patelloida profunda","Eoacmaea profunda","species",540069,TRUE,NA
"101","Patelloida albonotata","Patelloida albonotata","Patelloida albonotata","species",982424,FALSE,NA
"102","Patelloida omanensis","Patelloida omanensis","Patelloida omanensis","species",356471,FALSE,NA
