"","taxa_query","taxa","tol_sciname","rank","ott_id","is_synonym","flags"
"130","Kryptolebias caudomarginatus","Kryptolebias caudomarginatus","Kryptolebias caudomarginatus","species",658175,FALSE,NA
"131","Anablepsoides atratus","Anablepsoides atratus","Anablepsoides atratus",NA,3641666,FALSE,NA
"132","Rivulus cylindraceus","Rivulus cylindraceus","Rivulus cylindraceus","species",1075435,FALSE,NA
"133","Rivulus roloffi","Rivulus roloffi","Rivulus roloffi","species",1075432,FALSE,NA
"134","Laimosemion agilae","Laimosemion agilae","Laimosemion agilae","species",658184,FALSE,NA
"135","Laimosemion geayi","Laimosemion geayi","Laimosemion geayi","species",136049,FALSE,NA
"136","Laimosemion strigatus","Laimosemion strigatus","Laimosemion strigatus","species",710131,FALSE,NA
"137","Laimosemion frenatus","Laimosemion frenatus","Laimosemion frenatus",NA,136058,FALSE,NA
"138","Laimosemion xiphidius","Laimosemion xiphidius","Laimosemion xiphidius","species",710139,FALSE,NA
"139","Rivulus","Rivulus","Rivulus","genus",708866,FALSE,NA
"140","Laimosemion lyricauda","Laimosemion lyricauda","Laimosemion lyricauda",NA,136061,FALSE,NA
"141","Laimosemion rectocaudatus","Laimosemion rectocaudatus","Laimosemion rectocaudatus","species",710128,FALSE,NA
"142","Anablepsoides jucundus","Anablepsoides jucundus","Anablepsoides jucundus",NA,136064,FALSE,NA
"143","Anablepsoides ophiomimus","Anablepsoides ophiomimus","Anablepsoides ophiomimus",NA,136070,FALSE,NA
"144","Anablepsoides rubrolineatus","Anablepsoides rubrolineatus","Anablepsoides rubrolineatus","species",710125,FALSE,NA
"145","Anablepsoides stagnatus","Anablepsoides stagnatus","Anablepsoides stagnatus","species",684057,FALSE,NA
"146","Anablepsoides deltaphilus","Anablepsoides deltaphilus","Anablepsoides deltaphilus",NA,136055,FALSE,NA
"147","Anablepsoides amphoreus","Anablepsoides amphoreus","Anablepsoides amphoreus","species",1075424,FALSE,NA
"148","Anablepsoides immaculatus","Anablepsoides immaculatus","Anablepsoides immaculatus",NA,1075443,FALSE,NA
"149","Cynodonichthys hildebrandi","Cynodonichthys hildebrandi","Cynodonichthys hildebrandi",NA,1075448,FALSE,NA
"150","Cynodonichthys uroflammeus","Cynodonichthys uroflammeus","Cynodonichthys uroflammeus","species",1075427,FALSE,NA
"151","Cynodonichthys magdalenae","Cynodonichthys magdalenae","Cynodonichthys magdalenae","species",684054,FALSE,NA
"152","Cynodonichthys chucunaque","Cynodonichthys chucunaque","Cynodonichthys chucunaque","species",658172,FALSE,NA
"153","Cynodonichthys birkhahni","Cynodonichthys birkhahni","Cynodonichthys birkhahni","species",658178,FALSE,NA
"154","Cynodonichthys tenuis","Cynodonichthys tenuis","Cynodonichthys tenuis","species",1023597,FALSE,NA
"155","Cynodonichthys weberi","Cynodonichthys weberi","Cynodonichthys weberi",NA,684060,FALSE,NA
"156","Cynodonichthys isthmensis","Cynodonichthys isthmensis","Cynodonichthys isthmensis",NA,684063,FALSE,NA
"157","Cynodonichthys fuscolineatus","Cynodonichthys fuscolineatus","Cynodonichthys fuscolineatus","species",684066,FALSE,NA
"158","Atlantirivulus janeiroensis","Atlantirivulus janeiroensis","Atlantirivulus janeiroensis",NA,136052,FALSE,NA
"159","Atlantirivulus luelingi","Atlantirivulus luelingi","Atlantirivulus luelingi",NA,136067,FALSE,NA
"160","Atlantirivulus santensis","Atlantirivulus santensis","Atlantirivulus santensis","species",710134,FALSE,NA
"161","Melanorivulus apiamici","Melanorivulus apiamici","Melanorivulus apiamici","species",658181,FALSE,NA
"162","Melanorivulus punctatus","Melanorivulus punctatus","Melanorivulus punctatus","species",136073,FALSE,NA
"163","Melanorivulus violaceus","Melanorivulus violaceus","Melanorivulus violaceus",NA,710142,FALSE,NA
"164","Aphyolebias peruensis","Aphyolebias peruensis","Aphyolebias peruensis",NA,1018486,FALSE,NA
"165","Moema piriana","Moema piriana","Moema piriana","species",508449,FALSE,NA
"166","Moema staecki","Moema staecki","Moema staecki","species",508450,FALSE,NA
"167","Trigonectes balzanii","Trigonectes balzanii","Trigonectes balzanii","species",710146,FALSE,NA
"168","Trigonectes rubromarginatus","Trigonectes rubromarginatus","Trigonectes rubromarginatus","species",786207,FALSE,NA
"169","Neofundulus paraguayensis","Neofundulus paraguayensis","Neofundulus paraguayensis","species",449456,FALSE,NA
"170","Brachyhypopomus occidentalis","Brachyhypopomus occidentalis","Brachyhypopomus occidentalis","species",349822,FALSE,NA
"171","Pimelodella chagresi","Pimelodella chagresi","Pimelodella chagresi","species",957297,FALSE,NA
"172","Roeboides guatemalensis","Roeboides guatemalensis","Roeboides guatemalensis","species",482068,FALSE,NA
"173","Roeboides occidentalis","Roeboides occidentalis","Roeboides occidentalis","species",482079,FALSE,NA
"174","Roeboides meeki","Roeboides meeki","Roeboides meeki",NA,482075,FALSE,NA
"175","Roeboides magdalenae","Roeboides magdalenae","Roeboides magdalenae",NA,482077,FALSE,NA
"176","Roeboides dayi","Roeboides dayi","Roeboides dayi","species",482072,FALSE,NA
"177","Crinodus lophodon","Crinodus lophodon","Crinodus lophodon",NA,126949,FALSE,NA
"178","Gymnotus carapo","Gymnotus carapo","Gymnotus carapo","species",445408,FALSE,NA
"179","Gymnotus inaequilabiatus","Gymnotus inaequilabiatus","Gymnotus inaequilabiatus","species",483433,FALSE,NA
"180","Gymnotus pantherinus","Gymnotus pantherinus","Gymnotus pantherinus","species",445404,FALSE,NA
"181","Gymnotus sylvius","Gymnotus sylvius","Gymnotus sylvius","species",1012865,FALSE,NA
"182","Piaractus mesopotamicus","Piaractus mesopotamicus","Piaractus mesopotamicus","species",24652,FALSE,NA
"183","Cheilodactylusegatus","Cheilodactylusegatus","Cheilodactylus zonatus",NA,1095755,FALSE,NA
"184","Dactylophoragricans","Dactylophoragricans","Dactylophora nigricans",NA,355189,FALSE,NA
"185","Acantholatris monodactylus","Acantholatris monodactylus","Acantholatris monodactylus",NA,930733,FALSE,NA
"186","Galaxias zebratus","Galaxias zebratus","Galaxias zebratus","species",138720,FALSE,NA
"187","Physeter catodon","Physeter catodon","Physeter catodon","species",276851,FALSE,"sibling_higher"
"188","Inia geoffrensis","Inia geoffrensis","Inia geoffrensis","species",698411,FALSE,NA
"189","Arctocephalus townsendi","Arctocephalus townsendi","Arctocephalus townsendi","species",796557,FALSE,NA
"190","Neomonachus schauinslandi","Neomonachus schauinslandi","Neomonachus schauinslandi","species",180367,FALSE,NA
"191","Phoca fasciata","Phoca fasciata","Phoca fasciata","species",664065,FALSE,"sibling_higher"
"192","Phoca groenlandica","Phoca groenlandica","Phoca groenlandica","species",664062,FALSE,"sibling_higher"
"193","Pusa sibirica","Pusa sibirica","Pusa sibirica","species",1040678,FALSE,NA
"194","Pycnoclavellana","Pycnoclavellana","Pycnoclavella nana",NA,88253,FALSE,NA
"195","Clavelina flava","Clavelina flava","Clavelina flava","species",590568,FALSE,NA
"196","Clavelina producta","Clavelina producta","Clavelina producta","species",379326,FALSE,NA
"197","Polycitorella coronaria","Polycitorella coronaria","Polycitorella coronaria","species",592123,FALSE,"sibling_higher"
"198","Anchoasus","Anchoasus","Anchonastus",NA,3551683,FALSE,NA
"199","Percopsis transmontana","Percopsis transmontana","Percopsis transmontana","species",342732,FALSE,NA
"200","Mastacembelus favus","Mastacembelus favus","Mastacembelus favus","species",191020,FALSE,NA
"201","Helicolenus hilgendorfi","Helicolenus hilgendorfi","Helicolenus hilgendorfi",NA,191031,FALSE,NA
"202","Elassoma evergladei","Elassoma evergladei","Elassoma evergladei","species",313433,FALSE,NA
"203","Polypterus senegalus","Polypterus senegalus","Polypterus senegalus","species",1064124,FALSE,NA
