"","taxa_query","found_taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","status","unacceptreason","is_synonym","flags","valid_authority","kingdom","class","order","family","genus","freshwater_only","terrestrial_only"
"103","Pyramidula cephalonica","Pyramidula cephalonica",NA,NA,NA,NA,5973532,NA,"Pyramidula cephalonica",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"104","Trochulus clandestinus","Trochulus clandestinus",NA,NA,NA,NA,362295,NA,"Trochulus clandestinus",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"105","Cantharidus callichroa","Cantharidus callichroa",NA,NA,NA,NA,837130,NA,"Cantharidus callichroa",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"106","Homalopoma rotundata","Homalopoma rotundata",NA,NA,NA,NA,160310,NA,"Homalopoma rotundata",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"107","Phasianella ventricosa","Phasianella ventricosa","species",NA,82873,4616085,683575,NA,"Phasianella ventricosa","Phasianella ventricosa","Phasianella ventricosa Swainson, 1822","Mollusca","uncertain","invalid: junior homonym of <i>Phasianella ventricosa</i> Swainson, 1822",FALSE,"",NA,"Animalia","Gastropoda","Trochida","Phasianellidae","Phasianella","0","0"
"108","Bellastraea kesteveni","Bellastraea squamifera",NA,NA,NA,NA,735146,NA,"Bellastraea squamifera",NA,NA,"Mollusca",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"109","Bulinus globosus","Bulinus globosus",NA,NA,NA,NA,1004821,NA,"Bulinus globosus",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"110","Bulinus","Bulinus",NA,NA,NA,NA,182017,NA,"Bulinus",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"111","Bulinus truncatus","Bulinus truncatus",NA,NA,NA,NA,327546,NA,"Bulinus truncatus",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"112","Astralium roseobasis","Astralium provisorium",NA,NA,NA,NA,1071971,NA,"Astralium provisorium",NA,NA,"Mollusca",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"113","Turbo cepoides","Turbo cepoides",NA,NA,NA,NA,24624,NA,"Turbo cepoides",NA,NA,"Mollusca",NA,NA,FALSE,"hidden, sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"114","Galba cubensis","Galba cubensis",NA,NA,NA,NA,412945,NA,"Galba cubensis",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"115","Galba truncatula","Galba truncatula",NA,NA,NA,NA,892752,NA,"Galba truncatula",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"116","Potamides conicus","Pirenella conica",NA,NA,NA,NA,1096624,NA,"Pirenella conica",NA,NA,"Mollusca",NA,NA,FALSE,"hidden_inherited",NA,NA,NA,NA,NA,NA,NA,NA
"117","Cerithidea ornata","Cerithidea balteata",NA,NA,NA,NA,42993,NA,"Cerithidea balteata",NA,NA,"Mollusca",NA,NA,FALSE,"hidden_inherited",NA,NA,NA,NA,NA,NA,NA,NA
"118","Cerithidea quadrata","Cerithidea quoyii",NA,NA,NA,NA,622176,NA,"Cerithidea quoyii",NA,NA,"Mollusca",NA,NA,FALSE,"hidden_inherited",NA,NA,NA,NA,NA,NA,NA,NA
"119","Cerithidea djadjariensis","Pirenella alata",NA,NA,NA,NA,1096621,NA,"Pirenella alata",NA,NA,"Mollusca",NA,NA,FALSE,"hidden_inherited",NA,NA,NA,NA,NA,NA,NA,NA
"120","Cerithidea microptera","Pirenella microptera",NA,NA,NA,NA,1096619,NA,"Pirenella microptera",NA,NA,"Mollusca",NA,NA,FALSE,"hidden_inherited",NA,NA,NA,NA,NA,NA,NA,NA
"121","Tympanotonus fuscatus","Tympanotonus fuscatus",NA,NA,NA,NA,569978,NA,"Tympanotonus fuscatus",NA,NA,"Mollusca",NA,NA,FALSE,"hidden_inherited",NA,NA,NA,NA,NA,NA,NA,NA
