"","taxa_query","taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","subclass","order","family","genus","species","wormsid_phylum","wormsid_class","wormsid_subclass","wormsid_order","wormsid_family","wormsid_genus","wormsid_species","authority","is_synonym","flags"
"509","Echiniscus quadrispinosus","Echiniscus quadrispinosus","species",NA,938915,2253133,2942603,NA,"Echiniscus quadrispinosus","Echiniscus quadrispinosus","Echiniscus quadrispinosus Richters, 1902","Tardigrada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"510","Bryodelphax parvulus","Bryodelphax parvulus","species",NA,938879,2253236,360596,NA,"Bryodelphax parvulus","Bryodelphax parvulus","Bryodelphax parvulus Thulin, 1928","Tardigrada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"511","Acutuncus antarcticus","Acutuncus antarcticus","species",NA,164211,2253499,988097,NA,"Acutuncus antarcticus","Acutuncus antarcticus","Acutuncus antarcticus (Richters, 1904)","Tardigrada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"512","Petrosia ficiformis","Petrosia ficiformis","species",NA,241923,2246423,389380,NA,"Petrosia ficiformis","Petrosia ficiformis","Petrosia ficiformis (Poiret, 1789)","Porifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"sibling_higher"
"513","Macrobiotus kristenseni","Macrobiotus kristenseni","species",NA,652127,8578420,5263132,NA,"Macrobiotus kristenseni","Macrobiotus kristenseni","Macrobiotus kristenseni Guidetti, Peluffo, Rocha, Cesari & Moly de Peluffo, 2013","Tardigrada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"sibling_higher"
"514","Mediorhynchus gallinarum","Mediorhynchus gallinarum","species",NA,668930,2499369,4148404,NA,"Mediorhynchus gallinarum","Mediorhynchus gallinarum","Mediorhynchus gallinarum (Bhalerao, 1937)","Acanthocephala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"515","Hebesoma violentum","Hebesoma violentum","species",NA,715723,2500948,4951364,NA,"Hebesoma violentum","Hebesoma violentum","Hebesoma violentum Van Cleave, 1928","Acanthocephala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"516","Dendrorhynchus sinensis","Dendrorhynchus sinensis","species",NA,657532,5234075,4153250,NA,"Dendrorhynchus sinensis","Dendrorhynchus sinensis","Dendrorhynchus sinensis Yin & Zeng, 1985","Nemertea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"517","Prosadenoporus spectaculum","Prosadenoporus spectaculum","species",NA,653464,NA,5476482,NA,"Prosadenoporus spectaculum","Prosadenoporus spectaculum",NA,"Nemertea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"518","Baikalospongia fungiformis","Baikalospongia fungiformis","species",NA,939036,9016530,561980,NA,"Baikalospongia fungiformis","Baikalospongia fungiformis","Baikalospongia fungiformis Makushok, 1927","Porifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"519","Baikalospongia martinsoni","Baikalospongia martinsoni","species",NA,938872,6786786,561986,NA,"Baikalospongia martinsoni","Baikalospongia martinsoni","Baikalospongia martinsoni Efremova, 2004","Porifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"520","Halipteris willemoesi","Halipteris willemoesi","species",NA,395153,11034361,887153,NA,"Halipteris willemoesi","Halipteris willemoesi","Halipteris willemoesi (Kölliker, 1880)","Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"521","Ramphogordius lacteus","Ramphogordius lacteus","species",NA,939145,2508754,604592,NA,"Ramphogordius lacteus","Ramphogordius lacteus","Ramphogordius lacteus Rathke, 1843","Nemertea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"522","Pseudobiotus spinifer","Pseudobiotus spinifer","species",NA,939000,8991798,5692464,NA,"Pseudobiotus spinifer","Pseudobiotus spinifer","Pseudobiotus spinifer Chang, Kaczmarek, Lee & Michalczyk, 2007","Tardigrada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"523","Pelophila borealis","Pelophila borealis","species",NA,195890,4988516,5421009,NA,"Pelophila borealis","Pelophila borealis","Pelophila borealis (Paykull, 1790)","Xenacoelomorpha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"524","Polyarthra vulgaris","Polyarthra vulgaris","species",NA,653372,1003112,2940854,NA,"Polyarthra vulgaris","Polyarthra vulgaris","Polyarthra vulgaris Carlin, 1943","Rotifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"525","Brachionus rubens","Brachionus rubens","species",NA,342395,4984208,700609,NA,"Brachionus rubens","Brachionus rubens","Brachionus rubens Ehrenberg, 1838","Rotifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"526","Cespitularia simplex","Cespitularia simplex","species",NA,682424,2263810,3678954,NA,"Cespitularia simplex","Cespitularia simplex","Cespitularia simplex Thomson & Dean, 1931","Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"527","Philodina gregaria","Philodina gregaria","species",NA,653190,1001127,4953041,NA,"Philodina gregaria","Philodina gregaria","Philodina gregaria Murray, 1910","Rotifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
