"","taxa_query","found_taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","status","unacceptreason","is_synonym","flags","valid_authority","kingdom","class","order","family","genus","freshwater_only","terrestrial_only"
"56","Poseidonemertes is","Poseidonemertes",NA,NA,NA,NA,5496,NA,"Poseidonemertes",NA,NA,"Nemertea",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"57","Zygonemertes simonae","Zygonemertes simonae",NA,NA,NA,NA,130100,NA,"Zygonemertes simonae",NA,NA,"Nemertea",NA,NA,FALSE,"extinct_inherited, incertae_sedis",NA,NA,NA,NA,NA,NA,NA,NA
"58","Strongylacidon bermudae","Strongylacidon bermudae",NA,NA,NA,NA,879843,NA,"Strongylacidon bermudae",NA,NA,"Porifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"59","Macrobiotidae","Macrobiotidae",NA,NA,NA,NA,111444,NA,"Macrobiotidae",NA,NA,"Tardigrada",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"60","Halisarca dujardini","Halisarca dujardini",NA,NA,NA,NA,832875,NA,"Halisarca dujardini",NA,NA,"Porifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"61","Bugula flabellata","Bugula flabellata",NA,NA,NA,NA,542311,NA,"Bugula flabellata",NA,NA,"Bryozoa",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"62","Macrobiotus hufelandi","Macrobiotus hufelandi",NA,NA,NA,NA,998162,NA,"Macrobiotus hufelandi",NA,NA,"Tardigrada",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"63","Mastigias remengesaui","Mastigias sp. remengesaui",NA,NA,NA,NA,149852,NA,"Mastigias sp. remengesaui",NA,NA,"Cnidaria",NA,NA,FALSE,"incertae_sedis",NA,NA,NA,NA,NA,NA,NA,NA
"64","Mastigias remeliiki","Mastigias sp. remeliiki",NA,NA,NA,NA,149856,NA,"Mastigias sp. remeliiki",NA,NA,"Cnidaria",NA,NA,FALSE,"incertae_sedis",NA,NA,NA,NA,NA,NA,NA,NA
"65","Kellicottia","Kellicottia",NA,NA,NA,NA,672795,NA,"Kellicottia",NA,NA,"Rotifera",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"66","Hydra vulgaris","Hydra vulgaris",NA,NA,NA,NA,111442,NA,"Hydra vulgaris",NA,NA,"Cnidaria",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"67","Aiptasia pulchella","Aiptasia pulchella",NA,NA,NA,NA,135925,NA,"Aiptasia pulchella",NA,NA,"Cnidaria",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
