taxa_query,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Cerithidea balteata,Potamididae,42993,23100,Potamididae,"H. Adams & A. Adams, 1854",accepted,NA,Family,23100,Potamididae,"H. Adams & A. Adams, 1854",14769,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,NA,1,1,NA,NA,NA,exact
Cerithidea quoyii,Potamididae,622176,23100,Potamididae,"H. Adams & A. Adams, 1854",accepted,NA,Family,23100,Potamididae,"H. Adams & A. Adams, 1854",14769,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,NA,1,1,NA,NA,NA,exact
Pirenella alata,Potamididae,1096621,23100,Potamididae,"H. Adams & A. Adams, 1854",accepted,NA,Family,23100,Potamididae,"H. Adams & A. Adams, 1854",14769,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,NA,1,1,NA,NA,NA,exact
Pirenella microptera,Potamididae,1096619,23100,Potamididae,"H. Adams & A. Adams, 1854",accepted,NA,Family,23100,Potamididae,"H. Adams & A. Adams, 1854",14769,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,NA,1,1,NA,NA,NA,exact
Indothais sacellum,Muricidae,428354,148,Muricidae,"Rafinesque, 1815",accepted,NA,Family,148,Muricidae,"Rafinesque, 1815",15138,Animalia,Mollusca,Gastropoda,Neogastropoda,NA,1,1,NA,NA,NA,exact
Clea helena,Nassariidae,2901697,151,Nassariidae,"Iredale, 1916 (1835)",accepted,NA,Family,151,Nassariidae,"Iredale, 1916 (1835)",382214,Animalia,Mollusca,Gastropoda,Neogastropoda,NA,1,1,1,NA,0,exact
Boreochiton ruber,Tonicellidae,844408,385500,Tonicellidae,"Simroth, 1894",accepted,NA,Family,385500,Tonicellidae,"Simroth, 1894",385408,Animalia,Mollusca,Polyplacophora,Chitonida,NA,1,NA,NA,NA,NA,exact
Crepidula tegulicia,Calyptraeidae,355441,141,Calyptraeidae,"Lamarck, 1809",accepted,NA,Family,141,Calyptraeidae,"Lamarck, 1809",387334,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,NA,NA,NA,NA,exact
Sinistrofulgur sinistrum,Busyconidae,NULL,862828,Busyconidae,"Wade, 1917 (1867)",accepted,NA,Family,862828,Busyconidae,"Wade, 1917 (1867)",382214,Animalia,Mollusca,Gastropoda,Neogastropoda,NA,1,0,0,0,0,exact
Ferrissia,Planorbidae,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Physa,Physidae,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sepiadarium kochi,Sepiadariidae,527585,153041,Sepiadariidae,"P. Fischer, 1882",accepted,NA,Family,153041,Sepiadariidae,"P. Fischer, 1882",1454580,Animalia,Mollusca,Cephalopoda,Sepiida,NA,1,0,0,0,NA,exact
Ferissia,Lymnaeidae,NULL,160343,Lymnaeidae,"Rafinesque, 1815",accepted,NA,Family,160343,Lymnaeidae,"Rafinesque, 1815",489336,Animalia,Mollusca,Gastropoda,NA,NA,NA,1,1,NA,0,exact
Sericata abyssoclista,Clausiliidae,312067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sericata albicosta,Clausiliidae,608765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sericata bathyclista,Clausiliidae,312070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sericata dextrorsa,Clausiliidae,312069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sericata liebegottae,Clausiliidae,312064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sericata tantilla,Clausiliidae,312065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sericata torifera,Clausiliidae,312062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melongena corona,Melongenidae,526413,160182,Melongenidae,"Gill, 1871 (1854)",accepted,NA,Family,160182,Melongenidae,"Gill, 1871 (1854)",382214,Animalia,Mollusca,Gastropoda,Neogastropoda,NA,1,1,NA,NA,NA,exact
Pettancylus clessiniana,Planorbidae,7961919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Astralium helicinum,Turbinidae,2885522,503,Turbinidae,"Rafinesque, 1815",accepted,NA,Family,503,Turbinidae,"Rafinesque, 1815",156489,Animalia,Mollusca,Gastropoda,Trochida,NA,1,NA,NA,NA,NA,exact
Diloma samoaensis,Trochidae,538080,443,Trochidae,"Rafinesque, 1815",accepted,NA,Family,443,Trochidae,"Rafinesque, 1815",156489,Animalia,Mollusca,Gastropoda,Trochida,NA,1,1,1,NA,NA,exact
Diloma coracina,Trochidae,150227,443,Trochidae,"Rafinesque, 1815",accepted,NA,Family,443,Trochidae,"Rafinesque, 1815",156489,Animalia,Mollusca,Gastropoda,Trochida,NA,1,1,1,NA,NA,exact
Diloma nigerrima,Trochidae,150230,443,Trochidae,"Rafinesque, 1815",accepted,NA,Family,443,Trochidae,"Rafinesque, 1815",156489,Animalia,Mollusca,Gastropoda,Trochida,NA,1,1,1,NA,NA,exact
Diloma zelandica,Trochidae,150232,443,Trochidae,"Rafinesque, 1815",accepted,NA,Family,443,Trochidae,"Rafinesque, 1815",156489,Animalia,Mollusca,Gastropoda,Trochida,NA,1,1,1,NA,NA,exact
Diloma subrostrata,Trochidae,150234,443,Trochidae,"Rafinesque, 1815",accepted,NA,Family,443,Trochidae,"Rafinesque, 1815",156489,Animalia,Mollusca,Gastropoda,Trochida,NA,1,1,1,NA,NA,exact
Scissurella costata,Scissurellidae,2886668,1730,Scissurellidae,"Gray, 1847",accepted,NA,Family,1730,Scissurellidae,"Gray, 1847",156487,Animalia,Mollusca,Gastropoda,Lepetellida,NA,1,0,0,0,0,exact
Fluminicola coloradoensis,Lithoglyphidae,600326,715961,Lithoglyphidae,"Tryon, 1866",accepted,NA,Family,715961,Lithoglyphidae,"Tryon, 1866",722756,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,NA,1,1,NA,NA,exact
Physa acuta,Physidae,55904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Physa ancillaria,Physidae,735825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhabdotus reflexus,Bulimulidae,5758598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hermania scabra,Philinidae,964156,161,Philinidae,"Gray, 1850 (1815)",accepted,NA,Family,161,Philinidae,"Gray, 1850 (1815)",196322,Animalia,Mollusca,Gastropoda,Cephalaspidea,NA,1,NA,NA,NA,NA,exact
