query,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Lensia grimaldi,Diphyidae,320488,135338,Diphyidae,"Quoy & Gaimard, 1827",accepted,NA,Family,135338,Diphyidae,"Quoy & Gaimard, 1827",135333,Animalia,Cnidaria,Hydrozoa,Siphonophorae,NA,1,NA,0,0,0,exact
Rhizophysa eysenhardti,Rhizophysidae,338557,135343,Rhizophysidae,"Brandt, 1835",accepted,NA,Family,135343,Rhizophysidae,"Brandt, 1835",135334,Animalia,Cnidaria,Hydrozoa,Siphonophorae,NA,1,0,0,0,NA,exact
Margelopsis hartlaubi,Margelopsidae,219155,16357,Margelopsidae,"Mayer, 1910",accepted,NA,Family,16357,Margelopsidae,"Mayer, 1910",719741,Animalia,Cnidaria,Hydrozoa,Anthoathecata,NA,1,NA,0,0,0,exact
Kophobelemnon macrospinum,Kophobelemnidae,400664,128483,Kophobelemnidae,"Gray, 1860",accepted,NA,Family,128483,Kophobelemnidae,"Gray, 1860",151643,Animalia,Cnidaria,Anthozoa,Pennatulacea,NA,1,0,0,0,NA,exact
Sagitta zetesios,Sagittidae,1003021,5953,Sagittidae,"Claus & Grobben, 1905",accepted,NA,Family,5953,Sagittidae,"Claus & Grobben, 1905",5950,Animalia,Chaetognatha,Sagittoidea,Aphragmophora,NA,1,NA,NA,NA,NA,exact
Scleronephthya gracillimum,Nephtheidae,338807,146762,Nephtheidae,"Gray, 1862",accepted,NA,Family,146762,Nephtheidae,"Gray, 1862",411555,Animalia,Cnidaria,Anthozoa,Alcyonacea,NA,1,NA,NA,NA,NA,exact
Brachionus koreanus,Brachionidae,430689,134918,Brachionidae,"Ehrenberg, 1838",accepted,NA,Family,134918,Brachionidae,"Ehrenberg, 1838",17904,Animalia,Rotifera,Eurotatoria,Ploima,NA,1,1,1,NA,NA,exact
Clathria cancellaria,Microcionidae,882483,131641,Microcionidae,"Carter, 1875",accepted,NA,Family,131641,Microcionidae,"Carter, 1875",131599,Animalia,Porifera,Demospongiae,Poecilosclerida,NA,1,0,0,0,0,exact
Radiella sarsi,Polymastiidae,2839101,131673,Polymastiidae,"Gray, 1867",accepted,NA,Family,131673,Polymastiidae,"Gray, 1867",845494,Animalia,Porifera,Demospongiae,Polymastiida,NA,1,0,0,0,0,exact
Flabellum lamellulosum,Flabellidae,191130,135075,Flabellidae,"Bourne, 1905",accepted,NA,Family,135075,Flabellidae,"Bourne, 1905",1363,Animalia,Cnidaria,Anthozoa,Scleractinia,NA,1,NA,0,0,0,exact
Asplanchna silvestrii,Asplanchnidae,245637,134917,Asplanchnidae,"Eckstein, 1883",accepted,NA,Family,134917,Asplanchnidae,"Eckstein, 1883",17904,Animalia,Rotifera,Eurotatoria,Ploima,NA,1,NA,1,NA,NA,exact
Lepadella quadricarinata,Lepadellidae,2941351,368542,Lepadellidae,"Harring, 1913",accepted,NA,Family,368542,Lepadellidae,"Harring, 1913",17904,Animalia,Rotifera,Eurotatoria,Ploima,NA,1,1,1,1,0,exact
Eosphora ehrenbergi,Notommatidae,107179,134923,Notommatidae,"Hudson & Gosse, 1886",accepted,NA,Family,134923,Notommatidae,"Hudson & Gosse, 1886",17904,Animalia,Rotifera,Eurotatoria,Ploima,NA,1,1,1,1,0,exact
Lecane leontina,Lecanidae,1090177,134921,Lecanidae,"Remane, 1933",accepted,NA,Family,134921,Lecanidae,"Remane, 1933",17904,Animalia,Rotifera,Eurotatoria,Ploima,NA,1,1,1,NA,0,exact
Beauchampiella eudactylota,Euchlanidae,738316,368560,Euchlanidae,"Ehrenberg, 1838",accepted,NA,Family,368560,Euchlanidae,"Ehrenberg, 1838",17904,Animalia,Rotifera,Eurotatoria,Ploima,NA,1,1,1,NA,0,exact
Lecane monostyla,Lecanidae,581951,134921,Lecanidae,"Remane, 1933",accepted,NA,Family,134921,Lecanidae,"Remane, 1933",17904,Animalia,Rotifera,Eurotatoria,Ploima,NA,1,1,1,NA,0,exact
Dipleuchlanis propatula,Euchlanidae,2942300,368560,Euchlanidae,"Ehrenberg, 1838",accepted,NA,Family,368560,Euchlanidae,"Ehrenberg, 1838",17904,Animalia,Rotifera,Eurotatoria,Ploima,NA,1,1,1,NA,0,exact
Brachionus caudatus,Brachionidae,197558,134918,Brachionidae,"Ehrenberg, 1838",accepted,NA,Family,134918,Brachionidae,"Ehrenberg, 1838",17904,Animalia,Rotifera,Eurotatoria,Ploima,NA,1,1,1,NA,NA,exact
Lecane ohioensis,Lecanidae,296324,134921,Lecanidae,"Remane, 1933",accepted,NA,Family,134921,Lecanidae,"Remane, 1933",17904,Animalia,Rotifera,Eurotatoria,Ploima,NA,1,1,1,NA,0,exact
Haliclona toxius,Chalinidae,305410,131636,Chalinidae,"Gray, 1867",accepted,NA,Family,131636,Chalinidae,"Gray, 1867",131598,Animalia,Porifera,Demospongiae,Haplosclerida,NA,1,0,0,0,0,exact
Embata,Philodinidae,NA,134913,Philodinidae,"Ehrenberg, 1838",accepted,NA,Family,134913,Philodinidae,"Ehrenberg, 1838",17968,Animalia,Rotifera,Eurotatoria,NA,NA,1,1,1,1,NA,exact
Testudinella caeca,Testudinellidae,519380,134916,Testudinellidae,"Harring, 1913",accepted,NA,Family,134916,Testudinellidae,"Harring, 1913",17931,Animalia,Rotifera,Eurotatoria,Flosculariaceae,NA,1,1,1,NA,NA,exact
Synchaeta grandis,Synchaetidae,154828,134924,Synchaetidae,"Hudson & Gosse, 1886",accepted,NA,Family,134924,Synchaetidae,"Hudson & Gosse, 1886",17904,Animalia,Rotifera,Eurotatoria,Ploima,NA,1,1,1,NA,NA,exact
Synchaeta lakowitziana,Synchaetidae,390797,134924,Synchaetidae,"Hudson & Gosse, 1886",accepted,NA,Family,134924,Synchaetidae,"Hudson & Gosse, 1886",17904,Animalia,Rotifera,Eurotatoria,Ploima,NA,1,1,1,NA,NA,exact
Synchaeta kitina,Synchaetidae,390795,134924,Synchaetidae,"Hudson & Gosse, 1886",accepted,NA,Family,134924,Synchaetidae,"Hudson & Gosse, 1886",17904,Animalia,Rotifera,Eurotatoria,Ploima,NA,1,1,1,NA,NA,exact
Chaetonotus neptuni,Chaetonotidae,692242,114416,Chaetonotidae,"Gosse, 1864 sensu Leasi & Todaro, 2008",accepted,NA,Family,114416,Chaetonotidae,"Gosse, 1864 sensu Leasi & Todaro, 2008",154555,Animalia,Gastrotricha,NA,Chaetonotida,NA,1,0,1,0,NA,exact
Chaetonotus acanthodes,Chaetonotidae,962246,114416,Chaetonotidae,"Gosse, 1864 sensu Leasi & Todaro, 2008",accepted,NA,Family,114416,Chaetonotidae,"Gosse, 1864 sensu Leasi & Todaro, 2008",154555,Animalia,Gastrotricha,NA,Chaetonotida,NA,1,0,1,0,NA,exact
