"query","species"
"Chiloconger dentatus","Chiloconger dentatus"
"Chiloconger obtusus","Chiloconger dentatus"
"Chiloconger labiatus","Chiloconger dentatus"
"Paraconger dentatus","Chiloconger dentatus"
"Gnathophis cinctus","Gnathophis cinctus"
"Gorgasia punctata","Gorgasia punctata"
"Heteroconger canabus","Heteroconger canabus"
"Heteroconger digueti","Heteroconger digueti"
"Heteroconger pellegrini","Heteroconger pellegrini"
"Paraconger californiensis","Paraconger californiensis"
"Paraconger similis","Paraconger similis"
"Rhynchoconger nitens","Rhynchoconger nitens"
"Xenomystax atrarius","Xenomystax atrarius"
"Facciolella equatorialis","Facciolella equatorialis"
"Facciolella gilberti","Facciolella gilbertii"
"Venefica ocella","Venefica ocella"
"Venefica procera","Venefica procera"
"Venefica tentaculata","Venefica tentaculata"
"Serrivomer jesperseni","Serrivomer jesperseni"
"Serrivomer sector","Serrivomer sector"
"Stemonidium hypomelas","Stemonidium hypomelas"
"Cyema atrum","Cyema atrum"
"Saccopharynx lavenbergi","Saccopharynx lavenbergi"
"Eurypharynx pelecanoides","Eurypharynx pelecanoides"
"Monognathus ahlstromi","Monognathus ahlstromi"
"Anchoa argentivittata","Anchoa argentivittata"
"Anchoa compressa","Anchoa compressa"
"Anchoa curta","Anchoa curta"
"Anchoa delicatissima","Anchoa delicatissima"
"Anchoa exigua","Anchoa exigua"
"Anchoa helleri","Anchoa helleri"
"Anchoa ischana","Anchoa ischana"
"Anchoa lucida","Anchoa lucida"
"Anchoa mundeoloides","Anchoa mundeoloides"
"Anchoa nasus","Anchoa nasus"
"Anchoa scofieldi","Anchoa scofieldi"
"Anchovia macrolepidota","Anchovia macrolepidota"
"Cetengraulis mysticetus","Cetengraulis mysticetus"
"Engraulis japonicus","Engraulis japonicus"
"Engraulis mordax","Engraulis mordax"
"Opisthopterus dovii","Opisthopterus dovii"
"Pliosteostoma lutipinnis","Pliosteostoma lutipinnis"
"Alosa sapidissima","Alosa sapidissima"
"Clupea pallasii","Clupea pallasii"
"Clupea harengus","Clupea harengus"
"Dorosoma petenense","Dorosoma petenense"
"Etrumeus acuminatus","Etrumeus acuminatus"
"Etrumeus teres","Etrumeus sadina"
"Harengula thrissina","Harengula thrissina"
"Lile nigrofasciata","Lile nigrofasciata"
"Lile stolifera","Lile stolifera"
"Opisthonema bulleri","Opisthonema bulleri"
"Opisthonema libertate","Opisthonema libertate"
"Opisthonema medirastre","Opisthonema medirastre"
"Sardinops sagax","Sardinops sagax"
"Chanos chanos","Chanos chanos"
"Cyprinus carpio","Cyprinus carpio"
"Mylocheilus caurinus","Mylocheilus caurinus"
"Pogonichthys macrolepidotus","Pogonichthys macrolepidotus"
"Ariopsis guatemalensis","Ariopsis guatemalensis"
"Bagre panamensis","Bagre panamensis"
"Notarius planiceps","Notarius planiceps"
"Occidentarius platypogon","Occidentarius platypogon"
"Netuma platypogon","Occidentarius platypogon"
"Argentina sialis","Argentina sialis"
"Bathylychnops exilis","Bathylychnops exilis"
"Dolichopteryx longipes","Dolichopteryx longipes"
"Dolichopteryx parini","Dolichopteryx parini"
"Dolichopteryx pseudolongipes","Dolichopteryx pseudolongipes"
"Ioichthys kashkini","Ioichthys kashkini"
"Bathylychnops brachyrhynchus","Bathylychnops brachyrhynchus"
"Macropinna microstoma","Macropinna microstoma"
"Opisthoproctus soleatus","Opisthoproctus soleatus"
"Rhynchohyalus natalensis","Rhynchohyalus natalensis"
"Bathylagoides nigrigenys","Bathylagoides nigrigenys"
"Bathylagoides wesethi","Bathylagoides wesethi"
"Bathylagus pacificus","Bathylagus pacificus"
"Leuroglossus schmidti","Leuroglossus schmidti"
"Leuroglossus stilbius","Leuroglossus stilbius"
"Leuroglossus urotranus","Leuroglossus stilbius"
"Lipolagus ochotensis","Lipolagus ochotensis"
"Melanolagus bericoides","Melanolagus bericoides"
"Pseudobathylagus milleri","Pseudobathylagus milleri"
"Microstoma microstoma","Microstoma microstoma"
"Nansenia candida","Nansenia candida"
"Nansenia sanrikuensis","Nansenia candida"
"Nansenia crassa","Nansenia crassa"
"Nansenia pelagica","Nansenia pelagica"
"Alepocephalus tenebrosus","Alepocephalus tenebrosus"
"Asquamiceps caeruleus","Asquamiceps caeruleus"
"Asquamiceps pacificus","Asquamiceps pacificus"
"Asquamiceps velaris","Asquamiceps velaris"
"Bajacalifornia burragei","Bajacalifornia burragei"
"Bajacalifornia megalops","Bajacalifornia megalops"
"Bajacalifornia erimoensis","Bajacalifornia erimoensis"
"Bathylaco nigricans","Bathylaco nigricans"
"Bathytroctes macrolepis","Bathytroctes macrolepis"
"Conocara salmoneum","Conocara salmoneum"
"Narcetes stomias","Narcetes stomias"
"Photostylus pycnopterus","Photostylus pycnopterus"
"Rouleina attrita","Rouleina attrita"
"Talismania bifurcata","Talismania bifurcata"
"Holtbyrnia innesi","Holtbyrnia innesi"
"Holtbyrnia laticauda","Holtbyrnia laticauda"
"Holtbyrnia latifrons","Holtbyrnia latifrons"
"Maulisia acuticeps","Maulisia acuticeps"
"Maulisia argipalla","Maulisia argipalla"
"Mentodus eubranchus","Mentodus eubranchus"
"Mentodus facilis","Mentodus facilis"
"Mirorictus taningi","Mirorictus taningi"
"Platytroctes apus","Platytroctes apus"
"Sagamichthys abei","Sagamichthys abei"
"Allosmerus elongatus","Allosmerus elongatus"
"Hypomesus nipponensis","Hypomesus nipponensis"
"Hypomesus olidus","Hypomesus olidus"
"Hypomesus pretiosus","Hypomesus pretiosus"
"Hypomesus transpacificus","Hypomesus transpacificus"
"Mallotus catervarius","Mallotus villosus"
"Mallotus villosus","Mallotus villosus"
"Osmerus dentex","Osmerus dentex"
"Osmerus mordax","Osmerus mordax"
"Spirinchus starksi","Spirinchus starksi"
"Spirinchus thaleichthys","Spirinchus thaleichthys"
"Thaleichthys pacificus","Thaleichthys pacificus"
"Coregonus autumnalis","Coregonus autumnalis"
"Coregonus laurettae","Coregonus laurettae"
"Coregonus nasus","Coregonus nasus"
"Coregonus pidschian","Coregonus pidschian"
"Coregonus clupeaformis","Coregonus clupeaformis"
"Coregonus sardinella","Coregonus sardinella"
"Oncorhynchus clarkii","Oncorhynchus clarkii"
"Parasalmo clarkii","Oncorhynchus clarkii"
"Oncorhynchus gorbuscha","Oncorhynchus gorbuscha"
"Oncorhynchus keta","Oncorhynchus keta"
"Oncorhynchus kisutch","Oncorhynchus kisutch"
"Oncorhynchus mykiss","Oncorhynchus mykiss"
"Salmo gairdnerii","Oncorhynchus mykiss"
"Oncorhynchus nerka","Oncorhynchus nerka"
"Oncorhynchus tshawytscha","Oncorhynchus tshawytscha"
"Prosopium cylindraceum","Prosopium cylindraceum"
"Salmo salar","Salmo salar"
"Salvelinus alpinus","Salvelinus alpinus"
"Salvelinus confluentus","Salvelinus confluentus"
"Salvelinus malma","Salvelinus malma"
"Stenodus leucichthys","Stenodus leucichthys"
"Cyclothone acclinidens","Cyclothone acclinidens"
"Cyclothone alba","Cyclothone alba"
"Cyclothone atraria","Cyclothone atraria"
"Cyclothone braueri","Cyclothone braueri"
"Cyclothone microdon","Cyclothone microdon"
"Cyclothone pallida","Cyclothone pallida"
"Cyclothone pseudopallida","Cyclothone pseudopallida"
"Cyclothone signata","Cyclothone signata"
"Diplophos proximus","Diplophos taenia"
"Diplophos taenia","Diplophos taenia"
"Gonostoma atlanticum","Gonostoma atlanticum"
"Sigmops elongatus","Sigmops elongatus"
"Gonostoma elongatum","Sigmops elongatus"
"Sigmops ebelingi","Sigmops ebelingi"
"Sigmops gracilis","Sigmops gracilis"
"Argyropelecus aculeatus","Argyropelecus aculeatus"
"Argyropelecus affinis","Argyropelecus affinis"
"Argyropelecus hemigymnus","Argyropelecus hemigymnus"
"Argyropelecus lychnus","Argyropelecus lychnus"
"Argyropelecus sladeni","Argyropelecus sladeni"
"Danaphos oculatus","Danaphos oculatus"
