"","species","ednafish","mifishlist","npfish","hakaiseinefish"
"125","Oncorhynchus clarkii lewisi",1,0,0,0
"126","Pholis crassispina",1,1,0,0
"127","Pholis ornata",1,1,1,0
"128","Phytichthys chirus",1,1,1,0
"129","Pleuronectes platessa",1,1,0,0
"130","Polypera greeni",1,1,1,0
"131","Prosopium williamsoni",1,1,0,0
"132","Rhamphocottus richardsonii",1,1,1,0
"133","Rhinichthys cataractae",1,1,0,0
"134","Ronquilus jordani",1,1,1,0
"135","Salmo salar",1,1,1,0
"136","Scomber japonicus",1,1,1,0
"137","Sebastes baramenuke",1,1,0,0
"138","Sebastes cheni",1,1,0,0
"139","Sebastes entomelas",1,1,1,0
"140","Sebastes koreanus",1,1,0,0
"141","Sebastes mystinus",1,1,1,0
"142","Sebastes nebulosus",1,1,1,0
"143","Sebastes nigrocinctus",1,1,1,0
"144","Sebastolobus macrochir",1,1,1,0
"145","Sprattus sprattus",1,1,0,0
"146","Stichaeus punctatus",1,1,1,0
"147","Xiphister atropurpureus",1,1,1,0
"148","Zaprora silenus",1,1,1,0
"149","Aaptosyax grypus",0,1,0,0
"150","Abalistes filamentosus",0,1,0,0
"151","Abalistes stellaris",0,1,0,0
"152","Abalistes stellatus",0,1,0,0
"153","Abbottina binhi",0,1,0,0
"154","Abbottina lalinensis",0,1,0,0
"155","Abbottina liaoningensis",0,1,0,0
"156","Abbottina obtusirostris",0,1,0,0
"157","Abbottina rivularis",0,1,0,0
"158","Ablabys binotatus",0,1,0,0
"159","Ablabys gymnothorax",0,1,0,0
"160","Ablabys macracanthus",0,1,0,0
"161","Ablabys taenianotus",0,1,0,0
"162","Ablennes hians",0,1,0,0
"163","Aboma etheostoma",0,1,0,0
"164","Aborichthys elongatus",0,1,0,0
"165","Abramis brama",0,1,0,0
"166","Abramis brama x Blicca bjoerkna",0,1,0,0
"167","Abramites hypselonotus",0,1,0,0
"168","Abramites sp",0,1,0,0
"169","Abudefduf abdominalis",0,1,0,0
"170","Abudefduf bengalensis",0,1,0,0
"171","Abudefduf caudobimaculatus",0,1,0,0
"172","Abudefduf concolor",0,1,0,0
"173","Abudefduf conformis",0,1,0,0
"174","Abudefduf declivifrons",0,1,0,0
"175","Abudefduf hoefleri",0,1,0,0
"176","Abudefduf lorenzi",0,1,0,0
"177","Abudefduf luridus",0,1,0,0
"178","Abudefduf margariteus",0,1,0,0
"179","Abudefduf natalensis",0,1,0,0
"180","Abudefduf nigrimargo",0,1,0,0
"181","Abudefduf notatus",0,1,0,0
"182","Abudefduf saxatilis",0,1,0,0
"183","Abudefduf septemfasciatus",0,1,0,0
"184","Abudefduf sexfasciatus",0,1,0,0
"185","Abudefduf sordidus",0,1,0,0
"186","Abudefduf sparoides",0,1,0,0
"187","Abudefduf taurus",0,1,0,0
"188","Abudefduf troschelii",0,1,0,0
"189","Abudefduf vaigiensis",0,1,0,0
"190","Abudefduf whitleyi",0,1,0,0
"191","Abyssocottus gibbosus",0,1,0,0
"192","Abyssocottus korotneffi",0,1,0,0
"193","Acanthaluteres brownii",0,1,0,0
"194","Acanthaluteres spilomelanurus",0,1,0,0
"195","Acanthaluteres vittiger",0,1,0,0
"196","Acanthaphritis barbata",0,1,0,0
"197","Acanthaphritis unoorum",0,1,0,0
"198","Acantharchus pomotis",0,1,0,0
"199","Acanthemblemaria aspera",0,1,0,0
"200","Acanthemblemaria betinensis",0,1,0,0
"201","Acanthemblemaria castroi",0,1,0,0
"202","Acanthemblemaria chaplini",0,1,0,0
"203","Acanthemblemaria crockeri",0,1,0,0
"204","Acanthemblemaria exilispinus",0,1,0,0
"205","Acanthemblemaria greenfieldi",0,1,0,0
"206","Acanthemblemaria hancocki",0,1,0,0
"207","Acanthemblemaria macrospilus",0,1,0,0
"208","Acanthemblemaria maria",0,1,0,0
"209","Acanthemblemaria paula",0,1,0,0
"210","Acanthemblemaria rivasi",0,1,0,0
"211","Acanthemblemaria spinosa",0,1,0,0
"212","Acanthicus adonis",0,1,0,0
"213","Acanthicus hystrix",0,1,0,0
"214","Acanthistius brasilianus",0,1,0,0
"215","Acanthistius cinctus",0,1,0,0
"216","Acanthistius joanae",0,1,0,0
"217","Acanthistius ocellatus",0,1,0,0
"218","Acanthistius patachonicus",0,1,0,0
"219","Acanthistius pictus",0,1,0,0
"220","Acanthistius serratus",0,1,0,0
"221","Acanthobrama lissneri",0,1,0,0
"222","Acanthobrama marmid",0,1,0,0
"223","Acanthobrama microlepis",0,1,0,0
"224","Acanthobrama orontis",0,1,0,0
"225","Acanthobrama persidis",0,1,0,0
"226","Acanthobrama telavivensis",0,1,0,0
"227","Acanthobunocephalus nicoi",0,1,0,0
"228","Acanthocepola abbreviata",0,1,0,0
"229","Acanthocepola indica",0,1,0,0
"230","Acanthocepola krusensternii",0,1,0,0
"231","Acanthocepola limbata",0,1,0,0
"232","Acanthochaenus luetkenii",0,1,0,0
"233","Acanthochromis polyacanthus",0,1,0,0
"234","Acanthocleithron chapini",0,1,0,0
"235","Acanthoclinus fuscus",0,1,0,0
"236","Acanthocobitis botia",0,1,0,0
"237","Acanthocobitis pavonacea",0,1,0,0
"238","Acanthocobitis urophthalmus",0,1,0,0
"239","Acanthocobitis zonalternans",0,1,0,0
"240","Acanthocybium solandri",0,1,0,0
"241","Acanthodoras cataphractus",0,1,0,0
"242","Acanthodoras spinosissimus",0,1,0,0
"243","Acanthodraco dewitti",0,1,0,0
"244","Acanthogobio guentheri",0,1,0,0
"245","Acanthogobius flavimanus",0,1,0,0
"246","Acanthogobius hasta",0,1,0,0
"247","Acanthogobius insularis",0,1,0,0
"248","Acanthogobius lactipes",0,1,0,0
"249","Acanthogobius luridus",0,1,0,0
"250","Acanthogobius stigmothonus",0,1,0,0
"251","Acantholabrus palloni",0,1,0,0
"252","Acantholatris monodactylus",0,1,0,0
"253","Acantholiparis opercularis",0,1,1,0
"254","Acantholumpenus mackayi",0,1,1,0
"255","Acanthonus armatus",0,1,1,0
"256","Acanthopagrus arabicus",0,1,0,0
"257","Acanthopagrus australis",0,1,0,0
"258","Acanthopagrus berda",0,1,0,0
"259","Acanthopagrus bifasciatus",0,1,0,0
"260","Acanthopagrus butcheri",0,1,0,0
"261","Acanthopagrus catenula",0,1,0,0
"262","Acanthopagrus chinshira",0,1,0,0
"263","Acanthopagrus datnia",0,1,0,0
"264","Acanthopagrus latus",0,1,0,0
"265","Acanthopagrus pacificus",0,1,0,0
"266","Acanthopagrus palmaris",0,1,0,0
"267","Acanthopagrus schlegelii",0,1,0,0
"268","Acanthopagrus schlegelii x Pagrus major",0,1,0,0
"269","Acanthopagrus sheim",0,1,0,0
"270","Acanthopagrus sivicolus",0,1,0,0
"271","Acanthopagrus taiwanensis",0,1,0,0
"272","Acanthopagrus vagus",0,1,0,0
"273","Acanthoplesiops psilogaster",0,1,0,0
"274","Acanthopoma annectens",0,1,0,0
"275","Acanthopsetta nadeshnyi",0,1,1,0
"276","Acanthostracion polygonius",0,1,0,0
"277","Acanthostracion quadricornis",0,1,1,0
"278","Acanthurus achilles",0,1,0,0
"279","Acanthurus albimento",0,1,0,0
"280","Acanthurus auranticavus",0,1,0,0
"281","Acanthurus bahianus",0,1,0,0
"282","Acanthurus bariene",0,1,0,0
"283","Acanthurus blochii",0,1,0,0
"284","Acanthurus chirurgus",0,1,0,0
"285","Acanthurus coeruleus",0,1,0,0
"286","Acanthurus dussumieri",0,1,0,0
"287","Acanthurus gahhm",0,1,0,0
"288","Acanthurus grammoptilus",0,1,0,0
"289","Acanthurus guttatus",0,1,0,0
"290","Acanthurus japonicus",0,1,0,0
"291","Acanthurus leucocheilus",0,1,0,0
"292","Acanthurus leucopareius",0,1,0,0
"293","Acanthurus leucosternon",0,1,0,0
"294","Acanthurus lineatus",0,1,0,0
"295","Acanthurus lineatus x Acanthurus sohal",0,1,0,0
"296","Acanthurus maculiceps",0,1,0,0
"297","Acanthurus mata",0,1,0,0
"298","Acanthurus monroviae",0,1,0,0
"299","Acanthurus nigricans",0,1,0,0
"300","Acanthurus nigricans x Acanthurus achilles",0,1,0,0
"301","Acanthurus nigricans x Acanthurus japonicus",0,1,0,0
"302","Acanthurus nigricans x Acanthurus leucosternon",0,1,0,0
"303","Acanthurus nigricauda",0,1,0,0
"304","Acanthurus nigrofuscus",0,1,0,0
"305","Acanthurus nigroris",0,1,0,0
"306","Acanthurus nigros",0,1,0,0
"307","Acanthurus nubilus",0,1,0,0
"308","Acanthurus olivaceus",0,1,0,0
"309","Acanthurus polyzona",0,1,0,0
"310","Acanthurus pyroferus",0,1,0,0
"311","Acanthurus reversus",0,1,0,0
"312","Acanthurus sohal",0,1,0,0
"313","Acanthurus tennentii",0,1,0,0
"314","Acanthurus thompsoni",0,1,0,0
"315","Acanthurus tractus",0,1,0,0
"316","Acanthurus triostegus",0,1,0,0
"317","Acanthurus tristis",0,1,0,0
"318","Acanthurus xanthopterus",0,1,0,0
"319","Acantopsis choirorhynchos",0,1,0,0
"320","Acantopsis dialuzona",0,1,0,0
"321","Acantopsis dinema",0,1,0,0
"322","Acantopsis ioa",0,1,0,0
"323","Acantopsis rungthipae",0,1,0,0
"324","Acantopsis spectabilis",0,1,0,0
"325","Acantopsis thiemmedhi",0,1,0,0
"326","Acapoeta tanganicae",0,1,0,0
"327","Acapoeta tanganicae x Labeobarbus sp",0,1,0,0
"328","Acarichthys heckelii",0,1,0,0
"329","Acaronia nassa",0,1,0,0
"330","Acaronia vultuosa",0,1,0,0
"331","Acentrogobius audax",0,1,0,0
"332","Acentrogobius caninus",0,1,0,0
"333","Acentrogobius chlorostigmatoides",0,1,0,0
"334","Acentrogobius dayi",0,1,0,0
"335","Acentrogobius janthinopterus",0,1,0,0
"336","Acentrogobius moloanus",0,1,0,0
"337","Acentrogobius multifasciatus",0,1,0,0
"338","Acentrogobius pflaumii",0,1,0,0
"339","Acentrogobius viganensis",0,1,0,0
"340","Acentrogobius virgatulus",0,1,0,0
"341","Acentrogobius viridipunctatus",0,1,0,0
"342","Acentronichthys leptos",0,1,0,0
"343","Acentronura breviperula",0,1,0,0
"344","Acentronura tentaculata",0,1,0,0
"345","Acentrophryne dolichonema",0,1,0,0
"346","Acestridium discus",0,1,0,0
"347","Acestridium gymnogaster",0,1,0,0
"348","Acestridium martini",0,1,0,0
"349","Acestridium scutatum",0,1,0,0
"350","Acestrocephalus sardina",0,1,0,0
"351","Acestrorhynchus abbreviatus",0,1,0,0
"352","Acestrorhynchus altus",0,1,0,0
"353","Acestrorhynchus britskii",0,1,0,0
"354","Acestrorhynchus falcatus",0,1,0,0
"355","Acestrorhynchus falcirostris",0,1,0,0
"356","Acestrorhynchus grandoculis",0,1,0,0
"357","Acestrorhynchus heterolepis",0,1,0,0
"358","Acestrorhynchus lacustris",0,1,0,0
"359","Acestrorhynchus microlepis",0,1,0,0
"360","Acestrorhynchus minimus",0,1,0,0
"361","Acestrorhynchus nasutus",0,1,0,0
"362","Acestrorhynchus pantaneiro",0,1,0,0
"363","Acestrorhynchus sp",0,1,0,0
"364","Acheilognathus argenteus",0,1,0,0
"365","Acheilognathus asmussii",0,1,0,0
"366","Acheilognathus barbatulus",0,1,0,0
"367","Acheilognathus barbatus",0,1,0,0
"368","Acheilognathus chankaensis",0,1,0,0
"369","Acheilognathus cyanostigma",0,1,0,0
"370","Acheilognathus deignani",0,1,0,0
"371","Acheilognathus gracilis",0,1,0,0
"372","Acheilognathus hypselonotus",0,1,0,0
"373","Acheilognathus imberbis",0,1,0,0
"374","Acheilognathus intermedia",0,1,0,0
"375","Acheilognathus lanchiensis",0,1,0,0
"376","Acheilognathus longibarbatus",0,1,0,0
"377","Acheilognathus longipinnis",0,1,0,0
"378","Acheilognathus macropterus",0,1,0,0
"379","Acheilognathus majusculus",0,1,0,0
"380","Acheilognathus melanogaster",0,1,0,0
"381","Acheilognathus meridianus",0,1,0,0
"382","Acheilognathus omeiensis",0,1,0,0
"383","Acheilognathus peihoensis",0,1,0,0
"384","Acheilognathus polylepis",0,1,0,0
"385","Acheilognathus rhombeus",0,1,0,0
"386","Acheilognathus signifer",0,1,0,0
"387","Acheilognathus somjinensis",0,1,0,0
"388","Acheilognathus tabira",0,1,0,0
"389","Acheilognathus tonkinensis",0,1,0,0
"390","Acheilognathus typus",0,1,0,0
"391","Acheilognathus yamatsutae",0,1,0,0
"392","Achiroides leucorhynchos",0,1,0,0
"393","Achiropsetta tricholepis",0,1,0,0
"394","Achirus achirus",0,1,0,0
"395","Achirus declivis",0,1,0,0
"396","Achirus lineatus",0,1,0,0
"397","Achoerodus viridis",0,1,0,0
"398","Achondrostoma arcasii",0,1,0,0
"399","Achondrostoma occidentale",0,1,0,0
"400","Achondrostoma oligolepis",0,1,0,0
"401","Achondrostoma salmantinum",0,1,0,0
"402","Acinocheirodon melanogramma",0,1,0,0
"403","Acipenser baerii",0,1,0,0
"404","Acipenser baerii x Acipenser schrenckii",0,1,0,0
"405","Acipenser baerii x Huso dauricus",0,1,0,0
"406","Acipenser brevirostrum",0,1,0,0
"407","Acipenser dabryanus",0,1,0,0
"408","Acipenser dabryanus x Acipenser schrenckii",0,1,0,0
"409","Acipenser fulvescens",0,1,0,0
"410","Acipenser gueldenstaedtii",0,1,0,0
"411","Acipenser gueldenstaedtii x Acipenser baerii",0,1,0,0
"412","Acipenser gueldenstaedtii x Huso dauricus",0,1,0,0
"413","Acipenser medirostris",0,1,1,0
"414","Acipenser mikadoi",0,1,0,0
"415","Acipenser naccarii",0,1,0,0
"416","Acipenser nudiventris",0,1,0,0
"417","Acipenser oxyrinchus",0,1,0,0
"418","Acipenser persicus",0,1,0,0
"419","Acipenser ruthenus",0,1,0,0
"420","Acipenser ruthenus x Acipenser baerii",0,1,0,0
"421","Acipenser ruthenus x Huso dauricus",0,1,0,0
"422","Acipenser schrenckii",0,1,0,0
"423","Acipenser schrenckii x Acipenser baerii",0,1,0,0
"424","Acipenser schrenckii x Huso dauricus",0,1,0,0
"425","Acipenser sinensis",0,1,0,0
"426","Acipenser sinensis x Acipenser schrenckii",0,1,0,0
"427","Acipenser stellatus",0,1,0,0
"428","Acipenser sturio",0,1,1,0
"429","Acipenser transmontanus",0,1,1,0
"430","Acnodon normani",0,1,0,0
"431","Acnodon oligacanthus",0,1,0,0
"432","Acnodon senai",0,1,0,0
"433","Acreichthys hajam",0,1,0,0
"434","Acreichthys tomentosus",0,1,0,0
"435","Acrobrycon ipanquianus",0,1,0,0
"436","Acrocheilus alutaceus",0,1,1,0
"437","Acrochordonichthys rugosus",0,1,0,0
"438","Acromycter nezumi",0,1,0,0
"439","Acromycter perturbator",0,1,0,0
"440","Acropoma argentistigma",0,1,0,0
"441","Acropoma hanedai",0,1,0,0
"442","Acropoma japonicum",0,1,0,0
"443","Acropoma lacrima",0,1,0,0
"444","Acropoma lecorneti",0,1,0,0
"445","Acrossocheilus barbodon",0,1,0,0
"446","Acrossocheilus beijiangensis",0,1,0,0
"447","Acrossocheilus cinctus",0,1,0,0
"448","Acrossocheilus fasciatus",0,1,0,0
"449","Acrossocheilus hemispinus",0,1,0,0
"450","Acrossocheilus iridescens",0,1,0,0
"451","Acrossocheilus jishouensis",0,1,0,0
"452","Acrossocheilus kreyenbergii",0,1,0,0
"453","Acrossocheilus longipinnis",0,1,0,0
"454","Acrossocheilus monticola",0,1,0,0
"455","Acrossocheilus paradoxus",0,1,0,0
"456","Acrossocheilus parallens",0,1,0,0
"457","Acrossocheilus spinifer",0,1,0,0
"458","Acrossocheilus stenotaeniatus",0,1,0,0
"459","Acrossocheilus wenchowensis",0,1,0,0
"460","Acrossocheilus wuyiensis",0,1,0,0
"461","Acrossocheilus yunnanensis",0,1,0,0
"462","Acroteriobatus annulatus",0,1,0,0
"463","Acroteriobatus variegatus",0,1,0,0
"464","Aculeola nigra",0,1,0,0
"465","Acyrtops beryllinus",0,1,0,0
"466","Acyrtus artius",0,1,0,0
"467","Acyrtus lanthanum",0,1,0,0
"468","Acyrtus rubiginosus",0,1,0,0
"469","Adelosebastes latens",0,1,0,0
"470","Adelotremus deloachi",0,1,0,0
"471","Adinia xenica",0,1,0,0
"472","Adontosternarchus balaenops",0,1,0,0
"473","Adontosternarchus clarkae",0,1,0,0
"474","Adontosternarchus devenanzii",0,1,0,0
"475","Adontosternarchus nebulosus",0,1,0,0
"476","Adontosternarchus sachsi",0,1,0,0
"477","Adontosternarchus sp",0,1,0,0
"478","Adrianichthys oophorus",0,1,0,0
"479","Adrianichthys poptae",0,1,0,0
"480","Aenigmachanna gollum",0,1,0,0
"481","Aenigmachanna mahabali",0,1,0,0
"482","Aeoliscus punctulatus",0,1,0,0
"483","Aeoliscus strigatus",0,1,0,0
"484","Aequidens chimantanus",0,1,0,0
"485","Aequidens diadema",0,1,0,0
"486","Aequidens epae",0,1,0,0
"487","Aequidens metae",0,1,0,0
"488","Aequidens michaeli",0,1,0,0
"489","Aequidens pallidus",0,1,0,0
"490","Aequidens patricki",0,1,0,0
"491","Aequidens potaroensis",0,1,0,0
"492","Aequidens tetramerus",0,1,0,0
"493","Aequidens tubicen",0,1,0,0
"494","Aesopia cornuta",0,1,0,0
"495","Aetapcus maculatus",0,1,0,0
"496","Aethaloperca rogaa",0,1,0,0
"497","Aethotaxis mitopteryx",0,1,0,0
"498","Aetobatus flagellum",0,1,0,0
"499","Aetobatus laticeps",0,1,0,0
"500","Aetobatus narinari",0,1,0,0
"501","Aetobatus narutobiei",0,1,0,0
"502","Aetobatus ocellatus",0,1,0,0
"503","Aetomylaeus bovinus",0,1,0,0
"504","Aetomylaeus maculatus",0,1,0,0
"505","Aetomylaeus milvus",0,1,0,0
"506","Aetomylaeus nichofii",0,1,0,0
"507","Aetomylaeus vespertilio",0,1,0,0
"508","Aetoplatea zonura",0,1,0,0
"509","Afronandus sheljuzhkoi",0,1,0,0
"510","Afurcagobius tamarensis",0,1,0,0
"511","Agamyxis albomaculatus",0,1,0,0
"512","Agamyxis pectinifrons",0,1,0,0
"513","Ageneiogarra imberba",0,1,0,0
"514","Ageneiosus akamai",0,1,0,0
"515","Ageneiosus dentatus",0,1,0,0
"516","Ageneiosus inermis",0,1,0,0
"517","Ageneiosus intrusus",0,1,0,0
"518","Ageneiosus lineatus",0,1,0,0
"519","Ageneiosus magoi",0,1,0,0
"520","Ageneiosus marmoratus",0,1,0,0
"521","Ageneiosus militaris",0,1,0,0
"522","Ageneiosus pardalis",0,1,0,0
"523","Ageneiosus polystictus",0,1,0,0
"524","Ageneiosus ucayalensis",0,1,0,0
"525","Ageneiosus uranophthalmus",0,1,0,0
"526","Ageneiosus vittatus",0,1,0,0
"527","Agoniates anchovia",0,1,0,0
"528","Agoniates halecinus",0,1,0,0
"529","Agonomalus proboscidalis",0,1,0,0
"530","Agonopsis sterletus",0,1,0,0
"531","Agonopsis vulsa",0,1,1,0
"532","Agonostomus catalai",0,1,0,0
"533","Agonostomus monticola",0,1,0,0
"534","Agonostomus telfairii",0,1,0,0
"535","Agonus cataphractus",0,1,0,0
"536","Agosia chrysogaster",0,1,0,0
"537","Agrostichthys parkeri",0,1,0,0
"538","Aguarunichthys inpai",0,1,0,0
"539","Aguarunichthys torosus",0,1,0,0
"540","Ahlia egmontis",0,1,0,0
"541","Ahliesaurus berryi",0,1,0,0
"542","Aidablennius sphynx",0,1,0,0
"543","Ailia coila",0,1,0,0
"544","Aioliops novaeguineae",0,1,0,0
"545","Akarotaxis nudiceps",0,1,0,0
"546","Akawaio penak",0,1,0,0
"547","Akihito futuna",0,1,0,0
"548","Akihito vanuatu",0,1,0,0
"549","Akysis brachybarbatus",0,1,0,0
"550","Akysis longifilis",0,1,0,0
"551","Akysis manipurensis",0,1,0,0
"552","Akysis prashadi",0,1,0,0
"553","Alabes dorsalis",0,1,0,0
"554","Alabes hoesei",0,1,0,0
"555","Alabes scotti",0,1,0,0
"556","Albatrossia pectoralis",0,1,1,0
"557","Albula argentea",0,1,0,0
"558","Albula esuncula",0,1,0,0
"559","Albula gilberti",0,1,0,0
"560","Albula glossodonta",0,1,0,0
"561","Albula goreensis",0,1,0,0
"562","Albula koreana",0,1,0,0
"563","Albula nemoptera",0,1,0,0
"564","Albula neoguinaica",0,1,0,0
"565","Albula oligolepis",0,1,0,0
"566","Albula pacifica",0,1,0,0
"567","Albula virgata",0,1,0,0
"568","Albula vulpes",0,1,0,0
"569","Albulichthys albuloides",0,1,0,0
"570","Alburnoides bipunctatus",0,1,0,0
"571","Alburnoides coadi",0,1,0,0
"572","Alburnoides coskuncelebii",0,1,0,0
"573","Alburnoides damghani",0,1,0,0
"574","Alburnoides devolli",0,1,0,0
"575","Alburnoides diclensis",0,1,0,0
"576","Alburnoides economoui",0,1,0,0
"577","Alburnoides eichwaldii",0,1,0,0
"578","Alburnoides emineae",0,1,0,0
"579","Alburnoides fangfangae",0,1,0,0
"580","Alburnoides fasciatus",0,1,0,0
"581","Alburnoides freyhofi",0,1,0,0
"582","Alburnoides gmelini",0,1,0,0
"583","Alburnoides holciki",0,1,0,0
"584","Alburnoides idignensis",0,1,0,0
"585","Alburnoides kosswigi",0,1,0,0
"586","Alburnoides kubanicus",0,1,0,0
"587","Alburnoides kurui",0,1,0,0
"588","Alburnoides maculatus",0,1,0,0
"589","Alburnoides manyasensis",0,1,0,0
"590","Alburnoides namaki",0,1,0,0
"591","Alburnoides nicolausi",0,1,0,0
"592","Alburnoides ohridanus",0,1,0,0
"593","Alburnoides prespensis",0,1,0,0
"594","Alburnoides qanati",0,1,0,0
"595","Alburnoides samiii",0,1,0,0
"596","Alburnoides smyrnae",0,1,0,0
"597","Alburnoides strymonicus",0,1,0,0
"598","Alburnoides tabarestanensis",0,1,0,0
"599","Alburnoides taeniatus",0,1,0,0
"600","Alburnoides thessalicus",0,1,0,0
"601","Alburnoides velioglui",0,1,0,0
"602","Alburnus adanensis",0,1,0,0
"603","Alburnus albidus",0,1,0,0
"604","Alburnus alburnus",0,1,0,0
"605","Alburnus arborella",0,1,0,0
"606","Alburnus atropatenae",0,1,0,0
"607","Alburnus attalus",0,1,0,0
"608","Alburnus baliki",0,1,0,0
"609","Alburnus battalgilae",0,1,0,0
"610","Alburnus belvica",0,1,0,0
"611","Alburnus belvica x Rutilus prespensis",0,1,0,0
