taxa_query,phylum,class,order,family,freshwater_only,terrestrial_only,genus_split,taxa,rank,worms_aphiaid,bold_id,gbif_key,ott_id,worms_sciname,tol_sciname,bold_taxon,gbif_sciname,subclass,genus,species,wormsid_phylum,wormsid_class,wormsid_subclass,wormsid_order,wormsid_family,wormsid_genus,wormsid_species,authority,is_synonym,flags,valid_name,status,aphia_id
Xiphinema floridae,Nematoda,NA,NA,NA,0,1,Xiphinema,Xiphinema floridae,NA,NA,NA,NA,98666,NA,Xiphinema floridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Xiphinema,accepted,583061
Xiphinema rivesi,Nematoda,NA,NA,NA,0,1,Xiphinema,Xiphinema rivesi,species,NA,169470,4554488,966917,NA,Xiphinema rivesi,Xiphinema rivesi,"Xiphinema rivesi Dalmasso, 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Xiphinema,accepted,583061
Xiphinema diffusum,Nematoda,NA,NA,NA,0,1,Xiphinema,Xiphinema diffusum,NA,NA,NA,NA,822643,NA,Xiphinema diffusum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Xiphinema,accepted,583061
Xiphinema taylori,Nematoda,NA,NA,NA,0,1,Xiphinema,Xiphinema taylori,NA,NA,NA,NA,393058,NA,Xiphinema taylori,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Xiphinema,accepted,583061
Xiphinema incognitum,Nematoda,NA,NA,NA,0,1,Xiphinema,Xiphinema incognitum,species,NA,169477,4554503,527594,NA,Xiphinema incognitum,Xiphinema incognitum,"Xiphinema incognitum Lamberti & Bleve-Zacheo, 1979",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Xiphinema,accepted,583061
Xiphinema simile,Nematoda,NA,NA,NA,0,1,Xiphinema,Xiphinema simile,species,NA,169425,4554502,981425,NA,Xiphinema simile,Xiphinema simile,"Xiphinema simile Lamberti et al., 1983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Xiphinema,accepted,583061
Onchocerca eberhardi,Nematoda,NA,NA,NA,1,1,Onchocerca,Onchocerca eberhardi,species,NA,666671,8719717,530570,NA,Onchocerca eberhardi,Onchocerca eberhardi,Onchocerca eberhardi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1585475
Onchocerca skrjabini,Nematoda,NA,NA,NA,1,1,Onchocerca,Onchocerca skrjabini,species,NA,666672,4557109,236226,NA,Onchocerca skrjabini,Onchocerca skrjabini,"Onchocerca skrjabini Ruchljadev, 1964",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1585475
Onchocerca suzukii,Nematoda,NA,NA,NA,1,1,Onchocerca,Onchocerca suzukii,species,NA,666673,7031768,39022,NA,Onchocerca suzukii,Onchocerca suzukii,Onchocerca suzukii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1585475
Onchocerca volvulus,Nematoda,NA,NA,NA,1,1,Onchocerca,Onchocerca volvulus,species,NA,30457,7031770,819809,NA,Onchocerca volvulus,Onchocerca volvulus,"Onchocerca volvulus Leuckart, 1893",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1585475
