taxa_query,taxa,tol_sciname,genus_split,rank,ott_id,is_synonym,flags,valid_name,status,terrestrial_only,freshwater_only,aphia_id
Bythiospeum acutum,Bythiospeum acutum,Bythiospeum acutum,Bythiospeum,NA,4960092,FALSE,NA,Bythiospeum,accepted,0,1,475218
Hemicycla retrodens,Hemicycla retrodens,Hemicycla retrodens,Hemicycla,species,557190,FALSE,NA,Hemicycla,accepted,1,0,996423
Hemicyclavariae,Hemicyclavariae,Hemicycla nivariae,Hemicycla,NA,94448,FALSE,NA,Hemicycla,accepted,1,0,996423
Gulella linguifera,Gulella linguifera,Gulella linguifera,Gulella,species,408784,FALSE,sibling_higher,Gulella,accepted,1,0,818295
Bostryx apodemetes,Bostryx apodemetes,Bostryx apodemetes,Bostryx,NA,858023,FALSE,NA,Bostryx,accepted,1,0,866574
Cochlostoma yapigium,Cochlostoma yapigium,Cochlostoma yapigium,Cochlostoma,species,873582,FALSE,incertae_sedis,Cochlostoma,accepted,1,0,934001
Cochlostoma dionysii,Cochlostoma dionysii,Cochlostoma dionysii,Cochlostoma,species,915266,FALSE,incertae_sedis,Cochlostoma,accepted,1,0,934001
Bellamya quadrata,Bellamya quadrata,Bellamya quadrata,Bellamya,species,688123,FALSE,NA,Bellamya,accepted,0,1,716177
Tricula wumingensis,Tricula wumingensis,Tricula wumingensis,Tricula,species,1097828,FALSE,NA,Tricula,accepted,0,1,724822
Tricula hongshanensis,Tricula hongshanensis,Tricula hongshanensis,Tricula,NA,803710,FALSE,NA,Tricula,accepted,0,1,724822
Tricula hsiangi,Tricula hsiangi,Tricula hsiangi,Tricula,species,803713,FALSE,NA,Tricula,accepted,0,1,724822
Chittypoma jarvisi,Chittypoma jarvisi,Chittypoma jarvisi,Chittypoma,NA,634858,FALSE,NA,Chittypoma,accepted,1,0,995446
Parachondria campbellii,Parachondria campbellii,Parachondria campbellii,Parachondria,NA,1068848,FALSE,sibling_higher,Parachondria,accepted,1,0,932071
Parachondria shepardiana,Parachondria shepardiana,Parachondria shepardiana,Parachondria,NA,1068842,FALSE,sibling_higher,Parachondria,accepted,1,0,932071
Parachondria wilkinsonii,Parachondria wilkinsonii,Parachondria wilkinsonii,Parachondria,species,7494682,FALSE,sibling_higher,Parachondria,accepted,1,0,932071
Chondropoma clenchi,Chondropoma clenchi,Chondropoma clenchi,Chondropoma,species,516467,FALSE,NA,Chondropoma,accepted,1,0,932080
Chondropoma dilatatum,Chondropoma dilatatum,Chondropoma dilatatum,Chondropoma,NA,816303,FALSE,NA,Chondropoma,accepted,1,0,932080
Chondropoma compressa,Chondropoma compressa,Chondropoma compressa,Chondropoma,NA,930160,FALSE,NA,Chondropoma,accepted,1,0,932080
Chilostoma pelia,Chilostoma pelia,Chilostoma pelia,Chilostoma,species,2879819,FALSE,NA,Chilostoma,accepted,1,0,871085
Chilostoma lefeburiana,Chilostoma lefeburiana,Chilostoma lefeburiana,Chilostoma,species,2879846,FALSE,NA,Chilostoma,accepted,1,0,871085
Chilostoma planospira,Chilostoma planospira,Chilostoma planospira,Chilostoma,species,189133,FALSE,NA,Chilostoma,accepted,1,0,871085
Chilostoma desmoulinsii,Chilostoma desmoulinsii,Chilostoma desmoulinsii,Chilostoma,species,2879866,FALSE,NA,Chilostoma,accepted,1,0,871085
Chilostoma squamatinum,Chilostoma squamatinum,Chilostoma squamatinum,Chilostoma,species,2879812,FALSE,NA,Chilostoma,accepted,1,0,871085
Chilostoma glaciale,Chilostoma glaciale,Chilostoma glaciale,Chilostoma,NA,712676,FALSE,NA,Chilostoma,accepted,1,0,871085
