taxa_query,phylum,class,order,family,freshwater_only,terrestrial_only,genus_split,taxa,tol_sciname,rank,ott_id,is_synonym,flags,valid_name,status,aphia_id
Tithaeus,Arthropoda,Arachnida,Opiliones,Tithaeidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metatithaeus rubidus,Arthropoda,Arachnida,Opiliones,Tithaeidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Torreana spinata,Arthropoda,Arachnida,Opiliones,Agoristenidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acutisoma longipes,Arthropoda,Arachnida,Opiliones,Gonyleptidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Megapachylus grandis,Arthropoda,Arachnida,Opiliones,Gonyleptidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stygnopsis,Arthropoda,Arachnida,Opiliones,Stygnopsidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arulla,Arthropoda,Arachnida,Opiliones,Assamiidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lacurbs,Arthropoda,Arachnida,Opiliones,Biantidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Badessa,Arthropoda,Arachnida,Opiliones,Samoidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stygnomma teapense,Arthropoda,Arachnida,Opiliones,Stygnommatidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guasinia,Arthropoda,Arachnida,Opiliones,Guasiniidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Icaleptes,Arthropoda,Arachnida,Opiliones,Icaleptidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kimula goodnightiorum,Arthropoda,Arachnida,Opiliones,Kimulidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epedanoidea,Arthropoda,Arachnida,Opiliones,NULL,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gonyleptoidea,Arthropoda,Arachnida,Opiliones,NULL,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ischyropsalis pyrenaea,Arthropoda,Arachnida,Opiliones,Ischyropsalididae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leiobunidae,Arthropoda,Arachnida,Opiliones,Leiobunidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sclerosomatidae,Arthropoda,Arachnida,Opiliones,Sclerosomatidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trogulus nepaeformis,Arthropoda,Arachnida,Opiliones,Trogulidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ischyropsalis,Arthropoda,Arachnida,Opiliones,Ischyropsalididae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trogulus,Arthropoda,Arachnida,Opiliones,Trogulidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fissiphallius chicoi,Arthropoda,Arachnida,Opiliones,Fissiphalliidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zalmoxis insularis,Arthropoda,Arachnida,Opiliones,Zalmoxidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zalmoxis kaktinsae,Arthropoda,Arachnida,Opiliones,Zalmoxidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zalmoxis perditus,Arthropoda,Arachnida,Opiliones,Zalmoxidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zalmoxis princeps,Arthropoda,Arachnida,Opiliones,Zalmoxidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zalmoxis mitobatipes,Arthropoda,Arachnida,Opiliones,Zalmoxidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zalmoxis cuspanalis,Arthropoda,Arachnida,Opiliones,Zalmoxidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zalmoxis robustus,Arthropoda,Arachnida,Opiliones,Zalmoxidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zalmoxis pygmaeus,Arthropoda,Arachnida,Opiliones,Zalmoxidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zalmoxis darwinensis,Arthropoda,Arachnida,Opiliones,Zalmoxidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zalmoxis cardwellensis,Arthropoda,Arachnida,Opiliones,Zalmoxidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zalmoxis falcifer,Arthropoda,Arachnida,Opiliones,Zalmoxidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zalmoxis furcifer,Arthropoda,Arachnida,Opiliones,Zalmoxidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zalmoxis dammermani,Arthropoda,Arachnida,Opiliones,Zalmoxidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethobunus foliatus,Arthropoda,Arachnida,Opiliones,Zalmoxidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethobunus,Arthropoda,Arachnida,Opiliones,Zalmoxidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethobunus brevis,Arthropoda,Arachnida,Opiliones,Zalmoxidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethobunus tuberculatus,Arthropoda,Arachnida,Opiliones,Zalmoxidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zalmoxis bendis,Arthropoda,Arachnida,Opiliones,Zalmoxidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pachylicus,Arthropoda,Arachnida,Opiliones,Zalmoxidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zalmoxis kotys,Arthropoda,Arachnida,Opiliones,Zalmoxidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethobunus tarsalis,Arthropoda,Arachnida,Opiliones,Zalmoxidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pachylicus spinatus,Arthropoda,Arachnida,Opiliones,Zalmoxidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fissiphallius,Arthropoda,Arachnida,Opiliones,Fissiphalliidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parascotolemon,Arthropoda,Arachnida,Opiliones,Zalmoxidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phalangodinella,Arthropoda,Arachnida,Opiliones,Zalmoxidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zalmoxoidea,Arthropoda,Arachnida,Opiliones,NULL,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Traiania,Arthropoda,Arachnida,Opiliones,Zalmoxidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Costabrimma,Arthropoda,Arachnida,Opiliones,NULL,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zalmoxis gebeleizis,Arthropoda,Arachnida,Opiliones,Zalmoxidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eurybunus brunneus,Arthropoda,Arachnida,Opiliones,Sclerosomatidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dalquestia grasshoffi,Arthropoda,Arachnida,Opiliones,Sclerosomatidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gyas titanus,Arthropoda,Arachnida,Opiliones,Sclerosomatidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nelima doriae,Arthropoda,Arachnida,Opiliones,Leiobunidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nelima paessleri,Arthropoda,Arachnida,Opiliones,Leiobunidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nelima aokii,Arthropoda,Arachnida,Opiliones,Leiobunidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
