taxa_query,phylum,class,order,family,freshwater_only,terrestrial_only,genus_split,taxa,tol_sciname,rank,ott_id,is_synonym,flags,valid_name,status,aphia_id
Placobdella montifera,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Placobdella papillifera,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haementeria molesta,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Placobdella transluscens,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glossiphonia baicalensis,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Theromyzon bifarium,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alboglossiphonia weberi,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alboglossiphonia quadrata,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oosthuizobdella garoui,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Placobdella costata,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Placobdelloides siamensis,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Placobdelloides jaegerskioeldi,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Placobdelloides fimbriata,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eclipidrilus palustris,Annelida,Clitellata,Lumbriculida,Lumbriculidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Batracobdella algira,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Placobdella ali,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Travoscolides chengannures,Annelida,Clitellata,Crassiclitellata,Megascolecidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haementeria lopezi,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haementeria acuecueyetzin,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haementeria officinalis,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haementeria depressa,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haementeria paraguayensis,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oligobdella brasiliensis,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tonoscolex birmanicus,Annelida,Clitellata,Crassiclitellata,Megascolecidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Placobdella cryptobranchii,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Placobdella hollensis,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alboglossiphonia papillosa,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pheretima apoensis,Annelida,Clitellata,Crassiclitellata,Megascolecidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pheretima boaensis,Annelida,Clitellata,Crassiclitellata,Megascolecidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pheretima camiguinensis,Annelida,Clitellata,Crassiclitellata,Megascolecidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pheretima timpoongensis,Annelida,Clitellata,Crassiclitellata,Megascolecidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Placobdella lamothei,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Placobdella nuchalis,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Placobdella ringueleti,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glaberana,Arthropoda,Insecta,Hemiptera,Cicadellidae,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gastrostomobdella monticola,Annelida,Clitellata,Hirudinida,Gastrostomobdellidae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odontobdella blanchardi,Annelida,Clitellata,Hirudinida,Salifidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orobdella tsushimensis,Annelida,Clitellata,Hirudinida,Orobdellidae,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orobdella esulcata,Annelida,Clitellata,Hirudinida,Orobdellidae,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orobdella whitmani,Annelida,Clitellata,Hirudinida,Orobdellidae,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orobdella shimadae,Annelida,Clitellata,Hirudinida,Orobdellidae,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orobdella dolichopharynx,Annelida,Clitellata,Hirudinida,Orobdellidae,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orobdella ijimai,Annelida,Clitellata,Hirudinida,Orobdellidae,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orobdella kawakatsuorum,Annelida,Clitellata,Hirudinida,Orobdellidae,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orobdella koikei,Annelida,Clitellata,Hirudinida,Orobdellidae,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orobdella octonaria,Annelida,Clitellata,Hirudinida,Orobdellidae,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tritetrabdella taiwana,Annelida,Clitellata,Hirudinida,Haemadipsidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orobdella mononoke,Annelida,Clitellata,Hirudinida,Orobdellidae,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orobdella ketagalan,Annelida,Clitellata,Hirudinida,Orobdellidae,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orobdella masaakikuroiwai,Annelida,Clitellata,Hirudinida,Orobdellidae,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnatis paluda,Annelida,Clitellata,Hirudinida,Hirudinidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haemadipsa sylvestris,Annelida,Clitellata,Hirudinida,Haemadipsidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chtonobdella bilineata,Annelida,Clitellata,Hirudinida,Haemadipsidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ankyrodrilus legaeus,Annelida,Clitellata,Branchiobdellida,Branchiobdellidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bdellodrilus illuminatus,Annelida,Clitellata,Branchiobdellida,Branchiobdellidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Branchiobdella pentadonta,Annelida,Clitellata,Branchiobdellida,Branchiobdellidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceratodrilus orphiorhysis,Annelida,Clitellata,Branchiobdellida,Branchiobdellidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cirrodrilus sapporensis,Annelida,Clitellata,Branchiobdellida,Branchiobdellidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Magmatodrilus obscurus,Annelida,Clitellata,Branchiobdellida,Branchiobdellidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oedipodrilus macbaini,Annelida,Clitellata,Branchiobdellida,Branchiobdellidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterodrilus annulatus,Annelida,Clitellata,Branchiobdellida,Branchiobdellidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sathodrilus attenuatus,Annelida,Clitellata,Branchiobdellida,Branchiobdellidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Triannulata magna,Annelida,Clitellata,Branchiobdellida,Branchiobdellidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xironidrilus formosus,Annelida,Clitellata,Branchiobdellida,Branchiobdellidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Americobdella valdiviana,Annelida,Clitellata,Hirudinida,Americobdellidae,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cylicobdella coccinea,Annelida,Clitellata,Hirudinida,Cylicobdellidae,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haemadipsa sumatrana,Annelida,Clitellata,Hirudinida,Haemadipsidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poecilobdella manillensis,Annelida,Clitellata,Hirudinida,Hirudinidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aliolimnatis africana,Annelida,Clitellata,Hirudinida,Hirudinidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mesobdella gemmata,Annelida,Clitellata,Hirudinida,Xerobdellidae,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Semiscolex similis,Annelida,Clitellata,Hirudinida,Semiscolecidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patagoniobdella fraterna,Annelida,Clitellata,Hirudinida,Semiscolecidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eisenia eiseni,Annelida,Clitellata,Haplotaxida,Lumbricidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philobdella gracilis,Annelida,Clitellata,Hirudinida,Hirudinidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philobdella floridana,Annelida,Clitellata,Hirudinida,Hirudinidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macrobdella diplotertia,Annelida,Clitellata,Hirudinida,Hirudinidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bimastos parvus,Annelida,Clitellata,Haplotaxida,Lumbricidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chtonobdella whitmani,Annelida,Clitellata,Hirudinida,Haemadipsidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diestecostoma magna,Annelida,Clitellata,Hirudinida,Xerobdellidae,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diestecostoma mexicana,Annelida,Clitellata,Hirudinida,Xerobdellidae,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diestecostoma trujillensis,Annelida,Clitellata,Hirudinida,Xerobdellidae,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haemadipsa interrupta,Annelida,Clitellata,Hirudinida,Haemadipsidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chtonobdella seychellensis,Annelida,Clitellata,Hirudinida,Haemadipsidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chtonobdella fallax,Annelida,Clitellata,Hirudinida,Haemadipsidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chtonobdella skottsbergi,Annelida,Clitellata,Hirudinida,Haemadipsidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xerobdella lecomtei,Annelida,Clitellata,Hirudinida,Xerobdellidae,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eisenoides carolinensis,Annelida,Clitellata,Haplotaxida,Lumbricidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eisenia zebra,Annelida,Clitellata,Haplotaxida,Lumbricidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aliolimnatis michaelseni,Annelida,Clitellata,Hirudinida,Hirudinidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aliolimnatis oligodonta,Annelida,Clitellata,Hirudinida,Hirudinidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aliolimnatis buntonensis,Annelida,Clitellata,Hirudinida,Hirudinidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asiaticobdella fenestrata,Annelida,Clitellata,Hirudinida,Hirudinidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goddardobdella elegans,Annelida,Clitellata,Hirudinida,Hirudinidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnobdella mexicana,Annelida,Clitellata,Hirudinida,Hirudinidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Semiscolex intermedius,Annelida,Clitellata,Hirudinida,Semiscolecidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Semiscolex lamothei,Annelida,Clitellata,Hirudinida,Semiscolecidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myxobdella annandalei,Annelida,Clitellata,Hirudinida,Hirudinidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pintobdella chiapasensis,Annelida,Clitellata,Hirudinida,Hirudinidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyrannobdella rex,Annelida,Clitellata,Hirudinida,Hirudinidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Octodrilus juvyi,Annelida,Clitellata,Haplotaxida,Lumbricidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Domanibdella palmyrae,Annelida,Clitellata,Hirudinida,Haemadipsidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chtonobdella,Annelida,Clitellata,Hirudinida,Haemadipsidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chtonobdella pungens,Annelida,Clitellata,Hirudinida,Haemadipsidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoterrabdella australis,Annelida,Clitellata,Hirudinida,Haemadipsidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chtonobdella tanae,Annelida,Clitellata,Hirudinida,Haemadipsidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Domanibdella,Annelida,Clitellata,Hirudinida,Haemadipsidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haemadipsa cavatuses,Annelida,Clitellata,Hirudinida,Haemadipsidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haemadipsa limuna,Annelida,Clitellata,Hirudinida,Haemadipsidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haemadipsa crenata,Annelida,Clitellata,Hirudinida,Haemadipsidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haemadipsa japonica,Annelida,Clitellata,Hirudinida,Haemadipsidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haemadipsa trimaculosa,Annelida,Clitellata,Hirudinida,Haemadipsidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haemadipsa rjukjuana,Annelida,Clitellata,Hirudinida,Haemadipsidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haemadipsa ornata,Annelida,Clitellata,Hirudinida,Haemadipsidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haemadipsa montana,Annelida,Clitellata,Hirudinida,Haemadipsidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chtonobdella mediorubra,Annelida,Clitellata,Hirudinida,Haemadipsidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chtonobdella niarchosorum,Annelida,Clitellata,Hirudinida,Haemadipsidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chtonobdella vagans,Annelida,Clitellata,Hirudinida,Haemadipsidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chtonobdella gloriosi,Annelida,Clitellata,Hirudinida,Haemadipsidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haemadipsa cochiniana,Annelida,Clitellata,Hirudinida,Haemadipsidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnobdella grandis,Annelida,Clitellata,Hirudinida,Hirudinidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Planobdella,Annelida,Clitellata,Hirudinida,Haemadipsidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leiobdella,Annelida,Clitellata,Hirudinida,Haemadipsidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tritetrabdella scandens,Annelida,Clitellata,Hirudinida,Haemadipsidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haemadipsa hainana,Annelida,Clitellata,Hirudinida,Haemadipsidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salifa perspicax,Annelida,Clitellata,Hirudinida,Salifidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maoridrilus felix,Annelida,Clitellata,Haplotaxida,Acanthodrilidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Octochaetus kenleei,Annelida,Clitellata,Haplotaxida,Octochaetidae,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deinodrilus gorgon,Annelida,Clitellata,Haplotaxida,Acanthodrilidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vignysa teres,Annelida,Clitellata,Haplotaxida,Hormogastridae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poecilobdella javanica,Annelida,Clitellata,Hirudinida,Hirudinidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplochaetella stuarti,Annelida,Clitellata,Haplotaxida,Octochaetidae,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eiseniona gerardoi,Annelida,Clitellata,Haplotaxida,Lumbricidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tritetrabdella kinabaluensis,Annelida,Clitellata,Hirudinida,Haemadipsidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eisenia storkani,Annelida,Clitellata,Haplotaxida,Lumbricidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bimastos heimburgeri,Annelida,Clitellata,Haplotaxida,Lumbricidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bimastos tumidus,Annelida,Clitellata,Haplotaxida,Lumbricidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Healyella jordanis,Annelida,Clitellata,Haplotaxida,Lumbricidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Healyella syriaca,Annelida,Clitellata,Haplotaxida,Lumbricidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spermophorodrilus antiquus,Annelida,Clitellata,Haplotaxida,Lumbricidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bimastos longicinctus,Annelida,Clitellata,Haplotaxida,Lumbricidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eisenoides lonnbergi,Annelida,Clitellata,Haplotaxida,Lumbricidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salifa motokawai,Annelida,Clitellata,Hirudinida,Salifidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tritetrabdella longiducta,Annelida,Clitellata,Hirudinida,Haemadipsidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orobdella brachyepididymis,Annelida,Clitellata,Hirudinida,Orobdellidae,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orobdella nakahamai,Annelida,Clitellata,Hirudinida,Orobdellidae,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orobdella okanoi,Annelida,Clitellata,Hirudinida,Orobdellidae,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orobdella yamaneae,Annelida,Clitellata,Hirudinida,Orobdellidae,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poecilobdella nanjingensis,Annelida,Clitellata,Hirudinida,Hirudinidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orobdella kanaekoikeae,Annelida,Clitellata,Hirudinida,Orobdellidae,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myxobdella sinanensis,Annelida,Clitellata,Hirudinida,Hirudinidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gastrostomobdella ampunganensis,Annelida,Clitellata,Hirudinida,Gastrostomobdellidae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gastrostomobdella extenta,Annelida,Clitellata,Hirudinida,Gastrostomobdellidae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orobdella meisai,Annelida,Clitellata,Hirudinida,Orobdellidae,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orobdella angustata,Annelida,Clitellata,Hirudinida,Orobdellidae,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haemadipsa tianmushana,Annelida,Clitellata,Hirudinida,Haemadipsidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Octodrilus tergestinus,Annelida,Clitellata,Haplotaxida,Lumbricidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Octodrilus zicsiniello,Annelida,Clitellata,Haplotaxida,Lumbricidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Octodrilus mimus,Annelida,Clitellata,Haplotaxida,Lumbricidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendrobaena hrabei,Annelida,Clitellata,Haplotaxida,Lumbricidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erpobdella microstoma,Annelida,Clitellata,Arhynchobdellida,Erpobdellidae,1,NA,Erpobdella,Erpobdella microstoma,Erpobdella microstoma,species,7486056,FALSE,NA,Erpobdella,accepted,160006
Metaphire sieboldi,Annelida,Clitellata,Crassiclitellata,Megascolecidae,NA,1,Metaphire,Metaphire sieboldi,Metaphire sieboldi,species,833400,FALSE,NA,Metaphire,accepted,1062143
Metaphire tosaensis,Annelida,Clitellata,Crassiclitellata,Megascolecidae,NA,1,Metaphire,Metaphire tosaensis,Metaphire tosaensis,species,833402,FALSE,NA,Metaphire,accepted,1062143
Amynthas vittatus,Annelida,Clitellata,Crassiclitellata,Megascolecidae,0,1,Amynthas,Amynthas vittatus,Amynthas vittatus,species,191497,FALSE,sibling_higher,Amynthas,accepted,1062218
Metaphire hilgendorfi,Annelida,Clitellata,Crassiclitellata,Megascolecidae,NA,1,Metaphire,Metaphire hilgendorfi,Metaphire hilgendorfi,species,833406,FALSE,NA,Metaphire,accepted,1062143
Metaphire megascolidioides,Annelida,Clitellata,Crassiclitellata,Megascolecidae,NA,1,Metaphire,Metaphire megascolidioides,Metaphire megascolidioides,species,72069,FALSE,NA,Metaphire,accepted,1062143
Amynthas carnosus,Annelida,Clitellata,Crassiclitellata,Megascolecidae,0,1,Amynthas,Amynthas carnosus,Amynthas carnosus,species,370242,FALSE,sibling_higher,Amynthas,accepted,1062218
Amynthas distichus,Annelida,Clitellata,Crassiclitellata,Megascolecidae,0,1,Amynthas,Amynthas distichus,Amynthas distichus,species,370248,FALSE,sibling_higher,Amynthas,accepted,1062218
Amynthas fuscatus,Annelida,Clitellata,Crassiclitellata,Megascolecidae,0,1,Amynthas,Amynthas fuscatus,Amynthas fuscatus,species,370234,FALSE,sibling_higher,Amynthas,accepted,1062218
