taxa_query,taxa,rank,worms_aphiaid,bold_id,gbif_key,ott_id,worms_sciname,tol_sciname,genus_split,bold_taxon,gbif_sciname,phylum,class,subclass,order,family,genus,species,wormsid_phylum,wormsid_class,wormsid_subclass,wormsid_order,wormsid_family,wormsid_genus,wormsid_species,authority,is_synonym,flags,valid_name,status,terrestrial_only,freshwater_only,aphia_id
Xiphinema tarjanense,Xiphinema tarjanense,species,NA,169473,NA,1008004,NA,Xiphinema tarjanense,Xiphinema,Xiphinema tarjanense,NA,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Xiphinema,accepted,1,0,583061
Xiphinema georgianum,Xiphinema georgianum,NA,NA,NA,NA,13589,NA,Xiphinema georgianum,Xiphinema,NA,NA,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Xiphinema,accepted,1,0,583061
Xiphinema floridae,Xiphinema floridae,NA,NA,NA,NA,98666,NA,Xiphinema floridae,Xiphinema,NA,NA,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Xiphinema,accepted,1,0,583061
Xiphinema rivesi,Xiphinema rivesi,species,NA,169470,4554488,966917,NA,Xiphinema rivesi,Xiphinema,Xiphinema rivesi,"Xiphinema rivesi Dalmasso, 1969",Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Xiphinema,accepted,1,0,583061
Xiphinema diffusum,Xiphinema diffusum,NA,NA,NA,NA,822643,NA,Xiphinema diffusum,Xiphinema,NA,NA,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Xiphinema,accepted,1,0,583061
Xiphinema taylori,Xiphinema taylori,NA,NA,NA,NA,393058,NA,Xiphinema taylori,Xiphinema,NA,NA,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Xiphinema,accepted,1,0,583061
Xiphinema incognitum,Xiphinema incognitum,species,NA,169477,4554503,527594,NA,Xiphinema incognitum,Xiphinema,Xiphinema incognitum,"Xiphinema incognitum Lamberti & Bleve-Zacheo, 1979",Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Xiphinema,accepted,1,0,583061
Xiphinema simile,Xiphinema simile,species,NA,169425,4554502,981425,NA,Xiphinema simile,Xiphinema,Xiphinema simile,"Xiphinema simile Lamberti et al., 1983",Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Xiphinema,accepted,1,0,583061
Onchocerca eberhardi,Onchocerca eberhardi,species,NA,666671,8719717,530570,NA,Onchocerca eberhardi,Onchocerca,Onchocerca eberhardi,Onchocerca eberhardi,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1,1,1585475
Onchocerca skrjabini,Onchocerca skrjabini,species,NA,666672,4557109,236226,NA,Onchocerca skrjabini,Onchocerca,Onchocerca skrjabini,"Onchocerca skrjabini Ruchljadev, 1964",Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1,1,1585475
