taxa_query,taxa,tol_sciname,genus_split,rank,ott_id,is_synonym,flags,valid_name,status,terrestrial_only,freshwater_only,aphia_id
Orconectes placidus,Orconectes placidus,Orconectes placidus,Orconectes,species,827729,FALSE,NA,Orconectes,accepted,0,1,234097
Orconectes sanbornii,Orconectes sanbornii,Orconectes sanbornii,Orconectes,species,77974,FALSE,NA,Orconectes,accepted,0,1,234097
Dermanyssus hirundinis,Dermanyssus hirundinis,Dermanyssus hirundinis,Dermanyssus,species,110285,FALSE,NA,Dermanyssus,accepted,1,NA,1513098
Dermanyssus longipes,Dermanyssus longipes,Dermanyssus longipes,Dermanyssus,species,110275,FALSE,NA,Dermanyssus,accepted,1,NA,1513098
Dermanyssus carpathicus,Dermanyssus carpathicus,Dermanyssus carpathicus,Dermanyssus,species,110279,FALSE,NA,Dermanyssus,accepted,1,NA,1513098
Dermanyssus hirsutus,Dermanyssus hirsutus,Dermanyssus hirsutus,Dermanyssus,species,1065976,FALSE,NA,Dermanyssus,accepted,1,NA,1513098
Dermanyssus quintus,Dermanyssus quintus,Dermanyssus quintus,Dermanyssus,species,1052927,FALSE,NA,Dermanyssus,accepted,1,NA,1513098
Rhipicephalus geigyi,Rhipicephalus geigyi,Rhipicephalus geigyi,Rhipicephalus,species,1057151,FALSE,NA,Rhipicephalus,accepted,1,NA,1505438
Rhipicephalus maculatus,Rhipicephalus maculatus,Rhipicephalus maculatus,Rhipicephalus,species,389187,FALSE,sibling_higher,Rhipicephalus,accepted,1,NA,1505438
Rhipicephalus pulchellus,Rhipicephalus pulchellus,Rhipicephalus pulchellus,Rhipicephalus,species,83661,FALSE,sibling_higher,Rhipicephalus,accepted,1,NA,1505438
Rhipicephalus zambeziensis,Rhipicephalus zambeziensis,Rhipicephalus zambeziensis,Rhipicephalus,species,176527,FALSE,sibling_higher,Rhipicephalus,accepted,1,NA,1505438
Rhipicephalus pumilio,Rhipicephalus pumilio,Rhipicephalus pumilio,Rhipicephalus,species,389189,FALSE,sibling_higher,Rhipicephalus,accepted,1,NA,1505438
Nephila pilipes,Nephila pilipes,Nephila pilipes,Nephila,species,371941,FALSE,NA,Nephila,accepted,1,NA,1491362
Aegla schmitti,Aegla schmitti,Aegla schmitti,Aegla,NA,70048,FALSE,NA,Aegla,accepted,0,1,366970
Orconectes harrisoni,Orconectes harrisoni,Orconectes harrisoni,Orconectes,species,665180,FALSE,NA,Orconectes,accepted,0,1,234097
Orconectes sloanii,Orconectes sloanii,Orconectes sloanii,Orconectes,species,665179,FALSE,NA,Orconectes,accepted,0,1,234097
Orconectes maletae,Orconectes maletae,Orconectes maletae,Orconectes,species,90907,FALSE,NA,Orconectes,accepted,0,1,234097
Orconectes palmeri,Orconectes palmeri,Orconectes palmeri,Orconectes,species,716944,FALSE,NA,Orconectes,accepted,0,1,234097
Orconectes alabamensis,Orconectes alabamensis,Orconectes alabamensis,Orconectes,species,716935,FALSE,NA,Orconectes,accepted,0,1,234097
Orconectes compressus,Orconectes compressus,Orconectes compressus,Orconectes,species,142687,FALSE,NA,Orconectes,accepted,0,1,234097
Orconectes mississippiensis,Orconectes mississippiensis,Orconectes mississippiensis,Orconectes,species,142685,FALSE,NA,Orconectes,accepted,0,1,234097
Orconectes acares,Orconectes acares,Orconectes acares,Orconectes,species,559788,FALSE,NA,Orconectes,accepted,0,1,234097
Orconectes barrenensis,Orconectes barrenensis,Orconectes barrenensis,Orconectes,species,559789,FALSE,NA,Orconectes,accepted,0,1,234097
Orconectes forceps,Orconectes forceps,Orconectes forceps,Orconectes,species,559792,FALSE,NA,Orconectes,accepted,0,1,234097
Orconectes hylas,Orconectes hylas,Orconectes hylas,Orconectes,species,559793,FALSE,NA,Orconectes,accepted,0,1,234097
Orconectes longidigitus,Orconectes longidigitus,Orconectes longidigitus,Orconectes,species,1057925,FALSE,NA,Orconectes,accepted,0,1,234097
Orconectes luteus,Orconectes luteus,Orconectes luteus,Orconectes,species,1057924,FALSE,NA,Orconectes,accepted,0,1,234097
Orconectes macrus,Orconectes macrus,Orconectes macrus,Orconectes,species,1057917,FALSE,NA,Orconectes,accepted,0,1,234097
Orconectes medius,Orconectes medius,Orconectes medius,Orconectes,species,1042373,FALSE,NA,Orconectes,accepted,0,1,234097
Orconectes menae,Orconectes menae,Orconectes menae,Orconectes,species,97039,FALSE,NA,Orconectes,accepted,0,1,234097
Orconectes mirus,Orconectes mirus,Orconectes mirus,Orconectes,species,516034,FALSE,NA,Orconectes,accepted,0,1,234097
Orconectes peruncus,Orconectes peruncus,Orconectes peruncus,Orconectes,species,828547,FALSE,NA,Orconectes,accepted,0,1,234097
Orconectes punctimanus,Orconectes punctimanus,Orconectes punctimanus,Orconectes,species,1057913,FALSE,NA,Orconectes,accepted,0,1,234097
Orconectes putnami,Orconectes putnami,Orconectes putnami,Orconectes,species,516038,FALSE,NA,Orconectes,accepted,0,1,234097
Orconectes quadruncus,Orconectes quadruncus,Orconectes quadruncus,Orconectes,species,516035,FALSE,NA,Orconectes,accepted,0,1,234097
Orconectes spinosus,Orconectes spinosus,Orconectes spinosus,Orconectes,species,566548,FALSE,NA,Orconectes,accepted,0,1,234097
Orconectes validus,Orconectes validus,Orconectes validus,Orconectes,species,836137,FALSE,NA,Orconectes,accepted,0,1,234097
Lepidurus couesii,Lepidurus couesii,Lepidurus couesii,Lepidurus,species,709235,FALSE,NA,Lepidurus,accepted,NA,1,1561142
Unionicola foili,Unionicola foili,Unionicola foili,Unionicola,species,709564,FALSE,NA,Unionicola,accepted,NA,1,158469
Unionicola formosa,Unionicola formosa,Unionicola formosa,Unionicola,species,3107,FALSE,NA,Unionicola,accepted,NA,1,158469
Unionicola dimocki,Unionicola dimocki,Unionicola dimocki,Unionicola,species,552777,FALSE,NA,Unionicola,accepted,NA,1,158469
Unionicola parkeri,Unionicola parkeri,Unionicola parkeri,Unionicola,species,552773,FALSE,NA,Unionicola,accepted,NA,1,158469
Stereotydeus villosus,Stereotydeus villosus,Stereotydeus villosus,Stereotydeus,species,278825,FALSE,NA,Stereotydeus,accepted,1,1,886513
Cyzicus setosa,Cyzicus setosa,Cyzicus setosa,Cyzicus,NA,7113872,FALSE,NA,Cyzicus,accepted,NA,1,593225
Troglocaris intermedia,Troglocaris intermedia,Troglocaris intermedia,Troglocaris,NA,755822,FALSE,sibling_higher,Troglocaris,accepted,0,1,586496
Troglocaris inermis,Troglocaris inermis,Troglocaris inermis,Troglocaris,NA,755821,FALSE,sibling_higher,Troglocaris,accepted,0,1,586496
Troglocaris pretneri,Troglocaris pretneri,Troglocaris pretneri,Troglocaris,species,232803,FALSE,NA,Troglocaris,accepted,0,1,586496
Triops simplex,Triops simplex,Triops simplex,Triops,NA,203025,FALSE,NA,Triops,accepted,NA,1,724676
Lynceus macleyanus,Lynceus macleyanus,Lynceus macleyanus,Lynceus,species,1019795,FALSE,NA,Lynceus,accepted,0,1,593145
Eulimnadia braueriana,Eulimnadia braueriana,Eulimnadia braueriana,Eulimnadia,species,376785,FALSE,NA,Eulimnadia,accepted,0,1,1459816
Eubranchipus vernalis,Eubranchipus vernalis,Eubranchipus vernalis,Eubranchipus,species,788790,FALSE,NA,Eubranchipus,accepted,NA,1,1325174
Unionicola tumida,Unionicola tumida,Unionicola tumida,Unionicola,species,515940,FALSE,NA,Unionicola,accepted,NA,1,158469
Unionicola smithae,Unionicola smithae,Unionicola smithae,Unionicola,species,247967,FALSE,NA,Unionicola,accepted,NA,1,158469
Unionicola serrata,Unionicola serrata,Unionicola serrata,Unionicola,species,515942,FALSE,NA,Unionicola,accepted,NA,1,158469
Unionicola crassipes,Unionicola crassipes,Unionicola crassipes,Unionicola,species,515931,FALSE,NA,Unionicola,accepted,NA,1,158469
Unionicola arcuata,Unionicola arcuata,Unionicola arcuata,Unionicola,species,794071,FALSE,NA,Unionicola,accepted,NA,1,158469
Unionicola aculeata,Unionicola aculeata,Unionicola aculeata,Unionicola,species,515933,FALSE,NA,Unionicola,accepted,NA,1,158469
Unionicola abnormipes,Unionicola abnormipes,Unionicola abnormipes,Unionicola,species,515935,FALSE,NA,Unionicola,accepted,NA,1,158469
Nesticus obcaecatus,Nesticus obcaecatus,Nesticus obcaecatus,Nesticus,NA,734407,FALSE,NA,Nesticus,accepted,1,NA,231925
Nesticus luquei,Nesticus luquei,Nesticus luquei,Nesticus,NA,734411,FALSE,NA,Nesticus,accepted,1,NA,231925
Nesticus ionescui,Nesticus ionescui,Nesticus ionescui,Nesticus,species,734413,FALSE,NA,Nesticus,accepted,1,NA,231925
Loxosceles caribbaea,Loxosceles caribbaea,Loxosceles caribbaea,Loxosceles,species,1069415,FALSE,NA,Loxosceles,accepted,1,NA,1491329
Loxosceles baja,Loxosceles baja,Loxosceles baja,Loxosceles,species,1017853,FALSE,NA,Loxosceles,accepted,1,NA,1491329
