taxa_query,phylum,class,order,family,freshwater_only,terrestrial_only,genus_split,taxa,tol_sciname,rank,ott_id,is_synonym,flags,valid_name,status,aphia_id
Chilostoma pelia,NA,NA,NA,NA,0,1,Chilostoma,Chilostoma pelia,Chilostoma pelia,species,2879819,FALSE,NA,Chilostoma,accepted,871085
Chilostoma lefeburiana,NA,NA,NA,NA,0,1,Chilostoma,Chilostoma lefeburiana,Chilostoma lefeburiana,species,2879846,FALSE,NA,Chilostoma,accepted,871085
Chilostoma planospira,NA,NA,NA,NA,0,1,Chilostoma,Chilostoma planospira,Chilostoma planospira,species,189133,FALSE,NA,Chilostoma,accepted,871085
Chilostoma desmoulinsii,NA,NA,NA,NA,0,1,Chilostoma,Chilostoma desmoulinsii,Chilostoma desmoulinsii,species,2879866,FALSE,NA,Chilostoma,accepted,871085
Chilostoma squamatinum,NA,NA,NA,NA,0,1,Chilostoma,Chilostoma squamatinum,Chilostoma squamatinum,species,2879812,FALSE,NA,Chilostoma,accepted,871085
Chilostoma glaciale,NA,NA,NA,NA,0,1,Chilostoma,Chilostoma glaciale,Chilostoma glaciale,NA,712676,FALSE,NA,Chilostoma,accepted,871085
Chilostoma conemenosi,NA,NA,NA,NA,0,1,Chilostoma,Chilostoma conemenosi,Chilostoma conemenosi,species,2879840,FALSE,NA,Chilostoma,accepted,871085
Chilostoma phocaea,NA,NA,NA,NA,0,1,Chilostoma,Chilostoma phocaea,Chilostoma phocaea,species,2879845,FALSE,NA,Chilostoma,accepted,871085
Chilostoma subzonata,NA,NA,NA,NA,0,1,Chilostoma,Chilostoma subzonata,Chilostoma subzonata,species,2879813,FALSE,NA,Chilostoma,accepted,871085
Chilostoma kollari,NA,NA,NA,NA,0,1,Chilostoma,Chilostoma kollari,Chilostoma kollari,species,2879873,FALSE,NA,Chilostoma,accepted,871085
Chilostoma ambrosi,NA,NA,NA,NA,0,1,Chilostoma,Chilostoma ambrosi,Chilostoma ambrosi,species,2879843,FALSE,NA,Chilostoma,accepted,871085
Chilostoma ziegleri,NA,NA,NA,NA,0,1,Chilostoma,Chilostoma ziegleri,Chilostoma ziegleri,species,2879853,FALSE,NA,Chilostoma,accepted,871085
Chilostoma albanograeca,NA,NA,NA,NA,0,1,Chilostoma,Chilostoma albanograeca,Chilostoma albanograeca,species,2879857,FALSE,NA,Chilostoma,accepted,871085
Chilostoma setigera,NA,NA,NA,NA,0,1,Chilostoma,Chilostoma setigera,Chilostoma setigera,species,2879859,FALSE,NA,Chilostoma,accepted,871085
Chilostoma stenomphala,NA,NA,NA,NA,0,1,Chilostoma,Chilostoma stenomphala,Chilostoma stenomphala,species,2879838,FALSE,NA,Chilostoma,accepted,871085
Chilostoma sztolcmani,NA,NA,NA,NA,0,1,Chilostoma,Chilostoma sztolcmani,Chilostoma sztolcmani,NA,2879830,FALSE,NA,Chilostoma,accepted,871085
Trochulus phorochaetius,NA,NA,NA,NA,0,1,Trochulus,Trochulus phorochaetius,Trochulus phorochaetius,NA,5264535,FALSE,NA,Euconulus,unaccepted,999495
Trochulus phorochaetius,NA,NA,NA,NA,0,1,Trochulus,Trochulus phorochaetius,Trochulus phorochaetius,NA,5264535,FALSE,NA,Trochulus,accepted,996567
Theba gittenbergeri,NA,NA,NA,NA,0,1,Theba,Theba gittenbergeri,Theba gittenbergeri,species,5517760,FALSE,NA,Theba,accepted,426410
Aegista permellita,NA,NA,NA,NA,0,1,Aegista,Aegista permellita,Aegista permellita,species,5757706,FALSE,sibling_higher,Aegista,accepted,874976
Helicostyla pan,NA,NA,NA,NA,0,1,Helicostyla,Helicostyla pan,Helicostyla pan,NA,5973624,FALSE,NA,Helicostyla,accepted,993127
Helicostyla cryptica,NA,NA,NA,NA,0,1,Helicostyla,Helicostyla cryptica,Helicostyla cryptica,species,5973622,FALSE,NA,Helicostyla,accepted,993127
Helicostyla butleri,NA,NA,NA,NA,0,1,Helicostyla,Helicostyla butleri,Helicostyla butleri,species,5973633,FALSE,sibling_higher,Helicostyla,accepted,993127
Helicostyla corticolor,NA,NA,NA,NA,0,1,Helicostyla,Helicostyla corticolor,Helicostyla corticolor,species,5973635,FALSE,sibling_higher,Helicostyla,accepted,993127
Helicostyla portei,NA,NA,NA,NA,0,1,Helicostyla,Helicostyla portei,Helicostyla portei,species,5973645,FALSE,sibling_higher,Helicostyla,accepted,993127
Pupilla alluvionica,NA,NA,NA,NA,0,1,Pupilla,Pupilla alluvionica,Pupilla alluvionica,species,5758804,FALSE,NA,Pupilla,accepted,426395
Pupilla turcmenica,NA,NA,NA,NA,0,1,Pupilla,Pupilla turcmenica,Pupilla turcmenica,species,5758808,FALSE,NA,Pupilla,accepted,426395
Anodonta euscaphys,NA,NA,NA,NA,1,NA,Anodonta,Anodonta euscaphys,Anodonta euscaphys,species,5718833,FALSE,sibling_higher,Anodonta,accepted,224838
Semisulcospira dolorosa,NA,NA,NA,NA,1,0,Semisulcospira,Semisulcospira dolorosa,Semisulcospira dolorosa,species,689393,FALSE,hidden_inherited,Semisulcospira,accepted,741120
Camaena jinpingensis,NA,NA,NA,NA,0,1,Camaena,Camaena jinpingensis,Camaena jinpingensis,species,5973590,FALSE,sibling_higher,Camaena,accepted,835673
Bythiospeum septentrionale,NA,NA,NA,NA,1,0,Bythiospeum,Bythiospeum septentrionale,Bythiospeum septentrionale,species,7495389,FALSE,NA,Bythiospeum,accepted,475218
Cochlostoma arnautorum,NA,NA,NA,NA,0,1,Cochlostoma,Cochlostoma arnautorum,Cochlostoma arnautorum,species,7494391,FALSE,NA,Cochlostoma,accepted,934001
Cochlostoma mnelense,NA,NA,NA,NA,0,1,Cochlostoma,Cochlostoma mnelense,Cochlostoma mnelense,species,7494395,FALSE,NA,Cochlostoma,accepted,934001
