subject_accession,subject_taxonomy_id,kingdom,phylum,class,order,family,genus,species,sp_num
AF208991,132658,Bacteria,unknown phylum,unknown class,unknown order,unknown family,unknown genus,vent,1
AF514849,197754,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Haslea,Haslea crucigera,1
NC_044463,2305497,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Halamphora,Halamphora americana,1
KY498709,1659652,Eukaryota,Foraminifera,unknown class,Rotaliida,Glabratellidae,Angulodiscorbis,Angulodiscorbis quadrangularis,1
LN735305,265549,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula lanceolata,1
NC_056794,138539,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula veneta,1
MT585860,1884585,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,Psychromonas,1
KC462947,88364,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,Psychromonas marina,1
NR_025506,174037,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,Psychromonas profunda,1
NR_028003,1305840,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,Psychromonas kaikoae,1
LS483020,168275,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,Psychromonas arctica,1
FJ949344,646441,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,unknown genus,Psychromonadaceae,1
DQ530480,388003,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,Psychromonas gape,1
U91588,58052,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,unknown genus,facultative barophile,1
NR_116830,632140,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,Psychromonas boydii,1
KY438699,232,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas,1
NR_074862,357794,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,Psychromonas ingrahamii,1
NR_114267,493381,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,Psychromonas agarivorans,1
EU086771,479076,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,unknown genus,gamma proteobacterium endosymbiont,1
NR_041606,444922,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,Psychromonas ossibalaenae,1
NR_041605,444920,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,Psychromonas macrocephali,1
NR_041604,444919,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,Psychromonas aquimarina,1
AJ308372,149548,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,unknown genus,marine psychrotrophic,1
U14582,37449,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,unknown genus,gas vacuolate str,1
NR_156934,2005072,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,Psychromonas aquatilis,1
AY771768,67573,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,Psychromonas antarctica,1
AB365349,479650,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,Psychromonas heitensis,1
NR_041603,444918,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,Psychromonas japonica,1
JF969168,1052208,Bacteria,unknown phylum,unknown class,unknown order,unknown family,unknown genus,Bathymodiolus brooksi gill symbiont,1
NR_040949,211669,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,Psychromonas hadalis,1
CP046065,2661922,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio,1
X54745,1037,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,unknown genus,Barophile,1
NR_169324,2520508,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Corallincola,Corallincola spongiicola,1
NR_174197,2282215,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Corallincola,Corallincola holothuriorum,1
KJ577079,359303,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella loihica,1
KJ577033,1503153,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella,1
MW589780,197504,Bacteria,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,unknown genus,Aeromonadaceae,1
NR_149805,1193278,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Corallincola,Corallincola platygyrae,1
MK224696,2038068,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Corallincola,Corallincola,1
NR_164987,1775177,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Corallincola,Corallincola luteus,1
ON548928,2303987,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,unknown family,Motilimonas,Motilimonas pumila,1
OL979319,1194427,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio toranzoniae,1
