species_verbatim,query,domain,kingdom,phylum,class,subclass,order,family,genus,species,ottid_species,rank
Amblyglyphidodon leucogaster,Amblyglyphidodon leucogaster,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Amblyglyphidodon,Amblyglyphidodon leucogaster,893449,NA
Amblyglyphidodon melanopterus,Amblyglyphidodon melanopterus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Amblyglyphidodon,Amblyglyphidodon melanopterus,3635536,NA
Amblyglyphidodon orbicularis,Amblyglyphidodon orbicularis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Amblyglyphidodon,Amblyglyphidodon orbicularis,111318,NA
Amblyglyphidodon ternatensis,Amblyglyphidodon ternatensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Amblyglyphidodon,Amblyglyphidodon ternatensis,473273,NA
Amblygobius albimaculatus,Amblygobius albimaculatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Amblygobius,Amblygobius albimaculatus,45161,NA
Amblygobius buanensis,Amblygobius buanensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Amblygobius,Amblygobius buanensis,3637331,NA
Amblygobius decussatus,Amblygobius decussatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Amblygobius,Amblygobius decussatus,1039141,NA
Amblygobius nocturnus,Amblygobius nocturnus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Amblygobius,Amblygobius nocturnus,652015,NA
Amblygobius phalaena,Amblygobius phalaena,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Amblygobius,Amblygobius phalaena,617146,NA
Amblygobius sphynx,Amblygobius sphynx,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Amblygobius,Amblygobius sphynx,889421,NA
Amblygobius stethophthalmus,Amblygobius stethophthalmus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Amblygobius,Amblygobius stethophthalmus,3637329,NA
Amblyopsis rosae,Amblyopsis rosae,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Amblyopsidae,Amblyopsis,Amblyopsis rosae,421392,NA
Amblyopsis spelaea,Amblyopsis spelaea,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Amblyopsidae,Amblyopsis,Amblyopsis spelaea,223533,NA
Amblyotrypauchen arctocephalus,Amblyotrypauchen arctocephalus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Amblyotrypauchen,Amblyotrypauchen arctocephalus,3638104,NA
Amblypharyngodon chakaiensis,Amblypharyngodon chakaiensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Amblypharyngodon,Amblypharyngodon chakaiensis,940638,NA
Amblypharyngodon chulabhornae,Amblypharyngodon chulabhornae,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Amblypharyngodon,Amblypharyngodon chulabhornae,427281,NA
Amblypharyngodon grandisquamis,Amblypharyngodon grandisquamis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Amblypharyngodon,Amblypharyngodon grandisquamis,7066398,NA
Amblypharyngodon melettinus,Amblypharyngodon melettinus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Amblypharyngodon,Amblypharyngodon melettinus,889943,NA
Amblypharyngodon mola,Amblypharyngodon mola,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Amblypharyngodon,Amblypharyngodon mola,728231,NA
Amblypomacentrus breviceps,Amblypomacentrus breviceps,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Amblypomacentrus,Amblypomacentrus breviceps,3635625,NA
Amblypomacentrus clarus,Amblypomacentrus clarus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Amblypomacentrus,Amblypomacentrus clarus,729167,NA
Amblyraja badia,Amblyraja badia,Eukaryota,Metazoa,Chordata,Chondrichthyes,Elasmobranchii,Rajiformes,Rajidae,Amblyraja,Amblyraja badia,1012668,NA
Amblyraja doellojuradoi,Amblyraja doellojuradoi,Eukaryota,Metazoa,Chordata,Chondrichthyes,Elasmobranchii,Rajiformes,Rajidae,Amblyraja,Amblyraja doellojuradoi,658566,NA
Amblyraja georgiana,Amblyraja georgiana,Eukaryota,Metazoa,Chordata,Chondrichthyes,Elasmobranchii,Rajiformes,Rajidae,Amblyraja,Amblyraja georgiana,597622,NA
Amblyraja hyperborea,Amblyraja hyperborea,Eukaryota,Metazoa,Chordata,Chondrichthyes,Elasmobranchii,Rajiformes,Rajidae,Amblyraja,Amblyraja hyperborea,619899,NA
Amblyraja jenseni,Amblyraja jenseni,Eukaryota,Metazoa,Chordata,Chondrichthyes,Elasmobranchii,Rajiformes,Rajidae,Amblyraja,Amblyraja jenseni,11779,NA
Amblyraja radiata,Amblyraja radiata,Eukaryota,Metazoa,Chordata,Chondrichthyes,Elasmobranchii,Rajiformes,Rajidae,Amblyraja,Amblyraja radiata,513579,NA
Amblyraja taaf,Amblyraja taaf,Eukaryota,Metazoa,Chordata,Chondrichthyes,Elasmobranchii,Rajiformes,Rajidae,Amblyraja,Amblyraja taaf,725186,NA
Amblyrhynchichthys truncatus,Amblyrhynchichthys truncatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Amblyrhynchichthys,Amblyrhynchichthys truncatus,864299,NA
Amblyrhynchotes honckenii,Amblyrhynchotes honckenii,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Tetraodontidae,Amblyrhynchotes,Amblyrhynchotes honckenii,49182,NA
Ambophthalmos angustus,Ambophthalmos angustus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Psychrolutidae,Ambophthalmos,Ambophthalmos angustus,3632068,NA
Ameca splendens,Ameca splendens,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Goodeidae,Ameca,Ameca splendens,840804,NA
Ameiurus brunneus,Ameiurus brunneus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Ictaluridae,Ameiurus,Ameiurus brunneus,343933,NA
Ameiurus catus,Ameiurus catus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Ictaluridae,Ameiurus,Ameiurus catus,976194,NA
Ameiurus melas,Ameiurus melas,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Ictaluridae,Ameiurus,Ameiurus melas,343941,NA
Ameiurus natalis,Ameiurus natalis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Ictaluridae,Ameiurus,Ameiurus natalis,362803,NA
Ameiurus nebulosus,Ameiurus nebulosus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Ictaluridae,Ameiurus,Ameiurus nebulosus,804481,NA
Ameiurus platycephalus,Ameiurus platycephalus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Ictaluridae,Ameiurus,Ameiurus platycephalus,1070418,NA
Ameiurus serracanthus,Ameiurus serracanthus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Ictaluridae,Ameiurus,Ameiurus serracanthus,1070414,NA
Amia calva,Amia calva,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Amiiformes,Amiidae,Amia,Amia calva,329623,NA
Amissidens hainesi,Amissidens hainesi,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Ariidae,Amissidens,Amissidens hainesi,466224,NA
Ammocrypta beanii,Ammocrypta beanii,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Percidae,Ammocrypta,Ammocrypta beanii,367806,NA
Ammocrypta bifascia,Ammocrypta bifascia,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Percidae,Ammocrypta,Ammocrypta bifascia,748112,NA
Ammocrypta clara,Ammocrypta clara,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Percidae,Ammocrypta,Ammocrypta clara,915550,NA
Ammocrypta meridiana,Ammocrypta meridiana,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Percidae,Ammocrypta,Ammocrypta meridiana,748108,NA
Ammocrypta pellucida,Ammocrypta pellucida,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Percidae,Ammocrypta,Ammocrypta pellucida,748128,NA
Ammocrypta vivax,Ammocrypta vivax,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Percidae,Ammocrypta,Ammocrypta vivax,748124,NA
Ammocryptocharax elegans,Ammocryptocharax elegans,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Crenuchidae,Ammocryptocharax,Ammocryptocharax elegans,3624718,NA
Ammocryptocharax lateralis,Ammocryptocharax lateralis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Crenuchidae,Ammocryptocharax,Ammocryptocharax lateralis,1044728,NA
Ammodytes americanus,Ammodytes americanus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Ammodytidae,Ammodytes,Ammodytes americanus,408837,NA
Ammodytes dubius,Ammodytes dubius,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Ammodytidae,Ammodytes,Ammodytes dubius,3639827,NA
Ammodytes heian,Ammodytes heian,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Ammodytidae,Ammodytes,Ammodytes heian,5856823,NA
Ammodytes hexapterus,Ammodytes hexapterus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Ammodytidae,Ammodytes,Ammodytes hexapterus,9661,NA
Ammodytes japonicus,Ammodytes japonicus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Ammodytidae,Ammodytes,Ammodytes japonicus,5856824,NA
Ammodytes marinus,Ammodytes marinus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Ammodytidae,Ammodytes,Ammodytes marinus,289452,NA
Ammodytes personatus,Ammodytes personatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Ammodytidae,Ammodytes,Ammodytes personatus,408403,NA
Ammodytes sp,Ammodytes,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Ammodytidae,Ammodytes,NA,NA,NA
Ammodytes tobianus,Ammodytes tobianus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Ammodytidae,Ammodytes,Ammodytes tobianus,109648,NA
Ammolabrus dicrus,Ammolabrus dicrus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Labridae,Ammolabrus,Ammolabrus dicrus,3636793,NA
Ammotretis lituratus,Ammotretis lituratus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Rhombosoleidae,Ammotretis,Ammotretis lituratus,3640221,NA
Ammotretis rostratus,Ammotretis rostratus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Rhombosoleidae,Ammotretis,Ammotretis rostratus,600529,NA
Amniataba affinis,Amniataba affinis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Terapontidae,Amniataba,Amniataba affinis,165008,NA
Amniataba caudavittata,Amniataba caudavittata,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Terapontidae,Amniataba,Amniataba caudavittata,980537,NA
Amniataba percoides,Amniataba percoides,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Terapontidae,Amniataba,Amniataba percoides,165026,NA
Amoya chusanensis,Amoya chusanensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Amoya,Amoya chusanensis,23582,NA
Amoya gracilis,Amoya gracilis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Amoya,Amoya gracilis,3637264,NA
Amoya signata,Amoya signata,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Amoya,Amoya signata,3637261,NA
Amphelikturus dendriticus,Amphelikturus dendriticus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Syngnathidae,Amphelikturus,Amphelikturus dendriticus,436178,NA
Amphiarius phrygiatus,Amphiarius phrygiatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Ariidae,Amphiarius,Amphiarius phrygiatus,3623433,NA
Amphiarius rugispinis,Amphiarius rugispinis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Ariidae,Amphiarius,Amphiarius rugispinis,261234,NA
Amphichaetodon howensis,Amphichaetodon howensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Chaetodontidae,Amphichaetodon,Amphichaetodon howensis,875939,NA
Amphichaetodon melbae,Amphichaetodon melbae,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Chaetodontidae,Amphichaetodon,Amphichaetodon melbae,841135,NA
Amphilius atesuensis,Amphilius atesuensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Amphiliidae,Amphilius,Amphilius atesuensis,744493,NA
Amphilius brevidorsalis,Amphilius brevidorsalis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Amphiliidae,Amphilius,Amphilius brevidorsalis,5223783,NA
Amphilius brevis,Amphilius brevis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Amphiliidae,Amphilius,Amphilius brevis,5846110,NA
Amphilius chalei,Amphilius chalei,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Amphiliidae,Amphilius,Amphilius chalei,3623295,NA
Amphilius cryptobullatus,Amphilius cryptobullatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Amphiliidae,Amphilius,Amphilius cryptobullatus,3623280,NA
Amphilius cubangoensis,Amphilius cubangoensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Amphiliidae,Amphilius,Amphilius cubangoensis,5223780,NA
Amphilius grammatophorus,Amphilius grammatophorus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Amphiliidae,Amphilius,Amphilius grammatophorus,5223790,NA
Amphilius grandis,Amphilius grandis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Amphiliidae,Amphilius,Amphilius grandis,3623279,NA
Amphilius hargeri,Amphilius hargeri,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Amphiliidae,Amphilius,Amphilius hargeri,5223789,NA
Amphilius jacksonii,Amphilius jacksonii,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Amphiliidae,Amphilius,Amphilius jacksonii,3623300,NA
Amphilius kakrimensis,Amphilius kakrimensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Amphiliidae,Amphilius,Amphilius kakrimensis,3623291,NA
Amphilius kivuensis,Amphilius kivuensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Amphiliidae,Amphilius,Amphilius kivuensis,3623298,NA
Amphilius krefftii,Amphilius krefftii,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Amphiliidae,Amphilius,Amphilius krefftii,3623281,NA
Amphilius lampei,Amphilius lampei,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Amphiliidae,Amphilius,Amphilius lampei,3623296,NA
Amphilius laticaudatus,Amphilius laticaudatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Amphiliidae,Amphilius,Amphilius laticaudatus,3623283,NA
Amphilius leroyi,Amphilius leroyi,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Amphiliidae,Amphilius,Amphilius leroyi,5223788,NA
Amphilius longirostris,Amphilius longirostris,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Amphiliidae,Amphilius,Amphilius longirostris,3623294,NA
Amphilius maesii,Amphilius maesii,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Amphiliidae,Amphilius,Amphilius maesii,750410,NA
Amphilius natalensis,Amphilius natalensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Amphiliidae,Amphilius,Amphilius natalensis,3623282,NA
Amphilius nigricaudatus,Amphilius nigricaudatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Amphiliidae,Amphilius,Amphilius nigricaudatus,3623299,NA
Amphilius platychir,Amphilius platychir,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Amphiliidae,Amphilius,Amphilius platychir,744488,NA
Amphilius rheophilus,Amphilius rheophilus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Amphiliidae,Amphilius,Amphilius rheophilus,744485,NA
Amphilius sp,Amphilius,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Amphiliidae,Amphilius,NA,NA,NA
Amphilius uranoscopus,Amphilius uranoscopus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Amphiliidae,Amphilius,Amphilius uranoscopus,3623292,NA
Amphilius zairensis,Amphilius zairensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Amphiliidae,Amphilius,Amphilius zairensis,3623286,NA
Amphilophus amarillo,Amphilophus amarillo,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Cichlidae,Amphilophus,Amphilophus amarillo,606571,NA
Amphilophus calobrensis,Amphilophus calobrensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Cichlidae,Amphilophus,Amphilophus calobrensis,215158,NA
Amphilophus citrinellus,Amphilophus citrinellus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Cichlidae,Amphilophus,Amphilophus citrinellus,358037,NA
Amphilophus hogaboomorum,Amphilophus hogaboomorum,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Cichlidae,Amphilophus,Amphilophus hogaboomorum,317928,NA
Amphilophus istlanus,Amphilophus istlanus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Cichlidae,Amphilophus,Amphilophus istlanus,580307,NA
Amphilophus labiatus,Amphilophus labiatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Cichlidae,Amphilophus,Amphilophus labiatus,449461,NA
Amphilophus lyonsi,Amphilophus lyonsi,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Cichlidae,Amphilophus,Amphilophus lyonsi,641258,NA
Amphilophus macracanthus,Amphilophus macracanthus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Cichlidae,Amphilophus,Amphilophus macracanthus,734718,NA
Amphiprion akallopisos,Amphiprion akallopisos,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Amphiprion,Amphiprion akallopisos,166934,NA
Amphiprion akindynos,Amphiprion akindynos,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Amphiprion,Amphiprion akindynos,166957,NA
Amphiprion allardi,Amphiprion allardi,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Amphiprion,Amphiprion allardi,166954,NA
Amphiprion barberi,Amphiprion barberi,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Amphiprion,Amphiprion barberi,1090281,NA
Amphiprion bicinctus x Amphiprion omanensis,Amphiprion bicinctus x Amphiprion omanensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Amphiprion,Amphiprion bicinctus x Amphiprion omanensis,5852340,NA
Amphiprion bicinctus,Amphiprion bicinctus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Amphiprion,Amphiprion bicinctus,274300,NA
Amphiprion chagosensis,Amphiprion chagosensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Amphiprion,Amphiprion chagosensis,797751,NA
Amphiprion chrysogaster,Amphiprion chrysogaster,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Amphiprion,Amphiprion chrysogaster,741433,NA
Amphiprion chrysopterus x Amphiprion sandaracinos,Amphiprion chrysopterus x Amphiprion sandaracinos,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Amphiprion,Amphiprion chrysopterus x Amphiprion sandaracinos,7064008,NA
Amphiprion chrysopterus,Amphiprion chrysopterus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Amphiprion,Amphiprion chrysopterus,741436,NA
Amphiprion clarkii,Amphiprion clarkii,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Amphiprion,Amphiprion clarkii,674637,NA
Amphiprion ephippium,Amphiprion ephippium,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Amphiprion,Amphiprion ephippium,370818,NA
Amphiprion frenatus,Amphiprion frenatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Amphiprion,Amphiprion frenatus,674634,NA
Amphiprion latezonatus,Amphiprion latezonatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Amphiprion,Amphiprion latezonatus,797739,NA
Amphiprion latifasciatus,Amphiprion latifasciatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Amphiprion,Amphiprion latifasciatus,1039138,NA
Amphiprion leucokranos,Amphiprion leucokranos,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Amphiprion,Amphiprion leucokranos,797748,NA
Amphiprion mccullochi,Amphiprion mccullochi,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Amphiprion,Amphiprion mccullochi,797745,NA
Amphiprion melanopus,Amphiprion melanopus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Amphiprion,Amphiprion melanopus,45635,NA
Amphiprion nigripes,Amphiprion nigripes,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Amphiprion,Amphiprion nigripes,741440,NA
Amphiprion ocellaris x Amphiprion percula,Amphiprion ocellaris x Amphiprion percula,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Amphiprion,Amphiprion ocellaris x Amphiprion percula,4948825,NA
Amphiprion ocellaris,Amphiprion ocellaris,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Amphiprion,Amphiprion ocellaris,674643,NA
Amphiprion omanensis,Amphiprion omanensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Amphiprion,Amphiprion omanensis,741443,NA
Amphiprion pacificus,Amphiprion pacificus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Amphiprion,Amphiprion pacificus,4948831,NA
Amphiprion percula,Amphiprion percula,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Amphiprion,Amphiprion percula,681007,NA
Amphiprion perideraion,Amphiprion perideraion,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Amphiprion,Amphiprion perideraion,674640,NA
Amphiprion polymnus,Amphiprion polymnus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Amphiprion,Amphiprion polymnus,432681,NA
Amphiprion rubrocinctus,Amphiprion rubrocinctus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Amphiprion,Amphiprion rubrocinctus,797742,NA
Amphiprion sandaracinos,Amphiprion sandaracinos,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Amphiprion,Amphiprion sandaracinos,432684,NA
Amphiprion sebae,Amphiprion sebae,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Amphiprion,Amphiprion sebae,741446,NA
Amphiprion tricinctus,Amphiprion tricinctus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Amphiprion,Amphiprion tricinctus,4948832,NA
Amphistichus argenteus,Amphistichus argenteus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Embiotocidae,Amphistichus,Amphistichus argenteus,29159,NA
Amphistichus koelzi,Amphistichus koelzi,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Embiotocidae,Amphistichus,Amphistichus koelzi,30109,NA
Amphistichus rhodoterus,Amphistichus rhodoterus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Embiotocidae,Amphistichus,Amphistichus rhodoterus,698628,NA
Amsichthys knighti,Amsichthys knighti,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pseudochromidae,Amsichthys,Amsichthys knighti,3633724,NA
Anabarilius andersoni,Anabarilius andersoni,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Anabarilius,Anabarilius andersoni,3626889,NA
Anabarilius brevianalis,Anabarilius brevianalis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Anabarilius,Anabarilius brevianalis,3626891,NA
Anabarilius grahami,Anabarilius grahami,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Anabarilius,Anabarilius grahami,521460,NA
Anabarilius liui,Anabarilius liui,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Anabarilius,Anabarilius liui,3626894,NA
Anabas cobojius,Anabas cobojius,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Anabantidae,Anabas,Anabas cobojius,3638902,NA
