"","rank","found_taxa","ncbi_sp","genus","family","order","class","worms_match","worms_sciname","worms_aphiaid","original_aphiaid","status","unacceptreason","freshwater_only","hybrid"
"76","species","Herzensteinia microcephalus","Herzensteinia microcephalus","Herzensteinia","Cyprinidae","Cypriniformes","Teleostei","Herzensteinia microcephalus","Herzensteinia microcephalus",1019592,1019592,"accepted",NA,1,NA
"77","species","Schizopygopsis pylzovi","Schizopygopsis pylzovi","Schizopygopsis","Cyprinidae","Cypriniformes","Teleostei","Schizopygopsis pylzovi","Schizopygopsis pylzovi",1019586,1019586,"accepted",NA,1,NA
"78","species","Somniosus microcephalus","Somniosus microcephalus","Somniosus","Somniosidae","Squaliformes","Elasmobranchii","Somniosus microcephalus","Somniosus microcephalus",105919,105919,"accepted",NA,0,NA
"79","species","Leporinus fasciatus","Leporinus fasciatus","Leporinus","Anostomidae","Characiformes","Teleostei","Leporinus fasciatus","Leporinus fasciatus",1022725,1022725,"accepted",NA,1,NA
"80","species","Leporinus brunneus","Leporinus brunneus","Leporinus","Anostomidae","Characiformes","Teleostei","Leporinus brunneus","Leporinus brunneus",1014212,1014212,"accepted",NA,1,NA
"81","species","Leporinus affinis","Leporinus affinis","Leporinus","Anostomidae","Characiformes","Teleostei","Leporinus affinis","Leporinus affinis",1020347,1020347,"accepted",NA,1,NA
"82","species","Leporinus villasboasorum","Leporinus villasboasorum","Leporinus","Anostomidae","Characiformes","Teleostei","Leporinus villasboasorum","Leporinus villasboasorum",1524454,1524454,"accepted",NA,1,NA
"83","species","Leporinus jatuncochi","Leporinus jatuncochi","Leporinus","Anostomidae","Characiformes","Teleostei","Leporinus jatuncochi","Leporinus jatuncochi",1013116,1013116,"accepted",NA,1,NA
"84","species","Leporinus ecuadorensis","Leporinus ecuadorensis","Leporinus","Anostomidae","Characiformes","Teleostei","Leporinus ecuadorensis","Leporinus ecuadorensis",1017134,1017134,"accepted",NA,1,NA
"85","species","Leporinus enyae","Leporinus enyae","Leporinus","Anostomidae","Characiformes","Teleostei","Leporinus enyae","Leporinus enyae",1524455,1524455,"accepted",NA,1,NA
"86","species","Leporinus desmotes","Leporinus desmotes","Leporinus","Anostomidae","Characiformes","Teleostei","Leporinus desmotes","Leporinus desmotes",1017238,1017238,"accepted",NA,1,NA
"87","species","Symphodus melops","Symphodus melops","Symphodus","Labridae","Eupercaria incertae sedis","Teleostei","Symphodus melops","Symphodus melops",273571,273571,"accepted",NA,0,NA
"88","species","Cottus volki","Cottus volki","Cottus","Cottidae","Perciformes","Teleostei","Cottus volki","Cottus volki",1015648,1015648,"accepted",NA,1,NA
"89","species","Cottus amblystomopsis","Cottus amblystomopsis","Cottus","Cottidae","Perciformes","Teleostei","Cottus amblystomopsis","Cottus amblystomopsis",274367,274367,"accepted",NA,0,NA
"90","species","Kryptopterus bicirrhis","Kryptopterus bicirrhis","Kryptopterus","Siluridae","Siluriformes","Teleostei","Kryptopterus bicirrhis","Kryptopterus bicirrhis",1022390,1022390,"accepted",NA,1,NA
"91","species","Channa harcourtbutleri","Channa harcourtbutleri","Channa","Channidae","Anabantiformes","Teleostei","Channa harcourtbutleri","Channa harcourtbutleri",1017021,1017021,"accepted",NA,1,NA
"92","species","Atractosteus tristoechus","Atractosteus tristoechus","Atractosteus","Lepisosteidae","Lepisosteiformes","Holostei","Atractosteus tristoechus","Atractosteus tristoechus",405353,405353,"accepted",NA,0,NA
"93","species","Trichopodus pectoralis","Trichopodus pectoralis","Trichopodus","Osphronemidae","Anabantiformes","Teleostei","Trichopodus pectoralis","Trichopodus pectoralis",1017825,1017825,"accepted",NA,1,NA
"94","species","Mastacembelus erythrotaenia","Mastacembelus erythrotaenia","Mastacembelus","Mastacembelidae","Synbranchiformes","Teleostei","Mastacembelus erythrotaenia","Mastacembelus erythrotaenia",1021164,1021164,"accepted",NA,1,NA
"95","species","Mastacembelus armatus","Mastacembelus armatus","Mastacembelus","Mastacembelidae","Synbranchiformes","Teleostei","Mastacembelus armatus","Mastacembelus armatus",281527,281527,"accepted",NA,0,NA
"96","species","Rhodeus notatus","Rhodeus notatus","Rhodeus","Cyprinidae","Cypriniformes","Teleostei","Rhodeus notatus","Rhodeus notatus",1015927,1015927,"accepted",NA,1,NA
"97","species","Pungitius sinensis","Pungitius kaibarae","Pungitius","Gasterosteidae","Perciformes","Teleostei","Pungitius kaibarae","Pungitius sinensis",272522,400931,"unaccepted","synonym",0,NA
"98","species","Gobiesox adustus","Gobiesox adustus","Gobiesox","Gobiesocidae","Gobiesociformes","Teleostei","Gobiesox adustus","Gobiesox adustus",275663,275663,"accepted",NA,0,NA
