"","found_taxa","common_name","biogeographical_notes","group","fish_base_url","max","mean","median","min"
"73","Oncorhynchus nerka","Sockeye salmon","north of Columbia River drainage in Oregon","Salmon","https://www.fishbase.ca/summary/oncorhynchus-nerka.html",51.64644,50.7574263333333,50.488572,50.137267
"74","Gobiesox maeandricus","Northern clingfish","","Other","https://www.fishbase.ca/summary/Gobiesox-maeandricus.html",52.05342,50.410593,50.2907705,48.9123
"75","Rimicola muscarum","Kelp clingfish","south to Queen Charlotte Islands","","https://www.fishbase.se/summary/Rimicola-muscarum.html",52.05342,50.396532,50.2907705,48.951167
"76","Phytichthys chirus","Ribbon prickleback","","Eelpouts and pricklebacks","https://www.fishbase.ca/summary/3791",52.05342,50.470935,50.470935,48.88845
"77","Blepsias cirrhosus","Silverspotted sculpin","north to central CA","Sculpins","https://www.fishbase.ca/summary/4054",50.079883,49.2813415,49.2813415,48.4828
"78","Micrometrus minimus","Dwarf perch","south to Bodega Bay, CA",NA,NA,35.36039,35.36039,35.36039,35.36039
"79","Sebastes auriculatus","Brown rockfish","",NA,NA,35.37208,35.37208,35.37208,35.37208
"80","Myoxocephalus stelleri","Steller's sculpin","Alaska",NA,NA,50.499439,48.4009743846154,48.924283,38.0645
"81","Pholis crassispina","Pholis crassispina","asian species",NA,NA,50.137267,49.3100335,49.3100335,48.4828
"82","Brachyistius frenatus","Kelp perch","south to northern BC","Perches","https://www.fishbase.ca/summary/3625",50.444274,49.3931135,48.971692,48.69185
"83","Microgadus proximus","Pacific tomcod","borth to central cali","Other","https://www.fishbase.ca/summary/Microgadus-proximus.html",50.444274,49.78542025,50.1144085,48.46859
"84","Gibbonsia montereyensis","Crevice kelpfish","south to BC","Other","https://www.fishbase.ca/summary/Gibbonsia-montereyensis.html",50.09155,49.19225825,48.900375,48.876733
"85","Liparis florae","Tidepool snailfish","north to Point Conception","Snailfish","https://www.fishbase.ca/summary/Liparis-florae",48.88845,48.88845,48.88845,48.88845
"86","Hydrolagus colliei","Spotted ratfish","","Cartilaginous fishes","https://www.fishbase.ca/summary/Hydrolagus-colliei.html",48.88845,48.88845,48.88845,48.88845
"87","Citharichthys sordidus","Pacific sanddab","","Flatfish","https://www.fishbase.ca/summary/Citharichthys-sordidus.html",50.444274,49.415008,48.9123,48.88845
"88","Oxylebius pictus","Painted greenling","","Other","https://www.fishbase.ca/summary/Oxylebius-pictus.html",48.992217,48.971692,48.971692,48.951167
"89","Oncorhynchus mykiss","Rainbow trout / steelhead","",NA,NA,50.444274,50.2907705,50.2907705,50.137267
"90","Phanerodon vacca","Pile perch",NA,NA,NA,50.499439,47.5018358823529,49.1213,35.37208
