sample_id,kingdom,phylum,phylum_read_raw,phylum_read_index,phylum_pa,class,class_read_raw,class_read_index,class_pa,order,order_read_raw,order_read_index,order_pa,family,family_read_raw,family_read_index,family_pa,genus,genus_read_raw,genus_read_index,genus_pa,species,species_read_raw,species_read_index,species_pa,terrestrial,holoplankton
GH122,Animalia,Cnidaria,27,0.028183716075156576,1,Staurozoa,0,0,0,Stauromedusae,0,0,0,Haliclystidae,0,0,0,Haliclystus,0,0,0,Haliclystus sanjuanensis,0,0,0,0,0
GH122,Animalia,Annelida,0,0,0,Polychaeta,0,0,0,Phyllodocida,0,0,0,Goniadidae,0,0,0,Glycinde,0,0,0,Glycinde picta,0,0,0,0,0
GH122,Animalia,Cnidaria,27,0.028183716075156576,1,Hydrozoa,25,0.026096033402922755,1,Siphonophorae,0,0,0,Agalmatidae,0,0,0,Nanomia,0,0,0,Nanomia bijuga,0,0,0,0,1
GH122,Animalia,Cnidaria,27,0.028183716075156576,1,Hydrozoa,25,0.026096033402922755,1,Anthoathecata,0,0,0,Proboscidactylidae,0,0,0,Proboscidactyla,0,0,0,Proboscidactyla flavicirrata,0,0,0,0,0
GH122,Animalia,Porifera,0,0,0,Demospongiae,0,0,0,Haplosclerida,0,0,0,Chalinidae,0,0,0,Haliclona,0,0,0,Haliclona xena,0,0,0,0,0
GH122,Animalia,Cnidaria,27,0.028183716075156576,1,Anthozoa,0,0,0,Actiniaria,0,0,0,Metridiidae,0,0,0,Metridium,0,0,0,Metridium dianthus,0,0,0,0,0
GH122,Animalia,Annelida,0,0,0,Polychaeta,0,0,0,Sabellida,0,0,0,Sabellidae,0,0,0,Myxicola,0,0,0,Myxicola aesthetica,0,0,0,0,0
GH122,Animalia,Arthropoda,910,0.9498956158663883,1,Maxillopoda,0,0,0,Pedunculata,0,0,0,Pollicipedidae,0,0,0,Pollicipes,0,0,0,Pollicipes polymerus,0,0,0,0,0
GH122,Animalia,Cnidaria,27,0.028183716075156576,1,Scyphozoa,2,0.0022860081870022153,1,Semaeostomeae,2,0.0022855164230361907,1,Ulmaridae,0,0,0,Aurelia,0,0,0,Aurelia labiata,0,0,0,0,0
GH122,Animalia,Arthropoda,910,0.9498956158663883,1,Malacostraca,0,0,0,Decapoda,0,0,0,Pinnotheridae,0,0,0,Fabia,0,0,0,Fabia subquadrata,0,0,0,0,0
