"","query","usagekey","scientificname","rank","status","matchtype","canonicalname","confidence","kingdom","phylum","order","family","genus","species","kingdomkey","phylumkey","classkey","orderkey","familykey","genuskey","specieskey","synonym","class","acceptedusagekey","note"
"1664","Todothyas barbigera",8462887,"Todothyas barbigera (K.Viets, 1908)","species","SYNONYM","EXACT","Todothyas barbigera",98,"Animalia","Arthropoda","Trombidiformes","Hydryphantidae","Parathyas","Parathyas barbigera",1,54,NA,543,7495,4405371,7539754,TRUE,NA,7539754,NA
"1673","Prionocypris aragonica",1029086,"Prionocypris Brady & Norman, 1896","genus","ACCEPTED","HIGHERRANK","Prionocypris",94,"Animalia","Arthropoda","Podocopida","Cyprididae","Prionocypris",NA,1,54,353,1438,9259,1029086,NA,FALSE,"Ostracoda",NA,NA
"1681","Cytherissa elongata",1029517,"Cytherissa G.O.Sars, 1925","genus","ACCEPTED","HIGHERRANK","Cytherissa",94,"Animalia","Arthropoda","Podocopida","Cytherideidae","Cytherissa",NA,1,54,353,1438,9261,1029517,NA,FALSE,"Ostracoda",NA,NA
"1684","Mesocyprideis irsacae",4808102,"Mesocyprideis Wouters & Martens, 1992","genus","DOUBTFUL","HIGHERRANK","Mesocyprideis",92,"Animalia","Arthropoda","Podocopida","Cytherideidae","Mesocyprideis",NA,1,54,353,1438,9261,4808102,NA,FALSE,"Ostracoda",NA,NA
"1729","Paractea monodi",4377865,"Paractaea monodi Guinot, 1969","species","ACCEPTED","FUZZY","Paractaea monodi",84,"Animalia","Arthropoda","Decapoda","Xanthidae","Paractaea","Paractaea monodi",1,54,229,637,4568,2227833,4377865,FALSE,"Malacostraca",NA,NA
"1757","Sergia robusta",6454214,"Sergia robustus (S I Smith, 1882)","species","SYNONYM","FUZZY","Sergia robustus",95,"Animalia","Arthropoda","Decapoda","Sergestidae","Robustosergia","Robustosergia robusta",1,54,229,637,7010,8756809,9752528,TRUE,"Malacostraca",9752528,NA
"1777","Scylla oceanica",2225561,"Scylla De Haan, 1833","genus","ACCEPTED","HIGHERRANK","Scylla",94,"Animalia","Arthropoda","Decapoda","Portunidae","Scylla",NA,1,54,229,637,4555,2225561,NA,FALSE,"Malacostraca",NA,NA
"1810","Dermanyssus hirsutus",2188259,"Dermanyssus De Geer, 1778","genus","ACCEPTED","HIGHERRANK","Dermanyssus",94,"Animalia","Arthropoda","Mesostigmata","Dermanyssidae","Dermanyssus",NA,1,54,NA,1109,6088,2188259,NA,FALSE,NA,NA,NA
"1947","Pandinus cavimanus",4656470,"Pandinus Thorell, 1876","genus","ACCEPTED","HIGHERRANK","Pandinus",94,"Animalia","Arthropoda","Scorpiones","Scorpionidae","Pandinus",NA,1,54,NA,872,4303016,4656470,NA,FALSE,NA,NA,NA
"1963","Branchinella spinosa",2235218,"Branchinella spinosa (H.Milne-Edwards, 1840)","species","SYNONYM","EXACT","Branchinella spinosa",98,"Animalia","Arthropoda","Anostraca","Thamnocephalidae","Phallocryptus","Phallocryptus spinosus",1,54,281,544,7510,2235224,7543717,TRUE,"Branchiopoda",7543717,NA
"2001","Parapenaeopsis hardwickii",2223471,"Parapenaeopsis hardwickii (Miers, 1878)","species","SYNONYM","EXACT","Parapenaeopsis hardwickii",98,"Animalia","Arthropoda","Decapoda","Penaeidae","Mierspenaeopsis","Mierspenaeopsis hardwickii",1,54,229,637,4551,6454399,6454404,TRUE,"Malacostraca",6454404,NA
"2013","Sacculina oblonga",5862385,"Sacculina oblonga Lützen & Yamaguchi, 1999","species","SYNONYM","EXACT","Sacculina oblonga",98,"Animalia","Arthropoda",NA,"Polyascidae","Parasacculina","Parasacculina oblonga",1,54,9421786,NA,10856344,10680850,10726109,TRUE,"Hexanauplia",10726109,NA
"2014","Sacculina leptodiae",5862389,"Sacculina leptodiae Guérin-Ganivet, 1911","species","SYNONYM","EXACT","Sacculina leptodiae",98,"Animalia","Arthropoda",NA,"Polyascidae","Parasacculina","Parasacculina leptodiae",1,54,9421786,NA,10856344,10680850,10830781,TRUE,"Hexanauplia",10830781,NA
"2015","Sacculina sinensis",5862388,"Sacculina sinensis Boschma, 1933","species","SYNONYM","EXACT","Sacculina sinensis",98,"Animalia","Arthropoda",NA,"Polyascidae","Parasacculina","Parasacculina sinensis",1,54,9421786,NA,10856344,10680850,10722239,TRUE,"Hexanauplia",10722239,NA
"2017","Polyascus polygenea",5862382,"Polyascus polygeneus (Lützen & Takahashi, 1997)","species","ACCEPTED","FUZZY","Polyascus polygeneus",96,"Animalia","Arthropoda",NA,"Polyascidae","Polyascus","Polyascus polygeneus",1,54,9421786,NA,10856344,4805872,5862382,FALSE,"Hexanauplia",NA,NA
"2018","Polyascus plana",5862383,"Polyascus planus (Boschma, 1933)","species","ACCEPTED","FUZZY","Polyascus planus",96,"Animalia","Arthropoda",NA,"Polyascidae","Polyascus","Polyascus planus",1,54,9421786,NA,10856344,4805872,5862383,FALSE,"Hexanauplia",NA,NA
"2019","Polyascus gregaria",5862384,"Polyascus gregarius (Okada & Miyashita, 1935)","species","ACCEPTED","FUZZY","Polyascus gregarius",96,"Animalia","Arthropoda",NA,"Polyascidae","Polyascus","Polyascus gregarius",1,54,9421786,NA,10856344,4805872,5862384,FALSE,"Hexanauplia",NA,NA
"2032","Haplopelma schmidti",2154273,"Haplopelma schmidti von Wirth, 1991","species","SYNONYM","EXACT","Haplopelma schmidti",98,"Animalia","Arthropoda","Araneae","Theraphosidae","Cyriopagopus","Cyriopagopus schmidti",1,54,NA,1496,5650,2153400,9262170,TRUE,NA,9262170,NA
"2101","Munida ofella",4311128,"Munida offella Macpherson, 1996","species","ACCEPTED","FUZZY","Munida offella",96,"Animalia","Arthropoda","Decapoda","Munididae","Munida","Munida offella",1,54,229,637,4648341,2222591,4311128,FALSE,"Malacostraca",NA,NA
"2188","Lepeophtheirus salmonis",9140419,"Lepeophtheirus salmonis (Krøyer, 1838)","species","DOUBTFUL","EXACT","Lepeophtheirus salmonis",97,"Animalia","Arthropoda","Siphonostomatoida","Caligidae","Lepeophtheirus","Lepeophtheirus salmonis",1,54,9421786,1428,9171,2115989,9140419,FALSE,"Hexanauplia",NA,NA
"2191","Calantica spinosa",5815324,"Calantica spinosa (Quoy & Gaimard, 1834)","species","SYNONYM","EXACT","Calantica spinosa",98,"Animalia","Arthropoda","Pedunculata","Scalpellidae","Smilium","Smilium spinosa",1,54,203,697,5036,2113888,8347258,TRUE,"Maxillopoda",8347258,NA
"2212","Streptocephalus bowmani",10552457,"Streptocephalus bowmani Daniels et al., 2004","species","SYNONYM","EXACT","Streptocephalus bowmani",98,"Animalia","Arthropoda","Anostraca","Streptocephalidae","Streptocephalus","Streptocephalus thomasbowmani",1,54,281,544,3679,2235108,9017455,TRUE,"Branchiopoda",9017455,NA
"2213","Streptocephalus dumonti",9980849,"Streptocephalus dumonti Daniels et al., 2004","species","SYNONYM","EXACT","Streptocephalus dumonti",98,"Animalia","Arthropoda","Anostraca","Streptocephalidae","Streptocephalus","Streptocephalus henridumontis",1,54,281,544,3679,2235108,9223116,TRUE,"Branchiopoda",9223116,NA
"2236","Trichogammarus trichiatus",8564136,"Trichogammarus trichiatus (Martynov, 1932)","species","SYNONYM","EXACT","Trichogammarus trichiatus",98,"Animalia","Arthropoda","Amphipoda","Gammaridae","Echinogammarus","Echinogammarus trichiatus",1,54,229,1231,4434,2219875,4417131,TRUE,"Malacostraca",4417131,NA
"2259","Nyctiphanes couchii",2227980,"Nyctiphanes couchi (Bell, 1853)","species","ACCEPTED","FUZZY","Nyctiphanes couchi",96,"Animalia","Arthropoda","Euphausiacea","Euphausiidae","Nyctiphanes","Nyctiphanes couchi",1,54,229,868,2073,2227979,2227980,FALSE,"Malacostraca",NA,NA
"2289","Aegla schmitti",4312534,"Aegla schmitii H.H.Iii Hobbs, 1979","species","ACCEPTED","FUZZY","Aegla schmitii",96,"Animalia","Arthropoda","Decapoda","Aeglidae","Aegla","Aegla schmitii",1,54,229,637,4304410,4312471,4312534,FALSE,"Malacostraca",NA,NA
"2348","Euphausia krohnii",2228023,"Euphausia krohni (Brandt, 1851)","species","ACCEPTED","FUZZY","Euphausia krohni",96,"Animalia","Arthropoda","Euphausiacea","Euphausiidae","Euphausia","Euphausia krohni",1,54,229,868,2073,2228004,2228023,FALSE,"Malacostraca",NA,NA
"2387","Megisthanus floridanus",4663667,"Megisthanus Thorell, 1882","genus","ACCEPTED","HIGHERRANK","Megisthanus",94,"Animalia","Arthropoda","Mesostigmata","Megisthanidae","Megisthanus",NA,1,54,NA,1109,4663666,4663667,NA,FALSE,NA,NA,NA
"2388","Microgynium incisum",4662371,"Microgynium Trägårdh, 1942","genus","ACCEPTED","HIGHERRANK","Microgynium",94,"Animalia","Arthropoda","Mesostigmata","Microgyniidae","Microgynium",NA,1,54,NA,1109,4549783,4662371,NA,FALSE,NA,NA,NA
"2390","Prodinychus",4664215,"Prodinychus Berlese, 1918","genus","SYNONYM","EXACT","Prodinychus",94,"Animalia","Arthropoda","Mesostigmata","Urodinychidae","Uroobovella",NA,1,54,NA,1109,4549415,4406409,NA,TRUE,NA,4406409,NA
"2394","Discozercon",4664780,"Discozercon Berlese, 1910","genus","DOUBTFUL","EXACT","Discozercon",92,"Animalia","Arthropoda","Mesostigmata","Discozerconidae","Discozercon",NA,1,54,NA,1109,4664777,4664780,NA,FALSE,NA,NA,NA
"2395","Narceoheterozercon ohioensis",4663535,"Narceoheterozercon Gerdeman & Klompen, 2003","genus","DOUBTFUL","HIGHERRANK","Narceoheterozercon",92,"Animalia","Arthropoda","Mesostigmata","Heterozerconidae","Narceoheterozercon",NA,1,54,NA,1109,4663533,4663535,NA,FALSE,NA,NA,NA
"2400","Sejus porosus",2185013,"Sejus C.L.Koch, 1836","genus","ACCEPTED","HIGHERRANK","Sejus",94,"Animalia","Arthropoda","Mesostigmata","Sejidae","Sejus",NA,1,54,NA,1109,2828,2185013,NA,FALSE,NA,NA,NA
"2401","Sejus carolinensis",2185013,"Sejus C.L.Koch, 1836","genus","ACCEPTED","HIGHERRANK","Sejus",94,"Animalia","Arthropoda","Mesostigmata","Sejidae","Sejus",NA,1,54,NA,1109,2828,2185013,NA,FALSE,NA,NA,NA
"2403","Proarctacarus oregonensis",4664731,"Proarctacarus Makarova, 2003","genus","DOUBTFUL","HIGHERRANK","Proarctacarus",92,"Animalia","Arthropoda","Mesostigmata","Arctacaridae","Proarctacarus",NA,1,54,NA,1109,4550071,4664731,NA,FALSE,NA,NA,NA
"2404","Phorytocarpais fimetorum",4664697,"Phorytocarpais fimetorum (Berlese, 1903)","species","SYNONYM","EXACT","Phorytocarpais fimetorum",98,"Animalia","Arthropoda","Mesostigmata","Parasitidae","Parasitus","Parasitus fimetorum",1,54,NA,1109,6083,2185003,4550051,TRUE,NA,4550051,NA
"2419","Amblyops abbreviatus",2220131,"Amblyops abbreviata (M.Sars, 1869)","species","ACCEPTED","FUZZY","Amblyops abbreviata",96,"Animalia","Arthropoda","Mysida","Mysidae","Amblyops","Amblyops abbreviata",1,54,229,841,5404,2220122,2220131,FALSE,"Malacostraca",NA,NA
"2425","Paraeuchaeta media",4333626,"Paraeuchaeta media (Giesbrecht, 1888)","species","SYNONYM","EXACT","Paraeuchaeta media",98,"Animalia","Arthropoda","Calanoida","Euchaetidae","Euchaeta","Euchaeta media",1,54,9421786,679,4959,2114333,2114343,TRUE,"Hexanauplia",2114343,NA
"2426","Chiridius armatus",2115379,"Chiridius armatus (Boeck, 1872)","species","SYNONYM","EXACT","Chiridius armatus",98,"Animalia","Arthropoda","Calanoida","Aetideidae","Aetideopsis","Aetideopsis armatus",1,54,9421786,679,8972,2115369,4335370,TRUE,"Hexanauplia",4335370,NA
"2435","Orconectes harrisoni",2227082,"Orconectes harrisonii (Faxon, 1884)","species","SYNONYM","FUZZY","Orconectes harrisonii",95,"Animalia","Arthropoda","Decapoda","Cambaridae","Faxonius","Faxonius harrisonii",1,54,229,637,4479,4646327,9196609,TRUE,"Malacostraca",9196609,NA
"2444","Orconectes sloanii",2227058,"Orconectes sloanii (Bundy, 1876)","species","SYNONYM","EXACT","Orconectes sloanii",98,"Animalia","Arthropoda","Decapoda","Cambaridae","Faxonius","Faxonius sloanii",1,54,229,637,4479,4646327,9037476,TRUE,"Malacostraca",9037476,NA
"2448","Orconectes pagei",2227033,"Orconectes pagei Taylor & Sabaj, 1997","species","SYNONYM","EXACT","Orconectes pagei",98,"Animalia","Arthropoda","Decapoda","Cambaridae","Faxonius","Faxonius pagei",1,54,229,637,4479,4646327,8725981,TRUE,"Malacostraca",8725981,NA
"2455","Orconectes difficilis",2227077,"Orconectes difficilis (Faxon, 1898)","species","SYNONYM","EXACT","Orconectes difficilis",98,"Animalia","Arthropoda","Decapoda","Cambaridae","Faxonius","Faxonius difficilis",1,54,229,637,4479,4646327,8771059,TRUE,"Malacostraca",8771059,NA
"2458","Orconectes perfectus",2227079,"Orconectes perfectus Walls, 1972","species","SYNONYM","EXACT","Orconectes perfectus",98,"Animalia","Arthropoda","Decapoda","Cambaridae","Faxonius","Faxonius perfectus",1,54,229,637,4479,4646327,9155702,TRUE,"Malacostraca",9155702,NA
"2464","Orconectes alabamensis",2227034,"Orconectes alabamensis (Faxon, 1884)","species","SYNONYM","EXACT","Orconectes alabamensis",98,"Animalia","Arthropoda","Decapoda","Cambaridae","Faxonius","Faxonius alabamensis",1,54,229,637,4479,4646327,9015147,TRUE,"Malacostraca",9015147,NA
"2466","Orconectes compressus",2227022,"Orconectes compressus (Faxon, 1884)","species","SYNONYM","EXACT","Orconectes compressus",98,"Animalia","Arthropoda","Decapoda","Cambaridae","Faxonius","Faxonius compressus",1,54,229,637,4479,4646327,8931048,TRUE,"Malacostraca",8931048,NA
"2469","Orconectes immunis",2227004,"Orconectes immunis (Hagen, 1870)","species","SYNONYM","EXACT","Orconectes immunis",98,"Animalia","Arthropoda","Decapoda","Cambaridae","Faxonius","Faxonius immunis",1,54,229,637,4479,4646327,8930656,TRUE,"Malacostraca",8930656,NA
"2471","Orconectes mississippiensis",2227005,"Orconectes mississippiensis (Faxon, 1884)","species","SYNONYM","EXACT","Orconectes mississippiensis",98,"Animalia","Arthropoda","Decapoda","Cambaridae","Faxonius","Faxonius mississippiensis",1,54,229,637,4479,4646327,9054260,TRUE,"Malacostraca",9054260,NA
"2472","Orconectes rhoadesi",2227054,"Orconectes rhoadesi Hobbs, 1949","species","SYNONYM","EXACT","Orconectes rhoadesi",98,"Animalia","Arthropoda","Decapoda","Cambaridae","Faxonius","Faxonius rhoadesi",1,54,229,637,4479,4646327,9068195,TRUE,"Malacostraca",9068195,NA
