 Acanthochromis polyacanthus    S ,LC278119.1
 Acanthochromis polyacanthus ,MN998653.1
 Acanthochromis polyacanthus  ApolyLRREF ecotype Palm Isl ,NC_067129.1
  Acanthochromis polyacanthus Eralike S   eral,XM_051937509.1
 Acanthocleithron chapini  PAA ,MZ930073.1
 Acanthocobitis botia WThail  ,AP012138.1
 Acanthocobitis botia India  ,AP012139.1
 Acanthocobitis botia  CBMZF  ,NC_033958.1
 Acanthocobitis  CBMZF  ,AP013299.1
 Acanthocobitis  Puma Loach  ,AP011405.1
 Acanthocobitis urophthalmus  ,AP012137.1
 Acanthocobitis zonalternans  ,AP012140.1
 Acanthocobitis zonalternans  CBMZF  ,NC_033959.1
 Acanthocybium solri  Wah cytb ,AF197149.1
 Acanthocybium solri  BimB cytb ,AF197152.1
 Acanthocybium solri  JJ ,DQ874695.1
 Acanthocybium solri   ,DQ854648.1
 Acanthocybium solri    S ,LC049695.1
 Acanthocybium solri  ,AP012945.1
 Acanthocybium solri  A ,MK902889.1
 Acanthocybium solri     ,OP537848.1
 Acanthocybium solri ,OL628870.1
 Acanthocybium solri ,NC_067731.1
 Acanthodoras cataphractus ,AY264120.1
 Acanthodoras cataphractus  ANSPFISH ,JX899743.1
 Acanthodoras spinosissimus ,AY264119.1
 Acanthogobio guentheri ,MF787799.1
 Acanthogobius flavimanus  NMBE  ,KF415295.1
 Acanthogobius flavimanus ,KM030430.1
 Acanthogobius flavimanus    S ,LC049716.1
 Acanthogobius flavimanus    S ,LC049725.1
 Acanthogobius flavimanus    S ,LC193328.1
 Acanthogobius flavimanus    S ,LC327185.1
 Acanthogobius flavimanus CBMZF    S ,LC458189.1
 Acanthogobius flavimanus CBMZF    S ,LC458275.1
 Acanthogobius flavimanus CBMZF    S ,LC458276.1
 Acanthogobius flavimanus CBMZF    S ,LC474209.1
 Acanthogobius flavimanus CBMZF    S ,LC474210.1
 Acanthogobius flavimanus CBMZF    S ,LC474211.1
 Acanthogobius flavimanus CBMZF    S ,LC519431.1
 Acanthogobius flavimanus  DOS ,MT210646.1
 Acanthogobius flavimanus  WAM  ,MW376908.1
 Acanthogobius flavimanus CBMZF  s  S ,LC672497.1
