"","ncbi_sp","worms_match","worms_sciname","worms_aphiaid","original_aphiaid","status","unacceptreason","rank","valid_authority","kingdom","phylum","class","order","family","genus","freshwater_only","terrestrial_only","hybrid"
"6301","Brochis splendens","Brochis splendens","Corydoras splendens",1020519,1536788,"unaccepted",NA,"species","(Castelnau, 1855)","Animalia","Chordata","Teleostei","Siluriformes","Callichthyidae","Brochis","1","0",NA
"6302","Bovichtus variegatus","Bovichtus variegatus","Bovichtus variegatus",279377,279377,"accepted",NA,"species","Richardson, 1846","Animalia","Chordata","Teleostei","Perciformes","Bovichtidae","Bovichtus","0","0",NA
"6303","Eleginops maclovinus","Eleginops maclovinus","Eleginops maclovinus",280634,280634,"accepted",NA,"species","(Cuvier, 1830)","Animalia","Chordata","Teleostei","Perciformes","Eleginopidae","Eleginops","0","0",NA
"6304","Notothenia angustata","Notothenia angustata","Notothenia angustata",279349,279349,"accepted",NA,"species","Hutton, 1875","Animalia","Chordata","Teleostei","Perciformes","Nototheniidae","Notothenia","0","0",NA
"6305","Racovitzia glacialis","Racovitzia glacialis","Racovitzia glacialis",234799,234799,"accepted",NA,"species","Dollo, 1900","Animalia","Chordata","Teleostei","Perciformes","Bathydraconidae","Racovitzia","0","0",NA
"6306","Chaenocephalus aceratus","Chaenocephalus aceratus","Chaenocephalus aceratus",234725,234725,"accepted",NA,"species","(Lönnberg, 1906)","Animalia","Chordata","Teleostei","Perciformes","Channichthyidae","Chaenocephalus","0","0",NA
"6307","Chionodraco myersi","Chionodraco myersi","Chionodraco myersi",234646,234646,"accepted",NA,"species","DeWitt & Tyler, 1960","Animalia","Chordata","Teleostei","Perciformes","Channichthyidae","Chionodraco","0","0",NA
"6308","Champsocephalus gunnari","Champsocephalus gunnari","Champsocephalus gunnari",234797,234797,"accepted",NA,"species","Lönnberg, 1905","Animalia","Chordata","Teleostei","Perciformes","Channichthyidae","Champsocephalus","0","0",NA
"6309","Salmo labrax","Salmo labrax","Salmo labrax",274350,274350,"accepted",NA,"species","Pallas, 1814","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salmo","0","0",NA
"6310","Thunnus maccoyii","Thunnus maccoyii","Thunnus maccoyii",219720,219720,"accepted",NA,"species","(Castelnau, 1872)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus","0","0",NA
"6311","Ictalurus meridionalis","Ictalurus meridionalis","Ictalurus meridionalis",307510,307510,"accepted",NA,"species","(Günther, 1864)","Animalia","Chordata","Teleostei","Siluriformes","Ictaluridae","Ictalurus","1","0",NA
"6312","Ictalurus balsanus","Ictalurus balsanus","Ictalurus balsanus",1448887,1448887,"accepted",NA,"species","(Jordan & Snyder, 1899)","Animalia","Chordata","Teleostei","Siluriformes","Ictaluridae","Ictalurus","1","0",NA
"6313","Tahuantinsuyoa macantzatza","Tahuantinsuyoa macantzatza","Tahuantinsuyoa macantzatza",1011842,1011842,"accepted",NA,"species","Kullander, 1986","Animalia","Chordata","Teleostei","Cichliformes","Cichlidae","Tahuantinsuyoa","1","0",NA
"6314","Andinoacara coeruleopunctatus","Andinoacara coeruleopunctatus","Andinoacara coeruleopunctatus",1021105,1021105,"accepted",NA,"species","(Kner, 1863)","Animalia","Chordata","Teleostei","Cichliformes","Cichlidae","Andinoacara","1","0",NA
"6315","Andinoacara stalsbergi","Andinoacara stalsbergi","Andinoacara stalsbergi",1008197,1008197,"accepted",NA,"species","Musilová, Schindler & Staeck, 2009","Animalia","Chordata","Teleostei","Cichliformes","Cichlidae","Andinoacara","1","0",NA
"6316","Andinoacara","Andinoacara","Andinoacara",826772,826772,"accepted",NA,"genus","Musilová, Říĉan & Novák, 2009","Animalia","Chordata","Teleostei","Cichliformes","Cichlidae","Andinoacara","1","0",NA
"6317","Andinoacara latifrons","Andinoacara latifrons","Andinoacara latifrons",1020129,1020129,"accepted",NA,"species","(Steindachner, 1878)","Animalia","Chordata","Teleostei","Cichliformes","Cichlidae","Andinoacara","1","0",NA
"6318","Andinoacara biseriatus","Andinoacara biseriatus","Andinoacara biseriatus",1017431,1017431,"accepted",NA,"species","(Regan, 1913)","Animalia","Chordata","Teleostei","Cichliformes","Cichlidae","Andinoacara","1","0",NA
"6319","Coilia","Coilia","Coilia",206675,206675,"accepted",NA,"genus","Gray, 1830","Animalia","Chordata","Teleostei","Clupeiformes","Engraulidae","Coilia","0","0",NA
