"","ncbi_sp","worms_match","worms_sciname","worms_aphiaid","original_aphiaid","status","unacceptreason","rank","valid_authority","kingdom","phylum","class","order","family","genus","freshwater_only","terrestrial_only","hybrid"
"6268","Corydoras difluviatilis","Corydoras difluviatilis","Corydoras difluviatilis",1009814,1009814,"accepted",NA,"species","Britto & Castro, 2002","Animalia","Chordata","Teleostei","Siluriformes","Callichthyidae","Corydoras","1","0",NA
"6269","Corydoras garbei","Corydoras garbei","Corydoras garbei",1015066,1015066,"accepted",NA,"species","Ihering, 1911","Animalia","Chordata","Teleostei","Siluriformes","Callichthyidae","Corydoras","1","0",NA
"6270","Corydoras gossei","Corydoras gossei","Corydoras gossei",1383638,1383638,"accepted",NA,"species","Nijssen, 1972","Animalia","Chordata","Teleostei","Siluriformes","Callichthyidae","Corydoras","1","0",NA
"6271","Corydoras copei","Corydoras copei","Corydoras copei",1011848,1011848,"accepted",NA,"species","Nijssen & Isbrücker, 1986","Animalia","Chordata","Teleostei","Siluriformes","Callichthyidae","Corydoras","1","0",NA
"6272","Corydoras polystictus","Corydoras polystictus","Corydoras polystictus",1017529,1017529,"accepted",NA,"species","Regan, 1912","Animalia","Chordata","Teleostei","Siluriformes","Callichthyidae","Corydoras","1","0",NA
"6273","Corydoras pulcher","Corydoras pulcher","Corydoras pulcher",1012950,1012950,"accepted",NA,"species","Isbrücker & Nijssen, 1973","Animalia","Chordata","Teleostei","Siluriformes","Callichthyidae","Corydoras","1","0",NA
"6274","Corydoras schwartzi","Corydoras schwartzi","Corydoras schwartzi",1013604,1013604,"accepted",NA,"species","Rössel, 1963","Animalia","Chordata","Teleostei","Siluriformes","Callichthyidae","Corydoras","1","0",NA
"6275","Corydoras seussi","Corydoras seussi","Corydoras seussi",1010703,1010703,"accepted",NA,"species","Dinkelmeyer, 1996","Animalia","Chordata","Teleostei","Siluriformes","Callichthyidae","Corydoras","1","0",NA
"6276","Corydoras similis","Corydoras similis","Corydoras similis",1011251,1011251,"accepted",NA,"species","Hieronimus, 1991","Animalia","Chordata","Teleostei","Siluriformes","Callichthyidae","Corydoras","1","0",NA
"6277","Corydoras sodalis","Corydoras sodalis","Corydoras sodalis",1011843,1011843,"accepted",NA,"species","Nijssen & Isbrücker, 1986","Animalia","Chordata","Teleostei","Siluriformes","Callichthyidae","Corydoras","1","0",NA
"6278","Corydoras coriatae","Corydoras coriatae","Corydoras coriatae",1010595,1010595,"accepted",NA,"species","Burgess, 1997","Animalia","Chordata","Teleostei","Siluriformes","Callichthyidae","Corydoras","1","0",NA
"6279","Corydoras undulatus","Corydoras undulatus","Corydoras undulatus",1017528,1017528,"accepted",NA,"species","Regan, 1912","Animalia","Chordata","Teleostei","Siluriformes","Callichthyidae","Corydoras","1","0",NA
"6280","Dianema longibarbis","Dianema longibarbis","Dianema longibarbis",1020306,1020306,"accepted",NA,"species","Cope, 1872","Animalia","Chordata","Teleostei","Siluriformes","Callichthyidae","Dianema","1","0",NA
"6281","Scleromystax barbatus","Scleromystax barbatus","Scleromystax barbatus",1018308,1018308,"accepted",NA,"species","(Quoy & Gaimard, 1824)","Animalia","Chordata","Teleostei","Siluriformes","Callichthyidae","Scleromystax","1","0",NA
"6282","Corydoras lacerdai","Corydoras lacerdai","Corydoras lacerdai",1384073,1384073,"accepted",NA,"species","Hieronimus, 1995","Animalia","Chordata","Teleostei","Siluriformes","Callichthyidae","Corydoras","1","0",NA
"6283","Scleromystax macropterus","Scleromystax macropterus","Scleromystax macropterus",1014690,1014690,"accepted",NA,"species","(Regan, 1913)","Animalia","Chordata","Teleostei","Siluriformes","Callichthyidae","Scleromystax","1","0",NA
"6284","Scleromystax prionotos","Scleromystax prionotos","Scleromystax prionotos",1012450,1012450,"accepted",NA,"species","(Nijssen & Isbrücker, 1980)","Animalia","Chordata","Teleostei","Siluriformes","Callichthyidae","Scleromystax","1","0",NA
"6285","Corydoras delphax","Corydoras delphax","Corydoras delphax",1011265,1011265,"accepted",NA,"species","Nijssen & Isbrücker, 1983","Animalia","Chordata","Teleostei","Siluriformes","Callichthyidae","Corydoras","1","0",NA
"6286","Corydoras gomezi","Corydoras gomezi","Corydoras gomezi",1011847,1011847,"accepted",NA,"species","Castro, 1986","Animalia","Chordata","Teleostei","Siluriformes","Callichthyidae","Corydoras","1","0",NA
"6287","Corydoras haraldschultzi","Corydoras haraldschultzi","Corydoras haraldschultzi",1383581,1383581,"accepted",NA,"species","Knaack, 1962","Animalia","Chordata","Teleostei","Siluriformes","Callichthyidae","Corydoras","1","0",NA
"6288","Corydoras melanotaenia","Corydoras melanotaenia","Corydoras melanotaenia",1017531,1017531,"accepted",NA,"species","Regan, 1912","Animalia","Chordata","Teleostei","Siluriformes","Callichthyidae","Corydoras","1","0",NA
"6289","Corydoras metae","Corydoras metae","Corydoras metae",1007633,1007633,"accepted",NA,"species","Eigenmann, 1914","Animalia","Chordata","Teleostei","Siluriformes","Callichthyidae","Corydoras","1","0",NA
"6290","Corydoras potaroensis","Corydoras potaroensis","Corydoras potaroensis",1383205,1383205,"accepted",NA,"species","Myers, 1927","Animalia","Chordata","Teleostei","Siluriformes","Callichthyidae","Corydoras","1","0",NA
"6291","Corydoras pygmaeus","Corydoras pygmaeus","Corydoras pygmaeus",1013422,1013422,"accepted",NA,"species","Knaack, 1966","Animalia","Chordata","Teleostei","Siluriformes","Callichthyidae","Corydoras","1","0",NA
"6292","Corydoras rabauti","Corydoras rabauti","Corydoras rabauti",1014721,1014721,"accepted",NA,"species","La Monte, 1941","Animalia","Chordata","Teleostei","Siluriformes","Callichthyidae","Corydoras","1","0",NA
"6293","Corydoras robineae","Corydoras robineae","Corydoras robineae",1012122,1012122,"accepted",NA,"species","Burgess, 1983","Animalia","Chordata","Teleostei","Siluriformes","Callichthyidae","Corydoras","1","0",NA
"6294","Corydoras brevirostris","Corydoras brevirostris","Corydoras brevirostris",1014353,1014353,"accepted",NA,"species","Fraser-Brunner, 1947","Animalia","Chordata","Teleostei","Siluriformes","Callichthyidae","Corydoras","1","0",NA
"6295","Corydoras simulatus","Corydoras simulatus","Corydoras simulatus",1008075,1008075,"accepted",NA,"species","Weitzman & Nijssen, 1970","Animalia","Chordata","Teleostei","Siluriformes","Callichthyidae","Corydoras","1","0",NA
"6296","Corydoras treitlii","Corydoras treitlii","Corydoras treitlii",1018388,1018388,"accepted",NA,"species","Steindachner, 1906","Animalia","Chordata","Teleostei","Siluriformes","Callichthyidae","Corydoras","1","0",NA
"6297","Corydoras virginiae","Corydoras virginiae","Corydoras virginiae",1011002,1011002,"accepted",NA,"species","Burgess, 1993","Animalia","Chordata","Teleostei","Siluriformes","Callichthyidae","Corydoras","1","0",NA
"6298","Corydoras vittatus","Corydoras vittatus","Corydoras vittatus",1013166,1013166,"accepted",NA,"species","Nijssen, 1971","Animalia","Chordata","Teleostei","Siluriformes","Callichthyidae","Corydoras","1","0",NA
"6299","Dianema urostriatum","Dianema urostriatum","Dianema urostriatum",1525944,1525944,"accepted",NA,"species","(Miranda Ribeiro, 1912)","Animalia","Chordata","Teleostei","Siluriformes","Callichthyidae","Dianema","1","0",NA
"6300","Corydoras britskii","Corydoras britskii","Corydoras britskii",1012187,1012187,"accepted",NA,"species","(Nijssen & Isbrücker, 1983)","Animalia","Chordata","Teleostei","Siluriformes","Callichthyidae","Corydoras","1","0",NA
