accession,found_taxa,common_name,rank,taxa_verbatim,taxonomy_search,hybrid,worms_sciname,worms_aphiaid,original_aphiaid,status,unacceptreason,valid_authority,kingdom,phylum,class,order,family,genus,freshwater_only,terrestrial_only,n_dups
LC787727,Lythrichthys cypho,NA,species,Lythrichthys cypho,Lythrichthys cypho,NA,Lythrichthys cypho,1591149,1591149,accepted,NA,"(Fowler, 1938)",Animalia,Chordata,Teleostei,Perciformes,Setarchidae,Lythrichthys,0,0,1
LC787719,Elops hawaiensis,NA,species,Elops hawaiensis,Elops hawaiensis,NA,Elops hawaiensis,275404,275404,accepted,NA,"Regan, 1909",Animalia,Chordata,Teleostei,Elopiformes,Elopidae,Elops,0,0,1
LC787718,Elops hawaiensis,NA,species,Elops hawaiensis,Elops hawaiensis,NA,Elops hawaiensis,275404,275404,accepted,NA,"Regan, 1909",Animalia,Chordata,Teleostei,Elopiformes,Elopidae,Elops,0,0,1
LC787717,Etmopterus pusillus,NA,species,Etmopterus pusillus,Etmopterus pusillus,NA,Etmopterus pusillus,105912,105912,accepted,NA,"(Lowe, 1839)",Animalia,Chordata,Elasmobranchii,Squaliformes,Etmopteridae,Etmopterus,0,0,1
LC786484,Chauliodus,NA,genus,Chauliodus sp. CBM:ZF:14301,Chauliodus,NA,Chauliodus,126205,126205,accepted,NA,"Bloch & Schneider, 1801",Animalia,Chordata,Teleostei,Stomiiformes,Stomiidae,Chauliodus,0,0,1
LC786482,Scopelogadus bispinosus,NA,species,Scopelogadus cf. bispinosus CBM:ZF:20186,Scopelogadus bispinosus,NA,Scopelogadus bispinosus,306621,306621,accepted,NA,"(Gilbert, 1915)",Animalia,Chordata,Teleostei,Beryciformes,Melamphaidae,Scopelogadus,0,0,1
LC786480,Sigmops,NA,genus,Sigmops sp. CBM:ZF:14256,Sigmops,NA,Sigmops,221510,221510,accepted,NA,"Gill, 1883",Animalia,Chordata,Teleostei,Stomiiformes,Gonostomatidae,Sigmops,0,0,1
LC786479,Leptostomias robustus,NA,species,Leptostomias robustus,Leptostomias robustus,NA,Leptostomias robustus,275160,275160,accepted,NA,"Imai, 1941",Animalia,Chordata,Teleostei,Stomiiformes,Stomiidae,Leptostomias,0,0,1
LC786478,Idiacanthus fasciola,NA,species,Idiacanthus fasciola,Idiacanthus fasciola,NA,Idiacanthus fasciola,127354,127354,accepted,NA,"Peters, 1877",Animalia,Chordata,Teleostei,Stomiiformes,Stomiidae,Idiacanthus,0,0,1
LC786477,Argyropelecus sladeni,NA,species,Argyropelecus sladeni,Argyropelecus sladeni,NA,Argyropelecus sladeni,158837,158837,accepted,NA,"Regan, 1908",Animalia,Chordata,Teleostei,Stomiiformes,Sternoptychidae,Argyropelecus,0,0,1
LC785483,Idiacanthus fasciola,NA,species,Idiacanthus fasciola,Idiacanthus fasciola,NA,Idiacanthus fasciola,127354,127354,accepted,NA,"Peters, 1877",Animalia,Chordata,Teleostei,Stomiiformes,Stomiidae,Idiacanthus,0,0,1
OK545540,Rhinogobius maculagenys,NA,species,Rhinogobius maculagenys,Rhinogobius maculagenys,NA,Rhinogobius maculagenys,1494077,1494077,accepted,NA,"Wu, Deng, Wang & Liu, 2018",Animalia,Chordata,Teleostei,Gobiiformes,Gobiidae,Rhinogobius,0,0,1
LC785482,Bathophilus,NA,genus,Bathophilus sp. CBM:ZF:14286,Bathophilus,NA,Bathophilus,126203,126203,accepted,NA,"Giglioli, 1882",Animalia,Chordata,Teleostei,Stomiiformes,Stomiidae,Bathophilus,0,0,1
LC785481,Photostomias,NA,genus,Photostomias sp. CBM:ZF:14253,Photostomias,NA,Photostomias,126218,126218,accepted,NA,"Collett, 1889",Animalia,Chordata,Teleostei,Stomiiformes,Stomiidae,Photostomias,0,0,1
LC785480,Argyropelecus aculeatus,NA,species,Argyropelecus aculeatus,Argyropelecus aculeatus,NA,Argyropelecus aculeatus,127306,127306,accepted,NA,"Valenciennes, 1850",Animalia,Chordata,Teleostei,Stomiiformes,Sternoptychidae,Argyropelecus,0,0,1
LC785478,Stemonosudis,NA,genus,Stemonosudis sp. CBM:ZF:14784,Stemonosudis,NA,Stemonosudis,158749,158749,accepted,NA,"Harry, 1951",Animalia,Chordata,Teleostei,Aulopiformes,Paralepididae,Stemonosudis,0,0,1
LC785477,Muraenesox bagio,NA,species,Muraenesox bagio,Muraenesox bagio,NA,Muraenesox bagio,220037,220037,accepted,NA,"(Hamilton, 1822)",Animalia,Chordata,Teleostei,Anguilliformes,Muraenesocidae,Muraenesox,0,0,1
LC785476,Pentaceros wheeleri,NA,species,Pentaceros wheeleri,Pentaceros wheeleri,NA,Pentaceros wheeleri,313241,313241,accepted,NA,"(Hardy, 1983)",Animalia,Chordata,Teleostei,Acropomatiformes,Pentacerotidae,Pentaceros,0,0,1
LC785475,Champsodon,NA,genus,Champsodon sp. CBM:ZF:21217,Champsodon,NA,Champsodon,206066,206066,accepted,NA,"Günther, 1867",Animalia,Chordata,Teleostei,Acropomatiformes,Champsodontidae,Champsodon,0,0,1
LC785474,Chauliodus,NA,genus,Chauliodus sp. CBM:ZF:14324,Chauliodus,NA,Chauliodus,126205,126205,accepted,NA,"Bloch & Schneider, 1801",Animalia,Chordata,Teleostei,Stomiiformes,Stomiidae,Chauliodus,0,0,1
LC785473,Photonectes,NA,genus,Photonectes sp. CBM:ZF:14287,Photonectes,NA,Photonectes,126217,126217,accepted,NA,"Günther, 1887",Animalia,Chordata,Teleostei,Stomiiformes,Stomiidae,Photonectes,0,0,1
LC785472,Lampanyctus fernae,NA,species,Nannobrachium fernae,Nannobrachium fernae,NA,Lampanyctus fernae,301517,275861,unaccepted,NA,"Wisner, 1971",Animalia,Chordata,Teleostei,Myctophiformes,Myctophidae,Nannobrachium,0,0,1
LC785469,Muraenesox cinereus,NA,species,Muraenesox cinereus,Muraenesox cinereus,NA,Muraenesox cinereus,126296,126296,accepted,NA,"(Forsskål, 1775)",Animalia,Chordata,Teleostei,Anguilliformes,Muraenesocidae,Muraenesox,0,0,1
LC785468,Champsodon,NA,genus,Champsodon sp. NSMT:P:140067,Champsodon,NA,Champsodon,206066,206066,accepted,NA,"Günther, 1867",Animalia,Chordata,Teleostei,Acropomatiformes,Champsodontidae,Champsodon,0,0,1
OP573760,Cynoglossus puncticeps,NA,species,Cynoglossus puncticeps,Cynoglossus puncticeps,NA,Cynoglossus puncticeps,274220,274220,accepted,NA,"(Richardson, 1846)",Animalia,Chordata,Teleostei,Pleuronectiformes,Cynoglossidae,Cynoglossus,0,0,1
OR486970,Discogobio brachyphysallidos,NA,species,Discogobio brachyphysallidos,Discogobio brachyphysallidos,NA,Discogobio brachyphysallidos,1011479,1011479,accepted,NA,"Huang, 1989",Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Discogobio,1,0,1
OR652285,Sarcocheilichthys lacustris,NA,species,Sarcocheilichthys lacustris,Sarcocheilichthys lacustris,NA,Sarcocheilichthys lacustris,1463305,1463305,accepted,NA,"(Dybowski, 1872)",Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Sarcocheilichthys,1,0,1
OR652284,Sarcocheilichthys sinensis,NA,species,Sarcocheilichthys sinensis,Sarcocheilichthys sinensis,NA,Sarcocheilichthys sinensis,1417298,1417298,accepted,NA,"Bleeker, 1871",Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Sarcocheilichthys,1,0,1
OR652282,Sarcocheilichthys sinensis,NA,species,Sarcocheilichthys sinensis,Sarcocheilichthys sinensis,NA,Sarcocheilichthys sinensis,1417298,1417298,accepted,NA,"Bleeker, 1871",Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Sarcocheilichthys,1,0,1
LC783564,Nemipterus bathybius,NA,species,Nemipterus bathybius,Nemipterus bathybius,NA,Nemipterus bathybius,278120,278120,accepted,NA,"Snyder, 1911",Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Nemipteridae,Nemipterus,0,0,1
LC783563,Pteragogus aurigarius,NA,species,Pteragogus aurigarius,Pteragogus aurigarius,NA,Pteragogus aurigarius,279209,279209,accepted,NA,"(Richardson, 1845)",Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Pteragogus,0,0,1
LC783561,Diaphus chrysorhynchus,NA,species,Diaphus chrysorhynchus,Diaphus chrysorhynchus,NA,Diaphus chrysorhynchus,272662,272662,accepted,NA,"Gilbert & Cramer, 1897",Animalia,Chordata,Teleostei,Myctophiformes,Myctophidae,Diaphus,0,0,1
LC783560,Diaphus suborbitalis,NA,species,Diaphus suborbitalis,Diaphus suborbitalis,NA,Diaphus suborbitalis,272693,272693,accepted,NA,"Weber, 1913",Animalia,Chordata,Teleostei,Myctophiformes,Myctophidae,Diaphus,0,0,1
LC783559,Stenobrachius nannochir,NA,species,Stenobrachius nannochir,Stenobrachius nannochir,NA,Stenobrachius nannochir,254364,254364,accepted,NA,"(Gilbert, 1890)",Animalia,Chordata,Teleostei,Myctophiformes,Myctophidae,Stenobrachius,0,0,1
LC783558,Diaphus theta,NA,species,Diaphus theta,Diaphus theta,NA,Diaphus theta,272694,272694,accepted,NA,"Eigenmann & Eigenmann, 1890",Animalia,Chordata,Teleostei,Myctophiformes,Myctophidae,Diaphus,0,0,1
LC783556,Gymnogobius castaneus,NA,species,Gymnogobius castaneus,Gymnogobius castaneus,NA,Gymnogobius castaneus,314519,314519,accepted,NA,"(O'Shaughnessy, 1875)",Animalia,Chordata,Teleostei,Gobiiformes,Gobiidae,Gymnogobius,0,0,1
LC752880,Bolinichthys indicus,NA,species,Bolinichthys indicus,Bolinichthys indicus,NA,Bolinichthys indicus,126582,126582,accepted,NA,"(Nafpaktitis & Nafpaktitis, 1969)",Animalia,Chordata,Teleostei,Myctophiformes,Myctophidae,Bolinichthys,0,0,1
NC_083269,Psettodes belcheri,NA,species,Psettodes belcheri,Psettodes belcheri,NA,Psettodes belcheri,276823,276823,accepted,NA,"Bennett, 1831",Animalia,Chordata,Teleostei,Pleuronectiformes,Psettodidae,Psettodes,0,0,1
NC_083267,Oxyurichthys microlepis,NA,species,Oxyurichthys microlepis,Oxyurichthys microlepis,NA,Oxyurichthys microlepis,219528,219528,accepted,NA,"(Bleeker, 1849)",Animalia,Chordata,Teleostei,Gobiiformes,Gobiidae,Oxyurichthys,0,0,1
NC_083266,Oxyurichthys ophthalmonema,NA,species,Oxyurichthys ophthalmonema,Oxyurichthys ophthalmonema,NA,Oxyurichthys ophthalmonema,219530,219530,accepted,NA,"(Bleeker, 1856)",Animalia,Chordata,Teleostei,Gobiiformes,Gobiidae,Oxyurichthys,0,0,1
NC_082756,Sebastes nebulosus,NA,species,Sebastes nebulosus,Sebastes nebulosus,NA,Sebastes nebulosus,274824,274824,accepted,NA,"Ayres, 1854",Animalia,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,0,0,1
NC_082755,Lepidopsetta bilineata,NA,species,Lepidopsetta bilineata,Lepidopsetta bilineata,NA,Lepidopsetta bilineata,281305,281305,accepted,NA,"(Ayres, 1855)",Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Lepidopsetta,0,0,1
NC_082754,Xenomystax congroides,NA,species,Xenomystax congroides,Xenomystax congroides,NA,Xenomystax congroides,283191,283191,accepted,NA,"Smith & Kanazawa, 1989",Animalia,Chordata,Teleostei,Anguilliformes,Congridae,Xenomystax,0,0,1
NC_082753,Seriola zonata,NA,species,Seriola zonata,Seriola zonata,NA,Seriola zonata,159650,159650,accepted,NA,"(Mitchill, 1815)",Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Seriola,0,0,1
NC_082752,Totoaba macdonaldi,NA,species,Totoaba macdonaldi,Totoaba macdonaldi,NA,Totoaba macdonaldi,283019,283019,accepted,NA,"(Gilbert, 1890)",Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sciaenidae,Totoaba,0,0,1
NC_082751,Scyliorhinus retifer,NA,species,Scyliorhinus retifer,Scyliorhinus retifer,NA,Scyliorhinus retifer,158516,158516,accepted,NA,"(Garman, 1881)",Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,0,0,1
NC_082750,Cookeolus japonicus,NA,species,Cookeolus japonicus,Cookeolus japonicus,NA,Cookeolus japonicus,127003,127003,accepted,NA,"(Cuvier, 1829)",Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Priacanthidae,Cookeolus,0,0,1
NC_082747,Psenes maculatus,NA,species,Psenes maculatus,Psenes maculatus,NA,Psenes maculatus,126992,126992,accepted,NA,"Lütken, 1880",Animalia,Chordata,Teleostei,Scombriformes,Nomeidae,Psenes,0,0,1
NC_082745,Opisthonema oglinum,NA,species,Opisthonema oglinum,Opisthonema oglinum,NA,Opisthonema oglinum,158695,158695,accepted,NA,"(Lesueur, 1818)",Animalia,Chordata,Teleostei,Clupeiformes,Dorosomatidae,Opisthonema,0,0,1
NC_082744,Peristedion thompsoni,NA,species,Peristedion thompsoni,Peristedion thompsoni,NA,Peristedion thompsoni,159551,159551,accepted,NA,"Fowler, 1952",Animalia,Chordata,Teleostei,Perciformes,Peristediidae,Peristedion,0,0,1
NC_082743,Monacanthus ciliatus,NA,species,Monacanthus ciliatus,Monacanthus ciliatus,NA,Monacanthus ciliatus,159497,159497,accepted,NA,"(Mitchill, 1818)",Animalia,Chordata,Teleostei,Tetraodontiformes,Monacanthidae,Monacanthus,0,0,1
NC_082742,Aluterus heudelotii,NA,species,Aluterus heudelotii,Aluterus heudelotii,NA,Aluterus heudelotii,159489,159489,accepted,NA,"Hollard, 1855",Animalia,Chordata,Teleostei,Tetraodontiformes,Monacanthidae,Aluterus,0,0,1
NC_081042,Regalecus russellii,NA,species,Regalecus russelii,Regalecus russelii,NA,Regalecus russellii,400491,272530,unaccepted,NA,"(Cuvier, 1816)",Animalia,Chordata,Teleostei,Lampriformes,Regalecidae,Regalecus,0,0,1
NC_081041,Lampris incognitus,NA,species,Lampris incognitus,Lampris incognitus,NA,Lampris incognitus,1493716,1493716,accepted,NA,"Underkoffler, Luers, Hyde & Craig, 2018",Animalia,Chordata,Teleostei,Lampriformes,Lampridae,Lampris,0,0,1
NC_080985,Enneapterygius hsiojenae,NA,species,Enneapterygius hsiojenae,Enneapterygius hsiojenae,NA,Enneapterygius hsiojenae,310590,310590,accepted,NA,"Shen, 1994",Animalia,Chordata,Teleostei,Blenniiformes,Tripterygiidae,Enneapterygius,0,0,1
LC781957,Symbolophorus californiensis,NA,species,Symbolophorus californiensis,Symbolophorus californiensis,NA,Symbolophorus californiensis,272733,272733,accepted,NA,"(Eigenmann & Eigenmann, 1889)",Animalia,Chordata,Teleostei,Myctophiformes,Myctophidae,Symbolophorus,0,0,1
LC781956,Ranzania laevis,NA,species,Ranzania laevis,Ranzania laevis,NA,Ranzania laevis,127406,127406,accepted,NA,"(Pennant, 1776)",Animalia,Chordata,Teleostei,Tetraodontiformes,Molidae,Ranzania,0,0,1
LC781954,Xenolepidichthys dalgleishi,NA,species,Xenolepidichthys dalgleishi,Xenolepidichthys dalgleishi,NA,Xenolepidichthys dalgleishi,159432,159432,accepted,NA,"Gilchrist, 1922",Animalia,Chordata,Teleostei,Zeiformes,Grammicolepididae,Xenolepidichthys,0,0,1
LC781951,Sphyraena japonica,NA,species,Sphyraena japonica,Sphyraena japonica,NA,Sphyraena japonica,212046,212046,accepted,NA,"Bloch & Schneider, 1801",Animalia,Chordata,Teleostei,Carangaria incertae sedis,Sphyraenidae,Sphyraena,0,0,1
LC781950,Sphyraena barracuda,NA,species,Sphyraena barracuda,Sphyraena barracuda,NA,Sphyraena barracuda,345843,345843,accepted,NA,"(Edwards, 1771)",Animalia,Chordata,Teleostei,Carangaria incertae sedis,Sphyraenidae,Sphyraena,0,0,1
NC_083189,Remora osteochir,NA,species,Remora osteochir,Remora osteochir,NA,Remora osteochir,126852,126852,accepted,NA,"(Cuvier, 1829)",Animalia,Chordata,Teleostei,Carangiformes,Echeneidae,Remora,0,0,1
NC_083188,Notoscopelus resplendens,NA,species,Notoscopelus resplendens,Notoscopelus resplendens,NA,Notoscopelus resplendens,158916,158916,accepted,NA,"(Richardson, 1845)",Animalia,Chordata,Teleostei,Myctophiformes,Myctophidae,Notoscopelus,0,0,1
NC_083187,Larimus fasciatus,NA,species,Larimus fasciatus,Larimus fasciatus,NA,Larimus fasciatus,159320,159320,accepted,NA,"Holbrook, 1855",Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sciaenidae,Larimus,0,0,1
NC_083185,Uropterygius macrocephalus,NA,species,Uropterygius macrocephalus,Uropterygius macrocephalus,NA,Uropterygius macrocephalus,212037,212037,accepted,NA,"(Bleeker, 1864)",Animalia,Chordata,Teleostei,Anguilliformes,Muraenidae,Uropterygius,0,0,1
NC_083184,Cubiceps paradoxus,NA,species,Cubiceps paradoxus,Cubiceps paradoxus,NA,Cubiceps paradoxus,273679,273679,accepted,NA,"Butler, 1979",Animalia,Chordata,Teleostei,Scombriformes,Nomeidae,Cubiceps,0,0,1
NC_083183,Euprotomicrus bispinatus,NA,species,Euprotomicrus bispinatus,Euprotomicrus bispinatus,NA,Euprotomicrus bispinatus,215608,215608,accepted,NA,"(Quoy & Gaimard, 1824)",Animalia,Chordata,Elasmobranchii,Squaliformes,Dalatiidae,Euprotomicrus,0,0,1
NC_083182,Centropyge nigriocellus,NA,species,Centropyge nigriocellus,Centropyge nigriocellus,NA,Centropyge nigriocellus,312650,312650,accepted,NA,"Woods & Schultz, 1953",Animalia,Chordata,Teleostei,Acanthuriformes,Pomacanthidae,Centropyge,0,0,1
NC_083181,Pleurosicya micheli,NA,species,Pleurosicya micheli,Pleurosicya micheli,NA,Pleurosicya micheli,219544,219544,accepted,NA,"Fourmanoir, 1971",Animalia,Chordata,Teleostei,Gobiiformes,Gobiidae,Pleurosicya,0,0,1
NC_083180,Ophidion muraenolepis,NA,species,Ophidion muraenolepis,Ophidion muraenolepis,NA,Ophidion muraenolepis,272831,272831,accepted,NA,"Günther, 1880",Animalia,Chordata,Teleostei,Ophidiiformes,Ophidiidae,Ophidion,0,0,1
NC_083179,Priolepis semidoliata,NA,species,Priolepis semidoliata,Priolepis semidoliata,NA,Priolepis semidoliata,276778,276778,accepted,NA,"(Valenciennes, 1837)",Animalia,Chordata,Teleostei,Gobiiformes,Gobiidae,Priolepis,0,0,1
NC_083178,Uroconger lepturus,NA,species,Uroconger lepturus,Uroconger lepturus,NA,Uroconger lepturus,217556,217556,accepted,NA,"(Richardson, 1845)",Animalia,Chordata,Teleostei,Anguilliformes,Congridae,Uroconger,0,0,1
NC_083177,Bathytyphlops marionae,NA,species,Bathytyphlops marionae,Bathytyphlops marionae,NA,Bathytyphlops marionae,158864,158864,accepted,NA,"Mead, 1958",Animalia,Chordata,Teleostei,Aulopiformes,Ipnopidae,Bathytyphlops,0,0,1
NC_083176,Myrophis microchir,NA,species,Myrophis microchir,Myrophis microchir,NA,Myrophis microchir,275494,275494,accepted,NA,"(Bleeker, 1864)",Animalia,Chordata,Teleostei,Anguilliformes,Ophichthidae,Myrophis,0,0,1
NC_083175,Tigrigobius multifasciatus,NA,species,Tigrigobius multifasciatus,Tigrigobius multifasciatus,NA,Tigrigobius multifasciatus,993102,993102,accepted,NA,"(Steindachner, 1876)",Animalia,Chordata,Teleostei,Gobiiformes,Gobiidae,Tigrigobius,0,0,1
NC_083174,Eucinostomus gula,NA,species,Eucinostomus gula,Eucinostomus gula,NA,Eucinostomus gula,159733,159733,accepted,NA,"(Quoy & Gaimard, 1824)",Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Gerreidae,Eucinostomus,0,0,1
NC_083173,Atheresthes stomias,NA,species,Atheresthes stomias,Atheresthes stomias,NA,Atheresthes stomias,279792,279792,accepted,NA,"(Jordan & Gilbert, 1880)",Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Atheresthes,0,0,1
NC_083172,Atheresthes evermanni,NA,species,Atheresthes evermanni,Atheresthes evermanni,NA,Atheresthes evermanni,279791,279791,accepted,NA,"Jordan & Starks, 1904",Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Atheresthes,0,0,1
NC_083171,Benthodesmus simonyi,NA,species,Benthodesmus simonyi,Benthodesmus simonyi,NA,Benthodesmus simonyi,127087,127087,accepted,NA,"(Steindachner, 1891)",Animalia,Chordata,Teleostei,Scombriformes,Trichiuridae,Benthodesmus,0,0,1
NC_083170,Monolene sessilicauda,NA,species,Monolene sessilicauda,Monolene sessilicauda,NA,Monolene sessilicauda,159213,159213,accepted,NA,"Goode, 1880",Animalia,Chordata,Teleostei,Pleuronectiformes,Bothidae,Monolene,0,0,1
NC_083169,Baldwinella aureorubens,NA,species,Baldwinella aureorubens,Baldwinella aureorubens,NA,Baldwinella aureorubens,1015364,1015364,accepted,NA,"(Longley, 1935)",Animalia,Chordata,Teleostei,Perciformes,Serranidae,Baldwinella,0,0,1
NC_083168,Sphyraena borealis,NA,species,Sphyraena borealis,Sphyraena borealis,NA,Sphyraena borealis,159813,159813,accepted,NA,"DeKay, 1842",Animalia,Chordata,Teleostei,Carangaria incertae sedis,Sphyraenidae,Sphyraena,0,0,1
NC_083167,Lepidopus altifrons,NA,species,Lepidopus altifrons,Lepidopus altifrons,NA,Lepidopus altifrons,159367,159367,accepted,NA,"Parin & Collette, 1993",Animalia,Chordata,Teleostei,Scombriformes,Trichiuridae,Lepidopus,0,0,1
NC_083166,Scorpaena brachyptera,NA,species,Scorpaena brachyptera,Scorpaena brachyptera,NA,Scorpaena brachyptera,274701,274701,accepted,NA,"Eschmeyer, 1965",Animalia,Chordata,Teleostei,Perciformes,Scorpaenidae,Scorpaena,0,0,1
NC_083165,Gadomus arcuatus,NA,species,Gadomus arcuatus,Gadomus arcuatus,NA,Gadomus arcuatus,126469,126469,accepted,NA,"(Goode & Bean, 1886)",Animalia,Chordata,Teleostei,Gadiformes,Macrouridae,Gadomus,0,0,1
NC_083164,Gadella imberbis,NA,species,Gadella imberbis,Gadella imberbis,NA,Gadella imberbis,158964,158964,accepted,NA,"(Vaillant, 1888)",Animalia,Chordata,Teleostei,Gadiformes,Moridae,Gadella,0,0,1
NC_083163,Caulolatilus cyanops,NA,species,Caulolatilus cyanops,Caulolatilus cyanops,NA,Caulolatilus cyanops,159402,159402,accepted,NA,"Poey, 1866",Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Malacanthidae,Caulolatilus,0,0,1
NC_083162,Polymetme thaeocoryla,NA,species,Polymetme thaeocoryla,Polymetme thaeocoryla,NA,Polymetme thaeocoryla,127301,127301,accepted,NA,"Parin & Borodulina, 1990",Animalia,Chordata,Teleostei,Stomiiformes,Phosichthyidae,Polymetme,0,0,1
NC_083161,Malacocephalus laevis,NA,species,Malacocephalus laevis,Malacocephalus laevis,NA,Malacocephalus laevis,272392,272392,accepted,NA,"(Lowe, 1843)",Animalia,Chordata,Teleostei,Gadiformes,Macrouridae,Malacocephalus,0,0,1
NC_083160,Laemonema goodebeanorum,NA,species,Laemonema goodebeanorum,Laemonema goodebeanorum,NA,Laemonema goodebeanorum,158980,158980,accepted,NA,"Meléndez C. & Markle, 1997",Animalia,Chordata,Teleostei,Gadiformes,Moridae,Laemonema,0,0,1
NC_083159,Baldwinella vivanus,NA,species,Baldwinella vivanus,Baldwinella vivanus,NA,Baldwinella vivanus,1019849,1019849,accepted,NA,"(Jordan & Swain, 1885)",Animalia,Chordata,Teleostei,Perciformes,Serranidae,Baldwinella,0,0,1
NC_083158,Synchiropus atrilabiatus,NA,species,Synchiropus atrilabiatus,Synchiropus atrilabiatus,NA,Synchiropus atrilabiatus,273238,273238,accepted,NA,"(Garman, 1899)",Animalia,Chordata,Teleostei,Callionymiformes,Callionymidae,Synchiropus,0,0,1
NC_083157,Bathygadus melanobranchus,NA,species,Bathygadus melanobranchus,Bathygadus melanobranchus,NA,Bathygadus melanobranchus,126463,126463,accepted,NA,"Vaillant, 1888",Animalia,Chordata,Teleostei,Gadiformes,Macrouridae,Bathygadus,0,0,1
NC_083156,Trinectes inscriptus,NA,species,Trinectes inscriptus,Trinectes inscriptus,NA,Trinectes inscriptus,276000,276000,accepted,NA,"(Gosse, 1851)",Animalia,Chordata,Teleostei,Pleuronectiformes,Achiridae,Trinectes,0,0,1
NC_083155,Symphysanodon katayamai,NA,species,Symphysanodon katayamai,Symphysanodon katayamai,NA,Symphysanodon katayamai,276566,276566,accepted,NA,"Anderson, 1970",Animalia,Chordata,Teleostei,Acropomatiformes,Symphysanodontidae,Symphysanodon,0,0,1
NC_083150,Sternoptyx obscura,NA,species,Sternoptyx obscura,Sternoptyx obscura,NA,Sternoptyx obscura,275004,275004,accepted,NA,"Garman, 1899",Animalia,Chordata,Teleostei,Stomiiformes,Sternoptychidae,Sternoptyx,0,0,1
NC_083149,Cheilopogon abei,NA,species,Cheilopogon abei,Cheilopogon abei,NA,Cheilopogon abei,217860,217860,accepted,NA,"Parin, 1996",Animalia,Chordata,Teleostei,Beloniformes,Exocoetidae,Cheilopogon,0,0,1
NC_083140,Gymnothorax odishi,NA,species,Gymnothorax odishi,Gymnothorax odishi,NA,Gymnothorax odishi,1493590,1493590,accepted,NA,"Mohapatra, Mohanty, Smith, Mishra & Roy, 2018",Animalia,Chordata,Teleostei,Anguilliformes,Muraenidae,Gymnothorax,0,0,1
NC_083046,Bathymaster signatus,NA,species,Bathymaster signatus,Bathymaster signatus,NA,Bathymaster signatus,254513,254513,accepted,NA,"Cope, 1873",Animalia,Chordata,Teleostei,Perciformes,Bathymasteridae,Bathymaster,0,0,1
OR536500,Synodus macrops,NA,species,Synodus macrops,Synodus macrops,NA,Synodus macrops,217666,217666,accepted,NA,"Tanaka, 1917",Animalia,Chordata,Teleostei,Aulopiformes,Synodontidae,Synodus,0,0,1
OR521034,Toxotes jaculatrix,NA,species,Toxotes jaculatrix,Toxotes jaculatrix,NA,Toxotes jaculatrix,283021,283021,accepted,NA,"(Pallas, 1767)",Animalia,Chordata,Teleostei,Carangaria incertae sedis,Toxotidae,Toxotes,0,0,1
LC781680,Parablennius yatabei,NA,species,Parablennius yatabei,Parablennius yatabei,NA,Parablennius yatabei,273141,273141,accepted,NA,"(Jordan & Snyder, 1900)",Animalia,Chordata,Teleostei,Blenniiformes,Blenniidae,Parablennius,0,0,1
LC781620,Jaydia lineata,NA,species,Jaydia lineata,Jaydia lineata,NA,Jaydia lineata,1022238,1022238,accepted,NA,"(Temminck & Schlegel, 1843)",Animalia,Chordata,Teleostei,Kurtiformes,Apogonidae,Jaydia,0,0,1
NC_083093,Ophidion marginatum,NA,species,Ophidion marginatum,Ophidion marginatum,NA,Ophidion marginatum,158767,158767,accepted,NA,"DeKay, 1842",Animalia,Chordata,Teleostei,Ophidiiformes,Ophidiidae,Ophidion,0,0,1
NC_083092,Cantherhines pullus,NA,species,Cantherhines pullus,Cantherhines pullus,NA,Cantherhines pullus,159493,159493,accepted,NA,"(Ranzani, 1842)",Animalia,Chordata,Teleostei,Tetraodontiformes,Monacanthidae,Cantherhines,0,0,1
NC_083080,Bothus robinsi,NA,species,Bothus robinsi,Bothus robinsi,NA,Bothus robinsi,159277,159277,accepted,NA,"Topp & Hoff, 1972",Animalia,Chordata,Teleostei,Pleuronectiformes,Bothidae,Bothus,0,0,1
NC_083079,Conger oceanicus,NA,species,Conger oceanicus,Conger oceanicus,NA,Conger oceanicus,158566,158566,accepted,NA,"(Mitchill, 1818)",Animalia,Chordata,Teleostei,Anguilliformes,Congridae,Conger,0,0,1
NC_083078,Astrapogon alutus,NA,species,Astrapogon alutus,Astrapogon alutus,NA,Astrapogon alutus,279772,279772,accepted,NA,"(Jordan & Gilbert, 1882)",Animalia,Chordata,Teleostei,Kurtiformes,Apogonidae,Astrapogon,0,0,1
