accession,found_taxa,common_name,rank,taxa_verbatim,taxonomy_search,hybrid,worms_sciname,worms_aphiaid,original_aphiaid,status,unacceptreason,valid_authority,kingdom,phylum,class,order,family,genus,freshwater_only,terrestrial_only,n_dups
KY296294,Gadus macrocephalus,NA,species,Gadus macrocephalus,Gadus macrocephalus,NA,Gadus macrocephalus,254538,254538,accepted,NA,"Tilesius, 1810",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,0,0,1
KY296449,Prochilodus vimboides,NA,species,Prochilodus vimboides,Prochilodus vimboides,NA,Prochilodus vimboides,1018422,1018422,accepted,NA,"Kner, 1859",Animalia,Chordata,Teleostei,Characiformes,Prochilodontidae,Prochilodus,1,0,1
KY305681,Barbodes binotatus,NA,species,Barbodes binotatus,Barbodes binotatus,NA,Barbodes binotatus,1014769,1014769,accepted,NA,"(Valenciennes, 1842)",Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Barbodes,1,0,1
KY307844,Gyrinocheilus aymonieri,NA,species,Gyrinocheilus aymonieri,Gyrinocheilus aymonieri,NA,Gyrinocheilus aymonieri,1026903,1026903,accepted,NA,"(Tirant, 1883)",Animalia,Chordata,Teleostei,Cypriniformes,Gyrinocheilidae,Gyrinocheilus,1,0,1
KY307845,Leptobotia elongata,NA,species,Leptobotia elongata,Leptobotia elongata,NA,Leptobotia elongata,1016331,1016331,accepted,NA,"(Bleeker, 1870)",Animalia,Chordata,Teleostei,Cypriniformes,Cobitidae,Leptobotia,1,0,1
KY307846,Leptobotia microphthalma,NA,species,Leptobotia microphthalma,Leptobotia microphthalma,NA,Leptobotia microphthalma,1012116,1012116,accepted,NA,"Fu & Ye, 1983",Animalia,Chordata,Teleostei,Cypriniformes,Cobitidae,Leptobotia,1,0,1
KY307847,Leptobotia rubrilabris,NA,species,Leptobotia rubrilabris,Leptobotia rubrilabris,NA,Leptobotia rubrilabris,1026855,1026855,accepted,NA,"(Dabry de Thiersant, 1872)",Animalia,Chordata,Teleostei,Cypriniformes,Cobitidae,Leptobotia,1,0,1
KY307848,Sinibotia superciliaris,NA,species,Sinibotia superciliaris,Sinibotia superciliaris,NA,Sinibotia superciliaris,1019560,1019560,accepted,NA,"(Günther, 1892)",Animalia,Chordata,Teleostei,Cypriniformes,Cobitidae,Sinibotia,1,0,1
KY315559,Amphilophus amarillo,NA,species,Amphilophus amarillo,Amphilophus amarillo,NA,Amphilophus amarillo,1009775,1009775,accepted,NA,"Stauffer & McKaye, 2002",Animalia,Chordata,Teleostei,Cichliformes,Cichlidae,Amphilophus,1,0,1
KY320492,Oncorhynchus keta,NA,species,Oncorhynchus keta,Oncorhynchus keta,NA,Oncorhynchus keta,127183,127183,accepted,NA,"(Walbaum, 1792)",Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,0,0,1
KY352498,Leiognathus ruconius,NA,species,Leiognathus ruconius,Leiognathus ruconius,NA,Leiognathus ruconius,303772,303772,accepted,NA,"(Hamilton, 1822)",Animalia,Chordata,Teleostei,Acanthuriformes,Leiognathidae,Leiognathus,0,0,1
