accession,taxonomy
KY465995,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Discogobio;Discogobio_longibarbatus
KY471356,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Xenocyprididae;Pseudolaubuca;Pseudolaubuca_sinensis
KY471393,root;Eukaryota;Chordata;Actinopteri;Cyprinodontiformes;Goodeidae;Xenotoca;Xenotoca_variata
KY486515,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Gobionidae;Squalidus;Squalidus_multimaculatus
KY486516,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Gobionidae;Squalidus;Squalidus_multimaculatus
KY486521,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Gobionidae;Squalidus;Squalidus_multimaculatus
KY486524,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Gobionidae;Squalidus;Squalidus_multimaculatus
KY486526,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Gobionidae;Squalidus;Squalidus_multimaculatus
KY486537,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Gobionidae;Squalidus;Squalidus_multimaculatus
KY511045,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Xenocyprididae;Megalobrama;Megalobrama_amblycephala_x_Megalobrama_pellegrini
KY511122,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Herzensteinia;Herzensteinia_microcephalus
KY511123,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Schizopygopsis;Schizopygopsis_pylzovi
KY513709,root;Eukaryota;Chordata;Chondrichthyes;Squaliformes;Somniosidae;Somniosus;Somniosus_microcephalus
KY563343,root;Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Cottus;Cottus_volki
KY563344,root;Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Cottus;Cottus_volki
KY563345,root;Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Cottus;Cottus_amblystomopsis
