"","taxa_query","taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","subclass","order","family","genus","species","wormsid_phylum","wormsid_class","wormsid_subclass","wormsid_order","wormsid_family","wormsid_genus","wormsid_species","authority","is_synonym","flags"
"1458","Calyptraea fastigiata","Calyptraea fastigiata","species",580654,808599,2301631,783099,"Calyptraea fastigiata","Calyptraea fastigiata","Calyptraea fastigiata","Calyptraea fastigiata A.Gould, 1846","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Calyptraeidae","Calyptraea","Calyptraea fastigiata",51,101,224570,382213,141,137721,580654,"A. Gould, 1846",FALSE,""
"1459","Calyptraea mamillaris","Calyptraea mamillaris","species",574919,31456,5856477,783100,"Calyptraea mamillaris","Calyptraea mamillaris","Calyptraea mamillaris","Calyptraea mamillaris Broderip, 1834","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Calyptraeidae","Calyptraea","Calyptraea mamillaris",51,101,224570,382213,141,137721,574919,"Broderip, 1834",FALSE,""
"1460","Calyptraea lichen-RC","Calyptraea lichen-RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1461","Sigapatellavaezelandiae","Sigapatellavaezelandiae",NA,NA,NA,NA,162610,NA,"Sigapatella novaezelandiae",NA,NA,"Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"1462","Capulus ungaricus","Capulus ungaricus","species",138984,31452,2300881,840611,"Capulus ungaricus","Capulus ungaricus","Capulus ungaricus","Capulus ungaricus (Linnaeus, 1758)","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Capulidae","Capulus","Capulus ungaricus",51,101,224570,382213,139,137729,138984,"(Linnaeus, 1758)",FALSE,""
"1463","Vanikoro","Vanikoro","genus",204656,1922,2299833,685596,"Vanikoro","Vanikoro","Vanikoro","Vanikoro Quoy & Gaimard, 1832","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Vanikoridae","Vanikoro",NA,51,101,224570,382213,23138,204656,NA,"Quoy & Gaimard, 1832",FALSE,""
"1464","Cheilea equestris","Cheilea equestris","species",212110,31450,2301623,840614,"Cheilea equestris","Cheilea equestris","Cheilea equestris","Cheilea equestris (Linnaeus, 1758)","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Hipponicidae","Cheilea","Cheilea equestris",51,101,224570,382213,23057,204713,212110,"(Linnaeus, 1758)",FALSE,""
"1465","Hipponix","Hipponix","genus",138072,2788,2300721,162603,"Hipponix","Hipponix","Hipponix","Hipponix Defrance, 1819","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Hipponicidae","Hipponix",NA,51,101,224570,382213,23057,138072,NA,"Defrance, 1819",FALSE,""
"1466","Sabia conica","Sabia conica","species",180992,31447,2300732,162609,"Sabia conica","Sabia conica","Sabia conica","Sabia conica (Schumacher, 1817)","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Hipponicidae","Sabia","Sabia conica",51,101,224570,382213,23057,180991,180992,"(Schumacher, 1817)",FALSE,""
"1467","Leptonetis perplexus","Leptonetis perplexus","species",NA,31448,10296554,162604,NA,"Leptonetis perplexus","Leptonetis perplexus","Leptonetis perplexus","Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"1468","Littorina saxatilis","Littorina saxatilis","species",140264,80154,8116657,182096,"Littorina saxatilis","Littorina saxatilis","Littorina saxatilis","Littorina saxatilis (Olivi, 1792)","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Littorinidae","Littorina","Littorina saxatilis",51,101,224570,382213,119,138135,140264,"(Olivi, 1792)",FALSE,"sibling_higher"
"1469","Littorina compressa","Littorina compressa","species",140260,172888,4361986,635037,"Littorina compressa","Littorina compressa","Littorina compressa","Littorina compressa Jeffreys, 1865","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Littorinidae","Littorina","Littorina compressa",51,101,224570,382213,119,138135,140260,"Jeffreys, 1865",FALSE,"sibling_higher"
"1470","Melarhapheritoides","Melarhapheritoides",NA,NA,NA,NA,489962,NA,"Melarhaphe neritoides",NA,NA,"Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"1471","Ancula gibbosa","Ancula gibbosa","species",140029,32986,2291976,739837,"Ancula gibbosa","Ancula gibbosa","Ancula gibbosa","Ancula gibbosa (Risso, 1818)","Mollusca","Gastropoda","Heterobranchia","Nudibranchia","Goniodorididae","Ancula","Ancula gibbosa",51,101,14712,1762,174,138038,140029,"(Risso, 1818)",FALSE,""
"1472","Doris pseudoargus","Doris pseudoargus","species",181228,266275,5724726,739832,"Doris pseudoargus","Doris pseudoargus","Doris pseudoargus","Doris pseudoargus Rapp, 1827","Mollusca","Gastropoda","Heterobranchia","Nudibranchia","Dorididae","Doris","Doris pseudoargus",51,101,14712,1762,9904,137914,181228,"Rapp, 1827",FALSE,""
"1473","Berthella sideralis","Berthella sideralis","species",140813,32984,2302616,981743,"Berthella sideralis","Berthella sideralis","Berthella sideralis","Berthella sideralis Lovén, 1846","Mollusca","Gastropoda","Heterobranchia","Pleurobranchida","Pleurobranchidae","Berthella","Berthella sideralis",51,101,14712,1059020,1755,138361,140813,"Lovén, 1846",FALSE,""
"1474","Cadlina laevis","Cadlina laevis","species",139134,32983,2292407,7498014,"Cadlina laevis","Cadlina laevis","Cadlina laevis","Cadlina laevis (Linnaeus, 1767)","Mollusca","Gastropoda","Heterobranchia","Nudibranchia","Cadlinidae","Cadlina","Cadlina laevis",51,101,14712,1762,151277,137781,139134,"(Linnaeus, 1767)",FALSE,""
"1475","Felimida luteorosea","Felimida luteorosea","species",597403,656679,6519449,165257,"Felimida luteorosea","Felimida luteorosea","Felimida luteorosea","Felimida luteorosea (Rapp, 1827)","Mollusca","Gastropoda","Heterobranchia","Nudibranchia","Chromodorididae","Felimida","Felimida luteorosea",51,101,14712,1762,23003,558458,597403,"(Rapp, 1827)",FALSE,""
"1476","Felimida purpurea","Felimida purpurea","species",597409,656680,6519456,165259,"Felimida purpurea","Felimida purpurea","Felimida purpurea","Felimida purpurea (Risso, 1831)","Mollusca","Gastropoda","Heterobranchia","Nudibranchia","Chromodorididae","Felimida","Felimida purpurea",51,101,14712,1762,23003,558458,597409,"(Risso, 1831)",FALSE,""
"1477","Doriopsilla areolata","Doriopsilla areolata","species",139520,32979,2292445,553084,"Doriopsilla areolata","Doriopsilla areolata","Doriopsilla areolata","Doriopsilla areolata Bergh, 1880","Mollusca","Gastropoda","Heterobranchia","Nudibranchia","Dendrodorididae","Doriopsilla","Doriopsilla areolata",51,101,14712,1762,23026,137884,139520,"Bergh, 1880",FALSE,""
"1478","Goniodoris castanea","Goniodoris castanea","species",140032,32978,2291986,553089,"Goniodoris castanea","Goniodoris castanea","Goniodoris castanea","Goniodoris castanea Alder & Hancock, 1845","Mollusca","Gastropoda","Heterobranchia","Nudibranchia","Goniodorididae","Goniodoris","Goniodoris castanea",51,101,14712,1762,174,138040,140032,"Alder & Hancock, 1845",FALSE,""
"1479","Goniodorisdosa","Goniodorisdosa",NA,NA,NA,NA,553090,NA,"Goniodoris nodosa",NA,NA,"Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"1480","Hypselodoris orsinii","Hypselodoris orsinii","species",NA,32976,4360074,32013,NA,"Felimare orsinii","Hypselodoris orsinii","Hypselodoris orsinii (Vérany, 1846)","Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,""
"1481","Felimare villafranca","Felimare villafranca","species",597536,656673,6519413,32018,"Felimare villafranca","Felimare villafranca","Felimare villafranca","Felimare villafranca (Risso, 1818)","Mollusca","Gastropoda","Heterobranchia","Nudibranchia","Chromodorididae","Felimare","Felimare villafranca",51,101,14712,1762,23003,558624,597536,"(Risso, 1818)",FALSE,""
