"","taxa_query","found_taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","status","unacceptreason","is_synonym","flags","valid_authority","kingdom","class","order","family","genus","freshwater_only","terrestrial_only"
"5990","Euchirella","Euchirella","genus",104120,152183,2115229,839112,"Euchirella","Euchirella","Euchirella","Euchirella Giesbrecht, 1888","Arthropoda","accepted",NA,FALSE,"","Giesbrecht, 1888","Animalia","Copepoda","Calanoida","Aetideidae","Euchirella","0","0"
"5991","Labidocera detruncata","Labidocera detruncata","species",104730,799620,5166362,147717,"Labidocera detruncata","Labidocera detruncata","Labidocera detruncata","Labidocera detruncata (Dana, 1849)","Arthropoda","accepted",NA,FALSE,"","(Dana, 1849)","Animalia","Copepoda","Calanoida","Pontellidae","Labidocera","0","0"
"5992","Oxynaspis celata","Oxynaspis celata","species",106153,652885,4335751,313215,"Oxynaspis celata","Oxynaspis celata","Oxynaspis celata","Oxynaspis celata Darwin, 1852","Arthropoda","accepted",NA,FALSE,"","Darwin, 1852","Animalia","Thecostraca","Scalpellomorpha","Poecilasmatidae","Oxynaspis","0","0"
"5993","Mesocyclops dissimilis","Mesocyclops dissimilis",NA,NA,NA,NA,2947033,NA,"Mesocyclops dissimilis",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"5994","Annandaleum","Annandaleum","genus",204508,799559,2113945,2958229,"Annandaleum","Annandaleum","Annandaleum","Annandaleum Newman & Ross, 1971","Arthropoda","accepted",NA,FALSE,"","Newman & Ross, 1971","Animalia","Thecostraca","Scalpellomorpha","Scalpellidae","Annandaleum","0","0"
"5995","Canthocamptus staphylinus","Canthocamptus staphylinus",NA,NA,NA,NA,2947843,NA,"Canthocamptus staphylinus",NA,NA,"Arthropoda",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"5996","Lucicutia intermedia","Lucicutia intermedia","species",104601,503321,4335171,959899,"Lucicutia intermedia","Lucicutia intermedia","Lucicutia intermedia","Lucicutia intermedia Sars G.O., 1905","Arthropoda","accepted",NA,FALSE,"","Sars G.O., 1905","Animalia","Copepoda","Calanoida","Lucicutiidae","Lucicutia","0","0"
"5997","Chelonibia patula","Chelonibia patula",NA,NA,NA,NA,6741,NA,"Chelonibia patula",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"5998","Pollicipes","Pollicipes","genus",106101,5821,2113806,473037,"Pollicipes","Pollicipes","Pollicipes","Pollicipes Leach, 1817","Arthropoda","accepted",NA,FALSE,"","Leach, 1817","Animalia","Thecostraca","Pollicipedomorpha","Pollicipedidae","Pollicipes","0","0"
"5999","Gloiopotes huttoni","Gloiopotes huttoni","species",358660,799572,2116196,2943584,"Gloiopotes huttoni","Gloiopotes huttoni","Gloiopotes huttoni","Gloiopotes huttoni (Thomson G.M., 1890)","Arthropoda","accepted",NA,FALSE,"","(Thomson G.M., 1890)","Animalia","Copepoda","Siphonostomatoida","Caligidae","Gloiopotes","0","0"
"6000","Diacyclops zhimulevi","Diacyclops zhimulevi",NA,NA,NA,NA,2947641,NA,"Diacyclops zhimulevi",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"6001","Remanea naksanensis","Remanea naksanensis","species",590091,503187,6104714,75141,"Remanea naksanensis","Remanea naksanensis","Remanea naksanensis","Remanea naksanensis Back, Lee & Huys, 2011","Arthropoda","accepted",NA,FALSE,"","Back, Lee & Huys, 2011","Animalia","Copepoda","Harpacticoida","Paramesochridae","Remanea","0","0"
"6002","Smilium sinense","Smilium sinense","species",535357,799565,2113890,2958166,"Smilium sinense","Smilium sinense","Smilium sinense","Smilium sinense (Annandale, 1910)","Arthropoda","accepted",NA,FALSE,"","(Annandale, 1910)","Animalia","Thecostraca","Calanticomorpha","Calanticidae","Smilium","0","0"
"6003","Lithotrya valentiana","Lithotrya valentiana","species",208749,799558,4335689,579613,"Lithotrya valentiana","Lithotrya valentiana","Lithotrya valentiana","Lithotrya valentiana (Gray, 1825)","Arthropoda","accepted",NA,FALSE,"","(Gray, 1825)","Animalia","Thecostraca","Pollicipedomorpha","Lithotryidae","Lithotrya","0","0"
"6004","Metacyclopina","Metacyclopina","genus",106445,768114,2117041,2949500,"Metacyclopina","Metacyclopina","Metacyclopina","Metacyclopina Lindberg, 1953","Arthropoda","accepted",NA,FALSE,"","Lindberg, 1953","Animalia","Copepoda","Cyclopoida","Psammocyclopinidae","Metacyclopina","0","0"
"6005","Scillaelepas","Scillaelepas","genus",106099,350685,2113866,2958172,"Scillaelepas","Scillaelepas","Scillaelepas","Scillaelepas Seguenza, 1872","Arthropoda","accepted",NA,FALSE,"","Seguenza, 1872","Animalia","Thecostraca","Calanticomorpha","Calanticidae","Scillaelepas","0","0"
"6006","Trianguloscalpellum diota","Trianguloscalpellum diota","species",535411,799566,6128354,2958107,"Trianguloscalpellum diota","Trianguloscalpellum diota","Trianguloscalpellum diota","Trianguloscalpellum diota (Hoek, 1907)","Arthropoda","accepted",NA,FALSE,"","(Hoek, 1907)","Animalia","Thecostraca","Scalpellomorpha","Scalpellidae","Trianguloscalpellum","0","0"
"6007","Aegla concepcionensis","Aegla concepcionensis",NA,NA,NA,NA,37536,NA,"Aegla concepcionensis",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"6008","Aegla alacalufi","Aegla alacalufi",NA,NA,NA,NA,381323,NA,"Aegla alacalufi",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"6009","Stenhelia pubescens","Stenhelia pubescens","species",360647,657390,4320514,2954023,"Stenhelia pubescens","Stenhelia pubescens","Stenhelia pubescens","Stenhelia pubescens Chislenko, 1978","Arthropoda","accepted",NA,FALSE,"","Chislenko, 1978","Animalia","Copepoda","Harpacticoida","Miraciidae","Stenhelia","0","0"
