"","found_taxa","rank","worms_sciname","tol_sp","ncbi_sp","approximate_match","is_synonym","flags","status","unacceptreason","valid_authority","worms_aphiaid","ncbi_uid","ott_id","class","order","family","genus","freshwater_only","terrestrial_only"
"4950","Coralliozetus micropes","species","Coralliozetus micropes","Coralliozetus micropes","Coralliozetus micropes",FALSE,FALSE,"","accepted",NA,"(Beebe & Tee-Van, 1938)",280396,"346251",699405,"Actinopteri","Blenniiformes","Chaenopsidae","Coralliozetus","0","0"
"4951","Macropharyngodon bipartitus","species","Macropharyngodon bipartitus","Macropharyngodon bipartitus","Macropharyngodon bipartitus",FALSE,FALSE,"","accepted",NA,"Smith, 1957",219032,"347722",714739,"Actinopteri","Eupercaria incertae sedis","Labridae","Macropharyngodon","0","0"
"4952","Macropharyngodon cyanoguttatus","species","Macropharyngodon cyanoguttatus","Macropharyngodon cyanoguttatus","Macropharyngodon cyanoguttatus",FALSE,FALSE,"","accepted",NA,"Randall, 1978",219030,"347723",714737,"Actinopteri","Eupercaria incertae sedis","Labridae","Macropharyngodon","0","0"
"4953","Macropharyngodon kuiteri","species","Macropharyngodon kuiteri","Macropharyngodon kuiteri","Macropharyngodon kuiteri",FALSE,FALSE,"","accepted",NA,"Randall, 1978",278213,"347724",714757,"Actinopteri","Eupercaria incertae sedis","Labridae","Macropharyngodon","0","0"
"4954","Macropharyngodon ornatus","species","Macropharyngodon ornatus","Macropharyngodon ornatus","Macropharyngodon ornatus",FALSE,FALSE,"","accepted",NA,"Randall, 1978",278216,"347725",714751,"Actinopteri","Eupercaria incertae sedis","Labridae","Macropharyngodon","0","0"
"4955","Anampses meleagrides","species","Anampses meleagrides","Anampses meleagrides","Anampses meleagrides",FALSE,FALSE,"","accepted",NA,"Valenciennes, 1840",218923,"347726",714748,"Actinopteri","Eupercaria incertae sedis","Labridae","Anampses","0","0"
"4956","Halichoeres lapillus","species","Halichoeres lapillus","Halichoeres lapillus","Halichoeres lapillus",FALSE,FALSE,"","accepted",NA,"Smith, 1947",218992,"347727",714745,"Actinopteri","Eupercaria incertae sedis","Labridae","Halichoeres","0","0"
"4957","Halichoeres leucoxanthus","species","Halichoeres leucoxanthus","Halichoeres leucoxanthus","Halichoeres leucoxanthus",FALSE,FALSE,"","accepted",NA,"Randall & Smith, 1982",275770,"347728",714766,"Actinopteri","Eupercaria incertae sedis","Labridae","Halichoeres","0","0"
"4958","Stethojulis balteata","species","Stethojulis balteata","Stethojulis balteata","Stethojulis balteata",FALSE,FALSE,"","accepted",NA,"(Quoy & Gaimard, 1824)",219060,"347729",714760,"Actinopteri","Eupercaria incertae sedis","Labridae","Stethojulis","0","0"
"4959","Tonlesapia tsukawakii","species","Tonlesapia tsukawakii","Tonlesapia tsukawakii","Tonlesapia tsukawakii",FALSE,FALSE,"","accepted",NA,"Motomura & Mukai, 2006",1009021,"347731",191298,"Actinopteri","Callionymiformes","Callionymidae","Tonlesapia","1","0"
"4960","Gaidropsarus vulgaris","species","Gaidropsarus vulgaris","Gaidropsarus vulgaris","Gaidropsarus vulgaris",FALSE,FALSE,"","accepted",NA,"(Cloquet, 1824)",126458,"348057",609988,"Actinopteri","Gadiformes","Lotidae","Gaidropsarus","0","0"
"4961","Polypterus endlicherii","species","Polypterus endlicherii","Polypterus endlicherii","Polypterus endlicherii",FALSE,FALSE,"","accepted",NA,"Heckel, 1847",1021926,"348150",536720,"Cladistii","Polypteriformes","Polypteridae","Polypterus","1","0"
"4962","Gunnellichthys pleurotaenia","species","Gunnellichthys pleurotaenia","Gunnellichthys pleurotaenia","Gunnellichthys pleurotaenia",FALSE,FALSE,"","accepted",NA,"Bleeker, 1858",278223,"348440",33218,"Actinopteri","Perciformes","Microdesmidae","Gunnellichthys","0","0"
"4963","Ciliata mustela","species","Ciliata mustela","Ciliata mustela","Ciliata mustela",FALSE,FALSE,"","accepted",NA,"(Linnaeus, 1758)",126448,"348443",33200,"Actinopteri","Gadiformes","Lotidae","Ciliata","0","0"
"4964","Gaidropsarus ensis","species","Gaidropsarus ensis","Gaidropsarus ensis","Gaidropsarus ensis",FALSE,FALSE,"","accepted",NA,"(Reinhardt, 1837)",126453,"348444",200947,"Actinopteri","Gadiformes","Lotidae","Gaidropsarus","0","0"
"4965","Molva macrophthalma","species","Molva macrophthalma","Molva macrophthalma","Molva macrophthalma",FALSE,FALSE,"","accepted",NA,"(Rafinesque, 1810)",126460,"348445",200944,"Actinopteri","Gadiformes","Lotidae","Molva","0","0"
"4966","Phycis chesteri","species","Phycis chesteri","Phycis chesteri","Phycis chesteri",FALSE,FALSE,"","accepted",NA,"Goode & Bean, 1878",158988,"348446",33222,"Actinopteri","Gadiformes","Phycidae","Phycis","0","0"
"4967","Prosopium cylindraceum","species","Prosopium cylindraceum","Prosopium cylindraceum","Prosopium cylindraceum",FALSE,FALSE,"","accepted",NA,"(Pennant, 1784)",282373,"348696",265768,"Actinopteri","Salmoniformes","Salmonidae","Prosopium","0","0"
"4968","Coregonus nasus","species","Coregonus nasus","Coregonus nasus","Coregonus nasus",FALSE,FALSE,"","accepted",NA,"(Pallas, 1776)",274342,"348707",157656,"Actinopteri","Salmoniformes","Salmonidae","Coregonus","0","0"
"4969","Coregonus oxyrinchus","species","Coregonus oxyrinchus","Coregonus oxyrinchus","Coregonus oxyrinchus",FALSE,FALSE,"","accepted",NA,"(Linnaeus, 1758)",154238,"348708",157632,"Actinopteri","Salmoniformes","Salmonidae","Coregonus","0","0"
"4970","Coregonus muksun","species","Coregonus muksun","Coregonus muksun","Coregonus muksun",FALSE,FALSE,"","accepted",NA,"(Pallas, 1814)",274341,"348710",680846,"Actinopteri","Salmoniformes","Salmonidae","Coregonus","0","0"
"4971","Liobagrus marginatus","species","Liobagrus marginatus","Liobagrus marginatus","Liobagrus marginatus",FALSE,FALSE,"","accepted",NA,"(Günther, 1892)",1019554,"349546",782163,"Actinopteri","Siluriformes","Amblycipitidae","Liobagrus","1","0"
"4972","Oreoglanis macropterus","species","Oreoglanis macropterus","Oreoglanis macropterus","Oreoglanis macropterus",FALSE,FALSE,"","accepted",NA,"(Vinciguerra, 1890)",1019654,"349549",777015,"Actinopteri","Siluriformes","Sisoridae","Oreoglanis","1","0"
"4973","Promethichthys prometheus","species","Promethichthys prometheus","Promethichthys prometheus","Promethichthys prometheus",FALSE,FALSE,"","accepted",NA,"(Cuvier, 1832)",126866,"349644",713960,"Actinopteri","Scombriformes","Gempylidae","Promethichthys","0","0"
"4974","Pseudocaranx dentex","species","Pseudocaranx dentex","Pseudocaranx dentex","Pseudocaranx dentex",FALSE,FALSE,"","accepted",NA,"(Bloch & Schneider, 1801)",126812,"349646",713954,"Actinopteri","Carangiformes","Carangidae","Pseudocaranx","0","0"
"4975","Brama brama","species","Brama brama","Brama brama","Brama brama",FALSE,FALSE,"","accepted",NA,"(Bonnaterre, 1788)",126783,"349651",139696,"Actinopteri","Scombriformes","Bramidae","Brama","0","0"
"4976","Dentex angolensis","species","Dentex angolensis","Dentex angolensis","Dentex angolensis",FALSE,FALSE,"sibling_higher","accepted",NA,"Poll & Maul, 1953",273958,"349652",139712,"Actinopteri","Eupercaria incertae sedis","Sparidae","Dentex","0","0"
"4977","Epigonus telescopus","species","Epigonus telescopus","Epigonus telescopus","Epigonus telescopus",FALSE,FALSE,"","accepted",NA,"(Risso, 1810)",126858,"349654",139687,"Actinopteri","Acropomatiformes","Epigonidae","Epigonus","0","0"
"4978","Pomadasys incisus","species","Pomadasys incisus","Pomadasys incisus","Pomadasys incisus",FALSE,FALSE,"","accepted",NA,"(Bowdich, 1825)",126947,"349656",139693,"Actinopteri","Eupercaria incertae sedis","Haemulidae","Pomadasys","0","0"
"4979","Pseudotolithus typus","species","Pseudotolithus typus","Pseudotolithus typus","Pseudotolithus typus",FALSE,FALSE,"","accepted",NA,"Bleeker, 1863",127009,"349658",139720,"Actinopteri","Eupercaria incertae sedis","Sciaenidae","Pseudotolithus","0","0"
"4980","Schedophilus velaini","species","Schedophilus velaini","Schedophilus velaini","Schedophilus velaini",FALSE,FALSE,"","accepted",NA,"(Sauvage, 1879)",219742,"349659",139717,"Actinopteri","Scombriformes","Centrolophidae","Schedophilus","0","0"
"4981","Serranus atricauda","species","Serranus atricauda","Serranus atricauda","Serranus atricauda",FALSE,FALSE,"","accepted",NA,"Günther, 1874",127040,"349660",674562,"Actinopteri","Perciformes","Serranidae","Serranus","0","0"
"4982","Serranus scriba","species","Serranus scriba","Serranus scriba","Serranus scriba",FALSE,FALSE,"","accepted",NA,"(Linnaeus, 1758)",127043,"349661",674565,"Actinopteri","Perciformes","Serranidae","Serranus","0","0"
"4983","Trachinus radiatus","species","Trachinus radiatus","Trachinus radiatus","Trachinus radiatus",FALSE,FALSE,"","accepted",NA,"Cuvier, 1829",127083,"349662",674570,"Actinopteri","Perciformes","Trachinidae","Trachinus","0","0"
"4984","Stephanolepis hispidus",NA,NA,"Stephanolepis hispidus","Stephanolepis hispidus",FALSE,FALSE,"",NA,NA,NA,NA,"349668",662022,NA,NA,NA,NA,NA,NA
"4985","Gymnothorax polygonius","species","Gymnothorax polygonius","Gymnothorax polygonius","Gymnothorax polygonius",FALSE,FALSE,"","accepted",NA,"Poey, 1875",126300,"349669",662026,"Actinopteri","Anguilliformes","Muraenidae","Gymnothorax","0","0"
