"","taxa_query","taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","subclass","order","family","genus","species","wormsid_phylum","wormsid_class","wormsid_subclass","wormsid_order","wormsid_family","wormsid_genus","wormsid_species","authority","is_synonym","flags"
"2456","Anseropoda placenta","Anseropoda placenta","species",123985,220992,2272185,149996,"Anseropoda placenta","Anseropoda placenta","Anseropoda placenta","Anseropoda placenta (Pennant, 1777)","Echinodermata","Asteroidea","Ambuloasteroidea","Valvatida","Anseropodidae","Anseropoda","Anseropoda placenta",1806,123080,1562575,123090,934515,123280,123985,"(Pennant, 1777)",FALSE,""
"2457","Brissopsis lyrifera","Brissopsis lyrifera","species",124373,222149,2278982,707271,"Brissopsis lyrifera","Brissopsis lyrifera","Brissopsis lyrifera","Brissopsis lyrifera (Forbes, 1841)","Echinodermata","Echinoidea","Euechinoidea","Spatangoida","Brissidae","Brissopsis","Brissopsis lyrifera",1806,123082,149854,123106,123173,123418,124373,"(Forbes, 1841)",FALSE,""
"2458","Echinocyamus pusillus","Echinocyamus pusillus","species",124273,222073,2279077,3651513,"Echinocyamus pusillus","Echinocyamus pusillus","Echinocyamus pusillus","Echinocyamus pusillus (O.F.Müller, 1776)","Echinodermata","Echinoidea","Euechinoidea","Echinolampadacea","Fibulariidae","Echinocyamus","Echinocyamus pusillus",1806,123082,149854,1572018,123159,123384,124273,"(O.F. Müller, 1776)",FALSE,""
"2459","Gracilechinus acutus","Gracilechinus acutus","species",532031,373064,5964736,615111,"Gracilechinus acutus","Gracilechinus acutus","Gracilechinus acutus","Gracilechinus acutus (Lamarck, 1816)","Echinodermata","Echinoidea","Euechinoidea","Camarodonta","Echinidae","Gracilechinus","Gracilechinus acutus",1806,123082,149854,510518,123160,411391,532031,"(Lamarck, 1816)",FALSE,""
"2460","Luidia sarsi","Luidia sarsi","species",NA,220816,2270626,24895,NA,"Luidia sarsi","Luidia sarsi","Luidia sarsi Düben & Koren, 1844","Echinodermata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"2461","Ophiactis balli","Ophiactis balli","species",125110,219372,2276170,3653777,"Ophiactis balli","Ophiactis balli","Ophiactis balli","Ophiactis balli (W.Thompson, 1840)","Echinodermata","Ophiuroidea","Myophiuroida","Amphilepidida","Ophiactidae","Ophiactis","Ophiactis balli",1806,123084,1416548,1062666,123207,123620,125110,"(W. Thompson, 1840)",FALSE,""
"2462","Ophiocten affinis","Ophiocten affinis","species",124850,220223,2276713,3654738,"Ophiocten affinis","Ophiocten affinis","Ophiocten affinis","Ophiocten affinis (Lütken, 1858)","Echinodermata","Ophiuroidea","Myophiuroida","Ophiurida","Ophiuridae","Ophiocten","Ophiocten affinis",1806,123084,1416548,123117,123200,123561,124850,"(Lütken, 1858)",FALSE,""
"2463","Ophiura ophiura","Ophiura ophiura","species",124929,220460,2276905,60289,"Ophiura ophiura","Ophiura ophiura","Ophiura ophiura","Ophiura ophiura (Linnaeus, 1758)","Echinodermata","Ophiuroidea","Myophiuroida","Ophiurida","Ophiuridae","Ophiura","Ophiura ophiura",1806,123084,1416548,123117,123200,123574,124929,"(Linnaeus, 1758)",FALSE,"sibling_higher"
"2464","Stichastrella rosea","Stichastrella rosea","species",123813,218312,2274376,3657298,"Stichastrella rosea","Stichastrella rosea","Stichastrella rosea","Stichastrella rosea (O.F.Müller, 1776)","Echinodermata","Asteroidea","Ambuloasteroidea","Forcipulatida","Stichasteridae","Stichastrella","Stichastrella rosea",1806,123080,1562575,123086,152515,123229,123813,"(O.F. Müller, 1776)",FALSE,""
"2465","Thyone fusus","Thyone fusus","species",124670,217720,5188213,3652648,"Thyone fusus","Thyone fusus","Thyone fusus","Thyone fusus (O.F.Müller, 1776)","Echinodermata","Holothuroidea","Actinopoda","Dendrochirotida","Phyllophoridae","Thyone","Thyone fusus",1806,123083,1393249,123111,123188,146116,124670,"(O.F. Müller, 1776)",FALSE,"sibling_higher"
"2466","Laimaphelenchus suberensis","Laimaphelenchus suberensis","species",NA,896664,10019284,7074867,NA,"Laimaphelenchus suberensis","Laimaphelenchus suberensis","Laimaphelenchus suberensis","Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"2467","Baylisascaris devosi","Baylisascaris devosi","species",NA,896530,4558767,4168102,NA,"Baylisascaris devosi","Baylisascaris devosi","Baylisascaris devosi (Sprent, 1952)","Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"2468","Acrobeloidesnus","Acrobeloidesnus",NA,NA,NA,NA,453790,NA,"Acrobeloides nanus",NA,NA,"Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"2469","Calicophoron phillerouxi","Calicophoron phillerouxi","species",NA,906355,NA,7505295,NA,"Calicophoron phillerouxi","Calicophoron phillerouxi",NA,"Platyhelminthes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"2470","Carmyerius mancupatus","Carmyerius mancupatus","species",NA,906350,NA,7505280,NA,"Carmyerius mancupatus","Carmyerius mancupatus",NA,"Platyhelminthes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
