"","taxa_query","taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","subclass","order","family","genus","species","wormsid_phylum","wormsid_class","wormsid_subclass","wormsid_order","wormsid_family","wormsid_genus","wormsid_species","authority","is_synonym","flags"
"26","Paracyathus stearnsii","Paracyathus stearnsii","species",286830,265669,5184489,3676554,"Paracyathus stearnsii","Paracyathus stearnsii","Paracyathus stearnsii","Paracyathus stearnsii Verrill, 1869","Cnidaria","Anthozoa","Hexacorallia","Scleractinia","Caryophylliidae","Paracyathus","Paracyathus stearnsii",1267,1292,1340,1363,135073,135096,286830,"Verrill, 1869",FALSE,""
"27","Balanophyllia elegans","Balanophyllia elegans","species",NA,83468,2259665,192310,NA,"Balanophyllia elegans","Balanophyllia elegans","Balanophyllia elegans Verrill, 1864","Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"28","Epizoanthus scotinus","Epizoanthus scotinus","species",283864,302303,2258086,383185,"Epizoanthus scotinus","Epizoanthus scotinus","Epizoanthus scotinus","Epizoanthus scotinus Wood, 1957","Cnidaria","Anthozoa","Hexacorallia","Zoantharia","Epizoanthidae","Epizoanthus","Epizoanthus scotinus",1267,1292,1340,607338,100688,100790,283864,"Wood, 1957",FALSE,""
"29","Bougainvillia glorietta","Bougainvillia glorietta","species",NA,930768,2266581,3681607,NA,"Bougainvillia glorietta","Bougainvillia glorietta","Bougainvillia glorietta Torrey, 1904","Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"hidden"
"30","Polyorchis penicillatus","Polyorchis penicillatus","species",290843,516118,5185561,612083,"Polyorchis penicillatus","Polyorchis penicillatus","Polyorchis penicillatus","Polyorchis penicillatus (Eschscholtz, 1829)","Cnidaria","Hydrozoa","Hydroidolina","Anthoathecata","Corynidae","Polyorchis","Polyorchis penicillatus",1267,1337,19494,13551,1599,267759,290843,"(Eschscholtz, 1829)",FALSE,""
"31","Leuckartiara octona","Leuckartiara octona","species",117791,591922,2266371,555377,"Leuckartiara octona","Leuckartiara octona","Leuckartiara octona","Leuckartiara octona (Fleming, 1823)","Cnidaria","Hydrozoa","Hydroidolina","Anthoathecata","Pandeidae","Leuckartiara","Leuckartiara octona",1267,1337,19494,13551,15029,117183,117791,"(Fleming, 1823)",FALSE,""
"32","Ectopleura larynx","Ectopleura larynx","species",157933,516112,2265665,183506,"Ectopleura larynx","Ectopleura larynx","Ectopleura larynx","Ectopleura larynx (Ellis & Solander, 1786)","Cnidaria","Hydrozoa","Hydroidolina","Anthoathecata","Tubulariidae","Ectopleura","Ectopleura larynx",1267,1337,19494,13551,1603,117254,157933,"(Ellis & Solander, 1786)",FALSE,""
"33","Aglaophenia latirostris","Aglaophenia latirostris","species",284035,593621,2267384,3682555,"Aglaophenia latirostris","Aglaophenia latirostris","Aglaophenia latirostris","Aglaophenia latirostris Nutting, 1900","Cnidaria","Hydrozoa","Hydroidolina","Leptothecata","Aglaopheniidae","Aglaophenia","Aglaophenia latirostris",1267,1337,19494,13552,1605,116999,284035,"Nutting, 1900",FALSE,"sibling_higher"
"34","Campanularia volubilis","Campanularia volubilis","species",117365,79641,5186097,296262,"Campanularia volubilis","Campanularia volubilis","Campanularia volubilis","Campanularia volubilis (Linnaeus, 1758)","Cnidaria","Hydrozoa","Hydroidolina","Leptothecata","Campanulariidae","Campanularia","Campanularia volubilis",1267,1337,19494,13552,1606,117029,117365,"(Linnaeus, 1758)",FALSE,""
"35","Clytia gracilis","Clytia gracilis","species",117367,79644,2268232,554368,"Clytia gracilis","Clytia gracilis","Clytia gracilis","Clytia gracilis (Sars, 1851)","Cnidaria","Hydrozoa","Hydroidolina","Leptothecata","Campanulariidae","Clytia","Clytia gracilis",1267,1337,19494,13552,1606,117030,117367,"(Sars, 1851)",FALSE,""
