"","taxa_query","taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","subclass","order","family","genus","species","wormsid_phylum","wormsid_class","wormsid_subclass","wormsid_order","wormsid_family","wormsid_genus","wormsid_species","authority","is_synonym","flags"
"8946","Tethysbaena argentarii","Tethysbaena argentarii","species",412763,939275,2215759,846507,"Tethysbaena argentarii","Tethysbaena argentarii","Tethysbaena argentarii","Tethysbaena argentarii (Stella, 1951)","Arthropoda","Malacostraca","Eumalacostraca","Thermosbaenacea","Monodellidae","Tethysbaena","Tethysbaena argentarii",1065,1071,1086,1139,136095,412752,412763,"(Stella, 1951)",FALSE,""
"8947","Tethysbaena scabra","Tethysbaena scabra","species",412776,939277,2215764,283091,"Tethysbaena scabra","Tethysbaena scabra","Tethysbaena scabra","Tethysbaena scabra (Pretus, 1991)","Arthropoda","Malacostraca","Eumalacostraca","Thermosbaenacea","Monodellidae","Tethysbaena","Tethysbaena scabra",1065,1071,1086,1139,136095,412752,412776,"(Pretus, 1991)",FALSE,""
"8948","Tethysbaena atlantomaroccana","Tethysbaena atlantomaroccana","species",412764,939276,2215749,2988452,"Tethysbaena atlantomaroccana","Tethysbaena atlantomaroccana","Tethysbaena atlantomaroccana","Tethysbaena atlantomaroccana (Boutin & Cals, 1985)","Arthropoda","Malacostraca","Eumalacostraca","Thermosbaenacea","Monodellidae","Tethysbaena","Tethysbaena atlantomaroccana",1065,1071,1086,1139,136095,412752,412764,"(Boutin & Cals, 1985)",FALSE,""
"8949","Dardanus guttatus","Dardanus guttatus","species",NA,84128,2224419,2975700,NA,"Dardanus guttatus","Dardanus guttatus","Dardanus guttatus (Olivier, 1812)","Arthropoda",NA,NA,NA,"Diogenidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"8950","Pseudoniphargus brevipedunculatus","Pseudoniphargus brevipedunculatus","species",NA,931979,4416968,2982311,NA,"Pseudoniphargus brevipedunculatus","Pseudoniphargus brevipedunculatus","Pseudoniphargus brevipedunculatus Stock, 1980","Arthropoda",NA,NA,NA,"Allocrangonyctidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"8951","Pseudoniphargus carpalis","Pseudoniphargus carpalis","species",NA,931981,8100886,6188609,NA,"Pseudoniphargus carpalis","Pseudoniphargus carpalis","Pseudoniphargus carpalis Stock, Holsinger, Sket & Iliffe, 1986","Arthropoda",NA,NA,NA,"Allocrangonyctidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"8952","Pseudoniphargus grandimanus","Pseudoniphargus grandimanus","species",NA,931982,5789913,2982312,NA,"Pseudoniphargus grandimanus","Pseudoniphargus grandimanus","Pseudoniphargus grandimanus Stock, Holsinger, Sket & Iliffe, 1986","Arthropoda",NA,NA,NA,"Allocrangonyctidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"8953","Pseudoniphargus elongatus","Pseudoniphargus elongatus","species",NA,931984,4416958,2982281,NA,"Pseudoniphargus elongatus","Pseudoniphargus elongatus","Pseudoniphargus elongatus Stock, 1980","Arthropoda",NA,NA,NA,"Allocrangonyctidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"8954","Pseudoniphargus guernicae","Pseudoniphargus guernicae","species",NA,931988,4416934,2982271,NA,"Pseudoniphargus guernicae","Pseudoniphargus guernicae","Pseudoniphargus guernicae Notenboom, 1986","Arthropoda",NA,NA,NA,"Allocrangonyctidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"8955","Pseudoniphargus incantatus","Pseudoniphargus incantatus","species",NA,931989,4416950,2982304,NA,"Pseudoniphargus incantatus","Pseudoniphargus incantatus","Pseudoniphargus incantatus Notenboom, 1986","Arthropoda",NA,NA,NA,"Allocrangonyctidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
