"","taxa_query","found_taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","status","unacceptreason","is_synonym","flags","valid_authority","kingdom","class","order","family","genus","freshwater_only","terrestrial_only"
"3990","Hiatavolva depressa","Hiatavolva depressa","species",431244,328790,4611181,2921857,"Hiatavolva depressa","Hiatavolva depressa","Hiatavolva depressa","Hiatavolva depressa (G.B.Sowerby Iii, 1875)","Mollusca","accepted",NA,FALSE,"","(G. B. Sowerby III, 1875)","Animalia","Gastropoda","Littorinimorpha","Ovulidae","Hiatavolva","0","0"
"3991","Hiatavolva rugosa","Hiatavolva rugosa",NA,NA,NA,NA,2916047,NA,"Hiatavolva rugosa",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"3992","Chiton tuberculatus","Leptochiton cancellatus","species",140201,650106,2306174,2867360,"Leptochiton cancellatus","Chiton tuberculatus","Chiton tuberculatus","Chiton tuberculatus Linnaeus, 1758","Mollusca","unaccepted","synonym",FALSE,"","(G. B. Sowerby II, 1840)","Animalia","Polyplacophora","Chitonida","Chitonidae","Chiton","0","0"
"3993","Chiton tuberculatus","Chiton tuberculatus","species",152651,650106,2306174,2867360,"Chiton tuberculatus","Chiton tuberculatus","Chiton tuberculatus","Chiton tuberculatus Linnaeus, 1758","Mollusca","accepted",NA,FALSE,"","Linnaeus, 1758","Animalia","Polyplacophora","Chitonida","Chitonidae","Chiton","0","0"
"3994","Naviculavolva deflexa","Naviculavolva deflexa","species",431020,328868,6489357,2893436,"Naviculavolva deflexa","Naviculavolva deflexa","Naviculavolva deflexa","Naviculavolva deflexa (G.B.Sowerby II, 1848)","Mollusca","accepted",NA,FALSE,"","(G. B. Sowerby II, 1849)","Animalia","Gastropoda","Littorinimorpha","Ovulidae","Naviculavolva","0","0"
"3995","Neosimnia spelta","Neosimnia spelta",NA,NA,NA,NA,661041,NA,"Neosimnia spelta",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"3996","Ovula ovum","Ovula ovum","species",216904,31205,5192699,391828,"Ovula ovum","Ovula ovum","Ovula ovum","Ovula ovum (Linnaeus, 1758)","Mollusca","accepted",NA,FALSE,"","(Linnaeus, 1758)","Animalia","Gastropoda","Littorinimorpha","Ovulidae","Ovula","0","0"
"3997","Pellasimnia annabelae","Pellasimnia annabelae","species",431160,328862,6489449,2922510,"Pellasimnia annabelae","Pellasimnia annabelae","Pellasimnia annabelae","Pellasimnia annabelae Lorenz & Fehse, 2009","Mollusca","accepted",NA,FALSE,"","Lorenz & Fehse, 2009","Animalia","Gastropoda","Littorinimorpha","Ovulidae","Pellasimnia","0","0"
"3998","Phenacovolva rosea","Phenacovolva rosea","species",431194,328794,4611155,2921287,"Phenacovolva rosea","Phenacovolva rosea","Phenacovolva rosea","Phenacovolva rosea (A.Adams, 1855)","Mollusca","accepted",NA,FALSE,"","(A. Adams, 1855)","Animalia","Gastropoda","Littorinimorpha","Ovulidae","Phenacovolva","0","0"
"3999","Primovula rosewateri","Primovula rosewateri","species",430710,328895,6489556,2893530,"Primovula rosewateri","Primovula rosewateri","Primovula rosewateri","Primovula rosewateri (C.N.Cate, 1973)","Mollusca","accepted",NA,FALSE,"","(C. N. Cate, 1973)","Animalia","Gastropoda","Littorinimorpha","Ovulidae","Primovula","0","0"
