"","taxa_query","taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","subclass","order","family","genus","species","wormsid_phylum","wormsid_class","wormsid_subclass","wormsid_order","wormsid_family","wormsid_genus","wormsid_species","authority","is_synonym","flags"
"29","Arctonoe fragilis","Arctonoe fragilis","species",333029,205749,2313794,365763,"Arctonoe fragilis","Arctonoe fragilis","Arctonoe fragilis","Arctonoe fragilis (Baird, 1863)","Annelida","Polychaeta","Errantia","Phyllodocida","Polynoidae","Arctonoe","Arctonoe fragilis",882,883,754174,892,939,254300,333029,"(Baird, 1863)",FALSE,""
"30","Arctonoe pulchra","Arctonoe pulchra","species",333030,193553,2313790,258822,"Arctonoe pulchra","Arctonoe pulchra","Arctonoe pulchra","Arctonoe pulchra (Johnson, 1897)","Annelida","Polychaeta","Errantia","Phyllodocida","Polynoidae","Arctonoe","Arctonoe pulchra",882,883,754174,892,939,254300,333030,"(Johnson, 1897)",FALSE,""
"31","Arctonoe vittata","Arctonoe vittata","species",254301,205763,2313797,365749,"Arctonoe vittata","Arctonoe vittata","Arctonoe vittata","Arctonoe vittata (Grube, 1855)","Annelida","Polychaeta","Errantia","Phyllodocida","Polynoidae","Arctonoe","Arctonoe vittata",882,883,754174,892,939,254300,254301,"(Grube, 1855)",FALSE,""
"32","Gaudichaudius iphionelloides","Gaudichaudius iphionelloides","species",333489,808436,2315134,4984239,"Gaudichaudius iphionelloides","Gaudichaudius iphionelloides","Gaudichaudius iphionelloides","Gaudichaudius iphionelloides (Johnson, 1901)","Annelida","Polychaeta","Errantia","Phyllodocida","Polynoidae","Gaudichaudius","Gaudichaudius iphionelloides",882,883,754174,892,939,325009,333489,"(Johnson, 1901)",FALSE,"unplaced_inherited"
"33","Halosydna brevisetosa","Halosydna brevisetosa","species",333534,214476,2315083,494968,"Halosydna brevisetosa","Halosydna brevisetosa","Halosydna brevisetosa","Halosydna brevisetosa Kinberg, 1856","Annelida","Polychaeta","Errantia","Phyllodocida","Polynoidae","Halosydna","Halosydna brevisetosa",882,883,754174,892,939,152404,333534,"Kinberg, 1856",FALSE,""
"34","Harmothoe extenuata","Harmothoe extenuata","species",130762,306745,2313666,4984394,"Harmothoe extenuata","Harmothoe extenuata","Harmothoe extenuata","Harmothoe extenuata (Grube, 1840)","Annelida","Polychaeta","Errantia","Phyllodocida","Polynoidae","Harmothoe","Harmothoe extenuata",882,883,754174,892,939,129491,130762,"(Grube, 1840)",FALSE,"sibling_higher"
"35","Harmothoe imbricata","Harmothoe imbricata","species",130769,177382,2313557,694272,"Harmothoe imbricata","Harmothoe imbricata","Harmothoe imbricata","Harmothoe imbricata (Linnaeus, 1767)","Annelida","Polychaeta","Errantia","Phyllodocida","Polynoidae","Harmothoe","Harmothoe imbricata",882,883,754174,892,939,129491,130769,"(Linnaeus, 1767)",FALSE,"sibling_higher"
"36","Lepidasthenia longicirrata","Lepidasthenia longicirrata","species",328746,370448,2313373,4984318,"Lepidasthenia longicirrata","Lepidasthenia longicirrata","Lepidasthenia longicirrata","Lepidasthenia longicirrata Berkeley, 1923","Annelida","Polychaeta","Errantia","Phyllodocida","Polynoidae","Lepidasthenia","Lepidasthenia longicirrata",882,883,754174,892,939,129495,328746,"Berkeley, 1923",FALSE,""
"37","Amblyosyllis speciosa","Amblyosyllis speciosa","species",326282,893601,2310182,72122,"Amblyosyllis speciosa","Amblyosyllis speciosa","Amblyosyllis speciosa","Amblyosyllis speciosa Izuka, 1912","Annelida","Polychaeta","Errantia","Phyllodocida","Syllidae","Amblyosyllis","Amblyosyllis speciosa",882,883,754174,892,948,129645,326282,"Izuka, 1912",FALSE,""
"38","Odontosyllis phosphorea","Odontosyllis phosphorea","species",330087,205823,2309663,548459,"Odontosyllis phosphorea","Odontosyllis phosphorea","Odontosyllis phosphorea","Odontosyllis phosphorea Moore, 1909","Annelida","Polychaeta","Errantia","Phyllodocida","Syllidae","Odontosyllis","Odontosyllis phosphorea",882,883,754174,892,948,129660,330087,"Moore, 1909",FALSE,""
"39","Proceraea hanssoni","Proceraea hanssoni","species",388940,506644,4308210,915603,"Proceraea hanssoni","Proceraea hanssoni","Proceraea hanssoni","Proceraea hanssoni Nygren, 2004","Annelida","Polychaeta","Errantia","Phyllodocida","Syllidae","Proceraea","Proceraea hanssoni",882,883,754174,892,948,129671,388940,"Nygren, 2004",FALSE,""
"40","Proceraeagropunctata","Proceraeagropunctata",NA,NA,NA,NA,330933,NA,"Proceraea nigropunctata",NA,NA,"Annelida","Polychaeta",NA,NA,"Syllidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"41","Proceraea okadai","Proceraea okadai","species",816877,506646,7927980,330932,"Proceraea okadai","Proceraea okadai","Proceraea okadai","Proceraea okadai (Imajima, 1966)","Annelida","Polychaeta","Errantia","Phyllodocida","Syllidae","Proceraea","Proceraea okadai",882,883,754174,892,948,129671,816877,"(Imajima, 1966)",FALSE,""
"42","Syllis adamantea","Syllis adamantea","species",820094,889977,5712824,527095,"Syllis adamantea","Syllis adamantea","Syllis adamantea","Syllis adamantea (Treadwell, 1914)","Annelida","Polychaeta","Errantia","Phyllodocida","Syllidae","Syllis","Syllis adamantea",882,883,754174,892,948,129680,820094,"(Treadwell, 1914)",FALSE,""
"43","Syllis elongata","Syllis elongata","species",334893,205770,5194740,4982667,"Syllis elongata","Syllis elongata","Syllis elongata","Syllis elongata (Johnson, 1901)","Annelida","Polychaeta","Errantia","Phyllodocida","Syllidae","Syllis","Syllis elongata",882,883,754174,892,948,129680,334893,"(Johnson, 1901)",FALSE,""
"44","Syllis pigmentata","Syllis pigmentata","species",1039076,153122,9253833,627346,"Syllis pigmentata","Syllis pigmentata","Syllis pigmentata","Syllis pigmentata (Chamberlin, 1919)","Annelida","Polychaeta","Errantia","Phyllodocida","Syllidae","Syllis","Syllis pigmentata",882,883,754174,892,948,129680,1039076,"(Chamberlin, 1919)",FALSE,""
"45","Syllis stewarti","Syllis stewarti","species",339725,996225,5194345,4982818,"Syllis stewarti","Typosyllis stewarti","Syllis stewarti","Syllis stewarti Berkeley & Berkeley, 1942","Annelida","Polychaeta","Errantia","Phyllodocida","Syllidae","Syllis","Syllis stewarti",882,883,754174,892,948,129680,339725,"Berkeley & Berkeley, 1942",TRUE,""
"46","Leitoscoloplos pugettensis","Leitoscoloplos pugettensis","species",254746,204052,2319960,760478,"Leitoscoloplos pugettensis","Leitoscoloplos pugettensis","Leitoscoloplos pugettensis","Leitoscoloplos pugettensis (Pettibone, 1957)","Annelida","Polychaeta","Sedentaria",NA,"Orbiniidae","Leitoscoloplos","Leitoscoloplos pugettensis",882,883,754175,NA,902,129418,254746,"(Pettibone, 1957)",FALSE,""
"47","Naineris dendritica","Naineris dendritica","species",334057,205762,2320006,760489,"Naineris dendritica","Naineris dendritica","Naineris dendritica","Naineris dendritica (Kinberg, 1867)","Annelida","Polychaeta","Sedentaria",NA,"Orbiniidae","Naineris","Naineris dendritica",882,883,754175,NA,902,129419,334057,"(Kinberg, 1867)",FALSE,"sibling_higher"
